,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,ST_ba,FF_ba,SI_ba,FC_ba,CH_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SL_ba,CU_ba,FS%,wFS/C,vFS,Stf+ FS,Loc+ FS,Pit+ FS,FS_ba
0,2023-05-07,718269,Single,single,False,665862,669713,Jazz Chisholm Jr.,Hayden Wesneski,1,0,0,f683d4a1-399d-4338-ba97-f6b9872567ab,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,4.63,5.23,89.1,101.0,101.0,102.0,0.7959999999999999,8.36,3.22,8.26,2.01,1.07,0.242,0.431,0.142,0.369,0.444,84.5,77.0,102.0,103.0,80.0,105.0,94.0,92.0,96.0,91.0,123.0,98.0,110.0,100.0,98.0,104.0,0.18899999999999997,0.29600000000000004,0.1,0.366,0.049,-1.9,-0.42,-0.38,1.49,0.65,94.3,88.8,92.9,82.0,0.14,0.327,0.273,0.308,0.188,,,,,,,,,,,,,,,
1,2023-05-07,718269,Flyout,field_out,True,624585,669713,Jorge Soler,Hayden Wesneski,0,0,0,50ad3636-38fa-4808-b946-116882851f50,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,4.63,5.23,89.1,101.0,101.0,102.0,0.7959999999999999,8.36,3.22,8.26,2.01,1.07,0.242,0.431,0.142,0.369,0.444,84.5,77.0,102.0,103.0,80.0,105.0,94.0,92.0,96.0,91.0,123.0,98.0,110.0,100.0,98.0,104.0,0.18899999999999997,0.29600000000000004,0.1,0.366,0.049,-1.9,-0.42,-0.38,1.49,0.65,94.3,88.8,92.9,82.0,0.14,0.327,0.273,0.308,0.188,,,,,,,,,,,,,,,
2,2023-05-07,718269,Single,single,False,650333,669713,Luis Arraez,Hayden Wesneski,1,0,1,6f83df6e-9e0a-44d0-ad95-34a43cc4d399,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,4.63,5.23,89.1,101.0,101.0,102.0,0.7959999999999999,8.36,3.22,8.26,2.01,1.07,0.242,0.431,0.142,0.369,0.444,84.5,77.0,102.0,103.0,80.0,105.0,94.0,92.0,96.0,91.0,123.0,98.0,110.0,100.0,98.0,104.0,0.18899999999999997,0.29600000000000004,0.1,0.366,0.049,-1.9,-0.42,-0.38,1.49,0.65,94.3,88.8,92.9,82.0,0.14,0.327,0.273,0.308,0.188,,,,,,,,,,,,,,,
3,2023-05-07,718269,Grounded Into DP,grounded_into_double_play,True,660821,669713,Jesús Sánchez,Hayden Wesneski,0,0,1,dcda6b21-f0fb-4d00-81d3-654bc62b14ff,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,4.63,5.23,89.1,101.0,101.0,102.0,0.7959999999999999,8.36,3.22,8.26,2.01,1.07,0.242,0.431,0.142,0.369,0.444,84.5,77.0,102.0,103.0,80.0,105.0,94.0,92.0,96.0,91.0,123.0,98.0,110.0,100.0,98.0,104.0,0.18899999999999997,0.29600000000000004,0.1,0.366,0.049,-1.9,-0.42,-0.38,1.49,0.65,94.3,88.8,92.9,82.0,0.14,0.327,0.273,0.308,0.188,,,,,,,,,,,,,,,
4,2023-05-07,718269,Flyout,field_out,True,663538,645261,Nico Hoerner,Sandy Alcantara,0,0,0,77c823b4-11b9-4423-8770-be1fe901b2d8,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,,0.201,0.273,-0.27,,1.72,0.72,-0.43,98.0,,97.6,89.9,,0.253,0.237,,0.282,134.0,99.0,105.0,0.022000000000000002,-0.52,86.1,0.227,0.308,,,,,,,
5,2023-05-07,718269,Groundout,field_out,True,621020,645261,Dansby Swanson,Sandy Alcantara,1,0,0,9f54f910-5709-40a5-9c8a-be0c1605e84d,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,,0.201,0.273,-0.27,,1.72,0.72,-0.43,98.0,,97.6,89.9,,0.253,0.237,,0.282,134.0,99.0,105.0,0.022000000000000002,-0.52,86.1,0.227,0.308,,,,,,,
6,2023-05-07,718269,Strikeout,strikeout,True,664023,645261,Ian Happ,Sandy Alcantara,0,0,0,e40f7f1f-9c05-401d-a5e1-6349257211f9,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,,0.201,0.273,-0.27,,1.72,0.72,-0.43,98.0,,97.6,89.9,,0.253,0.237,,0.282,134.0,99.0,105.0,0.022000000000000002,-0.52,86.1,0.227,0.308,,,,,,,
7,2023-05-07,718269,Flyout,field_out,True,493329,669713,Yuli Gurriel,Hayden Wesneski,0,0,0,fc2c2754-43f6-4dd2-bf98-fb89ac0e045a,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,4.63,5.23,89.1,101.0,101.0,102.0,0.7959999999999999,8.36,3.22,8.26,2.01,1.07,0.242,0.431,0.142,0.369,0.444,84.5,77.0,102.0,103.0,80.0,105.0,94.0,92.0,96.0,91.0,123.0,98.0,110.0,100.0,98.0,104.0,0.18899999999999997,0.29600000000000004,0.1,0.366,0.049,-1.9,-0.42,-0.38,1.49,0.65,94.3,88.8,92.9,82.0,0.14,0.327,0.273,0.308,0.188,,,,,,,,,,,,,,,
8,2023-05-07,718269,Strikeout,strikeout,True,650559,669713,Bryan De La Cruz,Hayden Wesneski,0,0,0,b26c365c-f9a0-4537-b45e-8a2ed4773ed1,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,4.63,5.23,89.1,101.0,101.0,102.0,0.7959999999999999,8.36,3.22,8.26,2.01,1.07,0.242,0.431,0.142,0.369,0.444,84.5,77.0,102.0,103.0,80.0,105.0,94.0,92.0,96.0,91.0,123.0,98.0,110.0,100.0,98.0,104.0,0.18899999999999997,0.29600000000000004,0.1,0.366,0.049,-1.9,-0.42,-0.38,1.49,0.65,94.3,88.8,92.9,82.0,0.14,0.327,0.273,0.308,0.188,,,,,,,,,,,,,,,
9,2023-05-07,718269,Strikeout,strikeout,True,516416,669713,Jean Segura,Hayden Wesneski,0,0,0,cec648fb-9752-497b-ba05-9dca84ecd27d,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,4.63,5.23,89.1,101.0,101.0,102.0,0.7959999999999999,8.36,3.22,8.26,2.01,1.07,0.242,0.431,0.142,0.369,0.444,84.5,77.0,102.0,103.0,80.0,105.0,94.0,92.0,96.0,91.0,123.0,98.0,110.0,100.0,98.0,104.0,0.18899999999999997,0.29600000000000004,0.1,0.366,0.049,-1.9,-0.42,-0.38,1.49,0.65,94.3,88.8,92.9,82.0,0.14,0.327,0.273,0.308,0.188,,,,,,,,,,,,,,,
