,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,FF_ba,CH_ba,FC_ba,SI_ba,SL_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba
30,2023-04-18,718541,Groundout,field_out,True,665926,593958,Andrés Giménez,Eduardo Rodriguez,1,0,0,bc648477-ce51-47d5-a1db-a8c50422be57,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,3.3,4.04,152.2,103.0,83.0,97.0,0.7809999999999999,8.43,2.83,7.55,0.88,1.1,0.27899999999999997,0.40700000000000003,0.152,0.311,0.429,85.9,91.0,102.0,103.0,73.0,101.0,91.0,84.0,117.0,107.0,103.0,107.0,106.0,90.0,101.0,98.0,0.09300000000000001,0.45399999999999996,0.192,0.07200000000000001,0.18899999999999997,0.65,0.51,1.11,3.12,0.71,92.2,88.8,92.4,84.5,0.278,0.233,0.2,0.165,0.089,,,,,,,
31,2023-04-18,718541,Strikeout,strikeout,True,663837,685410,Matt Vierling,Peyton Battenfield,0,0,0,74eae362-0626-41de-9aa3-4f04e61db127,685410.0,peytonbattenfield,Battenfield,Right,Peyton Battenfield,5.19,6.16,34.2,100.0,88.0,94.0,0.7559999999999999,7.01,3.12,8.83,1.82,1.05,0.168,0.495,0.055999999999999994,0.439,0.39,84.7,72.0,88.0,86.0,73.0,94.0,89.0,,,,,,,109.0,109.0,98.0,,0.446,0.408,,0.038,-2.36,2.7,,,-4.8,90.8,87.3,,,0.323,0.4,0.164,,,72.0,97.0,98.0,0.107,0.03,79.7,0.4
32,2023-04-18,718541,Groundout,field_out,True,570731,685410,Jonathan Schoop,Peyton Battenfield,1,1,0,d323ff8d-0f49-4a0d-98ba-2b2600fd3023,685410.0,peytonbattenfield,Battenfield,Right,Peyton Battenfield,5.19,6.16,34.2,100.0,88.0,94.0,0.7559999999999999,7.01,3.12,8.83,1.82,1.05,0.168,0.495,0.055999999999999994,0.439,0.39,84.7,72.0,88.0,86.0,73.0,94.0,89.0,,,,,,,109.0,109.0,98.0,,0.446,0.408,,0.038,-2.36,2.7,,,-4.8,90.8,87.3,,,0.323,0.4,0.164,,,72.0,97.0,98.0,0.107,0.03,79.7,0.4
33,2023-04-18,718541,Walk,walk,False,668670,685410,Jake Rogers,Peyton Battenfield,1,0,0,b726273f-b658-4b86-95d2-e0cfd03e952b,685410.0,peytonbattenfield,Battenfield,Right,Peyton Battenfield,5.19,6.16,34.2,100.0,88.0,94.0,0.7559999999999999,7.01,3.12,8.83,1.82,1.05,0.168,0.495,0.055999999999999994,0.439,0.39,84.7,72.0,88.0,86.0,73.0,94.0,89.0,,,,,,,109.0,109.0,98.0,,0.446,0.408,,0.038,-2.36,2.7,,,-4.8,90.8,87.3,,,0.323,0.4,0.164,,,72.0,97.0,98.0,0.107,0.03,79.7,0.4
34,2023-04-18,718541,Flyout,field_out,True,665155,685410,Nick Maton,Peyton Battenfield,1,0,0,a1d22838-b535-440c-89a6-1c965ad1c420,685410.0,peytonbattenfield,Battenfield,Right,Peyton Battenfield,5.19,6.16,34.2,100.0,88.0,94.0,0.7559999999999999,7.01,3.12,8.83,1.82,1.05,0.168,0.495,0.055999999999999994,0.439,0.39,84.7,72.0,88.0,86.0,73.0,94.0,89.0,,,,,,,109.0,109.0,98.0,,0.446,0.408,,0.038,-2.36,2.7,,,-4.8,90.8,87.3,,,0.323,0.4,0.164,,,72.0,97.0,98.0,0.107,0.03,79.7,0.4
35,2023-04-18,718541,Strikeout,strikeout,True,672356,593958,Gabriel Arias,Eduardo Rodriguez,0,0,0,a6e6b020-a414-41cc-8653-21fdb89e5888,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,3.3,4.04,152.2,103.0,83.0,97.0,0.7809999999999999,8.43,2.83,7.55,0.88,1.1,0.27899999999999997,0.40700000000000003,0.152,0.311,0.429,85.9,91.0,102.0,103.0,73.0,101.0,91.0,84.0,117.0,107.0,103.0,107.0,106.0,90.0,101.0,98.0,0.09300000000000001,0.45399999999999996,0.192,0.07200000000000001,0.18899999999999997,0.65,0.51,1.11,3.12,0.71,92.2,88.8,92.4,84.5,0.278,0.233,0.2,0.165,0.089,,,,,,,
36,2023-04-18,718541,Pop Out,field_out,True,595956,593958,Cam Gallagher,Eduardo Rodriguez,0,0,0,ca2b3bcb-4aeb-49c2-ac12-3a9461450e59,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,3.3,4.04,152.2,103.0,83.0,97.0,0.7809999999999999,8.43,2.83,7.55,0.88,1.1,0.27899999999999997,0.40700000000000003,0.152,0.311,0.429,85.9,91.0,102.0,103.0,73.0,101.0,91.0,84.0,117.0,107.0,103.0,107.0,106.0,90.0,101.0,98.0,0.09300000000000001,0.45399999999999996,0.192,0.07200000000000001,0.18899999999999997,0.65,0.51,1.11,3.12,0.71,92.2,88.8,92.4,84.5,0.278,0.233,0.2,0.165,0.089,,,,,,,
37,2023-04-18,718541,Groundout,field_out,True,686823,593958,Will Brennan,Eduardo Rodriguez,0,0,0,63d63460-2374-4832-a657-b9b47ac5d56c,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,3.3,4.04,152.2,103.0,83.0,97.0,0.7809999999999999,8.43,2.83,7.55,0.88,1.1,0.27899999999999997,0.40700000000000003,0.152,0.311,0.429,85.9,91.0,102.0,103.0,73.0,101.0,91.0,84.0,117.0,107.0,103.0,107.0,106.0,90.0,101.0,98.0,0.09300000000000001,0.45399999999999996,0.192,0.07200000000000001,0.18899999999999997,0.65,0.51,1.11,3.12,0.71,92.2,88.8,92.4,84.5,0.278,0.233,0.2,0.165,0.089,,,,,,,
38,2023-04-18,718541,Home Run,home_run,False,682985,685410,Riley Greene,Peyton Battenfield,1,0,0,2be5841e-d384-44c7-8ec8-5e5498975934,685410.0,peytonbattenfield,Battenfield,Right,Peyton Battenfield,5.19,6.16,34.2,100.0,88.0,94.0,0.7559999999999999,7.01,3.12,8.83,1.82,1.05,0.168,0.495,0.055999999999999994,0.439,0.39,84.7,72.0,88.0,86.0,73.0,94.0,89.0,,,,,,,109.0,109.0,98.0,,0.446,0.408,,0.038,-2.36,2.7,,,-4.8,90.8,87.3,,,0.323,0.4,0.164,,,72.0,97.0,98.0,0.107,0.03,79.7,0.4
39,2023-04-18,718541,Strikeout,strikeout,True,595879,685410,Javier Báez,Peyton Battenfield,0,0,0,4fbffe89-ca01-43eb-a27b-40dbaeae833d,685410.0,peytonbattenfield,Battenfield,Right,Peyton Battenfield,5.19,6.16,34.2,100.0,88.0,94.0,0.7559999999999999,7.01,3.12,8.83,1.82,1.05,0.168,0.495,0.055999999999999994,0.439,0.39,84.7,72.0,88.0,86.0,73.0,94.0,89.0,,,,,,,109.0,109.0,98.0,,0.446,0.408,,0.038,-2.36,2.7,,,-4.8,90.8,87.3,,,0.323,0.4,0.164,,,72.0,97.0,98.0,0.107,0.03,79.7,0.4
40,2023-04-18,718541,Lineout,field_out,True,681481,685410,Kerry Carpenter,Peyton Battenfield,0,0,0,f979d17b-25a9-4fb9-909a-78c9ede8e514,685410.0,peytonbattenfield,Battenfield,Right,Peyton Battenfield,5.19,6.16,34.2,100.0,88.0,94.0,0.7559999999999999,7.01,3.12,8.83,1.82,1.05,0.168,0.495,0.055999999999999994,0.439,0.39,84.7,72.0,88.0,86.0,73.0,94.0,89.0,,,,,,,109.0,109.0,98.0,,0.446,0.408,,0.038,-2.36,2.7,,,-4.8,90.8,87.3,,,0.323,0.4,0.164,,,72.0,97.0,98.0,0.107,0.03,79.7,0.4
41,2023-04-18,718541,Groundout,field_out,True,663527,685410,Tyler Nevin,Peyton Battenfield,1,1,0,ce9cc4a7-2dc6-44f2-a39f-4eb318ead1b9,685410.0,peytonbattenfield,Battenfield,Right,Peyton Battenfield,5.19,6.16,34.2,100.0,88.0,94.0,0.7559999999999999,7.01,3.12,8.83,1.82,1.05,0.168,0.495,0.055999999999999994,0.439,0.39,84.7,72.0,88.0,86.0,73.0,94.0,89.0,,,,,,,109.0,109.0,98.0,,0.446,0.408,,0.038,-2.36,2.7,,,-4.8,90.8,87.3,,,0.323,0.4,0.164,,,72.0,97.0,98.0,0.107,0.03,79.7,0.4
42,2023-04-18,718541,Single,single,False,664702,593958,Myles Straw,Eduardo Rodriguez,1,0,0,21030fd5-cfe8-4162-8639-2448ecc1b96f,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,3.3,4.04,152.2,103.0,83.0,97.0,0.7809999999999999,8.43,2.83,7.55,0.88,1.1,0.27899999999999997,0.40700000000000003,0.152,0.311,0.429,85.9,91.0,102.0,103.0,73.0,101.0,91.0,84.0,117.0,107.0,103.0,107.0,106.0,90.0,101.0,98.0,0.09300000000000001,0.45399999999999996,0.192,0.07200000000000001,0.18899999999999997,0.65,0.51,1.11,3.12,0.71,92.2,88.8,92.4,84.5,0.278,0.233,0.2,0.165,0.089,,,,,,,
43,2023-04-18,718541,Strikeout,strikeout,True,608070,593958,José Ramírez,Eduardo Rodriguez,0,0,0,62807ffb-2e33-4dcc-aca5-ed2437fe14a8,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,3.3,4.04,152.2,103.0,83.0,97.0,0.7809999999999999,8.43,2.83,7.55,0.88,1.1,0.27899999999999997,0.40700000000000003,0.152,0.311,0.429,85.9,91.0,102.0,103.0,73.0,101.0,91.0,84.0,117.0,107.0,103.0,107.0,106.0,90.0,101.0,98.0,0.09300000000000001,0.45399999999999996,0.192,0.07200000000000001,0.18899999999999997,0.65,0.51,1.11,3.12,0.71,92.2,88.8,92.4,84.5,0.278,0.233,0.2,0.165,0.089,,,,,,,
