,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FC_ba,CU_ba,SI_ba,FF_ba,SL_ba,FS_ba,CH_ba,vCH (sc),Stf+ KC,Loc+ KC,Pit+ KC,KC%,CH%,wKC/C,wCH/C,vKC,ST_ba
0,2023-07-07,717463,Groundout,field_out,True,672580,650644,Maikel Garcia,Aaron Civale,0,0,0,065cea39-c97f-488d-8165-c2e032057bfa,650644.0,aaroncivale,Civale,Right,Aaron Civale,3.46,3.69,122.1,106.0,105.0,104.0,0.7859999999999999,8.53,2.43,8.02,0.88,1.0,0.212,0.45799999999999996,0.149,0.307,0.413,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,96.0,104.0,103.0,58.0,95.0,95.0,0.185,0.12300000000000001,0.37200000000000005,0.017,0.057999999999999996,0.244,-0.65,1.13,-6.33,1.59,0.15,0.77,91.8,87.7,85.2,92.4,82.5,78.1,0.261,0.188,0.202,0.359,0.172,0.5,,,,,,,,,,,
1,2023-07-07,717463,Flyout,field_out,True,677951,650644,Bobby Witt Jr.,Aaron Civale,1,0,0,cfa95bc1-eca9-415e-aeb6-00e33055cb6c,650644.0,aaroncivale,Civale,Right,Aaron Civale,3.46,3.69,122.1,106.0,105.0,104.0,0.7859999999999999,8.53,2.43,8.02,0.88,1.0,0.212,0.45799999999999996,0.149,0.307,0.413,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,96.0,104.0,103.0,58.0,95.0,95.0,0.185,0.12300000000000001,0.37200000000000005,0.017,0.057999999999999996,0.244,-0.65,1.13,-6.33,1.59,0.15,0.77,91.8,87.7,85.2,92.4,82.5,78.1,0.261,0.188,0.202,0.359,0.172,0.5,,,,,,,,,,,
2,2023-07-07,717463,Strikeout,strikeout,True,521692,650644,Salvador Perez,Aaron Civale,0,0,0,2180e8e7-df06-4d2c-bbed-70207fd5c43e,650644.0,aaroncivale,Civale,Right,Aaron Civale,3.46,3.69,122.1,106.0,105.0,104.0,0.7859999999999999,8.53,2.43,8.02,0.88,1.0,0.212,0.45799999999999996,0.149,0.307,0.413,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,96.0,104.0,103.0,58.0,95.0,95.0,0.185,0.12300000000000001,0.37200000000000005,0.017,0.057999999999999996,0.244,-0.65,1.13,-6.33,1.59,0.15,0.77,91.8,87.7,85.2,92.4,82.5,78.1,0.261,0.188,0.202,0.359,0.172,0.5,,,,,,,,,,,
3,2023-07-07,717463,Groundout,field_out,True,680757,663738,Steven Kwan,Daniel Lynch IV,1,0,0,1ce1504c-f521-4aea-a02f-cd9c033ebdd7,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417,0.75,0.293,0.238,,0.125,,,,,,,,,,
4,2023-07-07,717463,Double,double,False,642708,663738,Amed Rosario,Daniel Lynch IV,0,0,0,deeb0815-7afc-45b3-a4e6-f4e9698b6b11,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417,0.75,0.293,0.238,,0.125,,,,,,,,,,
5,2023-07-07,717463,Walk,walk,False,608070,663738,José Ramírez,Daniel Lynch IV,0,0,0,8b12241d-7122-4b27-9e8a-b0d24a55dca4,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417,0.75,0.293,0.238,,0.125,,,,,,,,,,
6,2023-07-07,717463,Single,single,False,647304,663738,Josh Naylor,Daniel Lynch IV,0,0,1,f7806ff5-db2c-4470-ad07-d613e7048e6a,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417,0.75,0.293,0.238,,0.125,,,,,,,,,,
7,2023-07-07,717463,Fielders Choice Out,fielders_choice_out,True,605137,663738,Josh Bell,Daniel Lynch IV,1,0,1,d6c595ff-b399-4a28-a366-503b9b409c00,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417,0.75,0.293,0.238,,0.125,,,,,,,,,,
8,2023-07-07,717463,Pop Out,field_out,True,665926,663738,Andrés Giménez,Daniel Lynch IV,1,1,0,6a81b572-cc3d-42ac-80c4-750ac9d10839,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417,0.75,0.293,0.238,,0.125,,,,,,,,,,
9,2023-07-07,717463,Strikeout,strikeout,True,668472,650644,Nick Pratto,Aaron Civale,0,0,0,bd8822fe-4c9c-4207-abd0-8f47e78c6695,650644.0,aaroncivale,Civale,Right,Aaron Civale,3.46,3.69,122.1,106.0,105.0,104.0,0.7859999999999999,8.53,2.43,8.02,0.88,1.0,0.212,0.45799999999999996,0.149,0.307,0.413,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,96.0,104.0,103.0,58.0,95.0,95.0,0.185,0.12300000000000001,0.37200000000000005,0.017,0.057999999999999996,0.244,-0.65,1.13,-6.33,1.59,0.15,0.77,91.8,87.7,85.2,92.4,82.5,78.1,0.261,0.188,0.202,0.359,0.172,0.5,,,,,,,,,,,
