,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,wFA/C,wSL/C,wCU/C,vFA,vSL,vCU,FF_ba,SL_ba,CU_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vSI,CH_ba,SI_ba,FC_ba,ST_ba,FS_ba
0,2023-09-17,716538,Pop Out,field_out,True,595777,671212,Jurickson Profar,Joe Boyle,0,0,0,f3911615-0bfd-43cc-91f2-235f882e5d46,671212.0,joeboyle,Boyle,Right,Joe Boyle,1.69,2.25,16.0,100.0,132.0,106.0,0.8109999999999999,8.44,2.81,4.5,0.56,0.55,0.3,0.25,0.175,0.3,0.413,141.0,92.0,103.0,120.0,98.0,103.0,126.0,115.0,127.0,0.583,0.321,0.096,1.62,1.53,3.62,97.8,88.0,81.5,0.156,0.158,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,2023-09-17,716538,Strikeout,strikeout,True,665487,671212,Fernando Tatis Jr.,Joe Boyle,0,0,0,f60b6c94-832d-422b-9b57-0f5a4b5a14b7,671212.0,joeboyle,Boyle,Right,Joe Boyle,1.69,2.25,16.0,100.0,132.0,106.0,0.8109999999999999,8.44,2.81,4.5,0.56,0.55,0.3,0.25,0.175,0.3,0.413,141.0,92.0,103.0,120.0,98.0,103.0,126.0,115.0,127.0,0.583,0.321,0.096,1.62,1.53,3.62,97.8,88.0,81.5,0.156,0.158,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,2023-09-17,716538,Single,single,False,665742,671212,Juan Soto,Joe Boyle,1,1,0,038097c4-2294-407b-8153-0057a27e9e66,671212.0,joeboyle,Boyle,Right,Joe Boyle,1.69,2.25,16.0,100.0,132.0,106.0,0.8109999999999999,8.44,2.81,4.5,0.56,0.55,0.3,0.25,0.175,0.3,0.413,141.0,92.0,103.0,120.0,98.0,103.0,126.0,115.0,127.0,0.583,0.321,0.096,1.62,1.53,3.62,97.8,88.0,81.5,0.156,0.158,0.0,,,,,,,,,,,,,,,,,,,,,,,
3,2023-09-17,716538,Forceout,force_out,True,592518,671212,Manny Machado,Joe Boyle,1,0,1,d0225206-d557-456d-82b5-170ccdfbac2d,671212.0,joeboyle,Boyle,Right,Joe Boyle,1.69,2.25,16.0,100.0,132.0,106.0,0.8109999999999999,8.44,2.81,4.5,0.56,0.55,0.3,0.25,0.175,0.3,0.413,141.0,92.0,103.0,120.0,98.0,103.0,126.0,115.0,127.0,0.583,0.321,0.096,1.62,1.53,3.62,97.8,88.0,81.5,0.156,0.158,0.0,,,,,,,,,,,,,,,,,,,,,,,
4,2023-09-17,716538,Strikeout,strikeout,True,676116,607259,Ryan Noda,Nick Martinez,0,0,0,8863b520-1884-456b-8df0-4beb29b6a785,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,3.43,3.98,110.1,102.0,92.0,101.0,0.728,8.65,3.26,8.08,0.98,1.91,0.20600000000000002,0.431,0.235,0.251,0.397,88.0,97.0,100.0,92.0,100.0,98.0,,,,0.13,0.002,0.191,-0.91,-4.18,0.59,93.3,84.5,81.8,0.25,,0.164,80.7,97.0,102.0,106.0,87.0,108.0,101.0,96.0,102.0,96.0,0.22399999999999998,0.16399999999999998,0.28800000000000003,-1.99,1.23,2.41,89.5,92.9,0.158,0.293,0.382,,
5,2023-09-17,716538,Single,single,False,680869,607259,Zack Gelof,Nick Martinez,0,0,0,dc3f66d2-faf1-4e94-ad88-adea8bf3da38,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,3.43,3.98,110.1,102.0,92.0,101.0,0.728,8.65,3.26,8.08,0.98,1.91,0.20600000000000002,0.431,0.235,0.251,0.397,88.0,97.0,100.0,92.0,100.0,98.0,,,,0.13,0.002,0.191,-0.91,-4.18,0.59,93.3,84.5,81.8,0.25,,0.164,80.7,97.0,102.0,106.0,87.0,108.0,101.0,96.0,102.0,96.0,0.22399999999999998,0.16399999999999998,0.28800000000000003,-1.99,1.23,2.41,89.5,92.9,0.158,0.293,0.382,,
6,2023-09-17,716538,Groundout,field_out,True,667670,607259,Brent Rooker,Nick Martinez,1,0,1,e335d0b4-7bec-41fd-8ca5-2a58fff2a118,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,3.43,3.98,110.1,102.0,92.0,101.0,0.728,8.65,3.26,8.08,0.98,1.91,0.20600000000000002,0.431,0.235,0.251,0.397,88.0,97.0,100.0,92.0,100.0,98.0,,,,0.13,0.002,0.191,-0.91,-4.18,0.59,93.3,84.5,81.8,0.25,,0.164,80.7,97.0,102.0,106.0,87.0,108.0,101.0,96.0,102.0,96.0,0.22399999999999998,0.16399999999999998,0.28800000000000003,-1.99,1.23,2.41,89.5,92.9,0.158,0.293,0.382,,
7,2023-09-17,716538,Strikeout,strikeout,True,664913,607259,Seth Brown,Nick Martinez,0,0,1,df6e9202-76cc-47ec-a485-a4da3f4fe024,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,3.43,3.98,110.1,102.0,92.0,101.0,0.728,8.65,3.26,8.08,0.98,1.91,0.20600000000000002,0.431,0.235,0.251,0.397,88.0,97.0,100.0,92.0,100.0,98.0,,,,0.13,0.002,0.191,-0.91,-4.18,0.59,93.3,84.5,81.8,0.25,,0.164,80.7,97.0,102.0,106.0,87.0,108.0,101.0,96.0,102.0,96.0,0.22399999999999998,0.16399999999999998,0.28800000000000003,-1.99,1.23,2.41,89.5,92.9,0.158,0.293,0.382,,
8,2023-09-17,716538,Strikeout,strikeout,True,593428,671212,Xander Bogaerts,Joe Boyle,0,0,0,ecf03977-1536-4eaa-8e6b-9931e28cad10,671212.0,joeboyle,Boyle,Right,Joe Boyle,1.69,2.25,16.0,100.0,132.0,106.0,0.8109999999999999,8.44,2.81,4.5,0.56,0.55,0.3,0.25,0.175,0.3,0.413,141.0,92.0,103.0,120.0,98.0,103.0,126.0,115.0,127.0,0.583,0.321,0.096,1.62,1.53,3.62,97.8,88.0,81.5,0.156,0.158,0.0,,,,,,,,,,,,,,,,,,,,,,,
9,2023-09-17,716538,Flyout,field_out,True,669134,671212,Luis Campusano,Joe Boyle,0,0,0,bf7e6347-1e9f-4a70-8b2a-bfd42a924aad,671212.0,joeboyle,Boyle,Right,Joe Boyle,1.69,2.25,16.0,100.0,132.0,106.0,0.8109999999999999,8.44,2.81,4.5,0.56,0.55,0.3,0.25,0.175,0.3,0.413,141.0,92.0,103.0,120.0,98.0,103.0,126.0,115.0,127.0,0.583,0.321,0.096,1.62,1.53,3.62,97.8,88.0,81.5,0.156,0.158,0.0,,,,,,,,,,,,,,,,,,,,,,,
