,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,CU_ba,SL_ba,FC_ba,ST_ba,FS_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vSI,SI_ba,CH_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2023-05-03,718323,Single,single,False,543807,601713,George Springer,Nick Pivetta,0,0,0,5d0b4ea8-b9e2-422b-b653-feb5e5de041b,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.43799999999999994,0.124,0.354,0.42100000000000004,117.0,102.0,106.0,125.0,101.0,109.0,124.0,107.0,112.0,78.0,104.0,98.0,49.0,109.0,69.0,0.506,0.078,0.005,0.165,0.247,0.57,0.67,-13.1,1.59,-0.09,94.6,88.4,84.8,85.8,79.4,0.214,0.215,0.189,0.267,0.114,0.25,,,,,,,,,,,,,,,,,,,,
1,2023-05-03,718323,Forceout,force_out,True,666182,601713,Bo Bichette,Nick Pivetta,1,0,1,91eed958-2bd1-4d5a-96de-fa712fd38f0a,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.43799999999999994,0.124,0.354,0.42100000000000004,117.0,102.0,106.0,125.0,101.0,109.0,124.0,107.0,112.0,78.0,104.0,98.0,49.0,109.0,69.0,0.506,0.078,0.005,0.165,0.247,0.57,0.67,-13.1,1.59,-0.09,94.6,88.4,84.8,85.8,79.4,0.214,0.215,0.189,0.267,0.114,0.25,,,,,,,,,,,,,,,,,,,,
2,2023-05-03,718323,Lineout,field_out,True,665489,601713,Vladimir Guerrero Jr.,Nick Pivetta,0,0,0,2e1c6f51-d2fb-47bd-abb2-df94d199825b,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.43799999999999994,0.124,0.354,0.42100000000000004,117.0,102.0,106.0,125.0,101.0,109.0,124.0,107.0,112.0,78.0,104.0,98.0,49.0,109.0,69.0,0.506,0.078,0.005,0.165,0.247,0.57,0.67,-13.1,1.59,-0.09,94.6,88.4,84.8,85.8,79.4,0.214,0.215,0.189,0.267,0.114,0.25,,,,,,,,,,,,,,,,,,,,
3,2023-05-03,718323,Flyout,field_out,True,656305,601713,Matt Chapman,Nick Pivetta,1,0,0,e435767e-a91f-40b3-9d94-ecd6c3a6b440,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.43799999999999994,0.124,0.354,0.42100000000000004,117.0,102.0,106.0,125.0,101.0,109.0,124.0,107.0,112.0,78.0,104.0,98.0,49.0,109.0,69.0,0.506,0.078,0.005,0.165,0.247,0.57,0.67,-13.1,1.59,-0.09,94.6,88.4,84.8,85.8,79.4,0.214,0.215,0.189,0.267,0.114,0.25,,,,,,,,,,,,,,,,,,,,
4,2023-05-03,718323,Strikeout,strikeout,True,657077,666201,Alex Verdugo,Alek Manoah,0,0,0,27b4f5b2-2cc8-4d28-ad52-54f36213a516,666201.0,alekmanoah,Manoah,Right,Alek Manoah,5.87,6.12,87.1,95.0,89.0,93.0,0.804,8.14,6.08,9.58,1.55,0.92,0.231,0.40700000000000003,0.134,0.369,0.38799999999999996,,,,91.0,95.0,92.0,94.0,93.0,96.0,,,,,,,0.29,,,0.3,,-2.16,,,-1.17,,92.8,,,80.8,,0.316,,0.239,,,,86.3,69.0,98.0,89.0,92.0,96.0,91.0,0.282,0.128,0.68,-1.01,92.6,0.25,0.273,,,,,,
5,2023-05-03,718323,Groundout,field_out,True,807799,666201,Masataka Yoshida,Alek Manoah,0,0,0,ad5c5caf-6c34-48a5-89d6-2b5ad3319332,666201.0,alekmanoah,Manoah,Right,Alek Manoah,5.87,6.12,87.1,95.0,89.0,93.0,0.804,8.14,6.08,9.58,1.55,0.92,0.231,0.40700000000000003,0.134,0.369,0.38799999999999996,,,,91.0,95.0,92.0,94.0,93.0,96.0,,,,,,,0.29,,,0.3,,-2.16,,,-1.17,,92.8,,,80.8,,0.316,,0.239,,,,86.3,69.0,98.0,89.0,92.0,96.0,91.0,0.282,0.128,0.68,-1.01,92.6,0.25,0.273,,,,,,
6,2023-05-03,718323,Groundout,field_out,True,457759,666201,Justin Turner,Alek Manoah,1,1,0,8feca206-4ff1-49c1-84f5-7223c3a26fd4,666201.0,alekmanoah,Manoah,Right,Alek Manoah,5.87,6.12,87.1,95.0,89.0,93.0,0.804,8.14,6.08,9.58,1.55,0.92,0.231,0.40700000000000003,0.134,0.369,0.38799999999999996,,,,91.0,95.0,92.0,94.0,93.0,96.0,,,,,,,0.29,,,0.3,,-2.16,,,-1.17,,92.8,,,80.8,,0.316,,0.239,,,,86.3,69.0,98.0,89.0,92.0,96.0,91.0,0.282,0.128,0.68,-1.01,92.6,0.25,0.273,,,,,,
7,2023-05-03,718323,Home Run,home_run,False,662139,601713,Daulton Varsho,Nick Pivetta,0,0,0,d64713ad-75b0-4d30-86df-d2abe63bca62,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.43799999999999994,0.124,0.354,0.42100000000000004,117.0,102.0,106.0,125.0,101.0,109.0,124.0,107.0,112.0,78.0,104.0,98.0,49.0,109.0,69.0,0.506,0.078,0.005,0.165,0.247,0.57,0.67,-13.1,1.59,-0.09,94.6,88.4,84.8,85.8,79.4,0.214,0.215,0.189,0.267,0.114,0.25,,,,,,,,,,,,,,,,,,,,
8,2023-05-03,718323,Groundout,field_out,True,672386,601713,Alejandro Kirk,Nick Pivetta,0,0,0,3bc5d880-d008-4f38-8298-c36fba5854fb,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.43799999999999994,0.124,0.354,0.42100000000000004,117.0,102.0,106.0,125.0,101.0,109.0,124.0,107.0,112.0,78.0,104.0,98.0,49.0,109.0,69.0,0.506,0.078,0.005,0.165,0.247,0.57,0.67,-13.1,1.59,-0.09,94.6,88.4,84.8,85.8,79.4,0.214,0.215,0.189,0.267,0.114,0.25,,,,,,,,,,,,,,,,,,,,
9,2023-05-03,718323,Groundout,field_out,True,593160,601713,Whit Merrifield,Nick Pivetta,1,0,0,aa533720-35b5-47f2-9c88-c018faca8d70,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.43799999999999994,0.124,0.354,0.42100000000000004,117.0,102.0,106.0,125.0,101.0,109.0,124.0,107.0,112.0,78.0,104.0,98.0,49.0,109.0,69.0,0.506,0.078,0.005,0.165,0.247,0.57,0.67,-13.1,1.59,-0.09,94.6,88.4,84.8,85.8,79.4,0.214,0.215,0.189,0.267,0.114,0.25,,,,,,,,,,,,,,,,,,,,
