,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,SL_ba,FF_ba,SI_ba,CH_ba,CU_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,ST_ba,KC%,wKC/C,vKC
0,2023-09-08,716675,Groundout,field_out,True,641313,681857,Tim Anderson,Reese Olson,0,0,0,302916cc-4ff1-4472-823a-ecf267bceb41,681857.0,reeseolson,Olson,Right,Reese Olson,3.99,4.73,103.2,100.0,104.0,101.0,0.743,8.94,2.86,7.21,1.22,1.17,0.18899999999999997,0.4,0.13,0.354,0.4,87.8,98.0,94.0,97.0,95.0,93.0,95.0,93.0,103.0,101.0,82.0,108.0,100.0,132.0,98.0,104.0,0.2,0.285,0.306,0.057999999999999996,0.151,0.85,1.25,-0.14,0.83,0.98,94.8,94.8,84.8,78.8,0.217,0.171,0.278,0.208,0.167,,,,,,,,,,,,,,,,,
1,2023-09-08,716675,Strikeout,strikeout,True,643217,681857,Andrew Benintendi,Reese Olson,0,0,0,107f77dc-8785-4aa5-8806-d731954ed8b7,681857.0,reeseolson,Olson,Right,Reese Olson,3.99,4.73,103.2,100.0,104.0,101.0,0.743,8.94,2.86,7.21,1.22,1.17,0.18899999999999997,0.4,0.13,0.354,0.4,87.8,98.0,94.0,97.0,95.0,93.0,95.0,93.0,103.0,101.0,82.0,108.0,100.0,132.0,98.0,104.0,0.2,0.285,0.306,0.057999999999999996,0.151,0.85,1.25,-0.14,0.83,0.98,94.8,94.8,84.8,78.8,0.217,0.171,0.278,0.208,0.167,,,,,,,,,,,,,,,,,
2,2023-09-08,716675,Lineout,field_out,True,673357,681857,Luis Robert Jr.,Reese Olson,1,0,0,647882d8-a958-4906-971e-ecb0bafa1a5a,681857.0,reeseolson,Olson,Right,Reese Olson,3.99,4.73,103.2,100.0,104.0,101.0,0.743,8.94,2.86,7.21,1.22,1.17,0.18899999999999997,0.4,0.13,0.354,0.4,87.8,98.0,94.0,97.0,95.0,93.0,95.0,93.0,103.0,101.0,82.0,108.0,100.0,132.0,98.0,104.0,0.2,0.285,0.306,0.057999999999999996,0.151,0.85,1.25,-0.14,0.83,0.98,94.8,94.8,84.8,78.8,0.217,0.171,0.278,0.208,0.167,,,,,,,,,,,,,,,,,
3,2023-09-08,716675,Strikeout,strikeout,True,668731,605182,Akil Baddoo,Mike Clevinger,0,0,0,191d9aaf-c8e5-4911-bed7-fe3f0a2a36f6,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,91.0,100.0,90.0,113.0,97.0,104.0,0.024,0.479,0.271,0.016,0.128,-0.21,1.47,0.5,0.55,1.69,94.3,93.1,79.4,76.0,0.203,0.283,0.2,0.175,0.167,90.0,100.0,100.0,0.08199999999999999,-0.07,84.9,0.256,,,,,,,,,,
4,2023-09-08,716675,Groundout,field_out,True,656716,605182,Zach McKinstry,Mike Clevinger,1,0,0,376af4b2-91d3-4e01-abd4-404169eab9b1,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,91.0,100.0,90.0,113.0,97.0,104.0,0.024,0.479,0.271,0.016,0.128,-0.21,1.47,0.5,0.55,1.69,94.3,93.1,79.4,76.0,0.203,0.283,0.2,0.175,0.167,90.0,100.0,100.0,0.08199999999999999,-0.07,84.9,0.256,,,,,,,,,,
5,2023-09-08,716675,Pop Out,field_out,True,679529,605182,Spencer Torkelson,Mike Clevinger,0,0,0,c3d762cb-10a2-4cac-8641-40c362bdf517,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,91.0,100.0,90.0,113.0,97.0,104.0,0.024,0.479,0.271,0.016,0.128,-0.21,1.47,0.5,0.55,1.69,94.3,93.1,79.4,76.0,0.203,0.283,0.2,0.175,0.167,90.0,100.0,100.0,0.08199999999999999,-0.07,84.9,0.256,,,,,,,,,,
6,2023-09-08,716675,Walk,walk,False,650391,681857,Eloy Jiménez,Reese Olson,0,0,0,4a810d36-85d2-497e-9b19-4f3f8433d460,681857.0,reeseolson,Olson,Right,Reese Olson,3.99,4.73,103.2,100.0,104.0,101.0,0.743,8.94,2.86,7.21,1.22,1.17,0.18899999999999997,0.4,0.13,0.354,0.4,87.8,98.0,94.0,97.0,95.0,93.0,95.0,93.0,103.0,101.0,82.0,108.0,100.0,132.0,98.0,104.0,0.2,0.285,0.306,0.057999999999999996,0.151,0.85,1.25,-0.14,0.83,0.98,94.8,94.8,84.8,78.8,0.217,0.171,0.278,0.208,0.167,,,,,,,,,,,,,,,,,
7,2023-09-08,716675,Flyout,field_out,True,660162,681857,Yoán Moncada,Reese Olson,1,1,0,97f5556f-76e7-483c-8842-4ef429b24bd8,681857.0,reeseolson,Olson,Right,Reese Olson,3.99,4.73,103.2,100.0,104.0,101.0,0.743,8.94,2.86,7.21,1.22,1.17,0.18899999999999997,0.4,0.13,0.354,0.4,87.8,98.0,94.0,97.0,95.0,93.0,95.0,93.0,103.0,101.0,82.0,108.0,100.0,132.0,98.0,104.0,0.2,0.285,0.306,0.057999999999999996,0.151,0.85,1.25,-0.14,0.83,0.98,94.8,94.8,84.8,78.8,0.217,0.171,0.278,0.208,0.167,,,,,,,,,,,,,,,,,
8,2023-09-08,716675,Grounded Into DP,grounded_into_double_play,True,683734,681857,Andrew Vaughn,Reese Olson,0,0,1,1fbfc0d2-e9bb-40fd-9069-5b3ba366e7d2,681857.0,reeseolson,Olson,Right,Reese Olson,3.99,4.73,103.2,100.0,104.0,101.0,0.743,8.94,2.86,7.21,1.22,1.17,0.18899999999999997,0.4,0.13,0.354,0.4,87.8,98.0,94.0,97.0,95.0,93.0,95.0,93.0,103.0,101.0,82.0,108.0,100.0,132.0,98.0,104.0,0.2,0.285,0.306,0.057999999999999996,0.151,0.85,1.25,-0.14,0.83,0.98,94.8,94.8,84.8,78.8,0.217,0.171,0.278,0.208,0.167,,,,,,,,,,,,,,,,,
9,2023-09-08,716675,Single,single,False,681481,605182,Kerry Carpenter,Mike Clevinger,1,0,0,9008ef78-f79b-4b4d-bce4-845ff47b568e,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,91.0,100.0,90.0,113.0,97.0,104.0,0.024,0.479,0.271,0.016,0.128,-0.21,1.47,0.5,0.55,1.69,94.3,93.1,79.4,76.0,0.203,0.283,0.2,0.175,0.167,90.0,100.0,100.0,0.08199999999999999,-0.07,84.9,0.256,,,,,,,,,,
