,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,wFA/C,wFS/C,wSL/C,vFA,vFS,vSL,FF_ba,FS_ba,ST_ba,SL_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vSI,FC_ba,CH_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SI_ba,CU_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2023-04-25,718427,Lineout,field_out,True,683011,657746,Anthony Volpe,Joe Ryan,0,0,0,b4ad0dfb-34ed-4079-9de4-2d34b0216a8e,657746.0,joeryan,Ryan,Right,Joe Ryan,4.51,3.53,161.2,107.0,99.0,105.0,0.7490000000000001,10.97,1.89,8.63,1.78,0.63,0.23199999999999998,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.242,0.286,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-04-25,718427,Strikeout,strikeout,True,519203,657746,Anthony Rizzo,Joe Ryan,0,0,0,a2a2c93c-8544-4621-80d4-70eb86294b2d,657746.0,joeryan,Ryan,Right,Joe Ryan,4.51,3.53,161.2,107.0,99.0,105.0,0.7490000000000001,10.97,1.89,8.63,1.78,0.63,0.23199999999999998,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.242,0.286,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-04-25,718427,Single,single,False,592450,657746,Aaron Judge,Joe Ryan,0,0,0,6007a0a5-4798-4e1b-ab4c-692d1e527d3d,657746.0,joeryan,Ryan,Right,Joe Ryan,4.51,3.53,161.2,107.0,99.0,105.0,0.7490000000000001,10.97,1.89,8.63,1.78,0.63,0.23199999999999998,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.242,0.286,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-04-25,718427,Single,single,False,518934,657746,DJ LeMahieu,Joe Ryan,1,0,1,e85e3077-ecbc-4571-b314-c1df8f7b5f7e,657746.0,joeryan,Ryan,Right,Joe Ryan,4.51,3.53,161.2,107.0,99.0,105.0,0.7490000000000001,10.97,1.89,8.63,1.78,0.63,0.23199999999999998,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.242,0.286,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-04-25,718427,Single,single,False,641432,657746,Willie Calhoun,Joe Ryan,1,0,1,7f1ca8c0-c7c9-4056-8d05-d4fb44d620be,657746.0,joeryan,Ryan,Right,Joe Ryan,4.51,3.53,161.2,107.0,99.0,105.0,0.7490000000000001,10.97,1.89,8.63,1.78,0.63,0.23199999999999998,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.242,0.286,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-04-25,718427,Flyout,field_out,True,672724,657746,Oswald Peraza,Joe Ryan,1,1,0,ab8f8775-cb60-44ad-924e-93642bf5c0c4,657746.0,joeryan,Ryan,Right,Joe Ryan,4.51,3.53,161.2,107.0,99.0,105.0,0.7490000000000001,10.97,1.89,8.63,1.78,0.63,0.23199999999999998,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.242,0.286,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023-04-25,718427,Pop Out,field_out,True,456781,641482,Donovan Solano,Nestor Cortes,1,0,0,7c226462-7ca6-46b4-b349-3cdb88973923,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,4.97,3.66,63.1,103.0,104.0,104.0,0.79,9.52,2.84,8.38,1.56,0.46,0.233,0.43200000000000005,0.17600000000000002,0.29,0.441,102.0,106.0,106.0,92.0,103.0,103.0,,,,0.521,,0.158,0.68,,-1.47,91.6,,76.9,0.213,,0.259,0.2,83.4,92.0,111.0,110.0,138.0,99.0,111.0,110.0,102.0,102.0,0.005,0.28800000000000003,0.027999999999999997,0.39,4.05,-6.99,86.6,89.3,0.26,0.5,,,,,,,,,,,,,,
7,2023-04-25,718427,Pop Out,field_out,True,621043,641482,Carlos Correa,Nestor Cortes,1,0,0,b9e8af60-2ac6-441c-8a01-3f33f30372d2,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,4.97,3.66,63.1,103.0,104.0,104.0,0.79,9.52,2.84,8.38,1.56,0.46,0.233,0.43200000000000005,0.17600000000000002,0.29,0.441,102.0,106.0,106.0,92.0,103.0,103.0,,,,0.521,,0.158,0.68,,-1.47,91.6,,76.9,0.213,,0.259,0.2,83.4,92.0,111.0,110.0,138.0,99.0,111.0,110.0,102.0,102.0,0.005,0.28800000000000003,0.027999999999999997,0.39,4.05,-6.99,86.6,89.3,0.26,0.5,,,,,,,,,,,,,,
8,2023-04-25,718427,Flyout,field_out,True,593871,641482,Jorge Polanco,Nestor Cortes,0,0,0,b05cb09e-2756-4899-9843-a5e1ca88bcdd,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,4.97,3.66,63.1,103.0,104.0,104.0,0.79,9.52,2.84,8.38,1.56,0.46,0.233,0.43200000000000005,0.17600000000000002,0.29,0.441,102.0,106.0,106.0,92.0,103.0,103.0,,,,0.521,,0.158,0.68,,-1.47,91.6,,76.9,0.213,,0.259,0.2,83.4,92.0,111.0,110.0,138.0,99.0,111.0,110.0,102.0,102.0,0.005,0.28800000000000003,0.027999999999999997,0.39,4.05,-6.99,86.6,89.3,0.26,0.5,,,,,,,,,,,,,,
9,2023-04-25,718427,Flyout,field_out,True,614173,657746,Franchy Cordero,Joe Ryan,1,0,0,91c7483d-2be5-4bbf-9dd7-f0b3419b7849,657746.0,joeryan,Ryan,Right,Joe Ryan,4.51,3.53,161.2,107.0,99.0,105.0,0.7490000000000001,10.97,1.89,8.63,1.78,0.63,0.23199999999999998,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.242,0.286,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
