,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vSI,vSL,vCU,vKC,CU_ba,FF_ba,FC_ba,ST_ba,SI_ba,CH_ba,SL_ba,vSC (sc),SC%,wSC/C,SC_ba
0,2023-06-27,717603,Single,single,False,673490,448179,Ha-Seong Kim,Rich Hill,1,0,0,1fca1031-9b41-495f-bccf-1791554b49f1,448179.0,richhill,Hill,Left,Rich Hill,5.41,5.66,146.1,97.0,94.0,97.0,0.8320000000000001,7.93,3.57,10.15,1.41,1.01,0.196,0.45899999999999996,0.14,0.336,0.44799999999999995,83.0,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,90.0,92.0,97.0,85.0,97.0,93.0,0.04,0.342,0.147,0.08800000000000001,0.354,0.008,0.023,-0.32,-1.27,2.5,-2.52,-1.16,-3.65,-0.06,88.4,83.3,86.1,71.1,72.0,67.1,0.283,0.249,0.39,0.233,0.105,0.263,0.5,,,,
1,2023-06-27,717603,Grounded Into DP,grounded_into_double_play,True,665487,448179,Fernando Tatis Jr.,Rich Hill,0,0,1,329d18f3-9261-457f-9fd4-99eabfc6ea31,448179.0,richhill,Hill,Left,Rich Hill,5.41,5.66,146.1,97.0,94.0,97.0,0.8320000000000001,7.93,3.57,10.15,1.41,1.01,0.196,0.45899999999999996,0.14,0.336,0.44799999999999995,83.0,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,90.0,92.0,97.0,85.0,97.0,93.0,0.04,0.342,0.147,0.08800000000000001,0.354,0.008,0.023,-0.32,-1.27,2.5,-2.52,-1.16,-3.65,-0.06,88.4,83.3,86.1,71.1,72.0,67.1,0.283,0.249,0.39,0.233,0.105,0.263,0.5,,,,
2,2023-06-27,717603,Strikeout,strikeout,True,665742,448179,Juan Soto,Rich Hill,0,0,0,01545c4c-e6e4-496e-87cc-ece998af8007,448179.0,richhill,Hill,Left,Rich Hill,5.41,5.66,146.1,97.0,94.0,97.0,0.8320000000000001,7.93,3.57,10.15,1.41,1.01,0.196,0.45899999999999996,0.14,0.336,0.44799999999999995,83.0,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,90.0,92.0,97.0,85.0,97.0,93.0,0.04,0.342,0.147,0.08800000000000001,0.354,0.008,0.023,-0.32,-1.27,2.5,-2.52,-1.16,-3.65,-0.06,88.4,83.3,86.1,71.1,72.0,67.1,0.283,0.249,0.39,0.233,0.105,0.263,0.5,,,,
3,2023-06-27,717603,Single,single,False,641943,663753,Joshua Palacios,Reiss Knehr,0,0,0,3c5db8fc-fbed-4648-a9cd-032d8fec0a28,663753.0,reissknehr,Knehr,Right,Reiss Knehr,15.88,17.38,5.2,91.0,88.0,89.0,0.863,6.35,7.94,15.88,4.76,0.75,0.174,0.609,0.13,0.348,0.423,88.3,82.0,82.0,71.0,,,,92.0,99.0,99.0,109.0,69.0,67.0,95.0,101.0,110.0,81.0,90.0,93.0,0.106,0.276,0.252,0.22,,,0.146,-13.72,-1.07,-11.72,4.56,,,-2.75,93.6,88.7,91.9,80.6,,,,0.75,0.333,,,0.333,0.0,,,,
4,2023-06-27,717603,Flyout,field_out,True,457705,663753,Andrew McCutchen,Reiss Knehr,1,0,0,f63d8d02-c07b-42b2-96dd-940133bd1e6e,663753.0,reissknehr,Knehr,Right,Reiss Knehr,15.88,17.38,5.2,91.0,88.0,89.0,0.863,6.35,7.94,15.88,4.76,0.75,0.174,0.609,0.13,0.348,0.423,88.3,82.0,82.0,71.0,,,,92.0,99.0,99.0,109.0,69.0,67.0,95.0,101.0,110.0,81.0,90.0,93.0,0.106,0.276,0.252,0.22,,,0.146,-13.72,-1.07,-11.72,4.56,,,-2.75,93.6,88.7,91.9,80.6,,,,0.75,0.333,,,0.333,0.0,,,,
5,2023-06-27,717603,Strikeout,strikeout,True,680779,663753,Henry Davis,Reiss Knehr,0,0,0,dc98b08c-f060-4ef5-92f6-7b2e90afe5ea,663753.0,reissknehr,Knehr,Right,Reiss Knehr,15.88,17.38,5.2,91.0,88.0,89.0,0.863,6.35,7.94,15.88,4.76,0.75,0.174,0.609,0.13,0.348,0.423,88.3,82.0,82.0,71.0,,,,92.0,99.0,99.0,109.0,69.0,67.0,95.0,101.0,110.0,81.0,90.0,93.0,0.106,0.276,0.252,0.22,,,0.146,-13.72,-1.07,-11.72,4.56,,,-2.75,93.6,88.7,91.9,80.6,,,,0.75,0.333,,,0.333,0.0,,,,
6,2023-06-27,717603,Lineout,field_out,True,467793,663753,Carlos Santana,Reiss Knehr,0,0,0,a4e1e316-81b6-48a8-a4dd-2e05efc8d59a,663753.0,reissknehr,Knehr,Right,Reiss Knehr,15.88,17.38,5.2,91.0,88.0,89.0,0.863,6.35,7.94,15.88,4.76,0.75,0.174,0.609,0.13,0.348,0.423,88.3,82.0,82.0,71.0,,,,92.0,99.0,99.0,109.0,69.0,67.0,95.0,101.0,110.0,81.0,90.0,93.0,0.106,0.276,0.252,0.22,,,0.146,-13.72,-1.07,-11.72,4.56,,,-2.75,93.6,88.7,91.9,80.6,,,,0.75,0.333,,,0.333,0.0,,,,
7,2023-06-27,717603,Double,double,False,592518,448179,Manny Machado,Rich Hill,0,0,0,6a399e41-0a35-44e0-b476-fd8a451b34cf,448179.0,richhill,Hill,Left,Rich Hill,5.41,5.66,146.1,97.0,94.0,97.0,0.8320000000000001,7.93,3.57,10.15,1.41,1.01,0.196,0.45899999999999996,0.14,0.336,0.44799999999999995,83.0,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,90.0,92.0,97.0,85.0,97.0,93.0,0.04,0.342,0.147,0.08800000000000001,0.354,0.008,0.023,-0.32,-1.27,2.5,-2.52,-1.16,-3.65,-0.06,88.4,83.3,86.1,71.1,72.0,67.1,0.283,0.249,0.39,0.233,0.105,0.263,0.5,,,,
8,2023-06-27,717603,Strikeout,strikeout,True,593428,448179,Xander Bogaerts,Rich Hill,0,0,0,e1e3a144-e730-4640-8140-616bd7a75129,448179.0,richhill,Hill,Left,Rich Hill,5.41,5.66,146.1,97.0,94.0,97.0,0.8320000000000001,7.93,3.57,10.15,1.41,1.01,0.196,0.45899999999999996,0.14,0.336,0.44799999999999995,83.0,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,90.0,92.0,97.0,85.0,97.0,93.0,0.04,0.342,0.147,0.08800000000000001,0.354,0.008,0.023,-0.32,-1.27,2.5,-2.52,-1.16,-3.65,-0.06,88.4,83.3,86.1,71.1,72.0,67.1,0.283,0.249,0.39,0.233,0.105,0.263,0.5,,,,
9,2023-06-27,717603,Single,single,False,596142,448179,Gary Sánchez,Rich Hill,0,0,1,6e20b21c-fbb3-4af9-a0bc-0525c9121bcb,448179.0,richhill,Hill,Left,Rich Hill,5.41,5.66,146.1,97.0,94.0,97.0,0.8320000000000001,7.93,3.57,10.15,1.41,1.01,0.196,0.45899999999999996,0.14,0.336,0.44799999999999995,83.0,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,90.0,92.0,97.0,85.0,97.0,93.0,0.04,0.342,0.147,0.08800000000000001,0.354,0.008,0.023,-0.32,-1.27,2.5,-2.52,-1.16,-3.65,-0.06,88.4,83.3,86.1,71.1,72.0,67.1,0.283,0.249,0.39,0.233,0.105,0.263,0.5,,,,
