,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,FF_ba,ST_ba,CH_ba,SI_ba,CU_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,SL_ba
0,2023-05-14,718169,Strikeout,strikeout,True,664774,694297,LaMonte Wade Jr.,Brandon Pfaadt,0,0,0,818b3c66-c5f1-4a0a-87e1-cffb88dd5b76,694297.0,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.44299999999999995,0.14800000000000002,0.386,0.466,86.7,90.0,100.0,97.0,106.0,89.0,97.0,97.0,105.0,102.0,97.0,108.0,100.0,119.0,106.0,117.0,0.099,0.45399999999999996,0.27,0.055,0.122,-1.63,-0.03,1.21,-1.24,-3.66,93.6,93.1,83.8,78.8,0.327,0.18,0.4,0.313,0.294,,,,,,,,
1,2023-05-14,718169,Strikeout,strikeout,True,642731,694297,Thairo Estrada,Brandon Pfaadt,0,0,0,f017b6be-ceb0-4799-b84f-3f28f40e5e01,694297.0,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.44299999999999995,0.14800000000000002,0.386,0.466,86.7,90.0,100.0,97.0,106.0,89.0,97.0,97.0,105.0,102.0,97.0,108.0,100.0,119.0,106.0,117.0,0.099,0.45399999999999996,0.27,0.055,0.122,-1.63,-0.03,1.21,-1.24,-3.66,93.6,93.1,83.8,78.8,0.327,0.18,0.4,0.313,0.294,,,,,,,,
2,2023-05-14,718169,Strikeout,strikeout,True,624424,694297,Michael Conforto,Brandon Pfaadt,0,0,0,9fcec8a7-7b8e-4209-a8db-e799820213b6,694297.0,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.44299999999999995,0.14800000000000002,0.386,0.466,86.7,90.0,100.0,97.0,106.0,89.0,97.0,97.0,105.0,102.0,97.0,108.0,100.0,119.0,106.0,117.0,0.099,0.45399999999999996,0.27,0.055,0.122,-1.63,-0.03,1.21,-1.24,-3.66,93.6,93.1,83.8,78.8,0.327,0.18,0.4,0.313,0.294,,,,,,,,
3,2023-05-14,718169,Groundout,field_out,True,668942,657277,Josh Rojas,Logan Webb,0,0,0,033e7b82-c2ee-4398-ad05-6d456871de04,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,,,,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,,0.41600000000000004,-1.37,0.31,0.11,,2.18,92.6,92.3,84.3,,0.226,0.208,0.225,0.313,,,,,,,,,
4,2023-05-14,718169,Hit By Pitch,hit_by_pitch,False,606466,657277,Ketel Marte,Logan Webb,0,0,0,7b8fa043-7950-462a-99f8-765aa931c56a,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,,,,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,,0.41600000000000004,-1.37,0.31,0.11,,2.18,92.6,92.3,84.3,,0.226,0.208,0.225,0.313,,,,,,,,,
5,2023-05-14,718169,Walk,walk,False,682998,657277,Corbin Carroll,Logan Webb,0,0,1,1de98e91-5485-4b77-8c99-efd75ed533e3,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,,,,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,,0.41600000000000004,-1.37,0.31,0.11,,2.18,92.6,92.3,84.3,,0.226,0.208,0.225,0.313,,,,,,,,,
6,2023-05-14,718169,Walk,walk,False,572233,657277,Christian Walker,Logan Webb,1,0,1,3dd05a1e-cb64-4b5c-8174-a5ca21354583,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,,,,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,,0.41600000000000004,-1.37,0.31,0.11,,2.18,92.6,92.3,84.3,,0.226,0.208,0.225,0.313,,,,,,,,,
7,2023-05-14,718169,Grounded Into DP,grounded_into_double_play,True,666971,657277,Lourdes Gurriel Jr.,Logan Webb,1,0,1,198e4cf4-598d-49a1-a678-637ea674fc86,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,,,,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,,0.41600000000000004,-1.37,0.31,0.11,,2.18,92.6,92.3,84.3,,0.226,0.208,0.225,0.313,,,,,,,,,
8,2023-05-14,718169,Flyout,field_out,True,605204,694297,J.D. Davis,Brandon Pfaadt,0,0,0,1d9da79c-bd46-4ae2-b189-46e216c904df,694297.0,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.44299999999999995,0.14800000000000002,0.386,0.466,86.7,90.0,100.0,97.0,106.0,89.0,97.0,97.0,105.0,102.0,97.0,108.0,100.0,119.0,106.0,117.0,0.099,0.45399999999999996,0.27,0.055,0.122,-1.63,-0.03,1.21,-1.24,-3.66,93.6,93.1,83.8,78.8,0.327,0.18,0.4,0.313,0.294,,,,,,,,
9,2023-05-14,718169,Walk,walk,False,666165,694297,Blake Sabol,Brandon Pfaadt,1,0,0,9d6df299-e14b-410b-accc-86f60310efb5,694297.0,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.44299999999999995,0.14800000000000002,0.386,0.466,86.7,90.0,100.0,97.0,106.0,89.0,97.0,97.0,105.0,102.0,97.0,108.0,100.0,119.0,106.0,117.0,0.099,0.45399999999999996,0.27,0.055,0.122,-1.63,-0.03,1.21,-1.24,-3.66,93.6,93.1,83.8,78.8,0.327,0.18,0.4,0.313,0.294,,,,,,,,
