,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vSI,vCU,CH_ba,CU_ba,FF_ba,FC_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SI_ba,ST_ba
0,2023-05-23,718050,Single,single,False,665923,594835,Esteury Ruiz,Marco Gonzales,1,0,0,8e85ff89-54ab-429b-86f3-4c67eadc59ac,594835.0,marcogonzales,"Gonzales, M",Left,Marco Gonzales,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.20199999999999999,0.46,0.129,0.294,0.429,79.9,89.0,116.0,105.0,96.0,108.0,105.0,78.0,104.0,96.0,92.0,104.0,90.0,0.002,0.366,0.08800000000000001,0.242,0.302,-1.28,-2.98,6.42,1.1,1.36,89.0,85.9,88.8,79.3,0.222,0.294,0.333,0.389,,,,,,,,,,,,
1,2023-05-23,718050,Strikeout,strikeout,True,667670,594835,Brent Rooker,Marco Gonzales,0,0,0,937582b2-b025-4762-b379-1e4bcbba9359,594835.0,marcogonzales,"Gonzales, M",Left,Marco Gonzales,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.20199999999999999,0.46,0.129,0.294,0.429,79.9,89.0,116.0,105.0,96.0,108.0,105.0,78.0,104.0,96.0,92.0,104.0,90.0,0.002,0.366,0.08800000000000001,0.242,0.302,-1.28,-2.98,6.42,1.1,1.36,89.0,85.9,88.8,79.3,0.222,0.294,0.333,0.389,,,,,,,,,,,,
2,2023-05-23,718050,Single,single,False,657656,594835,Ramón Laureano,Marco Gonzales,0,0,1,e42191ab-a811-4918-b44e-a7ea9facc792,594835.0,marcogonzales,"Gonzales, M",Left,Marco Gonzales,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.20199999999999999,0.46,0.129,0.294,0.429,79.9,89.0,116.0,105.0,96.0,108.0,105.0,78.0,104.0,96.0,92.0,104.0,90.0,0.002,0.366,0.08800000000000001,0.242,0.302,-1.28,-2.98,6.42,1.1,1.36,89.0,85.9,88.8,79.3,0.222,0.294,0.333,0.389,,,,,,,,,,,,
3,2023-05-23,718050,Groundout,field_out,True,542583,594835,Jesús Aguilar,Marco Gonzales,1,1,1,4e868168-2b93-4aac-b871-5b005ac0fccc,594835.0,marcogonzales,"Gonzales, M",Left,Marco Gonzales,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.20199999999999999,0.46,0.129,0.294,0.429,79.9,89.0,116.0,105.0,96.0,108.0,105.0,78.0,104.0,96.0,92.0,104.0,90.0,0.002,0.366,0.08800000000000001,0.242,0.302,-1.28,-2.98,6.42,1.1,1.36,89.0,85.9,88.8,79.3,0.222,0.294,0.333,0.389,,,,,,,,,,,,
4,2023-05-23,718050,Single,single,False,542208,594835,Carlos Pérez,Marco Gonzales,1,1,1,f1999117-3299-4501-aa21-aa13cea93683,594835.0,marcogonzales,"Gonzales, M",Left,Marco Gonzales,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.20199999999999999,0.46,0.129,0.294,0.429,79.9,89.0,116.0,105.0,96.0,108.0,105.0,78.0,104.0,96.0,92.0,104.0,90.0,0.002,0.366,0.08800000000000001,0.242,0.302,-1.28,-2.98,6.42,1.1,1.36,89.0,85.9,88.8,79.3,0.222,0.294,0.333,0.389,,,,,,,,,,,,
5,2023-05-23,718050,Forceout,force_out,True,649557,594835,Aledmys Díaz,Marco Gonzales,0,0,1,484c0c51-8ed3-4e8f-ac35-e21ab6d3b997,594835.0,marcogonzales,"Gonzales, M",Left,Marco Gonzales,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.20199999999999999,0.46,0.129,0.294,0.429,79.9,89.0,116.0,105.0,96.0,108.0,105.0,78.0,104.0,96.0,92.0,104.0,90.0,0.002,0.366,0.08800000000000001,0.242,0.302,-1.28,-2.98,6.42,1.1,1.36,89.0,85.9,88.8,79.3,0.222,0.294,0.333,0.389,,,,,,,,,,,,
6,2023-05-23,718050,Lineout,field_out,True,641487,665622,J.P. Crawford,Luis Medina,0,0,0,1691ba04-8654-40e0-9e77-07030980c5a3,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,,,,0.142,0.415,,0.11699999999999999,0.087,-0.35,,-0.8,-0.73,1.25,96.1,,95.5,79.6,0.256,0.146,0.272,,117.0,96.0,96.0,106.0,97.0,100.0,0.23800000000000002,-0.8,85.3,0.233,0.313,
7,2023-05-23,718050,Pop Out,field_out,True,664034,665622,Ty France,Luis Medina,0,0,0,803d804f-8dcc-4d69-8015-a08c8bad1e66,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,,,,0.142,0.415,,0.11699999999999999,0.087,-0.35,,-0.8,-0.73,1.25,96.1,,95.5,79.6,0.256,0.146,0.272,,117.0,96.0,96.0,106.0,97.0,100.0,0.23800000000000002,-0.8,85.3,0.233,0.313,
8,2023-05-23,718050,Single,single,False,677594,665622,Julio Rodríguez,Luis Medina,1,1,0,a50d5bb9-355e-4fc9-bd11-1ac9e94277b4,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,,,,0.142,0.415,,0.11699999999999999,0.087,-0.35,,-0.8,-0.73,1.25,96.1,,95.5,79.6,0.256,0.146,0.272,,117.0,96.0,96.0,106.0,97.0,100.0,0.23800000000000002,-0.8,85.3,0.233,0.313,
9,2023-05-23,718050,Strikeout,strikeout,True,672284,665622,Jarred Kelenic,Luis Medina,0,0,0,bb24d3fc-cf86-4ba3-a973-f84b36e20328,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,,,,0.142,0.415,,0.11699999999999999,0.087,-0.35,,-0.8,-0.73,1.25,96.1,,95.5,79.6,0.256,0.146,0.272,,117.0,96.0,96.0,106.0,97.0,100.0,0.23800000000000002,-0.8,85.3,0.233,0.313,
