,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FC_ba,CU_ba,SI_ba,FF_ba,SL_ba,FS_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ KC,Loc+ KC,Pit+ KC,KC%,CH%,wKC/C,wCH/C,vKC,CH_ba,ST_ba
0,2023-08-23,716880,Groundout,field_out,True,453568,650644,Charlie Blackmon,Aaron Civale,1,0,0,0c7d978c-28e3-413b-9ecb-02ef4fd7428f,650644.0,aaroncivale,Civale,Right,Aaron Civale,3.46,3.69,122.1,106.0,105.0,104.0,0.7859999999999999,8.53,2.43,8.02,0.88,1.0,0.212,0.45799999999999996,0.149,0.307,0.413,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,96.0,104.0,103.0,58.0,95.0,95.0,0.185,0.12300000000000001,0.37200000000000005,0.017,0.057999999999999996,0.244,-0.65,1.13,-6.33,1.59,0.15,0.77,91.8,87.7,85.2,92.4,82.5,78.1,0.261,0.188,0.202,0.359,0.172,0.5,,,,,,,,,,,,,,
1,2023-08-23,716880,Strikeout,strikeout,True,678662,650644,Ezequiel Tovar,Aaron Civale,0,0,0,6b2f7471-db76-4f77-b5f0-a9df0573b900,650644.0,aaroncivale,Civale,Right,Aaron Civale,3.46,3.69,122.1,106.0,105.0,104.0,0.7859999999999999,8.53,2.43,8.02,0.88,1.0,0.212,0.45799999999999996,0.149,0.307,0.413,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,96.0,104.0,103.0,58.0,95.0,95.0,0.185,0.12300000000000001,0.37200000000000005,0.017,0.057999999999999996,0.244,-0.65,1.13,-6.33,1.59,0.15,0.77,91.8,87.7,85.2,92.4,82.5,78.1,0.261,0.188,0.202,0.359,0.172,0.5,,,,,,,,,,,,,,
2,2023-08-23,716880,Single,single,False,641857,650644,Ryan McMahon,Aaron Civale,0,0,0,dcb8a922-a4a5-416c-bace-c81a57de2ea9,650644.0,aaroncivale,Civale,Right,Aaron Civale,3.46,3.69,122.1,106.0,105.0,104.0,0.7859999999999999,8.53,2.43,8.02,0.88,1.0,0.212,0.45799999999999996,0.149,0.307,0.413,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,96.0,104.0,103.0,58.0,95.0,95.0,0.185,0.12300000000000001,0.37200000000000005,0.017,0.057999999999999996,0.244,-0.65,1.13,-6.33,1.59,0.15,0.77,91.8,87.7,85.2,92.4,82.5,78.1,0.261,0.188,0.202,0.359,0.172,0.5,,,,,,,,,,,,,,
3,2023-08-23,716880,Forceout,force_out,True,663898,650644,Brendan Rodgers,Aaron Civale,0,0,1,8ac7a568-7ba9-41d5-954f-58b4a69cd543,650644.0,aaroncivale,Civale,Right,Aaron Civale,3.46,3.69,122.1,106.0,105.0,104.0,0.7859999999999999,8.53,2.43,8.02,0.88,1.0,0.212,0.45799999999999996,0.149,0.307,0.413,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,96.0,104.0,103.0,58.0,95.0,95.0,0.185,0.12300000000000001,0.37200000000000005,0.017,0.057999999999999996,0.244,-0.65,1.13,-6.33,1.59,0.15,0.77,91.8,87.7,85.2,92.4,82.5,78.1,0.261,0.188,0.202,0.359,0.172,0.5,,,,,,,,,,,,,,
4,2023-08-23,716880,Walk,walk,False,650490,596295,Yandy Díaz,Austin Gomber,0,0,0,fe00c11e-57b1-4ee7-804c-8f1f861a3930,596295.0,austingomber,Gomber,Left,Austin Gomber,5.5,5.74,139.0,99.0,78.0,94.0,0.8290000000000001,5.63,2.78,10.62,1.68,1.1,0.213,0.44299999999999995,0.151,0.389,0.46299999999999997,,,,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,,,,,,,0.012,0.439,,,0.201,,-1.99,,,-5.34,0.96,,90.6,,,90.8,84.8,,,0.226,0.4,0.344,0.275,,81.6,73.0,100.0,98.0,90.0,103.0,104.0,0.168,0.18100000000000002,-0.75,-0.07,77.6,0.296,
5,2023-08-23,716880,Pop Out,field_out,True,668227,596295,Randy Arozarena,Austin Gomber,0,0,0,066f437a-3311-4793-9f5e-7cdffa5e94f2,596295.0,austingomber,Gomber,Left,Austin Gomber,5.5,5.74,139.0,99.0,78.0,94.0,0.8290000000000001,5.63,2.78,10.62,1.68,1.1,0.213,0.44299999999999995,0.151,0.389,0.46299999999999997,,,,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,,,,,,,0.012,0.439,,,0.201,,-1.99,,,-5.34,0.96,,90.6,,,90.8,84.8,,,0.226,0.4,0.344,0.275,,81.6,73.0,100.0,98.0,90.0,103.0,104.0,0.168,0.18100000000000002,-0.75,-0.07,77.6,0.296,
6,2023-08-23,716880,Forceout,force_out,True,623912,596295,Harold Ramírez,Austin Gomber,1,0,1,35a7147f-17ba-4aa9-91f6-6a34eabe6e67,596295.0,austingomber,Gomber,Left,Austin Gomber,5.5,5.74,139.0,99.0,78.0,94.0,0.8290000000000001,5.63,2.78,10.62,1.68,1.1,0.213,0.44299999999999995,0.151,0.389,0.46299999999999997,,,,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,,,,,,,0.012,0.439,,,0.201,,-1.99,,,-5.34,0.96,,90.6,,,90.8,84.8,,,0.226,0.4,0.344,0.275,,81.6,73.0,100.0,98.0,90.0,103.0,104.0,0.168,0.18100000000000002,-0.75,-0.07,77.6,0.296,
7,2023-08-23,716880,Walk,walk,False,670623,596295,Isaac Paredes,Austin Gomber,0,0,1,72631d31-8efa-4f6d-a163-f8c802d74e52,596295.0,austingomber,Gomber,Left,Austin Gomber,5.5,5.74,139.0,99.0,78.0,94.0,0.8290000000000001,5.63,2.78,10.62,1.68,1.1,0.213,0.44299999999999995,0.151,0.389,0.46299999999999997,,,,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,,,,,,,0.012,0.439,,,0.201,,-1.99,,,-5.34,0.96,,90.6,,,90.8,84.8,,,0.226,0.4,0.344,0.275,,81.6,73.0,100.0,98.0,90.0,103.0,104.0,0.168,0.18100000000000002,-0.75,-0.07,77.6,0.296,
8,2023-08-23,716880,Pop Out,field_out,True,664040,596295,Brandon Lowe,Austin Gomber,1,0,0,69f53cd1-1999-488a-a9f7-4060d370b0b3,596295.0,austingomber,Gomber,Left,Austin Gomber,5.5,5.74,139.0,99.0,78.0,94.0,0.8290000000000001,5.63,2.78,10.62,1.68,1.1,0.213,0.44299999999999995,0.151,0.389,0.46299999999999997,,,,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,,,,,,,0.012,0.439,,,0.201,,-1.99,,,-5.34,0.96,,90.6,,,90.8,84.8,,,0.226,0.4,0.344,0.275,,81.6,73.0,100.0,98.0,90.0,103.0,104.0,0.168,0.18100000000000002,-0.75,-0.07,77.6,0.296,
9,2023-08-23,716880,Strikeout,strikeout,True,666134,650644,Nolan Jones,Aaron Civale,0,0,0,9bc0beae-75ce-4f24-aa2b-75cecf003170,650644.0,aaroncivale,Civale,Right,Aaron Civale,3.46,3.69,122.1,106.0,105.0,104.0,0.7859999999999999,8.53,2.43,8.02,0.88,1.0,0.212,0.45799999999999996,0.149,0.307,0.413,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,96.0,104.0,103.0,58.0,95.0,95.0,0.185,0.12300000000000001,0.37200000000000005,0.017,0.057999999999999996,0.244,-0.65,1.13,-6.33,1.59,0.15,0.77,91.8,87.7,85.2,92.4,82.5,78.1,0.261,0.188,0.202,0.359,0.172,0.5,,,,,,,,,,,,,,
