,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,FF_ba,SL_ba,CH_ba,SI_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,FC_ba,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,ST_ba
0,2023-06-01,717941,Strikeout,strikeout,True,673490,666200,Ha-Seong Kim,Jesús Luzardo,0,0,0,df6cfb91-c242-4fae-b4b4-c6492bea614c,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.28600000000000003,0.38299999999999995,0.163,0.373,0.402,88.3,93.0,99.0,100.0,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,68.0,87.0,76.0,0.04,0.457,0.004,0.289,0.21,0.93,0.74,-0.81,-0.26,-0.09,96.7,91.4,96.5,85.1,0.232,0.233,0.248,0.314,,,,,,,,,,,,,,,,,,,,,,
1,2023-06-01,717941,Lineout,field_out,True,665487,666200,Fernando Tatis Jr.,Jesús Luzardo,0,0,0,2d3aa217-0c4e-4350-bb63-2988da7c578f,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.28600000000000003,0.38299999999999995,0.163,0.373,0.402,88.3,93.0,99.0,100.0,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,68.0,87.0,76.0,0.04,0.457,0.004,0.289,0.21,0.93,0.74,-0.81,-0.26,-0.09,96.7,91.4,96.5,85.1,0.232,0.233,0.248,0.314,,,,,,,,,,,,,,,,,,,,,,
2,2023-06-01,717941,Strikeout,strikeout,True,665742,666200,Juan Soto,Jesús Luzardo,0,0,0,70dd929b-3729-43f6-9bf9-261806afdf54,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.28600000000000003,0.38299999999999995,0.163,0.373,0.402,88.3,93.0,99.0,100.0,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,68.0,87.0,76.0,0.04,0.457,0.004,0.289,0.21,0.93,0.74,-0.81,-0.26,-0.09,96.7,91.4,96.5,85.1,0.232,0.233,0.248,0.314,,,,,,,,,,,,,,,,,,,,,,
3,2023-06-01,717941,Groundout,field_out,True,650333,605397,Luis Arraez,Joe Musgrove,1,0,0,38bf6cd2-7ade-4775-a2f5-68b467b04ce8,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.114,1.77,1.68,3.35,-2.03,-0.63,93.1,90.1,92.8,82.2,0.205,0.281,0.267,0.261,134.0,107.0,110.0,0.239,0.77,81.3,0.207,0.302,,,,,,,,,,,,,,
4,2023-06-01,717941,Flyout,field_out,True,624585,605397,Jorge Soler,Joe Musgrove,0,0,0,818a6ecd-1de7-40e3-b45c-5f5c904a3981,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.114,1.77,1.68,3.35,-2.03,-0.63,93.1,90.1,92.8,82.2,0.205,0.281,0.267,0.261,134.0,107.0,110.0,0.239,0.77,81.3,0.207,0.302,,,,,,,,,,,,,,
5,2023-06-01,717941,Groundout,field_out,True,650559,605397,Bryan De La Cruz,Joe Musgrove,1,0,0,3daef88c-5b8b-4664-9e3f-eca3c3870856,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.114,1.77,1.68,3.35,-2.03,-0.63,93.1,90.1,92.8,82.2,0.205,0.281,0.267,0.261,134.0,107.0,110.0,0.239,0.77,81.3,0.207,0.302,,,,,,,,,,,,,,
6,2023-06-01,717941,Strikeout,strikeout,True,593428,666200,Xander Bogaerts,Jesús Luzardo,0,0,0,146b11eb-ef47-4a23-8f75-f62e6de5c541,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.28600000000000003,0.38299999999999995,0.163,0.373,0.402,88.3,93.0,99.0,100.0,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,68.0,87.0,76.0,0.04,0.457,0.004,0.289,0.21,0.93,0.74,-0.81,-0.26,-0.09,96.7,91.4,96.5,85.1,0.232,0.233,0.248,0.314,,,,,,,,,,,,,,,,,,,,,,
7,2023-06-01,717941,Strikeout,strikeout,True,641525,666200,Brandon Dixon,Jesús Luzardo,0,0,0,6df56753-d031-4800-89d2-f090d27250fa,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.28600000000000003,0.38299999999999995,0.163,0.373,0.402,88.3,93.0,99.0,100.0,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,68.0,87.0,76.0,0.04,0.457,0.004,0.289,0.21,0.93,0.74,-0.81,-0.26,-0.09,96.7,91.4,96.5,85.1,0.232,0.233,0.248,0.314,,,,,,,,,,,,,,,,,,,,,,
8,2023-06-01,717941,Strikeout,strikeout,True,630105,666200,Jake Cronenworth,Jesús Luzardo,0,0,0,428344d4-c7f0-44ff-91d2-d2e064c08c41,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.28600000000000003,0.38299999999999995,0.163,0.373,0.402,88.3,93.0,99.0,100.0,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,68.0,87.0,76.0,0.04,0.457,0.004,0.289,0.21,0.93,0.74,-0.81,-0.26,-0.09,96.7,91.4,96.5,85.1,0.232,0.233,0.248,0.314,,,,,,,,,,,,,,,,,,,,,,
9,2023-06-01,717941,Lineout,field_out,True,660821,605397,Jesús Sánchez,Joe Musgrove,0,0,0,77493bc4-6c70-4784-9445-b97af51c95a3,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.114,1.77,1.68,3.35,-2.03,-0.63,93.1,90.1,92.8,82.2,0.205,0.281,0.267,0.261,134.0,107.0,110.0,0.239,0.77,81.3,0.207,0.302,,,,,,,,,,,,,,
10,2023-06-01,717941,Lineout,field_out,True,493329,605397,Yuli Gurriel,Joe Musgrove,0,0,0,fff77cf7-6633-4952-9016-00115a283fc4,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.114,1.77,1.68,3.35,-2.03,-0.63,93.1,90.1,92.8,82.2,0.205,0.281,0.267,0.261,134.0,107.0,110.0,0.239,0.77,81.3,0.207,0.302,,,,,,,,,,,,,,
11,2023-06-01,717941,Walk,walk,False,663743,605397,Nick Fortes,Joe Musgrove,1,0,0,3c8a9f1a-dbe0-4fea-85e2-e05ad6cb36c6,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.114,1.77,1.68,3.35,-2.03,-0.63,93.1,90.1,92.8,82.2,0.205,0.281,0.267,0.261,134.0,107.0,110.0,0.239,0.77,81.3,0.207,0.302,,,,,,,,,,,,,,
12,2023-06-01,717941,Lineout,field_out,True,516416,605397,Jean Segura,Joe Musgrove,0,0,0,276c0111-5b56-4562-916e-f0be2f3dfe19,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.114,1.77,1.68,3.35,-2.03,-0.63,93.1,90.1,92.8,82.2,0.205,0.281,0.267,0.261,134.0,107.0,110.0,0.239,0.77,81.3,0.207,0.302,,,,,,,,,,,,,,
13,2023-06-01,717941,Flyout,field_out,True,596142,666200,Gary Sánchez,Jesús Luzardo,0,0,0,f9f690e2-8d80-41f3-9546-6d11388aa79e,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.28600000000000003,0.38299999999999995,0.163,0.373,0.402,88.3,93.0,99.0,100.0,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,68.0,87.0,76.0,0.04,0.457,0.004,0.289,0.21,0.93,0.74,-0.81,-0.26,-0.09,96.7,91.4,96.5,85.1,0.232,0.233,0.248,0.314,,,,,,,,,,,,,,,,,,,,,,
14,2023-06-01,717941,Groundout,field_out,True,640492,666200,José Azocar,Jesús Luzardo,1,0,0,41d34125-05f1-4c55-beec-af625ea229db,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.28600000000000003,0.38299999999999995,0.163,0.373,0.402,88.3,93.0,99.0,100.0,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,68.0,87.0,76.0,0.04,0.457,0.004,0.289,0.21,0.93,0.74,-0.81,-0.26,-0.09,96.7,91.4,96.5,85.1,0.232,0.233,0.248,0.314,,,,,,,,,,,,,,,,,,,,,,
15,2023-06-01,717941,Groundout,field_out,True,543592,666200,Austin Nola,Jesús Luzardo,0,0,0,6a76e4ed-31e4-4fc2-a129-5ef5d3884305,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.28600000000000003,0.38299999999999995,0.163,0.373,0.402,88.3,93.0,99.0,100.0,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,68.0,87.0,76.0,0.04,0.457,0.004,0.289,0.21,0.93,0.74,-0.81,-0.26,-0.09,96.7,91.4,96.5,85.1,0.232,0.233,0.248,0.314,,,,,,,,,,,,,,,,,,,,,,
16,2023-06-01,717941,Walk,walk,False,641505,605397,Jonathan Davis,Joe Musgrove,1,0,0,15d041be-551a-4ec5-8aad-b4e1346b49c9,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.114,1.77,1.68,3.35,-2.03,-0.63,93.1,90.1,92.8,82.2,0.205,0.281,0.267,0.261,134.0,107.0,110.0,0.239,0.77,81.3,0.207,0.302,,,,,,,,,,,,,,
17,2023-06-01,717941,Walk,walk,False,621563,605397,Joey Wendle,Joe Musgrove,0,0,1,6a5b6be0-daf6-4e30-902e-fb616f258ba6,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.114,1.77,1.68,3.35,-2.03,-0.63,93.1,90.1,92.8,82.2,0.205,0.281,0.267,0.261,134.0,107.0,110.0,0.239,0.77,81.3,0.207,0.302,,,,,,,,,,,,,,
18,2023-06-01,717941,Sac Fly,sac_fly,True,650333,605397,Luis Arraez,Joe Musgrove,0,0,1,8eb767c0-78a2-4cb6-9d89-66e05a3544e1,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.114,1.77,1.68,3.35,-2.03,-0.63,93.1,90.1,92.8,82.2,0.205,0.281,0.267,0.261,134.0,107.0,110.0,0.239,0.77,81.3,0.207,0.302,,,,,,,,,,,,,,
