,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,ST_ba,FF_ba,FC_ba,FS_ba,SI_ba,CU_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,SL_ba,CH_ba
50,2023-04-11,718614,Grounded Into DP,grounded_into_double_play,True,645302,660271,Victor Robles,Shohei Ohtani,0,0,1,0ca48ccb-40ee-4d32-9b69-09be6766b0bf,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
51,2023-04-11,718614,Groundout,field_out,True,571875,663658,Jake Lamb,Thaddeus Ward,1,0,0,0047287d-d8eb-4573-8e09-d4f41ab361ae,663658.0,thaddeusward,Ward,Right,Thaddeus Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234,0.125,0.217,,0.25,,,,,,,,,0.0
52,2023-04-11,718614,Groundout,field_out,True,570482,663658,Gio Urshela,Thaddeus Ward,1,1,0,7365b705-6a95-417b-b967-55f9ba139154,663658.0,thaddeusward,Ward,Right,Thaddeus Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234,0.125,0.217,,0.25,,,,,,,,,0.0
53,2023-04-11,718614,Strikeout,strikeout,True,681351,663658,Logan O'Hoppe,Thaddeus Ward,0,0,0,8b783ea4-c19c-45a7-9c9f-dfbe357eaeee,663658.0,thaddeusward,Ward,Right,Thaddeus Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234,0.125,0.217,,0.25,,,,,,,,,0.0
54,2023-04-11,718614,Flyout,field_out,True,669743,650671,Alex Call,José Quijada,1,0,0,b0f1fdd4-3a72-49d0-bf2a-7d7f60cf758c,650671.0,josequijada,Quijada,Left,José Quijada,6.0,5.59,9.0,99.0,106.0,98.0,0.807,8.0,3.0,8.0,0.0,1.0,0.107,0.429,0.14300000000000002,0.429,0.447,,,,110.0,103.0,104.0,,,,105.0,99.0,97.0,,,,,,,,0.845,,,0.043,,2.31,,,,-6.67,,94.4,,,,84.3,,,0.188,,,,,87.6,77.0,65.0,58.0,0.11199999999999999,-4.36,,0.5
55,2023-04-11,718614,Groundout,field_out,True,600869,650671,Jeimer Candelario,José Quijada,0,0,0,c8fb2346-31b4-4bce-8679-f070bade6f4d,650671.0,josequijada,Quijada,Left,José Quijada,6.0,5.59,9.0,99.0,106.0,98.0,0.807,8.0,3.0,8.0,0.0,1.0,0.107,0.429,0.14300000000000002,0.429,0.447,,,,110.0,103.0,104.0,,,,105.0,99.0,97.0,,,,,,,,0.845,,,0.043,,2.31,,,,-6.67,,94.4,,,,84.3,,,0.188,,,,,87.6,77.0,65.0,58.0,0.11199999999999999,-4.36,,0.5
56,2023-04-11,718614,Groundout,field_out,True,642086,650671,Dominic Smith,José Quijada,1,0,0,e5e5a0be-30ec-43a8-8ce2-4f400dfae21c,650671.0,josequijada,Quijada,Left,José Quijada,6.0,5.59,9.0,99.0,106.0,98.0,0.807,8.0,3.0,8.0,0.0,1.0,0.107,0.429,0.14300000000000002,0.429,0.447,,,,110.0,103.0,104.0,,,,105.0,99.0,97.0,,,,,,,,0.845,,,0.043,,2.31,,,,-6.67,,94.4,,,,84.3,,,0.188,,,,,87.6,77.0,65.0,58.0,0.11199999999999999,-4.36,,0.5
57,2023-04-11,718614,Single,single,False,621493,663658,Taylor Ward,Thaddeus Ward,0,0,0,deedd9e8-5995-4786-86e9-c592cb5cd94c,663658.0,thaddeusward,Ward,Right,Thaddeus Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234,0.125,0.217,,0.25,,,,,,,,,0.0
58,2023-04-11,718614,Flyout,field_out,True,545361,663658,Mike Trout,Thaddeus Ward,0,0,0,aadd47e8-dce9-47b9-80b8-e3aada5cee71,663658.0,thaddeusward,Ward,Right,Thaddeus Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234,0.125,0.217,,0.25,,,,,,,,,0.0
59,2023-04-11,718614,Strikeout,strikeout,True,660271,607455,Shohei Ohtani,Anthony Banda,0,0,0,aa9588dc-9549-4f4a-9309-3c52ed1d0fee,607455.0,anthonybanda,Banda,Left,Anthony Banda,6.43,11.83,7.0,102.0,91.0,98.0,0.7829999999999999,7.71,6.43,11.57,1.29,1.5,0.304,0.304,0.217,0.304,0.469,,,,96.0,104.0,103.0,107.0,108.0,109.0,95.0,101.0,108.0,75.0,62.0,61.0,,,,0.025,0.606,0.013000000000000001,,0.113,,-2.02,1.28,,1.98,-1.17,,95.3,90.3,,95.1,86.4,,,0.316,,,,,88.3,71.0,95.0,86.0,0.244,0.09,0.4,0.25
60,2023-04-11,718614,Walk,walk,False,543685,607455,Anthony Rendon,Anthony Banda,1,0,1,a571f6d7-575f-4e7b-840f-6c832cb30cfc,607455.0,anthonybanda,Banda,Left,Anthony Banda,6.43,11.83,7.0,102.0,91.0,98.0,0.7829999999999999,7.71,6.43,11.57,1.29,1.5,0.304,0.304,0.217,0.304,0.469,,,,96.0,104.0,103.0,107.0,108.0,109.0,95.0,101.0,108.0,75.0,62.0,61.0,,,,0.025,0.606,0.013000000000000001,,0.113,,-2.02,1.28,,1.98,-1.17,,95.3,90.3,,95.1,86.4,,,0.316,,,,,88.3,71.0,95.0,86.0,0.244,0.09,0.4,0.25
61,2023-04-11,718614,Walk,walk,False,592669,607455,Hunter Renfroe,Anthony Banda,1,0,1,49b1c85a-71a5-42ce-9ac9-d26f35f755bc,607455.0,anthonybanda,Banda,Left,Anthony Banda,6.43,11.83,7.0,102.0,91.0,98.0,0.7829999999999999,7.71,6.43,11.57,1.29,1.5,0.304,0.304,0.217,0.304,0.469,,,,96.0,104.0,103.0,107.0,108.0,109.0,95.0,101.0,108.0,75.0,62.0,61.0,,,,0.025,0.606,0.013000000000000001,,0.113,,-2.02,1.28,,1.98,-1.17,,95.3,90.3,,95.1,86.4,,,0.316,,,,,88.3,71.0,95.0,86.0,0.244,0.09,0.4,0.25
62,2023-04-11,718614,Strikeout,strikeout,True,650859,607455,Luis Rengifo,Anthony Banda,0,0,0,786033fe-bd6c-44a0-bede-d90b49c30f7b,607455.0,anthonybanda,Banda,Left,Anthony Banda,6.43,11.83,7.0,102.0,91.0,98.0,0.7829999999999999,7.71,6.43,11.57,1.29,1.5,0.304,0.304,0.217,0.304,0.469,,,,96.0,104.0,103.0,107.0,108.0,109.0,95.0,101.0,108.0,75.0,62.0,61.0,,,,0.025,0.606,0.013000000000000001,,0.113,,-2.02,1.28,,1.98,-1.17,,95.3,90.3,,95.1,86.4,,,0.316,,,,,88.3,71.0,95.0,86.0,0.244,0.09,0.4,0.25
63,2023-04-11,718614,Groundout,field_out,True,608841,608032,Joey Meneses,Carlos Estévez,0,0,0,608e80b8-f52b-4fe1-bd1e-c79671879c45,608032.0,carlosestevez,Estévez,Right,Carlos Estévez,3.9,4.07,62.1,102.0,117.0,104.0,0.759,11.26,4.48,8.95,1.01,0.65,0.32299999999999995,0.335,0.21,0.32899999999999996,0.469,142.0,79.0,88.0,116.0,103.0,103.0,,,,131.0,101.0,107.0,,,,,,,,0.6679999999999999,,,0.266,0.004,0.44,,,,-0.18,11.36,97.1,,,,88.5,83.1,,0.24,,,,,89.5,67.0,96.0,94.0,0.062,-2.81,0.3,0.286
64,2023-04-11,718614,Walk,walk,False,660688,608032,Keibert Ruiz,Carlos Estévez,1,0,0,2e08489c-1cf3-4884-85ec-7b3a86c2e7dc,608032.0,carlosestevez,Estévez,Right,Carlos Estévez,3.9,4.07,62.1,102.0,117.0,104.0,0.759,11.26,4.48,8.95,1.01,0.65,0.32299999999999995,0.335,0.21,0.32899999999999996,0.469,142.0,79.0,88.0,116.0,103.0,103.0,,,,131.0,101.0,107.0,,,,,,,,0.6679999999999999,,,0.266,0.004,0.44,,,,-0.18,11.36,97.1,,,,88.5,83.1,,0.24,,,,,89.5,67.0,96.0,94.0,0.062,-2.81,0.3,0.286
65,2023-04-11,718614,Flyout,field_out,True,657041,608032,Lane Thomas,Carlos Estévez,0,0,0,15ef891c-21ac-44b4-a927-889eb526051d,608032.0,carlosestevez,Estévez,Right,Carlos Estévez,3.9,4.07,62.1,102.0,117.0,104.0,0.759,11.26,4.48,8.95,1.01,0.65,0.32299999999999995,0.335,0.21,0.32899999999999996,0.469,142.0,79.0,88.0,116.0,103.0,103.0,,,,131.0,101.0,107.0,,,,,,,,0.6679999999999999,,,0.266,0.004,0.44,,,,-0.18,11.36,97.1,,,,88.5,83.1,,0.24,,,,,89.5,67.0,96.0,94.0,0.062,-2.81,0.3,0.286
66,2023-04-11,718614,Forceout,force_out,True,682928,608032,CJ Abrams,Carlos Estévez,1,0,1,c3793376-7043-4176-9d78-139623d9cc04,608032.0,carlosestevez,Estévez,Right,Carlos Estévez,3.9,4.07,62.1,102.0,117.0,104.0,0.759,11.26,4.48,8.95,1.01,0.65,0.32299999999999995,0.335,0.21,0.32899999999999996,0.469,142.0,79.0,88.0,116.0,103.0,103.0,,,,131.0,101.0,107.0,,,,,,,,0.6679999999999999,,,0.266,0.004,0.44,,,,-0.18,11.36,97.1,,,,88.5,83.1,,0.24,,,,,89.5,67.0,96.0,94.0,0.062,-2.81,0.3,0.286
