,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vSI,vSL,vCU,vKC,FF_ba,SL_ba,CH_ba,SI_ba,CU_ba,FC_ba,ST_ba
0,2023-09-20,716505,Pop Out,field_out,True,686823,425844,Will Brennan,Zack Greinke,0,0,0,0518418a-02c0-41e1-a6ed-1e0cc29a53db,425844.0,zackgreinke,Greinke,Right,Zack Greinke,5.06,5.1,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,86.5,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,0.157,0.265,0.07,0.2,0.141,0.0,0.166,0.25,-0.94,-0.92,1.12,-2.99,-3.64,0.06,89.5,85.2,89.8,79.2,72.5,57.9,0.276,0.214,0.241,0.333,0.386,0.32,
1,2023-09-20,716505,Flyout,field_out,True,608070,425844,José Ramírez,Zack Greinke,0,0,0,63d3fd2c-919d-44c8-b63e-9c60a93ab54d,425844.0,zackgreinke,Greinke,Right,Zack Greinke,5.06,5.1,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,86.5,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,0.157,0.265,0.07,0.2,0.141,0.0,0.166,0.25,-0.94,-0.92,1.12,-2.99,-3.64,0.06,89.5,85.2,89.8,79.2,72.5,57.9,0.276,0.214,0.241,0.333,0.386,0.32,
2,2023-09-20,716505,Single,single,False,647304,425844,Josh Naylor,Zack Greinke,0,0,0,891f7b3a-bb7a-440d-80db-941281f94af0,425844.0,zackgreinke,Greinke,Right,Zack Greinke,5.06,5.1,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,86.5,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,0.157,0.265,0.07,0.2,0.141,0.0,0.166,0.25,-0.94,-0.92,1.12,-2.99,-3.64,0.06,89.5,85.2,89.8,79.2,72.5,57.9,0.276,0.214,0.241,0.333,0.386,0.32,
3,2023-09-20,716505,Strikeout,strikeout,True,594777,425844,Kole Calhoun,Zack Greinke,0,0,0,2e535fee-9917-42c6-b8d7-3f6dd6ae7fa7,425844.0,zackgreinke,Greinke,Right,Zack Greinke,5.06,5.1,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,86.5,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,0.157,0.265,0.07,0.2,0.141,0.0,0.166,0.25,-0.94,-0.92,1.12,-2.99,-3.64,0.06,89.5,85.2,89.8,79.2,72.5,57.9,0.276,0.214,0.241,0.333,0.386,0.32,
4,2023-09-20,716505,Single,single,False,672580,608337,Maikel Garcia,Lucas Giolito,0,0,1,e1005b60-5ea2-4df7-ab3b-29f9d6f88587,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,,0.28300000000000003,-0.85,,,-0.25,-3.72,,-0.2,93.1,,,84.0,77.9,,0.262,0.236,0.209,,0.5,,
5,2023-09-20,716505,Field Error,field_error,False,677951,608337,Bobby Witt Jr.,Lucas Giolito,0,0,1,ee0f5f6c-592d-4bd1-9e81-1c908e28c667,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,,0.28300000000000003,-0.85,,,-0.25,-3.72,,-0.2,93.1,,,84.0,77.9,,0.262,0.236,0.209,,0.5,,
6,2023-09-20,716505,Pop Out,field_out,True,669004,608337,MJ Melendez,Lucas Giolito,0,0,0,ea096140-94f3-46bd-9cf2-3d50eb8a47f9,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,,0.28300000000000003,-0.85,,,-0.25,-3.72,,-0.2,93.1,,,84.0,77.9,,0.262,0.236,0.209,,0.5,,
7,2023-09-20,716505,Home Run,home_run,False,676369,608337,Nelson Velázquez,Lucas Giolito,0,0,1,fa782d75-1fa5-40d9-af05-30d56221b25c,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,,0.28300000000000003,-0.85,,,-0.25,-3.72,,-0.2,93.1,,,84.0,77.9,,0.262,0.236,0.209,,0.5,,
8,2023-09-20,716505,Flyout,field_out,True,658668,608337,Edward Olivares,Lucas Giolito,1,0,0,1af6928a-051d-4891-a4b6-456af1077df7,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,,0.28300000000000003,-0.85,,,-0.25,-3.72,,-0.2,93.1,,,84.0,77.9,,0.262,0.236,0.209,,0.5,,
9,2023-09-20,716505,Strikeout,strikeout,True,686681,608337,Michael Massey,Lucas Giolito,0,0,0,8cfe9634-1d3d-4ce2-aff1-318ff5c12882,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,,0.28300000000000003,-0.85,,,-0.25,-3.72,,-0.2,93.1,,,84.0,77.9,,0.262,0.236,0.209,,0.5,,
10,2023-09-20,716505,Pop Out,field_out,True,657656,425844,Ramón Laureano,Zack Greinke,0,0,0,2f7ad3bf-7572-49e6-ac7a-30d0c85f885f,425844.0,zackgreinke,Greinke,Right,Zack Greinke,5.06,5.1,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,86.5,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,0.157,0.265,0.07,0.2,0.141,0.0,0.166,0.25,-0.94,-0.92,1.12,-2.99,-3.64,0.06,89.5,85.2,89.8,79.2,72.5,57.9,0.276,0.214,0.241,0.333,0.386,0.32,
11,2023-09-20,716505,Pop Out,field_out,True,665926,425844,Andrés Giménez,Zack Greinke,0,0,0,36f8495e-bd41-4b21-9d4b-bbdf3a23513a,425844.0,zackgreinke,Greinke,Right,Zack Greinke,5.06,5.1,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,86.5,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,0.157,0.265,0.07,0.2,0.141,0.0,0.166,0.25,-0.94,-0.92,1.12,-2.99,-3.64,0.06,89.5,85.2,89.8,79.2,72.5,57.9,0.276,0.214,0.241,0.333,0.386,0.32,
12,2023-09-20,716505,Strikeout,strikeout,True,664702,425844,Myles Straw,Zack Greinke,0,0,0,4e84f0fc-da95-4c40-8f6e-c06dd6af46d4,425844.0,zackgreinke,Greinke,Right,Zack Greinke,5.06,5.1,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,86.5,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,0.157,0.265,0.07,0.2,0.141,0.0,0.166,0.25,-0.94,-0.92,1.12,-2.99,-3.64,0.06,89.5,85.2,89.8,79.2,72.5,57.9,0.276,0.214,0.241,0.333,0.386,0.32,
13,2023-09-20,716505,Single,single,False,679845,608337,Nick Loftin,Lucas Giolito,0,0,0,9603175d-6af4-4960-8295-e84bd4dd52ea,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,,0.28300000000000003,-0.85,,,-0.25,-3.72,,-0.2,93.1,,,84.0,77.9,,0.262,0.236,0.209,,0.5,,
14,2023-09-20,716505,Single,single,False,671221,608337,Drew Waters,Lucas Giolito,0,0,1,ff232811-f840-4e11-b9fc-ca6b7df83016,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,,0.28300000000000003,-0.85,,,-0.25,-3.72,,-0.2,93.1,,,84.0,77.9,,0.262,0.236,0.209,,0.5,,
15,2023-09-20,716505,Strikeout,strikeout,True,682515,608337,Logan Porter,Lucas Giolito,0,0,0,74c05d31-b56c-4fa9-b35d-b9eece998b7c,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,,0.28300000000000003,-0.85,,,-0.25,-3.72,,-0.2,93.1,,,84.0,77.9,,0.262,0.236,0.209,,0.5,,
16,2023-09-20,716505,Strikeout,strikeout,True,672580,608337,Maikel Garcia,Lucas Giolito,0,0,0,3f0f15f7-741f-4cf6-a591-ffddcdda42e2,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,,0.28300000000000003,-0.85,,,-0.25,-3.72,,-0.2,93.1,,,84.0,77.9,,0.262,0.236,0.209,,0.5,,
17,2023-09-20,716505,Forceout,force_out,True,677951,608337,Bobby Witt Jr.,Lucas Giolito,0,0,1,9ba9129e-8c54-4fe0-ab4e-0e85e4f991bb,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,,0.28300000000000003,-0.85,,,-0.25,-3.72,,-0.2,93.1,,,84.0,77.9,,0.262,0.236,0.209,,0.5,,
18,2023-09-20,716505,Double,double,False,677588,425844,José Tena,Zack Greinke,0,0,0,eb466a15-dd2c-48bb-b7d9-771fa7e17a5e,425844.0,zackgreinke,Greinke,Right,Zack Greinke,5.06,5.1,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,86.5,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,0.157,0.265,0.07,0.2,0.141,0.0,0.166,0.25,-0.94,-0.92,1.12,-2.99,-3.64,0.06,89.5,85.2,89.8,79.2,72.5,57.9,0.276,0.214,0.241,0.333,0.386,0.32,
