,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,FC_ba,CH_ba,SI_ba,FF_ba,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,ST_ba,FS_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,SL_ba
10,2023-08-21,716912,Walk,walk,False,678894,680723,Liover Peguero,Drew Rom,1,0,1,cddcc369-a1f8-45be-9df2-2368436f9ff9,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,81.0,105.0,98.0,64.0,98.0,87.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,-2.41,,-2.11,-2.48,,90.6,,87.4,79.4,,,0.351,0.333,97.0,88.0,89.0,85.0,83.0,71.0,0.079,-5.66,83.6,0.289,0.467,,,,,,,,
11,2023-08-21,716912,Strikeout,strikeout,True,669261,680723,Jack Suwinski,Drew Rom,0,0,0,08d7eaf8-79a3-4e73-b573-425ffb5fcb14,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,81.0,105.0,98.0,64.0,98.0,87.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,-2.41,,-2.11,-2.48,,90.6,,87.4,79.4,,,0.351,0.333,97.0,88.0,89.0,85.0,83.0,71.0,0.079,-5.66,83.6,0.289,0.467,,,,,,,,
12,2023-08-21,716912,Single,single,False,575929,641672,Willson Contreras,Thomas Hatch,1,0,0,4e8877c5-87cf-412a-a1f0-1aa67096f133,641672.0,thomashatch,Hatch,Right,Thomas Hatch,4.08,4.21,28.2,97.0,91.0,90.0,0.711,8.16,3.77,10.36,0.63,1.59,0.18,0.494,0.045,0.39299999999999996,0.373,85.5,52.0,90.0,78.0,112.0,102.0,92.0,98.0,100.0,92.0,109.0,98.0,96.0,0.243,0.133,0.35,0.002,0.272,-4.69,2.36,0.69,-3.64,-2.77,94.7,87.9,94.8,83.8,0.216,0.351,0.28,0.385,,,,,,,,,,,,,,,,,,,
13,2023-08-21,716912,Strikeout,strikeout,True,691023,641672,Jordan Walker,Thomas Hatch,0,0,0,2e3697fd-8cae-49b3-b69a-0e220d79049a,641672.0,thomashatch,Hatch,Right,Thomas Hatch,4.08,4.21,28.2,97.0,91.0,90.0,0.711,8.16,3.77,10.36,0.63,1.59,0.18,0.494,0.045,0.39299999999999996,0.373,85.5,52.0,90.0,78.0,112.0,102.0,92.0,98.0,100.0,92.0,109.0,98.0,96.0,0.243,0.133,0.35,0.002,0.272,-4.69,2.36,0.69,-3.64,-2.77,94.7,87.9,94.8,83.8,0.216,0.351,0.28,0.385,,,,,,,,,,,,,,,,,,,
14,2023-08-21,716912,Walk,walk,False,668800,641672,Andrew Knizner,Thomas Hatch,1,0,1,e79f624c-67c2-4739-ba10-3610804acbe1,641672.0,thomashatch,Hatch,Right,Thomas Hatch,4.08,4.21,28.2,97.0,91.0,90.0,0.711,8.16,3.77,10.36,0.63,1.59,0.18,0.494,0.045,0.39299999999999996,0.373,85.5,52.0,90.0,78.0,112.0,102.0,92.0,98.0,100.0,92.0,109.0,98.0,96.0,0.243,0.133,0.35,0.002,0.272,-4.69,2.36,0.69,-3.64,-2.77,94.7,87.9,94.8,83.8,0.216,0.351,0.28,0.385,,,,,,,,,,,,,,,,,,,
15,2023-08-21,716912,Flyout,field_out,True,665877,641672,José Fermín,Thomas Hatch,0,0,1,eff0e142-9800-49ab-8f60-101198fa888d,641672.0,thomashatch,Hatch,Right,Thomas Hatch,4.08,4.21,28.2,97.0,91.0,90.0,0.711,8.16,3.77,10.36,0.63,1.59,0.18,0.494,0.045,0.39299999999999996,0.373,85.5,52.0,90.0,78.0,112.0,102.0,92.0,98.0,100.0,92.0,109.0,98.0,96.0,0.243,0.133,0.35,0.002,0.272,-4.69,2.36,0.69,-3.64,-2.77,94.7,87.9,94.8,83.8,0.216,0.351,0.28,0.385,,,,,,,,,,,,,,,,,,,
16,2023-08-21,716912,Flyout,field_out,True,691026,641672,Masyn Winn,Thomas Hatch,1,1,0,0610447d-0b94-4b4e-b31c-2cee308831c4,641672.0,thomashatch,Hatch,Right,Thomas Hatch,4.08,4.21,28.2,97.0,91.0,90.0,0.711,8.16,3.77,10.36,0.63,1.59,0.18,0.494,0.045,0.39299999999999996,0.373,85.5,52.0,90.0,78.0,112.0,102.0,92.0,98.0,100.0,92.0,109.0,98.0,96.0,0.243,0.133,0.35,0.002,0.272,-4.69,2.36,0.69,-3.64,-2.77,94.7,87.9,94.8,83.8,0.216,0.351,0.28,0.385,,,,,,,,,,,,,,,,,,,
17,2023-08-21,716912,Flyout,field_out,True,675961,680723,Alika Williams,Drew Rom,0,0,0,3549bd9a-4499-45ab-9808-2ff31adb4cd6,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,81.0,105.0,98.0,64.0,98.0,87.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,-2.41,,-2.11,-2.48,,90.6,,87.4,79.4,,,0.351,0.333,97.0,88.0,89.0,85.0,83.0,71.0,0.079,-5.66,83.6,0.289,0.467,,,,,,,,
18,2023-08-21,716912,Flyout,field_out,True,663647,680723,Ke'Bryan Hayes,Drew Rom,0,0,0,fc86624d-0b3d-4f14-a603-4b4a7e704312,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,81.0,105.0,98.0,64.0,98.0,87.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,-2.41,,-2.11,-2.48,,90.6,,87.4,79.4,,,0.351,0.333,97.0,88.0,89.0,85.0,83.0,71.0,0.079,-5.66,83.6,0.289,0.467,,,,,,,,
19,2023-08-21,716912,Groundout,field_out,True,668804,680723,Bryan Reynolds,Drew Rom,0,0,0,7bda7189-442b-4569-a47d-5886c3da3a3d,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,81.0,105.0,98.0,64.0,98.0,87.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,-2.41,,-2.11,-2.48,,90.6,,87.4,79.4,,,0.351,0.333,97.0,88.0,89.0,85.0,83.0,71.0,0.079,-5.66,83.6,0.289,0.467,,,,,,,,
