,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,SI_ba,FC_ba,FF_ba,SL_ba,CU_ba,CH_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-08-05,717121,Single,single,False,660670,665871,Ronald Acuña Jr.,Javier Assad,1,1,0,31dd2bc0-248d-450e-b570-50870ad284a5,665871.0,javierassad,Assad,Right,Javier Assad,3.05,4.64,109.1,99.0,92.0,94.0,0.825,7.74,3.38,7.66,1.07,1.36,0.28300000000000003,0.33399999999999996,0.18,0.331,0.41200000000000003,85.0,58.0,94.0,87.0,92.0,89.0,86.0,82.0,97.0,90.0,87.0,103.0,93.0,103.0,100.0,103.0,103.0,99.0,95.0,0.306,0.19399999999999998,0.27399999999999997,0.135,0.051,0.04,-0.9,0.48,2.18,0.28,-3.14,-3.27,93.1,89.1,92.7,80.6,76.5,0.214,0.218,0.313,0.163,0.25,0.357,,,,,,,,
1,2023-08-05,717121,Strikeout,strikeout,True,645277,665871,Ozzie Albies,Javier Assad,0,0,1,37dd6f32-4672-4b67-81ff-506d5212ad7d,665871.0,javierassad,Assad,Right,Javier Assad,3.05,4.64,109.1,99.0,92.0,94.0,0.825,7.74,3.38,7.66,1.07,1.36,0.28300000000000003,0.33399999999999996,0.18,0.331,0.41200000000000003,85.0,58.0,94.0,87.0,92.0,89.0,86.0,82.0,97.0,90.0,87.0,103.0,93.0,103.0,100.0,103.0,103.0,99.0,95.0,0.306,0.19399999999999998,0.27399999999999997,0.135,0.051,0.04,-0.9,0.48,2.18,0.28,-3.14,-3.27,93.1,89.1,92.7,80.6,76.5,0.214,0.218,0.313,0.163,0.25,0.357,,,,,,,,
2,2023-08-05,717121,Groundout,field_out,True,663586,665871,Austin Riley,Javier Assad,0,0,0,8122e12a-5e79-4b81-822b-51baedafa74b,665871.0,javierassad,Assad,Right,Javier Assad,3.05,4.64,109.1,99.0,92.0,94.0,0.825,7.74,3.38,7.66,1.07,1.36,0.28300000000000003,0.33399999999999996,0.18,0.331,0.41200000000000003,85.0,58.0,94.0,87.0,92.0,89.0,86.0,82.0,97.0,90.0,87.0,103.0,93.0,103.0,100.0,103.0,103.0,99.0,95.0,0.306,0.19399999999999998,0.27399999999999997,0.135,0.051,0.04,-0.9,0.48,2.18,0.28,-3.14,-3.27,93.1,89.1,92.7,80.6,76.5,0.214,0.218,0.313,0.163,0.25,0.357,,,,,,,,
3,2023-08-05,717121,Lineout,field_out,True,621566,665871,Matt Olson,Javier Assad,0,0,0,63049790-7020-40b7-be77-ff5f4ab6cefb,665871.0,javierassad,Assad,Right,Javier Assad,3.05,4.64,109.1,99.0,92.0,94.0,0.825,7.74,3.38,7.66,1.07,1.36,0.28300000000000003,0.33399999999999996,0.18,0.331,0.41200000000000003,85.0,58.0,94.0,87.0,92.0,89.0,86.0,82.0,97.0,90.0,87.0,103.0,93.0,103.0,100.0,103.0,103.0,99.0,95.0,0.306,0.19399999999999998,0.27399999999999997,0.135,0.051,0.04,-0.9,0.48,2.18,0.28,-3.14,-3.27,93.1,89.1,92.7,80.6,76.5,0.214,0.218,0.313,0.163,0.25,0.357,,,,,,,,
4,2023-08-05,717121,Walk,walk,False,643565,693821,Mike Tauchman,Bryce Elder,0,0,0,de6581e5-68b6-4018-bd8b-99f37f8700e5,693821.0,bryceelder,Elder,Right,Bryce Elder,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.35700000000000004,0.382,85.0,64.0,95.0,91.0,,,,62.0,100.0,86.0,82.0,96.0,90.0,92.0,103.0,107.0,,,,0.376,0.134,,0.353,,0.13699999999999998,-1.13,,0.01,0.97,,1.3,90.7,,89.5,82.7,,0.28,,0.286,0.21,,0.188,,,,,,,,
5,2023-08-05,717121,Walk,walk,False,663538,693821,Nico Hoerner,Bryce Elder,0,0,1,1ea555d1-887c-41e6-9d33-ef953c932d3c,693821.0,bryceelder,Elder,Right,Bryce Elder,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.35700000000000004,0.382,85.0,64.0,95.0,91.0,,,,62.0,100.0,86.0,82.0,96.0,90.0,92.0,103.0,107.0,,,,0.376,0.134,,0.353,,0.13699999999999998,-1.13,,0.01,0.97,,1.3,90.7,,89.5,82.7,,0.28,,0.286,0.21,,0.188,,,,,,,,
6,2023-08-05,717121,Groundout,field_out,True,664023,693821,Ian Happ,Bryce Elder,0,0,1,607bdb6e-58f9-426c-b649-4b174569af23,693821.0,bryceelder,Elder,Right,Bryce Elder,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.35700000000000004,0.382,85.0,64.0,95.0,91.0,,,,62.0,100.0,86.0,82.0,96.0,90.0,92.0,103.0,107.0,,,,0.376,0.134,,0.353,,0.13699999999999998,-1.13,,0.01,0.97,,1.3,90.7,,89.5,82.7,,0.28,,0.286,0.21,,0.188,,,,,,,,
7,2023-08-05,717121,Field Error,field_error,False,641355,693821,Cody Bellinger,Bryce Elder,1,0,1,3877557d-1d08-43c1-9468-b4c38ac0b161,693821.0,bryceelder,Elder,Right,Bryce Elder,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.35700000000000004,0.382,85.0,64.0,95.0,91.0,,,,62.0,100.0,86.0,82.0,96.0,90.0,92.0,103.0,107.0,,,,0.376,0.134,,0.353,,0.13699999999999998,-1.13,,0.01,0.97,,1.3,90.7,,89.5,82.7,,0.28,,0.286,0.21,,0.188,,,,,,,,
8,2023-08-05,717121,Home Run,home_run,False,621020,693821,Dansby Swanson,Bryce Elder,1,1,1,01deaaa8-7e0a-47c7-8fe4-49065b82293c,693821.0,bryceelder,Elder,Right,Bryce Elder,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.35700000000000004,0.382,85.0,64.0,95.0,91.0,,,,62.0,100.0,86.0,82.0,96.0,90.0,92.0,103.0,107.0,,,,0.376,0.134,,0.353,,0.13699999999999998,-1.13,,0.01,0.97,,1.3,90.7,,89.5,82.7,,0.28,,0.286,0.21,,0.188,,,,,,,,
9,2023-08-05,717121,Strikeout,strikeout,True,666624,693821,Christopher Morel,Bryce Elder,0,0,0,9b390519-bf52-4183-9ac9-e402291181ef,693821.0,bryceelder,Elder,Right,Bryce Elder,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.35700000000000004,0.382,85.0,64.0,95.0,91.0,,,,62.0,100.0,86.0,82.0,96.0,90.0,92.0,103.0,107.0,,,,0.376,0.134,,0.353,,0.13699999999999998,-1.13,,0.01,0.97,,1.3,90.7,,89.5,82.7,,0.28,,0.286,0.21,,0.188,,,,,,,,
