,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CU_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,FC%,wFC/C,vFC,ST_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC_ba
0,2023-07-01,717535,Strikeout,strikeout,True,592626,434378,Joc Pederson,Justin Verlander,0,0,0,a87400aa-d47c-4e60-975c-05f0ceb1a9d5,434378.0,justinverlander,Verlander,Right,Justin Verlander,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.23199999999999998,0.43799999999999994,0.168,0.307,0.433,85.2,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,127.0,112.0,111.0,0.5,0.253,0.2,0.047,0.89,0.97,0.43,-0.23,94.3,86.9,78.2,0.235,0.201,0.241,0.214,,,,,,,,,,,,,,,,,,,,,
1,2023-07-01,717535,Groundout,field_out,True,527038,434378,Wilmer Flores,Justin Verlander,0,0,0,38debcae-becf-45ac-9600-4e5678bc59a5,434378.0,justinverlander,Verlander,Right,Justin Verlander,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.23199999999999998,0.43799999999999994,0.168,0.307,0.433,85.2,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,127.0,112.0,111.0,0.5,0.253,0.2,0.047,0.89,0.97,0.43,-0.23,94.3,86.9,78.2,0.235,0.201,0.241,0.214,,,,,,,,,,,,,,,,,,,,,
2,2023-07-01,717535,Single,single,False,605204,434378,J.D. Davis,Justin Verlander,1,1,0,703a7e90-7180-4332-bfb3-130c8b646cb8,434378.0,justinverlander,Verlander,Right,Justin Verlander,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.23199999999999998,0.43799999999999994,0.168,0.307,0.433,85.2,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,127.0,112.0,111.0,0.5,0.253,0.2,0.047,0.89,0.97,0.43,-0.23,94.3,86.9,78.2,0.235,0.201,0.241,0.214,,,,,,,,,,,,,,,,,,,,,
3,2023-07-01,717535,Pop Out,field_out,True,672275,434378,Patrick Bailey,Justin Verlander,1,0,0,d05722a1-76ec-4f16-91b1-05ddd7c77e0d,434378.0,justinverlander,Verlander,Right,Justin Verlander,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.23199999999999998,0.43799999999999994,0.168,0.307,0.433,85.2,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,127.0,112.0,111.0,0.5,0.253,0.2,0.047,0.89,0.97,0.43,-0.23,94.3,86.9,78.2,0.235,0.201,0.241,0.214,,,,,,,,,,,,,,,,,,,,,
4,2023-07-01,717535,Groundout,field_out,True,607043,543101,Brandon Nimmo,Anthony DeSclafani,0,0,0,fe3436c3-bee2-416e-88e6-9ab5cae22e31,543101.0,anthonydesclafani,DeSclafani,Right,Anthony DeSclafani,4.88,5.16,99.2,99.0,94.0,97.0,0.818,7.13,1.81,9.48,1.35,1.22,0.257,0.387,0.162,0.365,0.41700000000000004,86.4,75.0,92.0,86.0,,,,86.0,88.0,84.0,101.0,97.0,101.0,0.126,0.44799999999999995,,0.098,-1.8,0.88,,-1.71,93.1,87.4,,0.306,0.257,0.16,0.344,90.0,106.0,99.0,106.0,109.0,109.0,0.27699999999999997,0.05,-0.66,-0.59,93.1,82.2,0.283,,,,,,,,
5,2023-07-01,717535,Pop Out,field_out,True,596019,543101,Francisco Lindor,Anthony DeSclafani,1,1,0,b1fe6c93-96be-4378-a0f0-382038c1af64,543101.0,anthonydesclafani,DeSclafani,Right,Anthony DeSclafani,4.88,5.16,99.2,99.0,94.0,97.0,0.818,7.13,1.81,9.48,1.35,1.22,0.257,0.387,0.162,0.365,0.41700000000000004,86.4,75.0,92.0,86.0,,,,86.0,88.0,84.0,101.0,97.0,101.0,0.126,0.44799999999999995,,0.098,-1.8,0.88,,-1.71,93.1,87.4,,0.306,0.257,0.16,0.344,90.0,106.0,99.0,106.0,109.0,109.0,0.27699999999999997,0.05,-0.66,-0.59,93.1,82.2,0.283,,,,,,,,
6,2023-07-01,717535,Flyout,field_out,True,643446,543101,Jeff McNeil,Anthony DeSclafani,0,0,0,6be351a5-8348-4f69-8ec4-eac956700de4,543101.0,anthonydesclafani,DeSclafani,Right,Anthony DeSclafani,4.88,5.16,99.2,99.0,94.0,97.0,0.818,7.13,1.81,9.48,1.35,1.22,0.257,0.387,0.162,0.365,0.41700000000000004,86.4,75.0,92.0,86.0,,,,86.0,88.0,84.0,101.0,97.0,101.0,0.126,0.44799999999999995,,0.098,-1.8,0.88,,-1.71,93.1,87.4,,0.306,0.257,0.16,0.344,90.0,106.0,99.0,106.0,109.0,109.0,0.27699999999999997,0.05,-0.66,-0.59,93.1,82.2,0.283,,,,,,,,
7,2023-07-01,717535,Strikeout,strikeout,True,642731,434378,Thairo Estrada,Justin Verlander,0,0,0,c3df58cc-dbea-4ae4-b110-68132495af99,434378.0,justinverlander,Verlander,Right,Justin Verlander,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.23199999999999998,0.43799999999999994,0.168,0.307,0.433,85.2,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,127.0,112.0,111.0,0.5,0.253,0.2,0.047,0.89,0.97,0.43,-0.23,94.3,86.9,78.2,0.235,0.201,0.241,0.214,,,,,,,,,,,,,,,,,,,,,
8,2023-07-01,717535,Pop Out,field_out,True,666165,434378,Blake Sabol,Justin Verlander,0,0,0,ada563cf-ebf9-4656-8cab-fd15db337c60,434378.0,justinverlander,Verlander,Right,Justin Verlander,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.23199999999999998,0.43799999999999994,0.168,0.307,0.433,85.2,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,127.0,112.0,111.0,0.5,0.253,0.2,0.047,0.89,0.97,0.43,-0.23,94.3,86.9,78.2,0.235,0.201,0.241,0.214,,,,,,,,,,,,,,,,,,,,,
9,2023-07-01,717535,Groundout,field_out,True,596103,434378,Austin Slater,Justin Verlander,0,0,0,9375592d-87a0-4c26-a97b-ddf22fb9c6c7,434378.0,justinverlander,Verlander,Right,Justin Verlander,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.23199999999999998,0.43799999999999994,0.168,0.307,0.433,85.2,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,127.0,112.0,111.0,0.5,0.253,0.2,0.047,0.89,0.97,0.43,-0.23,94.3,86.9,78.2,0.235,0.201,0.241,0.214,,,,,,,,,,,,,,,,,,,,,
