,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,ST_ba,FF_ba,SI_ba,CH_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,CU%,wCU/C,vCU,CU_ba,FC_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SL_ba,FS_ba
0,2023-07-25,717261,Flyout,field_out,True,660670,670167,Ronald Acuña Jr.,John Schreiber,0,0,0,256b32e2-6c93-422f-8584-bfa77a9c4754,670167.0,johnschreiber,Schreiber,Right,John Schreiber,3.86,4.13,46.2,102.0,111.0,104.0,0.76,10.22,4.82,7.91,1.16,1.09,0.32799999999999996,0.336,0.18,0.344,0.415,88.1,71.0,104.0,109.0,109.0,106.0,99.0,106.0,102.0,96.0,125.0,99.0,111.0,0.253,0.289,0.001,0.375,0.08199999999999999,-0.15,7.1,0.39,-0.19,-0.09,93.2,90.0,92.7,80.9,0.185,0.264,0.278,0.167,,,,,,,,,,,,,,,,,,,
1,2023-07-25,717261,Hit By Pitch,hit_by_pitch,False,645277,670167,Ozzie Albies,John Schreiber,0,0,0,65eee514-1abd-4825-85ca-5c2e598a7bf5,670167.0,johnschreiber,Schreiber,Right,John Schreiber,3.86,4.13,46.2,102.0,111.0,104.0,0.76,10.22,4.82,7.91,1.16,1.09,0.32799999999999996,0.336,0.18,0.344,0.415,88.1,71.0,104.0,109.0,109.0,106.0,99.0,106.0,102.0,96.0,125.0,99.0,111.0,0.253,0.289,0.001,0.375,0.08199999999999999,-0.15,7.1,0.39,-0.19,-0.09,93.2,90.0,92.7,80.9,0.185,0.264,0.278,0.167,,,,,,,,,,,,,,,,,,,
2,2023-07-25,717261,Single,single,False,663586,670167,Austin Riley,John Schreiber,1,1,1,864fd549-b6ab-4533-b3c4-8380a139047d,670167.0,johnschreiber,Schreiber,Right,John Schreiber,3.86,4.13,46.2,102.0,111.0,104.0,0.76,10.22,4.82,7.91,1.16,1.09,0.32799999999999996,0.336,0.18,0.344,0.415,88.1,71.0,104.0,109.0,109.0,106.0,99.0,106.0,102.0,96.0,125.0,99.0,111.0,0.253,0.289,0.001,0.375,0.08199999999999999,-0.15,7.1,0.39,-0.19,-0.09,93.2,90.0,92.7,80.9,0.185,0.264,0.278,0.167,,,,,,,,,,,,,,,,,,,
3,2023-07-25,717261,Walk,walk,False,621566,670167,Matt Olson,John Schreiber,0,0,1,0f7f3c32-7b03-40e6-8c16-c16cb33b9d02,670167.0,johnschreiber,Schreiber,Right,John Schreiber,3.86,4.13,46.2,102.0,111.0,104.0,0.76,10.22,4.82,7.91,1.16,1.09,0.32799999999999996,0.336,0.18,0.344,0.415,88.1,71.0,104.0,109.0,109.0,106.0,99.0,106.0,102.0,96.0,125.0,99.0,111.0,0.253,0.289,0.001,0.375,0.08199999999999999,-0.15,7.1,0.39,-0.19,-0.09,93.2,90.0,92.7,80.9,0.185,0.264,0.278,0.167,,,,,,,,,,,,,,,,,,,
4,2023-07-25,717261,Single,single,False,669221,670167,Sean Murphy,John Schreiber,0,0,1,881c4a12-7022-4da0-a18c-e0c3fa81312a,670167.0,johnschreiber,Schreiber,Right,John Schreiber,3.86,4.13,46.2,102.0,111.0,104.0,0.76,10.22,4.82,7.91,1.16,1.09,0.32799999999999996,0.336,0.18,0.344,0.415,88.1,71.0,104.0,109.0,109.0,106.0,99.0,106.0,102.0,96.0,125.0,99.0,111.0,0.253,0.289,0.001,0.375,0.08199999999999999,-0.15,7.1,0.39,-0.19,-0.09,93.2,90.0,92.7,80.9,0.185,0.264,0.278,0.167,,,,,,,,,,,,,,,,,,,
5,2023-07-25,717261,Double Play,double_play,True,542303,670167,Marcell Ozuna,John Schreiber,1,1,1,cd19a446-7fd4-4ad0-bcfb-d64582a5949b,670167.0,johnschreiber,Schreiber,Right,John Schreiber,3.86,4.13,46.2,102.0,111.0,104.0,0.76,10.22,4.82,7.91,1.16,1.09,0.32799999999999996,0.336,0.18,0.344,0.415,88.1,71.0,104.0,109.0,109.0,106.0,99.0,106.0,102.0,96.0,125.0,99.0,111.0,0.253,0.289,0.001,0.375,0.08199999999999999,-0.15,7.1,0.39,-0.19,-0.09,93.2,90.0,92.7,80.9,0.185,0.264,0.278,0.167,,,,,,,,,,,,,,,,,,,
6,2023-07-25,717261,Groundout,field_out,True,680776,450203,Jarren Duran,Charlie Morton,0,0,0,ceab5cc8-b942-4438-baa3-9468caa80777,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,0.08,,0.10300000000000001,-1.26,0.25,-4.03,,0.86,94.9,89.1,94.2,,,0.292,0.474,0.25,139.0,100.0,111.0,89.0,92.0,87.0,0.43200000000000005,1.79,82.3,0.177,0.296,,,,,,,,
7,2023-07-25,717261,Single,single,False,457759,450203,Justin Turner,Charlie Morton,0,0,0,d676bb01-0c0d-49ec-b748-0248aa1b2525,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,0.08,,0.10300000000000001,-1.26,0.25,-4.03,,0.86,94.9,89.1,94.2,,,0.292,0.474,0.25,139.0,100.0,111.0,89.0,92.0,87.0,0.43200000000000005,1.79,82.3,0.177,0.296,,,,,,,,
8,2023-07-25,717261,Single,single,False,646240,450203,Rafael Devers,Charlie Morton,1,1,1,f0ac0e6f-89b4-4323-b2ee-85302c52349f,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,0.08,,0.10300000000000001,-1.26,0.25,-4.03,,0.86,94.9,89.1,94.2,,,0.292,0.474,0.25,139.0,100.0,111.0,89.0,92.0,87.0,0.43200000000000005,1.79,82.3,0.177,0.296,,,,,,,,
9,2023-07-25,717261,Groundout,field_out,True,807799,450203,Masataka Yoshida,Charlie Morton,0,0,1,62957e38-5947-4aae-b12a-ef95f77a5212,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,0.08,,0.10300000000000001,-1.26,0.25,-4.03,,0.86,94.9,89.1,94.2,,,0.292,0.474,0.25,139.0,100.0,111.0,89.0,92.0,87.0,0.43200000000000005,1.79,82.3,0.177,0.296,,,,,,,,
10,2023-07-25,717261,Walk,walk,False,594807,450203,Adam Duvall,Charlie Morton,0,0,0,b0859672-886d-4a50-a2ce-79ccdd1e0efe,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,0.08,,0.10300000000000001,-1.26,0.25,-4.03,,0.86,94.9,89.1,94.2,,,0.292,0.474,0.25,139.0,100.0,111.0,89.0,92.0,87.0,0.43200000000000005,1.79,82.3,0.177,0.296,,,,,,,,
11,2023-07-25,717261,Walk,walk,False,671213,450203,Triston Casas,Charlie Morton,1,0,1,b11c1f45-0d53-4134-8c5f-f9e5e788b3f0,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,0.08,,0.10300000000000001,-1.26,0.25,-4.03,,0.86,94.9,89.1,94.2,,,0.292,0.474,0.25,139.0,100.0,111.0,89.0,92.0,87.0,0.43200000000000005,1.79,82.3,0.177,0.296,,,,,,,,
12,2023-07-25,717261,Single,single,False,624414,450203,Christian Arroyo,Charlie Morton,0,0,1,06ede031-5092-4475-a37a-64741d29c8d1,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,0.08,,0.10300000000000001,-1.26,0.25,-4.03,,0.86,94.9,89.1,94.2,,,0.292,0.474,0.25,139.0,100.0,111.0,89.0,92.0,87.0,0.43200000000000005,1.79,82.3,0.177,0.296,,,,,,,,
13,2023-07-25,717261,Strikeout,strikeout,True,657136,450203,Connor Wong,Charlie Morton,0,0,0,b5de7710-0f7e-423c-8f1b-bb177533558d,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,0.08,,0.10300000000000001,-1.26,0.25,-4.03,,0.86,94.9,89.1,94.2,,,0.292,0.474,0.25,139.0,100.0,111.0,89.0,92.0,87.0,0.43200000000000005,1.79,82.3,0.177,0.296,,,,,,,,
