,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vKC,FF_ba,CU_ba,FC_ba,FS_ba,ST_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,SL_ba,SI_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,CU%,wCU/C,vCU,Stf+ CU,Loc+ CU,Pit+ CU
0,2023-05-02,718337,Strikeout,strikeout,True,664774,686613,LaMonte Wade Jr.,Hunter Brown,0,0,0,5a9d071e-3987-488f-aa51-babd0e905107,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.27399999999999997,0.364,0.135,0.36200000000000004,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.23800000000000002,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.247,0.297,0.121,0.25,,,,,,,,,,,,,,,,,,
1,2023-05-02,718337,Single,single,False,642731,686613,Thairo Estrada,Hunter Brown,1,1,0,4138c478-8a22-443b-bb60-abdda03180e7,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.27399999999999997,0.364,0.135,0.36200000000000004,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.23800000000000002,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.247,0.297,0.121,0.25,,,,,,,,,,,,,,,,,,
2,2023-05-02,718337,Single,single,False,592626,686613,Joc Pederson,Hunter Brown,0,0,1,11416c03-2c69-4f22-8cc2-389e39567e93,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.27399999999999997,0.364,0.135,0.36200000000000004,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.23800000000000002,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.247,0.297,0.121,0.25,,,,,,,,,,,,,,,,,,
3,2023-05-02,718337,Grounded Into DP,grounded_into_double_play,True,624424,686613,Michael Conforto,Hunter Brown,0,0,1,be78b410-0046-45d0-b42a-f4b868b1820a,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.27399999999999997,0.364,0.135,0.36200000000000004,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.23800000000000002,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.247,0.297,0.121,0.25,,,,,,,,,,,,,,,,,,
4,2023-05-02,718337,Pop Out,field_out,True,643289,543101,Mauricio Dubón,Anthony DeSclafani,0,0,0,f8ecd779-3729-429f-9a40-5ea0f0b3e401,543101.0,anthonydesclafani,DeSclafani,Right,Anthony DeSclafani,4.88,5.16,99.2,99.0,94.0,97.0,0.818,7.13,1.81,9.48,1.35,1.22,0.257,0.387,0.162,0.365,0.41700000000000004,86.0,88.0,84.0,90.0,106.0,99.0,101.0,97.0,101.0,106.0,109.0,109.0,,,,0.27699999999999997,0.126,,,0.44799999999999995,0.05,-1.8,,,-0.66,0.88,-0.59,93.1,,,93.1,87.4,82.2,0.306,0.16,,,,86.4,75.0,92.0,86.0,0.098,-1.71,0.257,0.283,0.344,,,,,,,,,
5,2023-05-02,718337,Lineout,field_out,True,608324,543101,Alex Bregman,Anthony DeSclafani,1,1,0,a5ff1c61-c070-4baa-a6cb-719b01821341,543101.0,anthonydesclafani,DeSclafani,Right,Anthony DeSclafani,4.88,5.16,99.2,99.0,94.0,97.0,0.818,7.13,1.81,9.48,1.35,1.22,0.257,0.387,0.162,0.365,0.41700000000000004,86.0,88.0,84.0,90.0,106.0,99.0,101.0,97.0,101.0,106.0,109.0,109.0,,,,0.27699999999999997,0.126,,,0.44799999999999995,0.05,-1.8,,,-0.66,0.88,-0.59,93.1,,,93.1,87.4,82.2,0.306,0.16,,,,86.4,75.0,92.0,86.0,0.098,-1.71,0.257,0.283,0.344,,,,,,,,,
6,2023-05-02,718337,Groundout,field_out,True,670541,543101,Yordan Alvarez,Anthony DeSclafani,0,0,0,c6ba7c91-1639-4b78-9a36-b4792c150d2f,543101.0,anthonydesclafani,DeSclafani,Right,Anthony DeSclafani,4.88,5.16,99.2,99.0,94.0,97.0,0.818,7.13,1.81,9.48,1.35,1.22,0.257,0.387,0.162,0.365,0.41700000000000004,86.0,88.0,84.0,90.0,106.0,99.0,101.0,97.0,101.0,106.0,109.0,109.0,,,,0.27699999999999997,0.126,,,0.44799999999999995,0.05,-1.8,,,-0.66,0.88,-0.59,93.1,,,93.1,87.4,82.2,0.306,0.16,,,,86.4,75.0,92.0,86.0,0.098,-1.71,0.257,0.283,0.344,,,,,,,,,
7,2023-05-02,718337,Lineout,field_out,True,527038,686613,Wilmer Flores,Hunter Brown,1,1,0,6af25e83-a280-4183-8457-db9da3646adf,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.27399999999999997,0.364,0.135,0.36200000000000004,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.23800000000000002,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.247,0.297,0.121,0.25,,,,,,,,,,,,,,,,,,
8,2023-05-02,718337,Groundout,field_out,True,666165,686613,Blake Sabol,Hunter Brown,1,1,0,c8a2931d-8a33-4026-b72b-da6c123068fb,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.27399999999999997,0.364,0.135,0.36200000000000004,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.23800000000000002,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.247,0.297,0.121,0.25,,,,,,,,,,,,,,,,,,
9,2023-05-02,718337,Strikeout,strikeout,True,663698,686613,Joey Bart,Hunter Brown,0,0,0,5486f00a-4da5-472c-a3e8-3a0752adcdbe,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.27399999999999997,0.364,0.135,0.36200000000000004,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.23800000000000002,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.247,0.297,0.121,0.25,,,,,,,,,,,,,,,,,,
