,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vSI,vSL,CH_ba,SI_ba,ST_ba,FF_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,CU_ba,SL_ba
0,2023-09-09,716663,Groundout,field_out,True,453568,657277,Charlie Blackmon,Logan Webb,1,1,0,852353b5-4b65-4df2-8ca9-64237afef8d3,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,
1,2023-09-09,716663,Groundout,field_out,True,678662,657277,Ezequiel Tovar,Logan Webb,0,0,0,4d1306b3-0d46-45bf-abda-240148b234d2,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,
2,2023-09-09,716663,Groundout,field_out,True,641857,657277,Ryan McMahon,Logan Webb,0,0,0,f5feb107-0ff2-480b-9b74-a0b5059591ac,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,
3,2023-09-09,716663,Double,double,False,573262,502624,Mike Yastrzemski,Chase Anderson,0,0,0,921c4efe-37f3-4fff-8310-0549441c030b,502624.0,chaseanderson,Anderson,Right,Chase Anderson,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,83.9,71.0,106.0,104.0,67.0,93.0,82.0,70.0,96.0,82.0,104.0,114.0,115.0,0.073,0.312,0.08199999999999999,0.22899999999999998,-2.17,-5.45,0.92,2.14,93.3,92.6,80.6,0.163,0.545,0.172,0.351,75.0,91.0,92.0,108.0,98.0,97.0,0.263,0.040999999999999995,0.63,-4.22,89.2,77.6,0.244,0.3,
4,2023-09-09,716663,Home Run,home_run,False,642731,502624,Thairo Estrada,Chase Anderson,0,0,1,2a805a79-c73d-4d07-88c8-1817a9961d36,502624.0,chaseanderson,Anderson,Right,Chase Anderson,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,83.9,71.0,106.0,104.0,67.0,93.0,82.0,70.0,96.0,82.0,104.0,114.0,115.0,0.073,0.312,0.08199999999999999,0.22899999999999998,-2.17,-5.45,0.92,2.14,93.3,92.6,80.6,0.163,0.545,0.172,0.351,75.0,91.0,92.0,108.0,98.0,97.0,0.263,0.040999999999999995,0.63,-4.22,89.2,77.6,0.244,0.3,
5,2023-09-09,716663,Strikeout,strikeout,True,527038,502624,Wilmer Flores,Chase Anderson,0,0,0,aa2dbee2-2eee-4cf0-a219-195ea9242783,502624.0,chaseanderson,Anderson,Right,Chase Anderson,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,83.9,71.0,106.0,104.0,67.0,93.0,82.0,70.0,96.0,82.0,104.0,114.0,115.0,0.073,0.312,0.08199999999999999,0.22899999999999998,-2.17,-5.45,0.92,2.14,93.3,92.6,80.6,0.163,0.545,0.172,0.351,75.0,91.0,92.0,108.0,98.0,97.0,0.263,0.040999999999999995,0.63,-4.22,89.2,77.6,0.244,0.3,
6,2023-09-09,716663,Pop Out,field_out,True,592626,502624,Joc Pederson,Chase Anderson,0,0,0,10b7583c-482b-47a9-89ba-37ffa25fa90d,502624.0,chaseanderson,Anderson,Right,Chase Anderson,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,83.9,71.0,106.0,104.0,67.0,93.0,82.0,70.0,96.0,82.0,104.0,114.0,115.0,0.073,0.312,0.08199999999999999,0.22899999999999998,-2.17,-5.45,0.92,2.14,93.3,92.6,80.6,0.163,0.545,0.172,0.351,75.0,91.0,92.0,108.0,98.0,97.0,0.263,0.040999999999999995,0.63,-4.22,89.2,77.6,0.244,0.3,
7,2023-09-09,716663,Strikeout,strikeout,True,605204,502624,J.D. Davis,Chase Anderson,0,0,0,3d99495a-f931-4142-82d9-132a91f461e3,502624.0,chaseanderson,Anderson,Right,Chase Anderson,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,83.9,71.0,106.0,104.0,67.0,93.0,82.0,70.0,96.0,82.0,104.0,114.0,115.0,0.073,0.312,0.08199999999999999,0.22899999999999998,-2.17,-5.45,0.92,2.14,93.3,92.6,80.6,0.163,0.545,0.172,0.351,75.0,91.0,92.0,108.0,98.0,97.0,0.263,0.040999999999999995,0.63,-4.22,89.2,77.6,0.244,0.3,
8,2023-09-09,716663,Groundout,field_out,True,553869,657277,Elias Díaz,Logan Webb,1,0,0,0f0b9f06-31d9-433e-a289-ad01c0bc9526,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,
9,2023-09-09,716663,Groundout,field_out,True,666134,657277,Nolan Jones,Logan Webb,1,1,0,c5c9c84f-f056-4bce-8809-9665217f997f,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,
