,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vSL,FF_ba,CH_ba,SL_ba,ST_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,SI_ba,FC%,wFC/C,vFC,Stf+ FC,Loc+ FC,Pit+ FC,FC_ba,CU_ba
0,2023-06-16,717731,Pop Out,field_out,True,664774,686218,LaMonte Wade Jr.,Emmet Sheehan,1,1,0,f1474952-84b3-489f-94de-4cfd6048a598,686218.0,emmetsheehan,Sheehan,Right,Emmet Sheehan,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,82.9,74.0,99.0,100.0,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,0.172,0.04,1.57,0.51,95.4,85.8,0.24,0.178,0.19,0.091,,,,,,,,,,,,,,,,,,,,,
1,2023-06-16,717731,Flyout,field_out,True,592626,686218,Joc Pederson,Emmet Sheehan,1,0,0,e22b7cbe-c59c-4f95-b9d2-d9dce53add27,686218.0,emmetsheehan,Sheehan,Right,Emmet Sheehan,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,82.9,74.0,99.0,100.0,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,0.172,0.04,1.57,0.51,95.4,85.8,0.24,0.178,0.19,0.091,,,,,,,,,,,,,,,,,,,,,
2,2023-06-16,717731,Flyout,field_out,True,642731,686218,Thairo Estrada,Emmet Sheehan,0,0,0,4f314d4c-636f-4e36-85b0-d2762b608372,686218.0,emmetsheehan,Sheehan,Right,Emmet Sheehan,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,82.9,74.0,99.0,100.0,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,0.172,0.04,1.57,0.51,95.4,85.8,0.24,0.178,0.19,0.091,,,,,,,,,,,,,,,,,,,,,
3,2023-06-16,717731,Strikeout,strikeout,True,605141,605154,Mookie Betts,John Brebbia,0,0,0,c339dc3a-fb20-4352-ada6-7563fd53566e,605154.0,johnbrebbia,Brebbia,Right,John Brebbia,3.99,3.25,38.1,105.0,108.0,105.0,0.748,11.03,3.29,7.28,1.41,0.54,0.34,0.34,0.14,0.35,0.43,89.2,114.0,-42.0,-5.0,107.0,104.0,104.0,108.0,107.0,107.0,0.45799999999999996,0.539,0.003,1.09,-0.13,6.56,94.5,82.8,0.2,,0.227,,,,,,,,,,,,,,,,,,,,,,
4,2023-06-16,717731,Flyout,field_out,True,518692,605154,Freddie Freeman,John Brebbia,1,0,0,b94ad3e8-bc2d-40b9-8b18-7edff6dc612e,605154.0,johnbrebbia,Brebbia,Right,John Brebbia,3.99,3.25,38.1,105.0,108.0,105.0,0.748,11.03,3.29,7.28,1.41,0.54,0.34,0.34,0.14,0.35,0.43,89.2,114.0,-42.0,-5.0,107.0,104.0,104.0,108.0,107.0,107.0,0.45799999999999996,0.539,0.003,1.09,-0.13,6.56,94.5,82.8,0.2,,0.227,,,,,,,,,,,,,,,,,,,,,,
5,2023-06-16,717731,Walk,walk,False,669257,605154,Will Smith,John Brebbia,1,0,0,badb65a1-621c-486a-9bda-b1e339472a3e,605154.0,johnbrebbia,Brebbia,Right,John Brebbia,3.99,3.25,38.1,105.0,108.0,105.0,0.748,11.03,3.29,7.28,1.41,0.54,0.34,0.34,0.14,0.35,0.43,89.2,114.0,-42.0,-5.0,107.0,104.0,104.0,108.0,107.0,107.0,0.45799999999999996,0.539,0.003,1.09,-0.13,6.56,94.5,82.8,0.2,,0.227,,,,,,,,,,,,,,,,,,,,,,
6,2023-06-16,717731,Pop Out,field_out,True,502110,605154,J.D. Martinez,John Brebbia,0,0,0,c64d97a1-e38d-4aa2-9831-4c7480a6177e,605154.0,johnbrebbia,Brebbia,Right,John Brebbia,3.99,3.25,38.1,105.0,108.0,105.0,0.748,11.03,3.29,7.28,1.41,0.54,0.34,0.34,0.14,0.35,0.43,89.2,114.0,-42.0,-5.0,107.0,104.0,104.0,108.0,107.0,107.0,0.45799999999999996,0.539,0.003,1.09,-0.13,6.56,94.5,82.8,0.2,,0.227,,,,,,,,,,,,,,,,,,,,,,
7,2023-06-16,717731,Walk,walk,False,624424,686218,Michael Conforto,Emmet Sheehan,1,0,0,1105cb5c-625d-44f1-98d0-d930757d081b,686218.0,emmetsheehan,Sheehan,Right,Emmet Sheehan,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,82.9,74.0,99.0,100.0,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,0.172,0.04,1.57,0.51,95.4,85.8,0.24,0.178,0.19,0.091,,,,,,,,,,,,,,,,,,,,,
8,2023-06-16,717731,Pop Out,field_out,True,527038,686218,Wilmer Flores,Emmet Sheehan,1,0,0,f7667947-b93e-4a65-8d3f-402f8d6c6600,686218.0,emmetsheehan,Sheehan,Right,Emmet Sheehan,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,82.9,74.0,99.0,100.0,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,0.172,0.04,1.57,0.51,95.4,85.8,0.24,0.178,0.19,0.091,,,,,,,,,,,,,,,,,,,,,
9,2023-06-16,717731,Flyout,field_out,True,672275,686218,Patrick Bailey,Emmet Sheehan,0,0,0,64927234-8c6b-447e-bf17-99c8018fb23a,686218.0,emmetsheehan,Sheehan,Right,Emmet Sheehan,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,82.9,74.0,99.0,100.0,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,0.172,0.04,1.57,0.51,95.4,85.8,0.24,0.178,0.19,0.091,,,,,,,,,,,,,,,,,,,,,
