,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vSI,vCU,SI_ba,CH_ba,CU_ba,FF_ba,FC_ba,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,FS%,wFS/C,vFS,ST_ba,FS_ba
0,2023-07-18,717357,Groundout,field_out,True,650333,656756,Luis Arraez,Jordan Montgomery,0,0,0,6e0b269c-455f-4112-9364-245249e7d4a0,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,101.0,102.0,87.0,0.426,0.106,0.016,0.222,0.22899999999999998,-0.68,-4.4,1.22,0.84,0.2,93.4,88.2,93.3,80.5,0.255,0.239,0.191,0.333,0.417,,,,,,,,,,,,
1,2023-07-18,717357,Strikeout,strikeout,True,624585,656756,Jorge Soler,Jordan Montgomery,0,0,0,86517abc-73f4-461f-a4c6-1b87eb9dedbd,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,101.0,102.0,87.0,0.426,0.106,0.016,0.222,0.22899999999999998,-0.68,-4.4,1.22,0.84,0.2,93.4,88.2,93.3,80.5,0.255,0.239,0.191,0.333,0.417,,,,,,,,,,,,
2,2023-07-18,717357,Strikeout,strikeout,True,643265,656756,Garrett Cooper,Jordan Montgomery,0,0,0,243cd43e-8042-46d2-89c7-dc6669712d58,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,101.0,102.0,87.0,0.426,0.106,0.016,0.222,0.22899999999999998,-0.68,-4.4,1.22,0.84,0.2,93.4,88.2,93.3,80.5,0.255,0.239,0.191,0.333,0.417,,,,,,,,,,,,
3,2023-07-18,717357,Walk,walk,False,680977,665795,Brendan Donovan,Edward Cabrera,0,0,0,3994771f-d532-4514-ba01-379cb188aab1,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.34700000000000003,92.9,91.0,98.0,99.0,109.0,102.0,103.0,106.0,95.0,92.0,109.0,86.0,82.0,,,,0.09300000000000001,0.27899999999999997,,0.23399999999999999,0.314,0.19,,-0.3,-0.37,1.29,96.2,,96.1,84.6,0.28,0.186,0.24,0.211,,115.0,98.0,104.0,0.081,-0.71,88.2,0.222,,,,,
4,2023-07-18,717357,Grounded Into DP,grounded_into_double_play,True,502671,665795,Paul Goldschmidt,Edward Cabrera,0,0,1,3f592740-bb4a-46a7-ac66-4cf1d956f27b,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.34700000000000003,92.9,91.0,98.0,99.0,109.0,102.0,103.0,106.0,95.0,92.0,109.0,86.0,82.0,,,,0.09300000000000001,0.27899999999999997,,0.23399999999999999,0.314,0.19,,-0.3,-0.37,1.29,96.2,,96.1,84.6,0.28,0.186,0.24,0.211,,115.0,98.0,104.0,0.081,-0.71,88.2,0.222,,,,,
5,2023-07-18,717357,Walk,walk,False,663457,665795,Lars Nootbaar,Edward Cabrera,0,0,0,d156262d-9b27-4a42-9b47-147052ff0e3c,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.34700000000000003,92.9,91.0,98.0,99.0,109.0,102.0,103.0,106.0,95.0,92.0,109.0,86.0,82.0,,,,0.09300000000000001,0.27899999999999997,,0.23399999999999999,0.314,0.19,,-0.3,-0.37,1.29,96.2,,96.1,84.6,0.28,0.186,0.24,0.211,,115.0,98.0,104.0,0.081,-0.71,88.2,0.222,,,,,
6,2023-07-18,717357,Strikeout,strikeout,True,571448,665795,Nolan Arenado,Edward Cabrera,0,0,0,6742913b-6ad3-4825-9764-00b2e2415dca,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.34700000000000003,92.9,91.0,98.0,99.0,109.0,102.0,103.0,106.0,95.0,92.0,109.0,86.0,82.0,,,,0.09300000000000001,0.27899999999999997,,0.23399999999999999,0.314,0.19,,-0.3,-0.37,1.29,96.2,,96.1,84.6,0.28,0.186,0.24,0.211,,115.0,98.0,104.0,0.081,-0.71,88.2,0.222,,,,,
7,2023-07-18,717357,Walk,walk,False,650559,656756,Bryan De La Cruz,Jordan Montgomery,0,0,0,4e5ca05b-1617-497a-add7-f99f8edfa0c6,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,101.0,102.0,87.0,0.426,0.106,0.016,0.222,0.22899999999999998,-0.68,-4.4,1.22,0.84,0.2,93.4,88.2,93.3,80.5,0.255,0.239,0.191,0.333,0.417,,,,,,,,,,,,
8,2023-07-18,717357,Single,single,False,493329,656756,Yuli Gurriel,Jordan Montgomery,1,0,1,842b763e-549d-489a-9c10-d2f2afd2df32,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,101.0,102.0,87.0,0.426,0.106,0.016,0.222,0.22899999999999998,-0.68,-4.4,1.22,0.84,0.2,93.4,88.2,93.3,80.5,0.255,0.239,0.191,0.333,0.417,,,,,,,,,,,,
9,2023-07-18,717357,Bunt Pop Out,field_out,True,516416,656756,Jean Segura,Jordan Montgomery,0,0,0,47154744-86c9-488c-9d27-64a955dd086c,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,101.0,102.0,87.0,0.426,0.106,0.016,0.222,0.22899999999999998,-0.68,-4.4,1.22,0.84,0.2,93.4,88.2,93.3,80.5,0.255,0.239,0.191,0.333,0.417,,,,,,,,,,,,
