date,time,series,result,opponent,team,location,weather,temp,opposingPitcherId,oppRuns,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,hits,atBats,stolenBases,rbi,leftOnBase,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CH%,wSI/C,wSL/C,wCH/C,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,oppStarterIP,oppStarterH,oppStarterR,oppStarterER,oppStarterBB,oppStarterK,oppStarterHR,oppStarterP,oppStarterS,oppStarterERA,teamPitcherId,teamPitcherName,teamStarterIP,teamStarterER,teamStarterK,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,KC%,wFA/C,wFC/C,wKC/C,vFA,vFC,vKC,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,vKN (sc),Stf+ FS,Loc+ FS,Pit+ FS,FS%,KN%,wFS/C,wKN/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,KC_ba,KC_slg,KC_whiff
2024/03/28,7:10 PM.,1,W,OAK,CLE,away,Cloudy.,55,622072,0,8,4,1,0,7,3,11,35,0,7,17,622072,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.66,39.1,98.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,42.0,103.0,97.0,82.0,99.0,93.0,74.0,94.0,90.0,0.462,0.315,0.224,-1.92,-0.4,-2.67,84.5,90.5,81.4,0.351,0.635,0.199,0.205,0.25,0.288,0.4,0.6,0.161,3.1,7,6,6,1,3,0,78,43,16.20,669456,Shane Bieber,6.0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/03/29,6:39 PM.,1,W,OAK,CLE,away,Partly Cloudy.,54,548389,4,6,4,0,1,9,6,9,34,2,5,16,548389,rossstripling,Stripling,Right,Ross Stripling,OAK,6.01,4.74,85.1,105.0,86.0,98.0,0.849,5.17,2.32,11.5,0.74,1.11,0.304,0.359,0.175,0.301,0.443,90.0,111.0,105.0,90.0,102.0,90.0,121.0,108.0,112.0,0.142,0.134,0.176,-0.67,-1.89,-1.87,82.7,90.2,84.7,0.39,0.441,0.078,0.328,0.5,0.157,0.333,0.52,0.241,5.0,7,5,4,2,6,1,92,58,7.20,671106,Logan Allen,5.0,3,3,62.0,100.0,87.0,89.0,105.0,106.0,80.0,107.0,92.0,0.303,0.159,0.086,-0.05,0.67,-1.1,91.7,87.5,76.3,0.244,0.422,0.175,0.245,0.367,0.156,0.364,0.455,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/03/30,1:07 PM.,1,W,OAK,CLE,away,Cloudy.,60,676664,3,12,4,1,1,6,5,15,41,6,11,23,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,84.0,100.0,87.0,118.0,100.0,105.0,0.106,0.339,0.192,1.37,-0.1,-0.21,84.0,90.0,78.9,0.276,0.395,0.104,0.23,0.525,0.259,0.297,0.428,0.188,3.2,6,5,5,2,1,0,83,57,12.27,676440,Tanner Bibee,4.0,3,4,70.0,102.0,92.0,,,,,,,0.363,,,-0.8,,,91.9,,,0.23,0.476,0.256,,,,,,,0.239,0.381,0.213,,,,,,,,,,,,,,,,,,,,,,,,
2024/03/31,1:07 PM.,1,L,OAK,CLE,away,Partly Cloudy.,58,621112,4,3,0,1,0,5,2,7,35,0,2,13,621112,paulblackburn,Blackburn,Right,Paul Blackburn,- - -,4.66,4.59,75.1,105.0,91.0,100.0,0.79,7.05,2.51,9.08,1.43,1.34,0.193,0.442,0.172,0.24,0.396,83.0,110.0,106.0,69.0,107.0,93.0,116.0,106.0,108.0,0.136,0.167,0.181,-4.04,1.35,1.56,85.7,91.2,81.3,0.478,0.674,0.095,0.163,0.245,0.284,0.164,0.236,0.347,7.0,3,0,0,1,3,0,88,55,0.00,471911,Carlos Carrasco,5.0,3,3,74.0,96.0,90.0,,,,105.0,106.0,99.0,0.195,0.22,,-2.3,-0.19,,91.9,89.1,,0.286,0.694,0.125,0.299,0.493,0.244,0.125,0.208,0.25,,,,91.0,107.0,106.0,0.101,2.06,79.4,,,,,,,,,,,,,,,,,,
2024/04/01,6:41 PM.,2,L,SEA,CLE,away,Clear.,61,676106,5,4,0,0,2,5,1,6,32,0,4,9,676106,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.75,5.94,60.2,102.0,86.0,98.0,0.809,5.79,2.82,9.2,1.78,0.82,0.272,0.411,0.198,0.317,0.436,86.0,108.0,105.0,90.0,100.0,94.0,97.0,94.0,95.0,0.298,0.165,0.211,-1.17,-3.11,0.03,86.5,93.2,84.1,0.323,0.538,0.149,0.3,0.6,0.317,0.185,0.323,0.239,5.1,4,3,3,1,1,1,81,55,5.06,663474,Triston McKenzie,3.1,4,2,76.0,103.0,94.0,,,,,,,0.326,,,0.6,,,93.4,,,0.253,0.443,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/02,6:41 PM.,2,W,SEA,CLE,away,Partly Cloudy.,63,622491,2,5,2,0,1,11,1,12,37,0,3,16,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.64,3.91,175.1,105.0,101.0,102.0,0.768,8.98,2.41,8.11,1.28,0.94,0.26,0.409,0.159,0.319,0.406,89.0,104.0,97.0,100.0,102.0,98.0,72.0,106.0,108.0,0.179,0.224,0.143,-0.41,0.65,-1.63,88.1,95.6,85.7,0.298,0.457,0.105,0.207,0.357,0.358,0.287,0.545,0.265,5.2,10,4,4,1,7,1,99,72,6.75,669456,Shane Bieber,6.0,0,9,120.0,105.0,103.0,,,,,,,0.454,,,0.97,,,95.6,,,0.203,0.365,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/03,1:11 PM.,2,W,SEA,CLE,away,Partly Cloudy.,52,669923,0,8,3,0,0,4,1,11,37,1,8,15,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,106.0,108.0,108.0,110.0,104.0,110.0,0.236,0.237,,1.5,1.28,,,96.0,87.2,0.263,0.354,0.105,0.226,0.316,0.271,,,,3.2,10,8,8,0,2,0,72,55,6.97,671106,Logan Allen,6.2,0,6,102.0,107.0,101.0,114.0,110.0,113.0,97.0,99.0,93.0,0.339,0.004,0.082,0.46,0.79,-1.95,96.0,92.3,83.4,0.221,0.458,0.291,,,,0.333,0.439,0.286,,,,,,,,,,73.9,109.0,100.0,108.0,0.102,0.0,-2.05,-3.5,86.0,0.253,0.413,0.295,,,,,,
2024/04/04,3:17 PM.,3,W,MIN,CLE,away,Partly Cloudy.,48,641154,2,4,1,0,0,7,3,7,33,0,3,12,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,97.0,107.0,107.0,106.0,103.0,110.0,0.073,0.219,0.201,-2.77,-0.84,-0.14,88.5,94.5,84.5,0.426,0.639,0.142,,,,0.281,0.359,0.249,5.2,6,4,3,1,2,0,95,60,2.84,676440,Tanner Bibee,5.1,1,9,97.0,105.0,101.0,,,,,,,0.407,,,1.65,,,95.0,,,0.208,0.352,0.259,,,,0.23,0.446,0.341,0.239,0.436,0.331,92.0,103.0,108.0,0.1,-1.28,82.4,,,,,,,,,,,,,,,,,,
2024/04/06,1:11 PM.,3,W,MIN,CLE,away,Sunny.,55,657746,1,3,1,0,1,11,0,7,33,0,3,10,657746,joeryan,Ryan,Right,Joe Ryan,MIN,3.6,2.87,135.0,107.0,99.0,104.0,0.752,9.8,1.53,7.33,1.27,0.79,0.242,0.427,0.198,0.281,0.481,,,,110.0,108.0,105.0,108.0,103.0,112.0,0.06,0.234,,-0.77,-0.09,,,92.9,83.1,0.345,0.483,0.094,0.343,0.6,0.216,,,,6.0,5,3,3,0,7,1,90,67,3.18,471911,Carlos Carrasco,3.0,1,6,94.0,110.0,105.0,,,,,,,0.485,,,1.38,,,94.0,,,0.194,0.379,0.275,,,,,,,0.207,0.37,0.337,,,,,,,,101.0,103.0,94.0,0.221,,0.2,,88.6,0.202,0.387,0.258,,,,,,
2024/04/08,5:11 PM.,4,W,CWS,CLE,home,Partly Cloudy.,63,621383,0,4,1,0,1,8,1,10,34,1,3,19,621383,tannerbanks,Banks,Left,Tanner Banks,- - -,3.98,3.41,72.1,102.0,97.0,100.0,0.759,9.71,3.11,8.59,0.75,1.49,0.273,0.337,0.146,0.268,0.435,86.0,98.0,99.0,76.0,102.0,91.0,109.0,95.0,93.0,0.084,0.327,0.129,0.59,-0.07,-1.88,86.3,92.1,87.9,0.292,0.292,0.326,0.293,0.415,0.258,0.279,0.512,0.159,2.1,2,1,1,0,5,0,43,28,2.08,663474,Triston McKenzie,5.2,0,2,85.0,106.0,104.0,,,,,,,0.31,,,0.31,,,93.5,,,0.207,0.305,0.282,,,,0.196,0.261,0.279,,,,117.0,110.0,108.0,0.149,1.27,82.1,,,,,,,,,,,,,,,,,,
