date,time,series,result,opponent,team,location,weather,temp,opposingPitcherId,oppRuns,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,hits,atBats,stolenBases,rbi,leftOnBase,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,oppStarterIP,oppStarterH,oppStarterR,oppStarterER,oppStarterBB,oppStarterK,oppStarterHR,oppStarterP,oppStarterS,oppStarterERA,teamPitcherId,teamPitcherName,teamStarterIP,teamStarterER,teamStarterK,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024/03/28,3:14 PM.,1,L,BAL,LAA,away,Cloudy.,54,669203,11,3,1,0,1,14,3,2,28,0,2,6,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,110.0,98.0,103.0,109.0,101.0,106.0,104.0,95.0,89.0,133.0,105.0,120.0,125.0,105.0,108.0,0.078,0.45,0.146,0.215,0.11,1.37,-0.5,0.7,0.44,0.2,95.3,89.2,97.0,87.2,80.3,0.251,0.362,0.19,0.2,0.326,0.378,0.196,0.268,0.463,0.194,0.339,0.377,0.235,0.412,0.157,0.125,0.5,0.457,6.0,1,1,1,0,11,1,82,56,1.50,663776,Patrick Sandoval,1.2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/03/30,4:07 PM.,1,L,BAL,LAA,away,Cloudy.,68,680570,13,4,0,1,1,13,1,9,36,0,4,15,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.86,3.72,116.2,102.0,119.0,107.0,0.728,10.03,2.78,8.41,1.16,1.07,0.219,0.419,0.147,0.325,0.452,140.0,101.0,108.0,114.0,103.0,107.0,133.0,102.0,111.0,118.0,101.0,108.0,,,,0.012,,0.158,0.155,0.21,,5.3,-0.96,0.29,1.63,,83.1,96.1,86.5,81.3,,,,0.26,0.38,0.241,0.25,0.563,0.361,0.161,0.306,0.348,0.167,0.333,0.294,,,,6.0,4,1,1,1,9,1,84,57,1.50,656288,Griffin Canning,5.0,5,2,113.0,102.0,106.0,0.465,-0.38,96.1,0.291,0.413,0.269,,,,,,,,,,,,,,,,,,,,,,,,
2024/03/31,1:37 PM.,1,W,BAL,LAA,away,Cloudy.,65,669330,1,4,0,0,1,8,1,6,31,0,3,8,669330,tylerwells,"Wells, T",Right,Tyler Wells,BAL,5.87,7.64,15.1,105.0,103.0,100.0,0.769,7.63,1.76,10.57,1.76,0.83,0.196,0.51,0.216,0.373,0.394,110.0,115.0,116.0,99.0,105.0,99.0,,,,124.0,99.0,91.0,105.0,106.0,96.0,,0.178,0.104,0.185,0.189,-1.33,,-6.34,1.94,2.88,88.1,85.8,,84.3,76.1,0.333,0.667,0.273,0.2,0.2,0.417,0.5,0.833,0.286,0.143,0.143,0.28,,,,,,,6.0,5,4,3,0,7,1,82,61,4.50,672282,Reid Detmers,5.0,1,7,93.0,99.0,96.0,0.344,-2.83,92.5,0.32,0.72,0.196,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/01,6:42 PM.,2,W,MIA,LAA,away,Partly Cloudy.,77,676974,4,7,1,1,3,7,6,7,33,2,6,14,676974,maxmeyer,Meyer,Right,Max Meyer,MIA,5.68,4.74,57.0,98.0,98.0,101.0,0.782,7.26,3.0,9.79,2.21,1.38,0.189,0.494,0.144,0.35,0.426,86.0,88.0,88.0,,,,81.0,92.0,82.0,119.0,103.0,115.0,,,,0.021,,0.407,,0.179,,-1.39,-0.21,,-2.48,,86.7,92.7,88.2,,,,,,,,0.24,0.471,0.342,0.233,0.6,0.235,,,,,,,5.0,2,2,2,2,4,1,79,46,3.60,681217,Chase Silseth,3.0,3,5,83.0,97.0,94.0,0.394,-2.29,94.1,0.33,0.648,0.139,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/02,6:41 PM.,2,W,MIA,LAA,away,Partly Cloudy.,79,666200,1,3,2,0,1,6,3,7,31,1,3,7,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.59,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.12,0.281,0.4,88.0,97.0,95.0,31.0,40.0,52.0,87.0,90.0,88.0,97.0,98.0,108.0,,,,0.083,,0.292,0.002,0.229,,-0.77,0.14,-3.5,1.58,,86.3,94.6,83.5,81.6,,,,,,,0.2,0.347,0.48,0.207,0.328,0.407,0.381,0.571,0.125,,,,5.1,4,3,3,2,5,1,93,58,4.35,542881,Tyler Anderson,7.0,0,5,98.0,100.0,95.0,0.394,-0.64,95.2,0.28,0.484,0.111,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/03,1:10 PM.,2,W,MIA,LAA,away,Roof Closed.,72,640462,2,10,5,0,1,7,8,12,36,0,8,20,640462,ajpuk,Puk,Left,A.J. Puk,- - -,3.15,2.72,71.1,103.0,115.0,106.0,0.709,11.1,3.53,6.43,0.63,0.9,0.227,0.381,0.216,0.278,0.462,118.0,111.0,110.0,,,,109.0,95.0,96.0,102.0,103.0,110.0,,,,0.151,,0.38,,0.014,,-0.18,0.1,,-1.95,,90.3,94.7,83.8,,,,,,,,0.161,0.306,0.478,0.4,0.4,0.4,0.286,0.457,0.13,0.235,0.559,0.265,4.0,5,4,2,3,5,0,88,56,9.00,663776,Patrick Sandoval,5.2,2,7,125.0,105.0,108.0,0.429,2.5,95.6,0.145,0.197,0.314,115.0,103.0,113.0,0.026,-4.04,84.4,0.444,0.667,0.111,,,,,,,,,,,,,,,
2024/04/05,7:06 PM.,3,L,BOS,LAA,home,Partly Cloudy.,54,676710,8,6,0,0,1,10,3,6,36,0,6,20,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.36,3.86,183.2,105.0,108.0,107.0,0.766,8.58,2.5,7.6,1.67,0.67,0.244,0.424,0.164,0.288,0.446,,,,,,,,,,100.0,99.0,102.0,114.0,104.0,104.0,,0.32,0.185,,,0.55,,-0.56,,,87.5,,,80.8,,0.216,0.418,0.265,0.143,0.171,0.219,,,,,,,,,,0.222,0.437,0.263,4.2,2,1,1,3,5,0,90,56,0.84,656288,Griffin Canning,4.2,4,4,109.0,109.0,112.0,0.337,-0.43,92.6,0.255,0.5,0.198,87.0,102.0,106.0,0.086,0.47,82.4,0.192,0.26,0.404,98.0,97.0,99.0,0.072,1.14,77.3,,,,,,,,,
2024/04/06,6:38 PM.,3,W,BOS,LAA,home,Clear.,61,676477,1,2,0,0,0,10,6,6,30,2,0,17,676477,garrettwhitlock,Whitlock,Right,Garrett Whitlock,BOS,1.96,4.49,18.1,101.0,104.0,102.0,0.837,8.35,3.44,6.87,0.49,1.47,0.22,0.42,0.14,0.28,0.449,90.0,101.0,107.0,,,,101.0,97.0,91.0,143.0,108.0,112.0,77.0,96.0,93.0,0.227,0.193,0.296,,0.283,-1.84,-0.25,2.3,,1.81,86.6,84.4,93.4,82.4,,0.308,0.692,0.207,,,,0.091,0.091,0.103,0.174,0.217,0.204,0.333,0.4,0.167,0.0,0.0,0.125,4.1,4,0,0,4,4,0,101,64,0.96,672282,Reid Detmers,6.0,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/07,1:08 PM.,3,L,BOS,LAA,home,Partly Cloudy.,66,656557,12,2,1,0,1,8,3,8,34,1,1,18,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,3.12,4.11,178.2,100.0,108.0,104.0,0.789,7.76,2.42,7.86,0.55,2.34,0.193,0.45,0.126,0.305,0.425,,,,,,,93.0,102.0,97.0,116.0,98.0,108.0,95.0,93.0,93.0,0.324,0.015,0.414,,,-0.95,0.67,0.54,,,87.1,,93.5,83.2,,0.2,0.4,0.235,,,,,,,,,,0.27,0.325,0.142,0.23,0.357,0.302,6.0,4,0,0,2,7,0,99,57,0.00,681217,Chase Silseth,5.0,3,7,,,,,,,,,,116.0,103.0,109.0,0.248,1.74,88.4,0.195,0.265,0.208,,,,,,,,,,,,,,,
2024/04/08,6:38 PM.,4,W,TB,LAA,home,Clear.,70,621107,1,7,2,1,1,7,3,14,37,2,7,16,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,87.0,101.0,103.0,108.0,112.0,108.0,91.0,109.0,105.0,122.0,107.0,113.0,85.0,105.0,98.0,0.282,0.282,0.097,0.188,0.061,1.54,0.0,0.46,-1.27,0.21,88.2,85.6,91.7,79.7,78.8,0.214,0.345,0.223,0.291,0.472,0.333,,,,0.188,0.354,0.105,0.293,0.404,0.133,0.236,0.473,0.203,5.0,9,5,5,0,5,1,76,54,6.35,542881,Tyler Anderson,7.0,0,3,61.0,105.0,94.0,0.09,-0.64,92.4,0.236,0.418,0.248,,,,,,,,,,,,,,,,,,,,,,,,
