date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/05/20,7:09 PM.,SEA,NYY,home,Partly Cloudy.,68,0.2,0,0,0,0,1,0,6,2.20
2024/05/15,6:41 PM.,MIN,NYY,away,Cloudy.,71,2.0,2,0,0,1,3,0,31,2.25
2024/05/12,1:40 PM.,TB,NYY,away,Dome.,72,1.2,0,0,0,0,2,0,26,2.42
2024/05/10,6:50 PM.,TB,NYY,away,Dome.,72,1.0,0,0,0,0,2,0,12,2.59
2024/05/09,5:07 PM.,HOU,NYY,home,Overcast.,66,1.1,0,0,0,0,2,0,17,2.70
2024/05/04,1:09 PM.,DET,NYY,home,Partly Cloudy.,61,2.1,1,0,0,0,4,0,38,2.86
2024/04/30,6:36 PM.,BAL,NYY,away,Cloudy.,86,2.0,1,0,0,0,3,0,25,3.20
2024/04/27,6:10 PM.,MIL,NYY,away,Roof Closed.,73,2.0,1,0,0,1,2,0,26,3.57
2024/04/24,7:09 PM.,OAK,NYY,home,Clear.,63,2.2,0,0,0,0,3,0,30,4.02
2024/04/21,1:39 PM.,TB,NYY,home,Overcast.,49,1.1,0,0,0,0,1,0,20,4.85
2024/04/20,1:08 PM.,TB,NYY,home,Partly Cloudy.,60,1.0,0,0,0,0,1,0,12,5.40
2024/04/16,7:07 PM.,TOR,NYY,away,Roof Closed.,68,1.1,2,2,2,0,2,0,32,5.91
2024/04/14,1:40 PM.,CLE,NYY,away,Sunny.,71,1.2,1,1,1,0,3,1,22,4.82
2024/04/10,7:08 PM.,MIA,NYY,home,Overcast.,57,2.0,1,0,0,1,1,0,36,4.70
2024/04/06,7:11 PM.,TOR,NYY,home,Cloudy.,50,2.0,3,3,3,1,1,1,47,6.35
2024/04/01,6:40 PM.,AZ,NYY,away,Roof Closed.,72,2.1,2,1,1,1,0,0,51,2.45
2024/03/29,7:11 PM.,HOU,NYY,away,Roof Closed.,73,1.1,0,0,0,0,0,0,16,0.00
