date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/05/03,7:10 PM.,ATL,LAD,home,Clear.,64,1.0,1,1,1,0,1,1,27,3.60
2024/04/30,8:35 PM.,AZ,LAD,away,Clear.,86,1.0,3,1,1,0,0,0,18,3.21
2024/04/29,6:40 PM.,AZ,LAD,away,Clear.,89,1.0,0,0,0,0,0,0,7,2.77
2024/04/25,4:05 PM.,WSH,LAD,away,Cloudy.,61,1.0,2,1,1,0,1,0,18,3.00
2024/04/23,6:45 PM.,WSH,LAD,away,Clear.,71,1.0,0,0,0,1,0,0,27,2.45
2024/04/19,7:10 PM.,NYM,LAD,home,Clear.,61,1.0,1,2,1,0,2,1,17,2.70
2024/04/16,7:10 PM.,WSH,LAD,home,Clear.,68,1.0,1,0,0,0,1,0,18,2.00
2024/04/13,8:25 PM.,SD,LAD,home,Rain.,48,1.0,0,0,0,0,3,0,12,2.25
2024/04/12,7:10 PM.,SD,LAD,home,Overcast.,59,1.0,2,1,1,0,1,1,24,2.57
2024/04/08,6:41 PM.,MIN,LAD,away,Partly Cloudy.,49,1.0,0,0,0,0,1,0,19,1.50
2024/04/06,3:05 PM.,CHC,LAD,away,Sunny.,46,1.0,1,0,0,0,1,0,8,1.80
2024/04/03,7:10 PM.,SF,LAD,home,Clear.,63,1.0,1,1,1,0,1,1,14,2.25
2024/03/31,4:10 PM.,STL,LAD,home,Cloudy.,59,1.0,0,0,0,0,2,0,16,0.00
2024/03/30,6:10 PM.,STL,LAD,home,Cloudy.,52,1.0,0,0,0,0,1,0,14,0.00
