date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/05/12,1:10 PM.,MIL,STL,away,Partly Cloudy.,77,0.2,0,0,0,0,1,0,5,2.76
2024/05/11,6:15 PM.,MIL,STL,away,Roof Closed.,68,0.2,2,3,3,1,0,1,18,2.87
2024/05/06,6:45 PM.,NYM,STL,home,Clear.,76,1.0,1,1,1,0,0,1,15,1.20
2024/05/04,1:17 PM.,CWS,STL,home,Sunny.,81,2.0,1,0,0,0,2,0,27,0.64
2024/04/27,4:06 PM.,NYM,STL,away,Cloudy.,57,1.0,1,0,0,0,1,0,11,0.75
2024/04/26,7:11 PM.,NYM,STL,away,Clear.,52,1.0,1,0,0,0,1,0,11,0.82
2024/04/24,12:15 PM.,AZ,STL,home,Sunny.,65,1.0,1,0,0,0,0,0,7,0.90
2024/04/22,6:47 PM.,AZ,STL,home,Clear.,66,1.1,0,0,0,1,1,0,16,1.00
2024/04/21,1:16 PM.,MIL,STL,home,Sunny.,56,0.2,1,0,0,0,1,0,10,1.17
2024/04/15,6:40 PM.,OAK,STL,away,Partly Cloudy.,61,1.0,0,0,0,1,1,0,13,1.29
2024/04/12,6:40 PM.,AZ,STL,away,Clear.,86,1.0,0,0,0,0,2,0,13,1.50
2024/04/10,12:17 PM.,PHI,STL,home,Drizzle.,57,0.2,0,0,0,0,1,0,10,1.80
2024/04/09,6:46 PM.,PHI,STL,home,Cloudy.,68,0.2,2,0,0,0,2,0,21,2.08
2024/04/06,1:15 PM.,MIA,STL,home,Partly Cloudy.,57,1.0,2,1,1,0,1,0,13,2.45
2024/04/02,6:40 PM.,SD,STL,away,Clear.,66,1.0,0,0,0,0,1,0,7,0.00
2024/03/31,4:10 PM.,LAD,STL,away,Cloudy.,59,0.2,1,0,0,1,0,0,18,0.00
2024/03/30,6:10 PM.,LAD,STL,away,Cloudy.,52,1.0,0,0,0,0,1,0,12,0.00
