date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff
2024-05-21,746633,Strikeout,strikeout,True,671286,605288,Johnathan Rodriguez,Adrian Houser,0,3f0fa647-f33c-4e5d-b74f-442f5405fec0,605288.0,adrianhouser,Houser,Right,Adrian Houser,NYM,5.89,4.96,65.2,100.0,91.0,97.0,0.83,5.76,4.25,9.59,0.96,1.37,0.258,0.415,0.143,0.29,0.435,99.0,95.0,96.0,82.0,96.0,92.0,71.0,104.0,95.0,91.0,103.0,101.0,0.162,0.176,0.085,0.128,-0.32,-1.06,-3.8,-2.42,93.5,84.0,83.2,79.5,0.268,0.488,0.226,0.2,0.371,0.167,0.471,0.765,0.176,96.0,100.0,96.0,0.45,0.38,92.5,0.252,0.378,0.124,0.316,0.474,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-21,746633,Groundout,field_out,True,671286,605288,Johnathan Rodriguez,Adrian Houser,1,c81d8569-dfde-4b1d-8140-bc4d7a7d776b,605288.0,adrianhouser,Houser,Right,Adrian Houser,NYM,5.89,4.96,65.2,100.0,91.0,97.0,0.83,5.76,4.25,9.59,0.96,1.37,0.258,0.415,0.143,0.29,0.435,99.0,95.0,96.0,82.0,96.0,92.0,71.0,104.0,95.0,91.0,103.0,101.0,0.162,0.176,0.085,0.128,-0.32,-1.06,-3.8,-2.42,93.5,84.0,83.2,79.5,0.268,0.488,0.226,0.2,0.371,0.167,0.471,0.765,0.176,96.0,100.0,96.0,0.45,0.38,92.5,0.252,0.378,0.124,0.316,0.474,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-21,746633,Strikeout,strikeout,True,671286,518617,Johnathan Rodriguez,Jake Diekman,0,d6a239fa-5b34-441e-86ca-1ceff932b608,518617.0,jakediekman,Diekman,Left,Jake Diekman,NYM,5.53,4.33,27.2,90.0,132.0,95.0,0.752,10.73,7.16,6.18,1.63,1.83,0.294,0.309,0.191,0.265,0.417,84.0,88.0,83.0,,,,144.0,93.0,94.0,120.0,88.0,101.0,0.601,0.304,,0.093,-0.22,0.18,,-5.1,94.5,87.1,82.8,,0.115,0.269,0.354,0.197,0.426,0.265,,,,86.0,-132.0,-134.0,0.002,-19.0,93.6,,,,0.364,0.727,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-21,746633,Forceout,force_out,True,671286,656887,Johnathan Rodriguez,Sean Reid-Foley,1,afcf24ec-cc58-47ce-9a1b-4881a1bef06d,656887.0,seanreidfoley,Reid-Foley,Right,Sean Reid-Foley,NYM,1.66,2.83,21.2,93.0,104.0,95.0,0.735,10.38,5.82,5.4,0.0,2.38,0.275,0.353,0.137,0.353,0.41,153.0,99.0,107.0,,,,89.0,95.0,93.0,106.0,74.0,80.0,0.673,0.125,,0.197,1.41,-0.02,,1.13,94.9,88.7,86.6,,0.143,0.143,0.688,0.149,0.191,0.217,,,,153.0,95.0,93.0,0.005,-2.4,95.3,,,,0.238,0.238,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-22,746634,Grounded Into DP,grounded_into_double_play,True,671286,500779,Johnathan Rodriguez,Jose Quintana,1,34b5ee9f-0edb-440c-a286-224e10b1f51c,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.13,5.19,102.1,98.0,82.0,93.0,0.809,6.95,2.99,8.36,1.5,1.36,0.216,0.422,0.152,0.368,0.351,71.0,101.0,97.0,108.0,104.0,101.0,69.0,93.0,86.0,,,,0.207,,0.277,0.199,-1.6,,0.72,0.78,90.5,85.8,,77.8,,,,0.281,0.579,0.149,0.255,0.415,0.247,75.0,97.0,91.0,0.318,-0.01,90.7,0.271,0.504,0.137,0.188,0.263,0.314,,,,,,,,,,,,,,,,,,,,,,,,,0.154,0.269,0.327
2024-05-22,746634,Groundout,field_out,True,671286,500779,Johnathan Rodriguez,Jose Quintana,0,f910ba5c-485a-4687-a3dd-82732d0e0d9d,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.13,5.19,102.1,98.0,82.0,93.0,0.809,6.95,2.99,8.36,1.5,1.36,0.216,0.422,0.152,0.368,0.351,71.0,101.0,97.0,108.0,104.0,101.0,69.0,93.0,86.0,,,,0.207,,0.277,0.199,-1.6,,0.72,0.78,90.5,85.8,,77.8,,,,0.281,0.579,0.149,0.255,0.415,0.247,75.0,97.0,91.0,0.318,-0.01,90.7,0.271,0.504,0.137,0.188,0.263,0.314,,,,,,,,,,,,,,,,,,,,,,,,,0.154,0.269,0.327
2024-05-22,746634,Single,single,False,671286,657585,Johnathan Rodriguez,Reed Garrett,1,169db4e7-7cfc-4c78-85e6-dcd8cbe5277f,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,NYM,3.64,3.19,42.0,92.0,118.0,97.0,0.642,13.5,4.71,8.14,1.29,1.14,0.247,0.454,0.237,0.258,0.347,,,,,,,126.0,86.0,90.0,120.0,97.0,105.0,0.162,0.208,,,-4.83,1.05,,,96.4,,84.7,,0.167,0.208,0.333,0.44,0.84,0.269,,,,92.0,88.0,82.0,0.123,-2.61,96.2,0.4,0.733,0.25,,,,122.0,93.0,101.0,0.273,1.93,87.9,0.129,0.145,0.529,,,,,,,109.0,93.0,89.0,0.234,0.88,91.3,0.273,0.485,0.353,,,
2024-05-22,746634,Walk,walk,False,671286,493603,Johnathan Rodriguez,Adam Ottavino,0,050b929e-bd98-4186-8949-92ec936a7b8c,493603.0,adamottavino,Ottavino,Right,Adam Ottavino,NYM,4.75,2.94,36.0,99.0,103.0,100.0,0.744,12.0,3.25,7.5,1.0,1.0,0.352,0.386,0.216,0.352,0.415,73.0,89.0,90.0,,,,72.0,102.0,98.0,115.0,108.0,113.0,0.055,0.39,,0.077,1.93,-0.09,,-2.3,92.9,87.2,79.2,,0.3,0.6,0.222,0.0,0.0,0.429,,,,100.0,101.0,99.0,0.377,0.6,92.1,0.217,0.25,0.167,0.364,0.545,0.222,,,,,,,,,,,,,,,,85.0,87.0,90.0,0.102,-1.42,87.9,0.286,1.0,0.351,,,
2024-05-24,746227,Walk,walk,False,671286,663776,Johnathan Rodriguez,Patrick Sandoval,1,7bf3619e-beea-4e61-ad91-ebfbf4b3ae7c,663776.0,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,5.08,4.19,79.2,98.0,98.0,99.0,0.748,9.15,3.95,9.6,0.9,1.33,0.192,0.415,0.141,0.308,0.421,96.0,101.0,104.0,96.0,94.0,100.0,56.0,95.0,83.0,149.0,98.0,106.0,0.16,0.293,0.09,0.283,-2.17,0.25,2.02,0.72,93.7,82.9,86.8,76.3,0.235,0.471,0.281,0.381,0.524,0.16,0.118,0.118,0.256,63.0,96.0,88.0,0.174,-1.82,93.7,0.413,0.565,0.142,0.208,0.292,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-24,746227,Groundout,field_out,True,671286,663776,Johnathan Rodriguez,Patrick Sandoval,1,a2764b69-7b0b-4d11-b82b-49e860bcddfd,663776.0,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,5.08,4.19,79.2,98.0,98.0,99.0,0.748,9.15,3.95,9.6,0.9,1.33,0.192,0.415,0.141,0.308,0.421,96.0,101.0,104.0,96.0,94.0,100.0,56.0,95.0,83.0,149.0,98.0,106.0,0.16,0.293,0.09,0.283,-2.17,0.25,2.02,0.72,93.7,82.9,86.8,76.3,0.235,0.471,0.281,0.381,0.524,0.16,0.118,0.118,0.256,63.0,96.0,88.0,0.174,-1.82,93.7,0.413,0.565,0.142,0.208,0.292,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
