date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024-09-14,745284,Pop Out,field_out,True,663604,622268,Brandon Lockridge,Donovan Walton,0,c0b4020c-ddf1-4655-82e2-43e70196e458,622268.0,donovanwalton,Walton,Right,Donovan Walton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,745287,Flyout,field_out,True,663604,666808,Brandon Lockridge,Camilo Doval,0,179d734e-01e8-4efe-9a48-ecb342ffafaf,666808.0,camilodoval,Doval,Right,Camilo Doval,SFG,5.17,3.55,54.0,95.0,113.0,98.0,0.66,11.83,6.0,8.83,0.83,2.1,0.19,0.465,0.169,0.324,0.378,,,,,,,72.0,90.0,79.0,137.0,93.0,106.0,0.148,,0.501,,,-2.04,0.17,,,,97.6,88.7,,,,,,,0.375,0.531,0.175,0.205,0.304,0.455,,,,,,,95.0,99.0,93.0,0.351,,-0.85,,99.2,,0.281,0.563,0.234,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-18,745365,Single,single,False,663604,664285,Brandon Lockridge,Framber Valdez,1,690ff340-4ba0-4317-8b9e-6c1b07bceb2c,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.85,3.3,170.2,97.0,114.0,102.0,0.741,8.7,2.79,6.96,0.63,3.0,0.21,0.411,0.13,0.318,0.424,128.0,96.0,104.0,58.0,102.0,93.0,98.0,99.0,97.0,106.0,102.0,109.0,0.456,0.012,0.044,0.173,-4.99,1.42,-0.37,1.07,94.4,89.9,94.1,85.0,0.4,1.0,0.273,,,,0.281,0.399,0.115,0.241,0.483,0.373,0.202,0.257,0.362,129.0,97.0,109.0,,,,,0.315,,1.74,,79.7,,,,0.112,0.174,0.403,,,,,,,,,,,,,,,,,,,,,
2024-09-18,745365,Strikeout,strikeout,True,663604,664285,Brandon Lockridge,Framber Valdez,0,c47010d8-0416-4711-a3ce-6f0c7b93a94c,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.85,3.3,170.2,97.0,114.0,102.0,0.741,8.7,2.79,6.96,0.63,3.0,0.21,0.411,0.13,0.318,0.424,128.0,96.0,104.0,58.0,102.0,93.0,98.0,99.0,97.0,106.0,102.0,109.0,0.456,0.012,0.044,0.173,-4.99,1.42,-0.37,1.07,94.4,89.9,94.1,85.0,0.4,1.0,0.273,,,,0.281,0.399,0.115,0.241,0.483,0.373,0.202,0.257,0.362,129.0,97.0,109.0,,,,,0.315,,1.74,,79.7,,,,0.112,0.174,0.403,,,,,,,,,,,,,,,,,,,,,
2024-09-18,745365,Flyout,field_out,True,663604,664285,Brandon Lockridge,Framber Valdez,0,3625a067-339c-4a07-85ac-7ddf2dc4f3e8,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.85,3.3,170.2,97.0,114.0,102.0,0.741,8.7,2.79,6.96,0.63,3.0,0.21,0.411,0.13,0.318,0.424,128.0,96.0,104.0,58.0,102.0,93.0,98.0,99.0,97.0,106.0,102.0,109.0,0.456,0.012,0.044,0.173,-4.99,1.42,-0.37,1.07,94.4,89.9,94.1,85.0,0.4,1.0,0.273,,,,0.281,0.399,0.115,0.241,0.483,0.373,0.202,0.257,0.362,129.0,97.0,109.0,,,,,0.315,,1.74,,79.7,,,,0.112,0.174,0.403,,,,,,,,,,,,,,,,,,,,,
2024-09-28,747146,Forceout,force_out,True,663604,593958,Brandon Lockridge,Eduardo Rodriguez,1,969af212-dfb0-42ae-81e0-c99b5bd51560,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.04,5.59,50.0,104.0,76.0,96.0,0.808,8.46,3.42,10.08,1.44,0.98,0.204,0.439,0.14,0.338,0.405,97.0,103.0,101.0,60.0,101.0,90.0,84.0,111.0,99.0,105.0,109.0,105.0,0.076,0.44,0.066,0.225,-0.04,-3.84,-0.19,-0.27,92.0,86.7,91.6,83.9,0.257,0.486,0.262,,,,0.318,0.455,0.182,0.167,0.417,0.095,0.269,0.385,0.256,,,,77.0,105.0,97.0,0.193,,-1.76,,88.8,,0.333,0.595,0.133,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-28,747146,Strikeout,strikeout,True,663604,593958,Brandon Lockridge,Eduardo Rodriguez,0,35a6ebe6-6b69-4c0a-9d29-04d6358ecb8b,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.04,5.59,50.0,104.0,76.0,96.0,0.808,8.46,3.42,10.08,1.44,0.98,0.204,0.439,0.14,0.338,0.405,97.0,103.0,101.0,60.0,101.0,90.0,84.0,111.0,99.0,105.0,109.0,105.0,0.076,0.44,0.066,0.225,-0.04,-3.84,-0.19,-0.27,92.0,86.7,91.6,83.9,0.257,0.486,0.262,,,,0.318,0.455,0.182,0.167,0.417,0.095,0.269,0.385,0.256,,,,77.0,105.0,97.0,0.193,,-1.76,,88.8,,0.333,0.595,0.133,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-28,747146,Groundout,field_out,True,663604,657044,Brandon Lockridge,Ryan Thompson,0,7686e386-9ee2-4af6-8dbf-6137660d9062,657044.0,ryanthompson,"Thompson, R",Right,Ryan Thompson,ARI,3.26,3.99,66.1,101.0,112.0,106.0,0.796,7.06,2.04,8.68,0.68,2.69,0.157,0.451,0.196,0.328,0.432,,,,127.0,120.0,114.0,102.0,100.0,102.0,131.0,97.0,110.0,0.641,0.102,0.257,,-0.66,0.88,0.33,,92.5,,91.0,79.0,0.2,0.28,0.245,,,,0.267,0.401,0.174,0.236,0.345,0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-28,747146,Home Run,home_run,False,663604,640462,Brandon Lockridge,A.J. Puk,0,674b49b4-61d9-427c-a1d2-848165396f9b,640462.0,ajpuk,Puk,Left,A.J. Puk,- - -,3.15,2.72,71.1,103.0,115.0,106.0,0.709,11.1,3.53,6.43,0.63,0.9,0.227,0.381,0.216,0.273,0.463,118.0,111.0,110.0,125.0,105.0,108.0,109.0,95.0,96.0,102.0,103.0,110.0,0.151,0.429,0.38,0.014,2.5,-0.18,0.1,-1.95,95.6,90.3,94.7,83.8,0.145,0.197,0.314,0.235,0.559,0.265,0.286,0.457,0.13,0.161,0.306,0.478,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,115.0,103.0,113.0,0.026,-4.04,84.4,0.444,0.667,0.111,,,,,,
2024-09-29,747147,Strikeout,strikeout,True,663604,694297,Brandon Lockridge,Brandon Pfaadt,0,a9c6784a-ddca-4df5-8398-d54d9bafd3db,694297.0,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,4.71,3.75,181.2,106.0,107.0,107.0,0.768,9.17,2.08,9.07,1.19,1.07,0.25,0.427,0.131,0.306,0.449,92.0,102.0,96.0,95.0,106.0,103.0,89.0,106.0,104.0,143.0,109.0,119.0,0.222,0.334,0.273,0.112,0.37,-0.09,-0.12,0.84,93.8,87.5,93.7,84.8,0.265,0.466,0.224,0.215,0.455,0.362,0.286,0.365,0.119,,,,0.25,0.289,0.312,106.0,102.0,104.0,,,,,0.053,,-1.37,,80.8,,,,0.429,0.571,0.279,,,,,,,,,,0.006,0.45,89.6,0.2,0.8,0.0,,,,,,
2024-09-29,747147,Strikeout,strikeout,True,663604,694297,Brandon Lockridge,Brandon Pfaadt,0,7ee4d9ce-e6d4-4351-8540-6d2511a376ed,694297.0,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,4.71,3.75,181.2,106.0,107.0,107.0,0.768,9.17,2.08,9.07,1.19,1.07,0.25,0.427,0.131,0.306,0.449,92.0,102.0,96.0,95.0,106.0,103.0,89.0,106.0,104.0,143.0,109.0,119.0,0.222,0.334,0.273,0.112,0.37,-0.09,-0.12,0.84,93.8,87.5,93.7,84.8,0.265,0.466,0.224,0.215,0.455,0.362,0.286,0.365,0.119,,,,0.25,0.289,0.312,106.0,102.0,104.0,,,,,0.053,,-1.37,,80.8,,,,0.429,0.571,0.279,,,,,,,,,,0.006,0.45,89.6,0.2,0.8,0.0,,,,,,
