date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024-04-13,745110,Strikeout,strikeout,True,592348,687014,Niko Goodrum,Nick Avila,0,392fa33a-ea67-465e-9844-bde45827715b,687014.0,nickavila,Avila,Right,Nick Avila,SFG,8.49,7.23,11.2,101.0,90.0,98.0,0.789,10.8,2.31,13.11,1.54,0.56,0.237,0.368,0.053,0.526,0.391,,,,,,,93.0,111.0,107.0,102.0,118.0,117.0,90.0,88.0,88.0,0.347,0.311,0.04,,,0.51,-5.12,-13.31,,,94.5,87.4,,83.0,,0.2,0.467,0.333,,,,0.333,1.333,0.333,0.5,0.75,0.278,0.538,0.846,0.1,85.0,99.0,86.0,0.129,4.45,93.5,0.182,0.364,0.111,83.0,103.0,98.0,0.173,-4.51,79.7,,,,,,,,,,,,
2024-04-14,745113,Strikeout,strikeout,True,592348,605483,Niko Goodrum,Blake Snell,0,2348b293-87d5-41e2-bef6-31fe08acb358,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,6.31,3.59,35.2,97.0,115.0,101.0,0.699,10.6,4.29,8.58,1.01,1.0,0.296,0.378,0.173,0.224,0.363,110.0,103.0,108.0,148.0,103.0,110.0,104.0,96.0,97.0,107.0,86.0,90.0,,,,0.479,,0.145,0.21,0.166,-1.07,,0.34,2.13,-1.15,95.5,,85.2,88.7,80.9,0.322,0.559,0.283,0.31,0.517,0.293,0.188,0.188,0.385,0.083,0.083,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-14,745113,Walk,walk,False,592348,605483,Niko Goodrum,Blake Snell,1,618efd0c-1b27-4eb6-9e29-93f0c2fec9b0,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,6.31,3.59,35.2,97.0,115.0,101.0,0.699,10.6,4.29,8.58,1.01,1.0,0.296,0.378,0.173,0.224,0.363,110.0,103.0,108.0,148.0,103.0,110.0,104.0,96.0,97.0,107.0,86.0,90.0,,,,0.479,,0.145,0.21,0.166,-1.07,,0.34,2.13,-1.15,95.5,,85.2,88.7,80.9,0.322,0.559,0.283,0.31,0.517,0.293,0.188,0.188,0.385,0.083,0.083,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-14,745113,Groundout,field_out,True,592348,678906,Niko Goodrum,Kai-Wei Teng,0,027bace9-d393-4e2f-91c0-845227669f6d,678906.0,kaiweiteng,Teng,Right,Kai-Wei Teng,SFG,9.82,7.23,11.0,91.0,105.0,91.0,0.798,5.73,6.55,12.27,1.64,1.13,0.308,0.256,0.231,0.385,0.392,55.0,79.0,89.0,121.0,76.0,87.0,71.0,118.0,101.0,124.0,94.0,105.0,,,,0.059,,0.279,0.186,0.034,-2.79,,-2.9,-3.11,-2.59,93.6,,88.1,85.1,82.1,0.333,0.667,0.125,,,,0.333,0.333,0.375,0.333,0.333,0.417,,,,98.0,95.0,85.0,0.441,-0.87,92.7,0.333,0.524,0.108,,,,,,,,,,,,,,,,,,
2024-04-14,745113,Groundout,field_out,True,592348,678906,Niko Goodrum,Kai-Wei Teng,0,071c35eb-9e08-4efe-83d2-f61511a8e0de,678906.0,kaiweiteng,Teng,Right,Kai-Wei Teng,SFG,9.82,7.23,11.0,91.0,105.0,91.0,0.798,5.73,6.55,12.27,1.64,1.13,0.308,0.256,0.231,0.385,0.392,55.0,79.0,89.0,121.0,76.0,87.0,71.0,118.0,101.0,124.0,94.0,105.0,,,,0.059,,0.279,0.186,0.034,-2.79,,-2.9,-3.11,-2.59,93.6,,88.1,85.1,82.1,0.333,0.667,0.125,,,,0.333,0.333,0.375,0.333,0.333,0.417,,,,98.0,95.0,85.0,0.441,-0.87,92.7,0.333,0.524,0.108,,,,,,,,,,,,,,,,,,
2024-04-16,745108,Strikeout,strikeout,True,592348,608334,Niko Goodrum,Carson Fulmer,0,973a4f51-b548-4dad-b2f9-6afc398003a0,608334.0,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,3.45,4.16,47.0,101.0,96.0,98.0,0.754,9.38,4.4,6.51,0.96,1.06,0.24,0.4,0.136,0.368,0.389,89.0,104.0,103.0,108.0,104.0,99.0,95.0,108.0,108.0,116.0,95.0,99.0,,,,0.15,,0.231,0.039,0.302,0.88,,1.88,-9.4,0.25,93.8,,88.0,87.5,82.7,0.194,0.29,0.231,0.164,0.269,0.378,0.133,0.333,0.286,0.429,1.286,0.455,,,,91.0,98.0,95.0,0.277,0.43,92.9,0.278,0.389,0.108,,,,,,,,,,,,,,,,,,
2024-04-17,745105,Single,single,False,592348,519326,Niko Goodrum,Hunter Strickland,0,2ec78e09-0058-471e-b9ea-9e46954232ea,519326.0,hunterstrickland,Strickland,Right,Hunter Strickland,LAA,3.48,3.22,44.0,102.0,109.0,107.0,0.78,7.77,2.45,6.75,1.02,0.7,0.208,0.44,0.168,0.296,0.434,82.0,107.0,102.0,,,,80.0,101.0,99.0,133.0,103.0,115.0,,,,0.282,0.003,0.549,,0.061,-0.79,-71.24,2.24,,3.81,94.2,90.6,87.6,84.0,,0.27,0.486,0.186,0.077,0.077,0.333,0.158,0.284,0.283,,,,,,,69.0,104.0,93.0,0.105,-1.13,92.7,0.375,0.5,0.103,,,,,,,,,,,,,,,,,,
2024-04-27,746803,Groundout,field_out,True,592348,686563,Niko Goodrum,Jonathan Cannon,1,26ec26bd-846e-46a8-b7f7-f3e86886d2d6,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.41,3.88,51.0,102.0,96.0,99.0,0.803,6.88,2.29,9.53,1.24,1.26,0.218,0.412,0.133,0.297,0.389,101.0,114.0,116.0,,,,79.0,99.0,91.0,121.0,98.0,106.0,83.0,104.0,96.0,0.084,0.192,0.237,,0.142,-3.2,-0.13,0.89,,-4.35,94.7,89.9,85.8,82.0,,0.444,0.778,0.281,0.325,0.625,0.284,0.2,0.225,0.274,,,,0.244,0.463,0.221,86.0,102.0,94.0,0.345,0.63,93.2,0.26,0.425,0.143,,,,,,,,,,,,,,,,,,
2024-04-27,746803,Lineout,field_out,True,592348,608678,Niko Goodrum,Dominic Leone,0,67bad00b-68b5-4117-ade8-6ee7477d0a9c,608678.0,dominicleone,Leone,Right,Dominic Leone,CHW,7.04,5.61,15.1,95.0,106.0,94.0,0.603,8.8,6.46,8.8,2.35,1.43,0.295,0.455,0.205,0.273,0.324,121.0,95.0,94.0,,,,100.0,102.0,99.0,120.0,77.0,85.0,88.0,94.0,92.0,0.253,0.171,0.246,,0.281,-0.93,-3.23,-0.96,,-0.4,94.7,90.6,90.6,84.7,,0.267,0.533,0.351,0.222,0.278,0.486,0.0,0.0,0.714,,,,0.25,1.0,0.45,89.0,111.0,103.0,0.05,-7.19,94.1,0.333,0.833,0.0,,,,,,,,,,,,,,,,,,
2024-04-27,746803,Sac Bunt,sac_bunt,True,592348,621051,Niko Goodrum,Steven Wilson,1,d53e0d68-d8d2-4e35-bb36-29efc5462528,621051.0,stevenwilson,"Wilson, S",Right,Steven Wilson,CHW,3.46,4.42,26.0,93.0,114.0,98.0,0.79,9.0,5.88,6.23,1.38,0.51,0.282,0.493,0.31,0.268,0.415,108.0,83.0,95.0,,,,104.0,91.0,92.0,126.0,96.0,103.0,43.0,69.0,67.0,0.411,0.013,0.472,,0.104,-0.48,-1.41,-0.09,,-0.37,93.4,86.6,81.5,82.7,,0.205,0.385,0.147,0.143,0.143,0.267,0.196,0.413,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
