date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024-04-26,746808,Sac Fly,sac_fly,True,542364,541640,Rafael Ortega,Erasmo Ramírez,1,6b413694-7e33-41c1-8de1-59216ee31675,541640.0,erasmoramirez,"Ramírez, E",Right,Erasmo Ramírez,TBR,4.5,4.16,16.0,107.0,87.0,99.0,0.829,5.06,3.38,6.19,2.25,0.73,0.12,0.4,0.16,0.26,0.468,120.0,96.0,98.0,83.0,122.0,90.0,75.0,156.0,139.0,82.0,113.0,108.0,,,,84.0,97.0,91.0,0.407,0.039,0.398,,0.091,0.065,11.59,-5.46,4.04,,-1.21,1.34,90.7,89.0,83.3,91.0,,80.3,0.0,0.0,0.333,0.353,0.941,0.184,,,,0.111,0.444,0.182,,,,0.16,0.16,0.176,,,,,,,,,
2024-04-28,746805,Strikeout,strikeout,True,542364,655889,Rafael Ortega,Manuel Rodríguez,0,883be54b-9d40-4ff0-8a9a-667764ba64e4,655889.0,manuelrodriguez,"Rodríguez, M",Right,Manuel Rodríguez,TBR,2.25,3.24,12.0,97.0,116.0,97.0,0.786,6.75,4.5,9.0,0.0,1.73,0.289,0.342,0.079,0.263,0.436,,,,,,,90.0,83.0,75.0,95.0,93.0,86.0,136.0,107.0,116.0,,,,0.313,0.185,,0.502,,,1.0,,-2.81,2.45,,,96.3,,,96.4,88.7,,0.167,0.167,0.25,,,,,,,,,,0.231,0.269,0.296,0.385,0.462,0.129,,,,,,,,,
2024-04-29,746804,Walk,walk,False,542364,657746,Rafael Ortega,Joe Ryan,0,65ef3684-699a-47d4-a6c9-8f9d8c4b54c8,657746.0,joeryan,Ryan,Right,Joe Ryan,MIN,3.53,3.08,114.2,107.0,100.0,105.0,0.757,9.73,1.49,7.53,1.26,0.74,0.244,0.431,0.203,0.283,0.481,,,,,,,96.0,110.0,106.0,114.0,106.0,104.0,105.0,104.0,113.0,,,,0.051,0.485,,0.235,,,1.28,,-1.2,0.03,,,94.1,,,93.2,83.6,,0.198,0.381,0.275,,,,,,,,,,0.333,0.606,0.222,0.348,0.478,0.096,103.0,104.0,95.0,0.229,0.01,88.6,0.211,0.413,0.26
2024-04-29,746804,Flyout,field_out,True,542364,657746,Rafael Ortega,Joe Ryan,0,ce8d4df2-f842-4dec-a253-97522dacc715,657746.0,joeryan,Ryan,Right,Joe Ryan,MIN,3.53,3.08,114.2,107.0,100.0,105.0,0.757,9.73,1.49,7.53,1.26,0.74,0.244,0.431,0.203,0.283,0.481,,,,,,,96.0,110.0,106.0,114.0,106.0,104.0,105.0,104.0,113.0,,,,0.051,0.485,,0.235,,,1.28,,-1.2,0.03,,,94.1,,,93.2,83.6,,0.198,0.381,0.275,,,,,,,,,,0.333,0.606,0.222,0.348,0.478,0.096,103.0,104.0,95.0,0.229,0.01,88.6,0.211,0.413,0.26
2024-04-29,746804,Groundout,field_out,True,542364,592779,Rafael Ortega,Brock Stewart,0,e62392df-ada7-4bda-b9f7-279f633b475e,592779.0,brockstewart,Stewart,Right,Brock Stewart,MIN,0.68,3.17,13.1,100.0,120.0,102.0,0.713,11.48,4.05,5.4,0.68,1.2,0.138,0.345,0.241,0.345,0.431,109.0,179.0,189.0,,,,124.0,98.0,99.0,81.0,120.0,121.0,139.0,96.0,108.0,98.0,94.0,89.0,0.096,0.464,0.172,0.258,,0.01,1.87,0.42,4.74,1.36,,0.0,97.4,94.3,89.8,97.1,84.5,,0.158,0.158,0.346,0.3,0.4,0.143,,,,,,,0.143,0.357,0.5,0.0,0.0,0.111,,,,,,,,,
2024-05-04,745183,Groundout,field_out,True,542364,664854,Rafael Ortega,Ryan Helsley,0,b6bcde0d-bb35-4417-85d0-a116a8570d27,664854.0,ryanhelsley,Helsley,Right,Ryan Helsley,STL,2.36,2.62,42.0,99.0,136.0,110.0,0.681,10.29,3.64,6.86,0.43,1.07,0.287,0.361,0.148,0.306,0.47,,,,95.0,97.0,112.0,131.0,97.0,104.0,,,,147.0,101.0,116.0,,,,,0.444,,0.49,0.066,,-0.33,,,3.01,4.93,,99.4,,,,88.7,80.7,0.3,0.4,0.188,,,,,,,0.0,0.0,0.455,0.169,0.181,0.479,,,,,,,,,,,,
2024-05-07,745095,Field Error,field_error,False,542364,621107,Rafael Ortega,Zach Eflin,1,646fa047-f4ef-4ac6-9631-7441dbf3fdc9,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,111.0,116.0,112.0,63.0,105.0,96.0,91.0,109.0,104.0,121.0,107.0,112.0,86.0,103.0,97.0,0.31,0.095,0.265,0.101,0.197,0.032,-1.29,0.53,0.08,2.39,-1.41,-2.78,92.6,87.8,85.0,91.7,80.0,79.2,0.25,0.425,0.278,0.253,0.424,0.167,0.278,0.5,0.13,0.297,0.451,0.293,0.167,0.361,0.25,0.269,0.403,0.134,,,,,,,,,
2024-05-07,745095,Pop Out,field_out,True,542364,621107,Rafael Ortega,Zach Eflin,0,449b96e1-eda5-40ea-9864-95cd8c877e51,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,111.0,116.0,112.0,63.0,105.0,96.0,91.0,109.0,104.0,121.0,107.0,112.0,86.0,103.0,97.0,0.31,0.095,0.265,0.101,0.197,0.032,-1.29,0.53,0.08,2.39,-1.41,-2.78,92.6,87.8,85.0,91.7,80.0,79.2,0.25,0.425,0.278,0.253,0.424,0.167,0.278,0.5,0.13,0.297,0.451,0.293,0.167,0.361,0.25,0.269,0.403,0.134,,,,,,,,,
2024-05-07,745095,Flyout,field_out,True,542364,621107,Rafael Ortega,Zach Eflin,0,03bcbbdd-b745-48e2-8bb0-98ac7f7560bf,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,111.0,116.0,112.0,63.0,105.0,96.0,91.0,109.0,104.0,121.0,107.0,112.0,86.0,103.0,97.0,0.31,0.095,0.265,0.101,0.197,0.032,-1.29,0.53,0.08,2.39,-1.41,-2.78,92.6,87.8,85.0,91.7,80.0,79.2,0.25,0.425,0.278,0.253,0.424,0.167,0.278,0.5,0.13,0.297,0.451,0.293,0.167,0.361,0.25,0.269,0.403,0.134,,,,,,,,,
2024-05-07,745095,Grounded Into DP,grounded_into_double_play,True,542364,655889,Rafael Ortega,Manuel Rodríguez,1,29bd2558-d78e-44fc-a472-61bf7e9ff594,655889.0,manuelrodriguez,"Rodríguez, M",Right,Manuel Rodríguez,TBR,2.25,3.24,12.0,97.0,116.0,97.0,0.786,6.75,4.5,9.0,0.0,1.73,0.289,0.342,0.079,0.263,0.436,,,,,,,90.0,83.0,75.0,95.0,93.0,86.0,136.0,107.0,116.0,,,,0.313,0.185,,0.502,,,1.0,,-2.81,2.45,,,96.3,,,96.4,88.7,,0.167,0.167,0.25,,,,,,,,,,0.231,0.269,0.296,0.385,0.462,0.129,,,,,,,,,
