date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,CU%,CH%,wFC/C,wFS/C,wSI/C,wCU/C,wCH/C,vFC,vFS,vCH,vSI,vCU,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,wFA/C,wSL/C,vFA,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC,SV_ba,SV_slg,SV_whiff,EP%,wEP/C,vEP,ST_ba,ST_slg,ST_whiff
2024-04-27,746560,Double,double,False,663550,615698,Trey Cabbage,Cal Quantrill,1,e69dfd59-a164-4cce-92fe-fcc740831769,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,88.0,97.0,103.0,96.0,101.0,104.0,79.0,97.0,90.0,80.0,99.0,95.0,115.0,95.0,98.0,0.397,0.134,0.336,0.107,0.025,-1.43,1.52,-1.66,0.34,1.78,87.7,86.1,84.9,93.8,79.9,0.178,0.253,0.253,0.322,0.573,0.2,0.347,0.571,0.173,0.242,0.424,0.267,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-27,746560,Groundout,field_out,True,663550,615698,Trey Cabbage,Cal Quantrill,0,751d2a4a-d3b9-4226-af5f-4e1ef45cd1d5,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,88.0,97.0,103.0,96.0,101.0,104.0,79.0,97.0,90.0,80.0,99.0,95.0,115.0,95.0,98.0,0.397,0.134,0.336,0.107,0.025,-1.43,1.52,-1.66,0.34,1.78,87.7,86.1,84.9,93.8,79.9,0.178,0.253,0.253,0.322,0.573,0.2,0.347,0.571,0.173,0.242,0.424,0.267,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-05,746395,Groundout,field_out,True,663550,682243,Trey Cabbage,Bryce Miller,0,0a390fd6-0d87-4c2d-8d56-9c364cd46eaf,682243.0,brycemiller,"Miller, B",Right,Bryce Miller,SEA,3.63,4.16,109.0,102.0,110.0,104.0,0.787,8.09,2.39,7.18,1.24,0.89,0.259,0.41,0.148,0.305,0.455,,,,,,,99.0,100.0,98.0,92.0,78.0,84.0,88.0,107.0,108.0,0.189,0.015,0.174,,,-3.96,0.84,1.27,,,92.3,83.8,,94.6,,0.181,0.266,0.256,0.245,0.362,0.094,0.5,0.75,0.1,0.0,0.0,0.25,,,,122.0,103.0,106.0,120.0,95.0,99.0,0.439,0.169,1.42,-1.33,95.1,83.8,0.197,0.349,0.276,0.333,0.593,0.118,0.014,4.17,85.5,66.0,82.0,91.0,,,,,,,,,
2024-05-05,746395,Lineout,field_out,True,663550,682243,Trey Cabbage,Bryce Miller,0,d4fc89cc-f433-4449-886f-17c062b1866f,682243.0,brycemiller,"Miller, B",Right,Bryce Miller,SEA,3.63,4.16,109.0,102.0,110.0,104.0,0.787,8.09,2.39,7.18,1.24,0.89,0.259,0.41,0.148,0.305,0.455,,,,,,,99.0,100.0,98.0,92.0,78.0,84.0,88.0,107.0,108.0,0.189,0.015,0.174,,,-3.96,0.84,1.27,,,92.3,83.8,,94.6,,0.181,0.266,0.256,0.245,0.362,0.094,0.5,0.75,0.1,0.0,0.0,0.25,,,,122.0,103.0,106.0,120.0,95.0,99.0,0.439,0.169,1.42,-1.33,95.1,83.8,0.197,0.349,0.276,0.333,0.593,0.118,0.014,4.17,85.5,66.0,82.0,91.0,,,,,,,,,
2024-05-07,745752,Strikeout,strikeout,True,663550,661563,Trey Cabbage,Luis Gil,0,a6131efb-fac0-4d40-a51f-8ff0be5fac8c,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.17,3.36,102.1,95.0,110.0,101.0,0.744,10.38,4.31,5.45,0.79,0.85,0.233,0.449,0.18,0.327,0.403,82.0,94.0,95.0,,,,,,,,,,,,,,,,,0.287,,,,,0.38,,,91.7,,,,,,,,,,,,,,,0.182,0.284,0.263,128.0,97.0,104.0,108.0,91.0,100.0,0.519,0.194,0.69,2.08,96.7,87.6,0.184,0.337,0.294,0.131,0.262,0.333,,,,,,,,,,,,,,,
2024-05-07,745752,Flyout,field_out,True,663550,661563,Trey Cabbage,Luis Gil,0,743e98af-607e-4ca3-bcef-f2af3cffc7b2,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.17,3.36,102.1,95.0,110.0,101.0,0.744,10.38,4.31,5.45,0.79,0.85,0.233,0.449,0.18,0.327,0.403,82.0,94.0,95.0,,,,,,,,,,,,,,,,,0.287,,,,,0.38,,,91.7,,,,,,,,,,,,,,,0.182,0.284,0.263,128.0,97.0,104.0,108.0,91.0,100.0,0.519,0.194,0.69,2.08,96.7,87.6,0.184,0.337,0.294,0.131,0.262,0.333,,,,,,,,,,,,,,,
2024-05-07,745752,Groundout,field_out,True,663550,676760,Trey Cabbage,Ron Marinaccio,0,6f40a429-08f7-4cba-8855-841b548f0ded,676760.0,ronmarinaccio,Marinaccio,Right,Ron Marinaccio,NYY,2.84,4.07,19.0,95.0,81.0,92.0,0.765,9.0,4.26,5.68,1.42,1.0,0.167,0.479,0.167,0.313,0.403,59.0,95.0,86.0,,,,,,,,,,,,,,,,,0.338,,,,,-3.92,,,82.1,,,,,,,,,,,,,,,0.348,0.696,0.306,86.0,94.0,91.0,113.0,97.0,104.0,0.505,0.158,3.14,2.33,93.4,80.2,0.1,0.133,0.262,0.091,0.364,0.273,,,,,,,,,,,,,,,
2024-05-07,745752,Single,single,False,663550,543859,Trey Cabbage,Michael Tonkin,1,c8f769fb-2e92-41de-932a-30cc6fa91a8b,543859.0,michaeltonkin,Tonkin,Right,Michael Tonkin,- - -,2.36,3.41,45.2,98.0,105.0,100.0,0.76,9.46,3.35,5.91,0.59,1.26,0.176,0.496,0.16,0.286,0.399,,,,,,,98.0,98.0,97.0,,,,,,,0.13,,,,,,,0.04,,,,,,92.4,,,,,0.333,0.5,0.191,,,,,,,,,,114.0,105.0,108.0,108.0,98.0,103.0,0.394,0.476,0.92,0.95,93.0,83.0,0.176,0.311,0.213,0.5,0.5,0.375,,,,,,,,,,,,,,,
2024-05-12,746476,Groundout,field_out,True,663550,656427,Trey Cabbage,Jack Flaherty,0,0fd7d34e-a66b-4ec4-bfe3-210b7b4e08ed,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,94.0,82.0,78.0,,,,70.0,86.0,72.0,,,,,,,0.024,,,,0.033,,,-7.15,,-0.51,,,86.0,90.7,,,,,0.75,1.5,0.3,,,,0.161,0.194,0.445,0.143,0.429,0.133,96.0,106.0,104.0,95.0,105.0,107.0,0.44,0.313,0.74,0.85,93.6,84.9,0.226,0.377,0.25,0.205,0.426,0.391,0.191,2.33,77.5,103.0,104.0,108.0,,,,,,,,,
2024-05-12,746476,Strikeout,strikeout,True,663550,656427,Trey Cabbage,Jack Flaherty,0,80cfb436-2da4-4f64-a969-5d03498b58e3,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,94.0,82.0,78.0,,,,70.0,86.0,72.0,,,,,,,0.024,,,,0.033,,,-7.15,,-0.51,,,86.0,90.7,,,,,0.75,1.5,0.3,,,,0.161,0.194,0.445,0.143,0.429,0.133,96.0,106.0,104.0,95.0,105.0,107.0,0.44,0.313,0.74,0.85,93.6,84.9,0.226,0.377,0.25,0.205,0.426,0.391,0.191,2.33,77.5,103.0,104.0,108.0,,,,,,,,,
