date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024-03-30,745119,Strikeout,strikeout,True,661531,641793,Brian Serven,Zack Littell,0,22b451ac-8a05-4ea5-8f5c-b2e6b3642b99,641793.0,zacklittell,Littell,Right,Zack Littell,TBR,4.26,4.24,101.1,104.0,82.0,99.0,0.792,8.35,1.69,10.66,1.24,0.79,0.237,0.374,0.146,0.29,0.462,56.0,111.0,91.0,73.0,103.0,91.0,101.0,104.0,102.0,99.0,106.0,112.0,0.154,0.207,0.226,0.413,-0.92,-1.86,-1.56,1.08,92.6,83.0,91.9,85.7,0.375,0.5,0.085,0.283,0.485,0.346,0.309,0.485,0.147,0.313,0.484,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745119,Groundout,field_out,True,661531,641793,Brian Serven,Zack Littell,1,b03abdc9-a31a-486f-8389-f02be6e02905,641793.0,zacklittell,Littell,Right,Zack Littell,TBR,4.26,4.24,101.1,104.0,82.0,99.0,0.792,8.35,1.69,10.66,1.24,0.79,0.237,0.374,0.146,0.29,0.462,56.0,111.0,91.0,73.0,103.0,91.0,101.0,104.0,102.0,99.0,106.0,112.0,0.154,0.207,0.226,0.413,-0.92,-1.86,-1.56,1.08,92.6,83.0,91.9,85.7,0.375,0.5,0.085,0.283,0.485,0.346,0.309,0.485,0.147,0.313,0.484,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745119,Strikeout,strikeout,True,661531,621363,Brian Serven,Colin Poche,0,eb738db2-4ee8-475e-8358-519eddaec68e,621363.0,colinpoche,Poche,Left,Colin Poche,TBR,3.24,4.07,25.0,94.0,89.0,98.0,0.821,7.92,2.88,6.48,1.8,0.62,0.188,0.493,0.159,0.348,0.421,98.0,90.0,95.0,,,,68.0,103.0,104.0,,,,,0.695,,0.305,1.3,,,0.38,91.1,,,83.1,0.214,0.393,0.431,,,,,,,0.194,0.387,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,746407,Strikeout,strikeout,True,661531,669395,Brian Serven,Dylan Coleman,0,f6d0173e-6ddc-4bfa-a867-6bc3ef35fbc2,669395.0,dylancoleman,Coleman,Right,Dylan Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-06,745766,Groundout,field_out,True,661531,657376,Brian Serven,Clarke Schmidt,0,49b8ed63-1622-48bc-9c1e-d5f418e3b60c,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,,,,81.0,97.0,87.0,135.0,93.0,102.0,,,,0.215,,,0.239,,,-0.42,1.58,,,94.2,85.3,0.196,0.283,0.319,,,,0.233,0.488,0.212,,,,36.0,89.0,96.0,,,,,0.009,,-13.06,87.1,,0.146,0.22,0.346,0.667,1.0,0.0,106.0,106.0,103.0,0.356,0.6,92.4,0.256,0.372,0.325,152.0,100.0,112.0,0.181,0.69,83.9,,,,,,
2024-04-06,745766,Walk,walk,False,661531,657376,Brian Serven,Clarke Schmidt,0,5657a505-4fb4-44a8-9aa3-e2279aa87dc7,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,,,,81.0,97.0,87.0,135.0,93.0,102.0,,,,0.215,,,0.239,,,-0.42,1.58,,,94.2,85.3,0.196,0.283,0.319,,,,0.233,0.488,0.212,,,,36.0,89.0,96.0,,,,,0.009,,-13.06,87.1,,0.146,0.22,0.346,0.667,1.0,0.0,106.0,106.0,103.0,0.356,0.6,92.4,0.256,0.372,0.325,152.0,100.0,112.0,0.181,0.69,83.9,,,,,,
2024-04-06,745766,Hit By Pitch,hit_by_pitch,False,661531,596133,Brian Serven,Luke Weaver,0,30e6c11e-78f5-45cb-85de-ed810e158370,596133.0,lukeweaver,Weaver,Right,Luke Weaver,NYY,2.47,3.59,54.2,99.0,121.0,105.0,0.726,9.55,2.14,5.1,0.99,0.83,0.243,0.375,0.14,0.279,0.37,137.0,99.0,106.0,,,,,,,,,,,0.444,,,1.14,,,,95.4,,,,,,,,,,,,,0.171,0.3,0.28,107.0,103.0,104.0,,,,,0.264,,1.5,88.4,,,,,0.138,0.241,0.44,108.0,98.0,103.0,0.28,1.38,91.2,0.18,0.443,0.194,119.0,75.0,96.0,0.012,2.43,83.3,,,,,,
2024-04-13,744953,Flyout,field_out,True,661531,641712,Brian Serven,Dakota Hudson,0,700614f5-123b-4211-b1a7-28e9081d268f,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,0.32,0.156,,0.255,-1.93,,-0.53,-0.32,89.9,,90.3,84.1,0.289,0.361,0.313,,,,0.315,0.465,0.07,0.296,0.5,0.079,84.0,94.0,93.0,102.0,98.0,99.0,0.166,0.103,0.89,-4.92,83.4,80.2,0.114,0.205,0.333,0.379,0.69,0.146,,,,,,,,,,,,,,,,,,,,,
2024-04-13,744953,Bunt Lineout,field_out,True,661531,641712,Brian Serven,Dakota Hudson,0,5fcadd4c-25ba-400b-a0d5-85b69e71748e,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,0.32,0.156,,0.255,-1.93,,-0.53,-0.32,89.9,,90.3,84.1,0.289,0.361,0.313,,,,0.315,0.465,0.07,0.296,0.5,0.079,84.0,94.0,93.0,102.0,98.0,99.0,0.166,0.103,0.89,-4.92,83.4,80.2,0.114,0.205,0.333,0.379,0.69,0.146,,,,,,,,,,,,,,,,,,,,,
2024-04-13,744953,Strikeout,strikeout,True,661531,680767,Brian Serven,Victor Vodnik,0,ed540679-8993-4e55-ab44-763e3613a71c,680767.0,victorvodnik,Vodnik,Right,Victor Vodnik,COL,4.03,4.36,51.1,99.0,122.0,102.0,0.797,8.24,4.03,8.94,0.88,1.93,0.25,0.342,0.171,0.408,0.422,124.0,98.0,100.0,,,,120.0,105.0,107.0,,,,,0.643,,0.2,-0.34,,,-0.07,97.7,,,84.1,0.268,0.341,0.268,,,,,,,0.271,0.426,0.196,114.0,99.0,100.0,,,,,0.157,,1.35,89.9,,,,,0.172,0.172,0.254,,,,,,,,,,,,,,,,,,,,,
