date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,FS%,wFS/C,vFS,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,FO%,wFO/C,vFO,vKN (sc),KN%,wKN/C
2024-05-23,745660,Flyout,field_out,True,663662,663372,Daz Cameron,Ryan Feltner,0,01b2d115-a7dd-4700-bf9f-39705f112e99,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,COL,5.36,4.1,102.1,100.0,97.0,100.0,0.779,8.0,2.9,10.11,1.06,1.37,0.224,0.399,0.168,0.336,0.446,114.0,96.0,103.0,83.0,102.0,97.0,91.0,91.0,87.0,110.0,99.0,104.0,,,,0.14,0.34,,0.291,0.147,-0.09,,0.41,-1.06,-1.33,94.9,,85.4,94.4,88.1,0.257,0.405,0.182,0.182,0.545,0.235,0.321,0.5,0.422,0.286,0.375,0.164,104.0,110.0,116.0,0.083,-0.09,79.2,0.2,0.333,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-23,745660,Flyout,field_out,True,663662,663372,Daz Cameron,Ryan Feltner,0,0a671638-aafe-476a-a32e-7d58a4925fd7,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,COL,5.36,4.1,102.1,100.0,97.0,100.0,0.779,8.0,2.9,10.11,1.06,1.37,0.224,0.399,0.168,0.336,0.446,114.0,96.0,103.0,83.0,102.0,97.0,91.0,91.0,87.0,110.0,99.0,104.0,,,,0.14,0.34,,0.291,0.147,-0.09,,0.41,-1.06,-1.33,94.9,,85.4,94.4,88.1,0.257,0.405,0.182,0.182,0.545,0.235,0.321,0.5,0.422,0.286,0.375,0.164,104.0,110.0,116.0,0.083,-0.09,79.2,0.2,0.333,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-23,745660,Single,single,False,663662,680767,Daz Cameron,Victor Vodnik,1,bc45d49a-1034-450b-ad27-0703d20c0c0f,680767.0,victorvodnik,Vodnik,Right,Victor Vodnik,COL,4.03,4.36,51.1,99.0,122.0,102.0,0.797,8.24,4.03,8.94,0.88,1.93,0.25,0.342,0.171,0.408,0.422,114.0,99.0,100.0,124.0,98.0,100.0,,,,120.0,105.0,107.0,,,,,0.643,,0.2,0.157,-0.34,,,-0.07,1.35,97.7,,89.9,,84.1,0.271,0.426,0.196,0.268,0.341,0.268,0.172,0.172,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-23,745660,Home Run,home_run,False,663662,656222,Daz Cameron,Jalen Beeks,0,445a1601-3154-4e8e-9dfc-cb7bd7160c09,656222.0,jalenbeeks,Beeks,Left,Jalen Beeks,COL,4.75,3.72,47.1,93.0,79.0,90.0,0.803,7.23,3.42,8.75,0.95,1.09,0.288,0.377,0.171,0.315,0.405,82.0,90.0,90.0,75.0,94.0,89.0,,,,,,,89.0,97.0,92.0,0.002,0.57,0.159,,0.255,0.42,0.58,-0.45,,-0.52,94.5,85.2,89.0,89.3,,0.286,0.403,0.143,,,,0.211,0.289,0.407,,,,92.0,124.0,129.0,0.014,1.3,74.5,0.2,0.2,0.167,0.167,0.389,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-23,745660,Grounded Into DP,grounded_into_double_play,True,663662,664875,Daz Cameron,Justin Lawrence,1,8cc3cdd4-9866-413f-85e9-fd15e06d3049,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,5.86,5.22,35.1,96.0,109.0,104.0,0.788,7.39,5.09,10.44,1.02,2.11,0.245,0.409,0.118,0.309,0.403,,,,,,,75.0,96.0,96.0,156.0,95.0,116.0,,,,0.579,,,0.421,,,,-1.67,0.0,,,,,94.9,84.0,,,,0.204,0.296,0.303,,,,0.375,0.563,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-25,745658,Groundout,field_out,True,663662,681293,Daz Cameron,Spencer Arrighetti,0,b48b65d8-65ae-4deb-86e0-e686d56bb354,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,83.0,99.0,97.0,,,,111.0,93.0,100.0,62.0,100.0,100.0,,0.414,0.197,0.113,0.074,-1.89,1.2,,0.49,-4.75,94.0,87.8,85.0,,81.2,0.325,0.553,0.183,0.143,0.229,0.392,0.55,0.75,0.302,,,,113.0,98.0,103.0,0.202,0.32,78.4,0.162,0.294,0.408,0.25,0.382,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-25,745658,Strikeout,strikeout,True,663662,681293,Daz Cameron,Spencer Arrighetti,0,c132745a-1429-4c51-be5d-04e91b303fed,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,83.0,99.0,97.0,,,,111.0,93.0,100.0,62.0,100.0,100.0,,0.414,0.197,0.113,0.074,-1.89,1.2,,0.49,-4.75,94.0,87.8,85.0,,81.2,0.325,0.553,0.183,0.143,0.229,0.392,0.55,0.75,0.302,,,,113.0,98.0,103.0,0.202,0.32,78.4,0.162,0.294,0.408,0.25,0.382,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-25,745658,Single,single,False,663662,605463,Daz Cameron,Tayler Scott,1,14081b0f-6482-43f3-9830-6c55d8b9ba82,605463.0,taylerscott,"Scott, Tay",Right,Tayler Scott,HOU,1.36,2.99,46.1,99.0,98.0,99.0,0.745,8.35,4.27,4.86,0.39,1.67,0.231,0.41,0.214,0.231,0.372,60.0,103.0,101.0,121.0,98.0,97.0,105.0,93.0,86.0,89.0,97.0,106.0,,,,0.073,0.433,,0.262,0.232,2.65,,-0.27,0.86,0.69,92.7,,85.5,92.6,84.0,0.089,0.107,0.287,0.212,0.288,0.276,0.143,0.214,0.329,0.375,0.375,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-25,745658,Forceout,force_out,True,663662,661527,Daz Cameron,Seth Martinez,1,8d79e2c6-77a6-4d04-a827-faf893b7cc0f,661527.0,sethmartinez,"Martinez, S",Right,Seth Martinez,HOU,2.42,3.22,44.2,101.0,96.0,97.0,0.796,6.04,3.02,6.65,0.81,1.14,0.244,0.42,0.221,0.305,0.393,47.0,99.0,89.0,73.0,100.0,94.0,103.0,103.0,93.0,135.0,100.0,108.0,,,,0.212,0.306,,0.327,0.155,1.96,,2.47,0.1,-0.57,90.9,,84.9,89.8,79.2,0.213,0.298,0.191,0.191,0.426,0.337,0.259,0.37,0.292,0.179,0.256,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-29,745084,Strikeout,strikeout,True,663662,664076,Daz Cameron,Garrett Cleavinger,0,30b7cea4-3fe1-4323-a47f-fef918ef668c,664076.0,garrettcleavinger,Cleavinger,Left,Garrett Cleavinger,TBR,3.43,4.3,39.1,95.0,114.0,100.0,0.726,11.44,4.81,7.32,0.69,1.28,0.229,0.427,0.177,0.313,0.408,,,,105.0,95.0,96.0,98.0,95.0,93.0,127.0,98.0,108.0,114.0,95.0,97.0,0.087,0.213,0.31,0.389,,1.12,1.15,-2.87,0.08,,96.1,90.8,,95.5,83.8,0.115,0.231,0.235,0.265,0.294,0.328,,,,0.364,0.636,0.148,,,,,,,,,,0.231,0.333,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,
