date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CH%,wSI/C,wSL/C,wCH/C,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,KC%,wFA/C,wFC/C,wKC/C,vFA,vFC,vKC,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,EP%,wEP/C,vEP
2024-03-28,745687,Flyout,field_out,True,665923,682120,Esteury Ruiz,Tim Herrin,0,56f26e0d-98f7-493f-9127-f0773521cbd3,682120.0,timherrin,Herrin,Left,Tim Herrin,CLE,1.45,3.36,37.1,96.0,105.0,98.0,0.72,9.4,4.34,4.58,0.24,1.41,0.148,0.455,0.193,0.273,0.411,,,,106.0,106.0,112.0,116.0,95.0,100.0,0.098,0.249,,5.35,0.48,,,94.0,87.6,0.0,0.0,0.115,0.238,0.381,0.338,,,,97.0,93.0,88.0,,,,,,,0.254,,,1.69,,,95.4,,,0.176,0.206,0.171,,,,0.138,0.224,0.385,105.0,96.0,99.0,0.398,1.95,81.5,,,,,,,,,,,,,,,
2024-03-29,745682,Groundout,field_out,True,665923,671106,Esteury Ruiz,Logan Allen,0,c6ac7e08-888d-49b0-8673-157324cbcd04,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,,,,91.0,98.0,86.0,,0.183,0.183,,-2.18,-1.11,81.6,,78.6,,,,0.263,0.509,0.355,0.254,0.479,0.278,61.0,98.0,88.0,,,,92.0,99.0,97.0,0.483,0.15,,-1.5,0.37,,91.2,85.4,,0.329,0.593,0.159,0.245,0.449,0.196,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-29,745682,Double,double,False,665923,671106,Esteury Ruiz,Logan Allen,0,7f2b65c5-6a7e-4287-91d5-af92dee6abf7,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,,,,91.0,98.0,86.0,,0.183,0.183,,-2.18,-1.11,81.6,,78.6,,,,0.263,0.509,0.355,0.254,0.479,0.278,61.0,98.0,88.0,,,,92.0,99.0,97.0,0.483,0.15,,-1.5,0.37,,91.2,85.4,,0.329,0.593,0.159,0.245,0.449,0.196,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-29,745682,Sac Fly,sac_fly,True,665923,671106,Esteury Ruiz,Logan Allen,1,0e1c87aa-3185-4d16-beac-94f1eda97bb6,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,,,,91.0,98.0,86.0,,0.183,0.183,,-2.18,-1.11,81.6,,78.6,,,,0.263,0.509,0.355,0.254,0.479,0.278,61.0,98.0,88.0,,,,92.0,99.0,97.0,0.483,0.15,,-1.5,0.37,,91.2,85.4,,0.329,0.593,0.159,0.245,0.449,0.196,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745683,Single,single,False,665923,471911,Esteury Ruiz,Carlos Carrasco,0,54f8164d-c705-4d38-92ab-b152a4399adb,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,90.0,95.0,90.0,99.0,102.0,106.0,0.19,0.283,0.222,-1.29,-0.69,0.06,86.7,91.1,83.1,0.295,0.541,0.123,0.2,0.267,0.37,0.212,0.362,0.276,63.0,94.0,85.0,,,,,,,0.243,,,-2.15,,,91.5,,,0.387,0.653,0.137,,,,0.059,0.176,0.242,106.0,102.0,105.0,0.062,2.26,80.4,,,,,,,,,,,,,,,
2024-03-31,745683,Triple,triple,False,665923,471911,Esteury Ruiz,Carlos Carrasco,0,ae126f7a-2873-49b7-9845-92ff3fa36ecf,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,90.0,95.0,90.0,99.0,102.0,106.0,0.19,0.283,0.222,-1.29,-0.69,0.06,86.7,91.1,83.1,0.295,0.541,0.123,0.2,0.267,0.37,0.212,0.362,0.276,63.0,94.0,85.0,,,,,,,0.243,,,-2.15,,,91.5,,,0.387,0.653,0.137,,,,0.059,0.176,0.242,106.0,102.0,105.0,0.062,2.26,80.4,,,,,,,,,,,,,,,
2024-03-31,745683,Pop Out,field_out,True,665923,471911,Esteury Ruiz,Carlos Carrasco,0,2e1aa9b8-04f7-45c1-9477-dd8b37b59d4b,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,90.0,95.0,90.0,99.0,102.0,106.0,0.19,0.283,0.222,-1.29,-0.69,0.06,86.7,91.1,83.1,0.295,0.541,0.123,0.2,0.267,0.37,0.212,0.362,0.276,63.0,94.0,85.0,,,,,,,0.243,,,-2.15,,,91.5,,,0.387,0.653,0.137,,,,0.059,0.176,0.242,106.0,102.0,105.0,0.062,2.26,80.4,,,,,,,,,,,,,,,
2024-03-31,745683,Strikeout,strikeout,True,665923,683769,Esteury Ruiz,Hunter Gaddis,0,7df3feda-ea0b-4a55-8144-7b9d5196cf93,683769.0,huntergaddis,Gaddis,Right,Hunter Gaddis,CLE,1.17,2.29,46.1,105.0,108.0,109.0,0.751,8.55,1.36,5.24,0.19,0.85,0.195,0.449,0.161,0.28,0.45,103.0,87.0,103.0,,,,118.0,111.0,115.0,,0.439,0.162,,2.5,2.0,80.6,,88.7,,,,0.182,0.247,0.329,0.077,0.115,0.294,99.0,107.0,105.0,,,,,,,0.399,,,2.39,,,95.5,,,0.186,0.288,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-15,745677,Home Run,home_run,False,665923,668941,Esteury Ruiz,JoJo Romero,0,f5bac9f5-d213-4e90-84b5-878d9823067d,668941.0,jojoromero,"Romero, J",Left,JoJo Romero,STL,2.43,4.86,40.2,97.0,85.0,96.0,0.767,7.52,1.99,7.3,0.89,1.7,0.284,0.448,0.155,0.31,0.415,69.0,103.0,92.0,73.0,98.0,94.0,114.0,94.0,101.0,0.373,0.326,0.182,1.52,3.5,-4.01,85.9,93.7,83.9,0.259,0.315,0.098,0.059,0.118,0.448,0.379,0.759,0.27,67.0,98.0,92.0,,,,,,,0.119,,,-2.34,,,95.0,,,0.357,0.429,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-16,745674,Strikeout,strikeout,True,665923,668941,Esteury Ruiz,JoJo Romero,0,adeb15ba-9406-4f5a-8071-5c821ec1c138,668941.0,jojoromero,"Romero, J",Left,JoJo Romero,STL,2.43,4.86,40.2,97.0,85.0,96.0,0.767,7.52,1.99,7.3,0.89,1.7,0.284,0.448,0.155,0.31,0.415,69.0,103.0,92.0,73.0,98.0,94.0,114.0,94.0,101.0,0.373,0.326,0.182,1.52,3.5,-4.01,85.9,93.7,83.9,0.259,0.315,0.098,0.059,0.118,0.448,0.379,0.759,0.27,67.0,98.0,92.0,,,,,,,0.119,,,-2.34,,,95.0,,,0.357,0.429,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
