date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,FO%,wFO/C,vFO,vKN (sc),KN%,wKN/C,SV_ba,SV_slg,SV_whiff
2024-07-19,745640,Single,single,False,805779,656288,Jacob Wilson,Griffin Canning,0,892561cc-2cab-4615-8c51-c88cc73015c3,656288.0,griffincanning,Canning,Right,Griffin Canning,LAA,5.2,4.92,105.2,98.0,86.0,97.0,0.795,6.22,3.24,9.54,1.62,1.06,0.236,0.421,0.127,0.349,0.401,98.0,102.0,103.0,72.0,93.0,86.0,77.0,92.0,80.0,103.0,101.0,111.0,0.024,0.354,0.228,0.271,-0.83,-8.35,-1.29,0.71,93.6,88.7,93.0,88.0,0.243,0.521,0.158,0.303,0.449,0.292,0.254,0.377,0.253,0.5,1.1,0.0,73.0,96.0,95.0,0.123,-1.15,80.7,0.297,0.432,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-27,746671,Groundout,field_out,True,805779,596001,Jacob Wilson,Jakob Junis,0,cbb15448-d2d9-4108-ba49-248110dea24a,596001.0,jakobjunis,Junis,Right,Jakob Junis,- - -,3.19,4.23,42.1,107.0,99.0,108.0,0.748,7.02,1.28,7.87,1.28,1.0,0.272,0.408,0.096,0.272,0.508,90.0,98.0,103.0,79.0,111.0,101.0,78.0,109.0,101.0,121.0,107.0,116.0,0.362,0.072,0.467,0.094,0.45,0.78,2.21,-4.67,92.9,86.3,92.2,82.9,0.222,0.222,0.286,0.159,0.29,0.333,0.278,0.833,0.269,0.31,0.431,0.2,,,,,,,,,,,,,,,,97.0,119.0,106.0,0.005,0.91,89.0,0.333,0.333,0.0,,,,,,,,,,,,,,,,,,,,,
2024-08-27,746671,Strikeout,strikeout,True,805779,571656,Jacob Wilson,Buck Farmer,0,ebde71f2-bac1-4715-aae6-848c93c79c46,571656.0,buckfarmer,"Farmer, B",Right,Buck Farmer,CIN,2.52,3.97,60.2,98.0,92.0,99.0,0.769,8.46,3.71,6.53,0.89,0.84,0.224,0.442,0.194,0.279,0.391,108.0,104.0,109.0,53.0,93.0,80.0,74.0,94.0,91.0,119.0,101.0,111.0,0.234,0.214,0.336,0.216,0.75,1.97,1.47,-1.02,92.7,86.7,92.5,82.2,0.182,0.364,0.155,0.136,0.318,0.366,0.275,0.392,0.319,0.228,0.351,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-27,746671,Single,single,False,805779,663574,Jacob Wilson,Tony Santillan,0,c3d5098c-1ef5-49d4-a69e-56691b8250c7,663574.0,tonysantillan,Santillan,Right,Tony Santillan,CIN,2.55,2.14,17.2,110.0,113.0,109.0,0.748,13.75,2.55,5.09,1.53,1.06,0.4,0.25,0.125,0.275,0.505,76.0,156.0,148.0,106.0,114.0,107.0,,,,124.0,101.0,111.0,,0.607,0.386,0.007,1.48,,1.25,12.52,97.3,91.8,,86.8,0.146,0.366,0.327,0.16,0.16,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-27,746671,Groundout,field_out,True,805779,668984,Jacob Wilson,Casey Legumina,0,040522de-f624-4294-b8c9-734ea3e198a6,668984.0,caseylegumina,Legumina,Right,Casey Legumina,CIN,10.5,7.18,6.0,102.0,97.0,99.0,0.882,6.0,3.0,16.5,3.0,4.25,0.2,0.6,0.04,0.36,0.48,69.0,114.0,99.0,105.0,95.0,93.0,,,,102.0,93.0,102.0,,0.53,0.27,0.2,-4.73,,-2.27,-2.34,93.3,87.4,,85.0,0.5,0.8,0.091,0.25,0.583,0.125,0.429,0.429,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-28,746672,Strikeout,strikeout,True,805779,518585,Jacob Wilson,Fernando Cruz,0,b21dae27-8f22-4e02-bd9c-056dfc4d778f,518585.0,fernandocruz,"Cruz, F",Right,Fernando Cruz,CIN,5.17,4.17,55.2,95.0,117.0,100.0,0.626,13.74,4.69,7.6,1.13,0.91,0.19,0.452,0.175,0.349,0.391,,,,89.0,98.0,92.0,,,,,,,,0.312,,,-0.08,,,,94.6,,,,0.306,0.532,0.156,,,,,,,,,,,,,,,,,,,,,,,,,81.0,95.0,95.0,0.265,-1.72,88.6,0.34,0.745,0.279,,,,161.0,92.0,110.0,0.423,1.6,81.6,0.12,0.16,0.601,,,,,,,,,
2024-08-28,746672,Grounded Into DP,grounded_into_double_play,True,805779,543391,Jacob Wilson,Casey Kelly,1,0fe246be-79f8-4c06-add1-23a3529c62ed,543391.0,caseykelly,"Kelly, C",Right,Casey Kelly,CIN,5.06,3.49,5.1,99.0,89.0,99.0,0.721,6.75,1.69,8.44,1.69,0.75,0.313,0.438,0.125,0.25,0.436,27.0,136.0,114.0,73.0,83.0,94.0,117.0,152.0,42.0,141.0,92.0,111.0,0.167,0.256,0.256,0.205,-3.55,8.68,-2.92,0.34,90.9,84.6,89.5,84.8,0.286,0.714,0.231,,,,0.25,0.25,0.333,0.2,0.2,0.0,95.0,93.0,96.0,0.115,2.97,80.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-28,746672,Walk,walk,False,805779,543391,Jacob Wilson,Casey Kelly,1,7f9b4b13-4348-454d-a6d7-5e46d99d0ce5,543391.0,caseykelly,"Kelly, C",Right,Casey Kelly,CIN,5.06,3.49,5.1,99.0,89.0,99.0,0.721,6.75,1.69,8.44,1.69,0.75,0.313,0.438,0.125,0.25,0.436,27.0,136.0,114.0,73.0,83.0,94.0,117.0,152.0,42.0,141.0,92.0,111.0,0.167,0.256,0.256,0.205,-3.55,8.68,-2.92,0.34,90.9,84.6,89.5,84.8,0.286,0.714,0.231,,,,0.25,0.25,0.333,0.2,0.2,0.0,95.0,93.0,96.0,0.115,2.97,80.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-28,746672,Sac Fly Double Play,sac_fly_double_play,True,805779,641941,Jacob Wilson,Emilio Pagán,1,c28a9f7d-3786-4780-8d65-86944835365f,641941.0,emiliopagan,Pagán,Right,Emilio Pagán,CIN,4.4,3.3,28.2,106.0,108.0,107.0,0.752,9.73,2.83,9.1,1.57,0.68,0.269,0.436,0.179,0.372,0.431,,,,117.0,103.0,107.0,,,,,,,,0.58,,,0.1,,,,94.5,,,,0.246,0.431,0.238,,,,,,,,,,,,,,,,,,,,,,,,,91.0,115.0,110.0,0.279,-0.71,86.4,0.357,0.607,0.309,,,,101.0,106.0,98.0,0.142,0.28,84.1,0.214,0.286,0.414,,,,,,,,,
2024-08-30,744969,Walk,walk,False,805779,592351,Jacob Wilson,Jon Gray,0,d51c3524-2d49-4540-a352-71d44d9dca4e,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.47,4.71,102.2,103.0,85.0,98.0,0.777,7.54,2.45,9.38,0.96,0.98,0.228,0.412,0.142,0.366,0.457,72.0,100.0,94.0,73.0,103.0,91.0,,,,97.0,105.0,105.0,,0.444,0.439,0.071,-0.7,,0.78,-1.39,94.9,88.7,,88.6,0.311,0.443,0.15,0.213,0.344,0.334,0.257,0.543,0.19,,,,97.0,97.0,102.0,0.046,-0.68,78.9,0.333,0.333,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
