date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C
2024-03-28,745039,Lineout,field_out,True,670156,600917,Miles Mastrobuoni,José Leclerc,1,e524871c-83f5-4b44-8823-e6380d71968e,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,3.95,3.8,41.0,95.0,110.0,98.0,0.628,11.85,5.27,5.49,0.88,0.85,0.217,0.457,0.152,0.348,0.368,,,,107.0,89.0,97.0,119.0,103.0,104.0,134.0,94.0,99.0,,,,0.352,0.167,,0.33,,0.85,-0.6,,1.16,,95.1,90.0,,81.9,,0.128,0.277,0.311,,,,0.227,0.364,0.259,,,,0.193,0.298,0.504,66.0,99.0,89.0,78.0,88.0,81.0,0.046,0.105,2.9,-0.04,88.1,94.8,0.2,0.2,0.143,0.111,0.111,0.556,,,,,,,,,,,,,,,
2024-03-31,745035,Forceout,force_out,True,670156,600917,Miles Mastrobuoni,José Leclerc,1,2283c065-0ee8-48dd-a455-fdad3fed3bfc,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,3.95,3.8,41.0,95.0,110.0,98.0,0.628,11.85,5.27,5.49,0.88,0.85,0.217,0.457,0.152,0.348,0.368,,,,107.0,89.0,97.0,119.0,103.0,104.0,134.0,94.0,99.0,,,,0.352,0.167,,0.33,,0.85,-0.6,,1.16,,95.1,90.0,,81.9,,0.128,0.277,0.311,,,,0.227,0.364,0.259,,,,0.193,0.298,0.504,66.0,99.0,89.0,78.0,88.0,81.0,0.046,0.105,2.9,-0.04,88.1,94.8,0.2,0.2,0.143,0.111,0.111,0.556,,,,,,,,,,,,,,,
2024-04-02,746898,Walk,walk,False,670156,683627,Miles Mastrobuoni,Anthony Molina,0,ef5a3030-bc46-46bf-843d-d0ef9b9a90b9,683627.0,anthonymolina,Molina,Right,Anthony Molina,COL,6.94,5.26,35.0,99.0,85.0,96.0,0.871,4.89,3.86,11.83,0.77,1.65,0.29,0.347,0.137,0.363,0.436,121.0,110.0,112.0,76.0,98.0,92.0,91.0,107.0,107.0,,,,,,,0.49,,,0.249,0.024,-1.66,,,-1.65,-1.97,94.6,,,88.5,82.4,0.373,0.537,0.136,,,,,,,0.333,0.333,0.0,0.349,0.488,0.115,94.0,91.0,92.0,,,,,0.235,,0.35,84.9,,,,,0.179,0.286,0.254,,,,0.002,3.88,76.8,,,,,,,,,
2024-04-03,746900,Strikeout,strikeout,False,670156,683232,Miles Mastrobuoni,Nick Mears,1,601c48f3-074d-4b99-8f4d-79db27785088,683232.0,nickmears,Mears,Right,Nick Mears,COL,5.95,3.29,42.1,98.0,130.0,106.0,0.758,11.06,4.46,9.99,0.43,1.18,0.281,0.322,0.149,0.347,0.435,127.0,100.0,110.0,138.0,98.0,105.0,111.0,99.0,103.0,,,,,,,0.603,,,0.19,0.207,1.1,,,-0.05,-3.59,96.7,,,86.4,81.4,0.242,0.319,0.192,,,,,,,0.372,0.535,0.288,0.257,0.343,0.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-06,746896,Strikeout,strikeout,True,670156,523260,Miles Mastrobuoni,Joe Kelly,0,e79084a6-c6f4-4e5c-b62d-ef57bb5e0e87,523260.0,joekelly,"Kelly, J",Right,Joe Kelly,LAD,4.73,3.77,13.1,94.0,102.0,99.0,0.798,9.45,3.38,8.78,0.0,2.71,0.222,0.361,0.222,0.194,0.469,,,,94.0,105.0,99.0,135.0,115.0,144.0,,,,,,,0.246,,,0.268,,-0.69,,,1.81,,98.6,,,90.4,,0.364,0.455,0.241,,,,,,,0.333,0.333,0.417,0.211,0.263,0.25,91.0,79.0,64.0,77.0,83.0,76.0,0.317,0.027,0.36,-9.26,89.2,98.0,0.214,0.214,0.097,,,,115.0,76.0,89.0,0.143,-3.02,88.1,,,,,,,,,
2024-04-06,746896,Groundout,field_out,True,670156,623465,Miles Mastrobuoni,Evan Phillips,1,30d327a5-e274-4148-92d2-cae6d5c98cf6,623465.0,evanphillips,"Phillips, E",Right,Evan Phillips,LAD,2.73,3.05,29.2,104.0,122.0,109.0,0.737,9.71,2.43,7.28,1.21,1.1,0.228,0.342,0.203,0.203,0.466,,,,120.0,110.0,112.0,142.0,106.0,116.0,101.0,96.0,93.0,,,,0.3,0.209,,0.393,,1.69,-2.03,,0.89,,96.3,92.9,,84.9,,0.2,0.2,0.348,,,,0.304,0.609,0.2,,,,0.172,0.328,0.315,,,,97.0,97.0,105.0,0.099,,0.79,,,95.7,0.3,0.3,0.107,,,,,,,,,,,,,,,,,,
2024-04-10,745429,Pop Out,field_out,True,670156,656302,Miles Mastrobuoni,Dylan Cease,0,ac0e2f4f-f987-4feb-b8cc-9c8f00515424,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,,,,124.0,97.0,104.0,113.0,101.0,105.0,113.0,89.0,90.0,,,,0.435,0.01,,0.462,,-0.1,-5.15,,1.62,,96.8,91.8,,87.1,,0.244,0.445,0.225,,,,0.25,1.0,0.0,0.242,0.455,0.333,0.182,0.273,0.379,55.0,72.0,68.0,,,,,0.013,,-4.3,69.5,,,,,0.25,1.0,0.2,108.0,99.0,104.0,0.081,-0.64,82.7,,,,,,,,,
2024-04-10,745429,Flyout,field_out,True,670156,656302,Miles Mastrobuoni,Dylan Cease,0,27e3ad18-592d-4e62-863e-3ac2aa5331dc,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,,,,124.0,97.0,104.0,113.0,101.0,105.0,113.0,89.0,90.0,,,,0.435,0.01,,0.462,,-0.1,-5.15,,1.62,,96.8,91.8,,87.1,,0.244,0.445,0.225,,,,0.25,1.0,0.0,0.242,0.455,0.333,0.182,0.273,0.379,55.0,72.0,68.0,,,,,0.013,,-4.3,69.5,,,,,0.25,1.0,0.2,108.0,99.0,104.0,0.081,-0.64,82.7,,,,,,,,,
2024-04-15,747213,Strikeout,strikeout,True,670156,656464,Miles Mastrobuoni,Kevin Ginkel,0,4701f52c-702e-4ede-aec4-130f1f7d98a5,656464.0,kevinginkel,Ginkel,Right,Kevin Ginkel,ARI,2.55,3.36,42.1,104.0,105.0,105.0,0.768,9.14,1.49,8.5,0.64,1.27,0.262,0.402,0.115,0.352,0.407,,,,89.0,105.0,99.0,134.0,103.0,115.0,,,,,,,0.523,,,0.369,,0.98,,,-0.37,,96.0,,,87.6,,0.235,0.346,0.184,,,,,,,,,,0.246,0.41,0.392,,,,88.0,103.0,101.0,0.108,,1.28,,,94.5,0.286,0.286,0.116,,,,,,,,,,,,,,,,,,
2024-04-17,747212,Groundout,field_out,True,670156,694297,Miles Mastrobuoni,Brandon Pfaadt,0,f9d15be5-0cd0-4f41-8314-18b14aa57715,694297.0,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,3.97,3.39,113.1,106.0,106.0,106.0,0.779,8.26,2.06,8.34,1.11,1.1,0.238,0.428,0.145,0.298,0.457,97.0,102.0,105.0,92.0,104.0,101.0,141.0,111.0,118.0,,,,,,,0.35,,0.01,0.286,0.041,1.3,,0.39,0.32,-1.37,93.5,,89.6,84.5,80.1,0.246,0.388,0.201,0.2,0.8,0.0,,,,0.5,0.5,0.261,0.186,0.421,0.35,95.0,99.0,94.0,90.0,106.0,105.0,0.211,0.102,0.11,0.12,87.6,93.3,0.273,0.364,0.119,0.289,0.316,0.3,,,,,,,,,,,,,,,
