date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO
2024-09-10,745856,Strikeout,strikeout,True,676572,641154,Eric Wagaman,Pablo López,0,798fede4-e0fa-44d9-b5ba-48df576e2796,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,3.84,3.55,175.2,104.0,98.0,105.0,0.745,9.58,1.9,8.45,1.18,1.2,0.241,0.44,0.135,0.297,0.437,95.0,104.0,105.0,92.0,103.0,108.0,97.0,105.0,101.0,97.0,108.0,107.0,106.0,102.0,109.0,0.073,0.409,0.222,0.103,0.194,2.12,-2.83,-0.55,-1.54,-0.37,95.0,88.5,94.6,84.4,82.4,0.19,0.32,0.268,0.229,0.412,0.343,0.296,0.38,0.234,0.243,0.471,0.336,0.414,0.638,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,745857,Pop Out,field_out,True,676572,805673,Eric Wagaman,Zebby Matthews,0,8746baa2-5e86-49c4-a295-a02392d573c0,805673.0,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,7.11,5.61,25.1,101.0,99.0,99.0,0.778,9.59,1.78,13.14,2.84,0.92,0.253,0.437,0.161,0.379,0.418,89.0,86.0,94.0,104.0,119.0,117.0,94.0,98.0,96.0,,,,113.0,105.0,108.0,,0.445,0.238,0.063,0.061,-0.57,,-2.64,-7.49,-5.17,94.9,85.6,,86.5,81.1,0.263,0.579,0.152,,,,0.25,0.5,0.375,0.4,0.7,0.125,,,,0.351,0.486,0.397,,,,96.0,100.0,93.0,0.192,,-2.69,,90.7,,0.36,0.72,0.184,,,,,,,,,,,,,,,
2024-09-11,745857,Strikeout,strikeout,True,676572,805673,Eric Wagaman,Zebby Matthews,0,8e33e13d-8a07-40c2-b593-6cdd72db6ccc,805673.0,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,7.11,5.61,25.1,101.0,99.0,99.0,0.778,9.59,1.78,13.14,2.84,0.92,0.253,0.437,0.161,0.379,0.418,89.0,86.0,94.0,104.0,119.0,117.0,94.0,98.0,96.0,,,,113.0,105.0,108.0,,0.445,0.238,0.063,0.061,-0.57,,-2.64,-7.49,-5.17,94.9,85.6,,86.5,81.1,0.263,0.579,0.152,,,,0.25,0.5,0.375,0.4,0.7,0.125,,,,0.351,0.486,0.397,,,,96.0,100.0,93.0,0.192,,-2.69,,90.7,,0.36,0.72,0.184,,,,,,,,,,,,,,,
2024-09-11,745857,Caught Stealing 2B,caught_stealing_2b,True,676572,660896,Eric Wagaman,Jorge Alcala,0,99b9c73f-298e-4c03-8ab3-68ce176f6271,660896.0,jorgealcala,Alcala,Right,Jorge Alcala,MIN,3.46,3.28,54.2,98.0,125.0,101.0,0.752,8.56,3.13,6.59,1.32,0.67,0.196,0.439,0.223,0.304,0.426,115.0,88.0,84.0,,,,118.0,94.0,96.0,117.0,95.0,98.0,139.0,104.0,111.0,0.07,0.443,0.394,,0.094,-0.86,3.24,0.22,,4.32,98.0,90.9,97.3,89.8,,0.233,0.534,0.287,,,,0.08,0.12,0.111,,,,0.133,0.133,0.152,0.221,0.349,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,745857,Groundout,field_out,True,676572,660896,Eric Wagaman,Jorge Alcala,0,8a87df06-0058-446e-9563-830537f85507,660896.0,jorgealcala,Alcala,Right,Jorge Alcala,MIN,3.46,3.28,54.2,98.0,125.0,101.0,0.752,8.56,3.13,6.59,1.32,0.67,0.196,0.439,0.223,0.304,0.426,115.0,88.0,84.0,,,,118.0,94.0,96.0,117.0,95.0,98.0,139.0,104.0,111.0,0.07,0.443,0.394,,0.094,-0.86,3.24,0.22,,4.32,98.0,90.9,97.3,89.8,,0.233,0.534,0.287,,,,0.08,0.12,0.111,,,,0.133,0.133,0.152,0.221,0.349,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,745857,Groundout,field_out,True,676572,643377,Eric Wagaman,Griffin Jax,0,bfd7a9ce-8b26-47cb-a967-d19e2cb7ec18,643377.0,griffinjax,Jax,Right,Griffin Jax,MIN,2.18,2.41,66.0,105.0,135.0,117.0,0.65,11.86,2.05,6.0,0.55,1.52,0.242,0.405,0.216,0.307,0.426,111.0,107.0,114.0,152.0,119.0,124.0,116.0,108.0,113.0,90.0,101.0,102.0,171.0,101.0,125.0,0.094,0.303,0.371,0.065,0.168,2.33,1.98,0.84,1.13,1.32,97.1,92.3,96.7,88.9,86.5,0.16,0.307,0.281,0.218,0.282,0.429,0.167,0.271,0.485,0.133,0.267,0.333,0.227,0.273,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13,746181,Groundout,field_out,True,676572,579328,Eric Wagaman,Yusei Kikuchi,0,e62e0348-4a18-4fc5-83e2-b85999630ffa,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.29,3.93,163.2,101.0,110.0,105.0,0.735,10.39,2.31,8.69,1.32,1.11,0.273,0.402,0.127,0.369,0.445,100.0,94.0,92.0,99.0,104.0,105.0,115.0,103.0,108.0,,,,112.0,100.0,106.0,,0.48,0.227,0.183,0.11,-0.09,,0.97,0.01,0.0,95.5,86.9,,88.4,82.6,0.279,0.513,0.274,,,,0.183,0.239,0.368,0.262,0.402,0.27,,,,0.219,0.298,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13,746181,Groundout,field_out,True,676572,579328,Eric Wagaman,Yusei Kikuchi,0,43865c65-00e4-4189-8e6a-0c9f431b0430,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.29,3.93,163.2,101.0,110.0,105.0,0.735,10.39,2.31,8.69,1.32,1.11,0.273,0.402,0.127,0.369,0.445,100.0,94.0,92.0,99.0,104.0,105.0,115.0,103.0,108.0,,,,112.0,100.0,106.0,,0.48,0.227,0.183,0.11,-0.09,,0.97,0.01,0.0,95.5,86.9,,88.4,82.6,0.279,0.513,0.274,,,,0.183,0.239,0.368,0.262,0.402,0.27,,,,0.219,0.298,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13,746181,Lineout,field_out,True,676572,579328,Eric Wagaman,Yusei Kikuchi,0,c2411997-c885-4803-a85c-98720d71a80c,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.29,3.93,163.2,101.0,110.0,105.0,0.735,10.39,2.31,8.69,1.32,1.11,0.273,0.402,0.127,0.369,0.445,100.0,94.0,92.0,99.0,104.0,105.0,115.0,103.0,108.0,,,,112.0,100.0,106.0,,0.48,0.227,0.183,0.11,-0.09,,0.97,0.01,0.0,95.5,86.9,,88.4,82.6,0.279,0.513,0.274,,,,0.183,0.239,0.368,0.262,0.402,0.27,,,,0.219,0.298,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14,746177,Flyout,field_out,True,676572,434378,Eric Wagaman,Justin Verlander,0,fd3ad04e-de37-498e-b990-22205020b2d5,434378.0,justinverlander,Verlander,Right,Justin Verlander,HOU,5.2,4.01,79.2,100.0,118.0,102.0,0.808,7.34,2.94,9.38,1.58,0.51,0.283,0.359,0.171,0.279,0.438,116.0,97.0,101.0,112.0,100.0,97.0,117.0,98.0,102.0,,,,127.0,108.0,112.0,,0.494,0.185,0.224,0.097,-0.64,,0.57,-1.4,0.91,93.5,84.0,,86.7,77.7,0.296,0.509,0.205,,,,0.148,0.148,0.273,0.341,0.523,0.216,,,,0.194,0.347,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
