date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-03-28,745039,Flyout,field_out,True,543228,543135,Yan Gomes,Nathan Eovaldi,0,960deda0-a6fc-45d7-b6c1-8ce90d7ee243,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.36,3.99,99.0,105.0,98.0,104.0,0.749,8.55,2.36,7.27,1.18,1.58,0.234,0.385,0.11,0.355,0.445,102.0,101.0,102.0,73.0,108.0,102.0,112.0,96.0,101.0,92.0,104.0,97.0,126.0,104.0,112.0,0.362,0.148,0.302,0.037,0.151,1.48,0.94,1.4,-4.54,-1.43,95.5,91.7,88.7,86.3,76.9,0.183,0.314,0.206,0.202,0.327,0.361,0.264,0.396,0.161,0.27,0.541,0.357,0.412,0.706,0.185,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,745039,Flyout,field_out,True,543228,543135,Yan Gomes,Nathan Eovaldi,0,4243142e-3e56-46b2-b30b-00ccaa220dc9,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.36,3.99,99.0,105.0,98.0,104.0,0.749,8.55,2.36,7.27,1.18,1.58,0.234,0.385,0.11,0.355,0.445,102.0,101.0,102.0,73.0,108.0,102.0,112.0,96.0,101.0,92.0,104.0,97.0,126.0,104.0,112.0,0.362,0.148,0.302,0.037,0.151,1.48,0.94,1.4,-4.54,-1.43,95.5,91.7,88.7,86.3,76.9,0.183,0.314,0.206,0.202,0.327,0.361,0.264,0.396,0.161,0.27,0.541,0.357,0.412,0.706,0.185,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,745039,Strikeout,strikeout,True,543228,622250,Yan Gomes,Josh Sborz,0,8118b01a-fa7e-449b-bbd8-e955fd6ea02d,622250.0,joshsborz,Sborz,Right,Josh Sborz,TEX,2.89,3.34,9.1,98.0,114.0,100.0,0.776,7.71,2.89,7.71,0.0,1.44,0.214,0.429,0.071,0.286,0.391,124.0,105.0,105.0,109.0,102.0,102.0,111.0,92.0,97.0,,,,,,,0.455,,,0.297,0.248,0.34,,,2.63,2.64,95.2,,,87.6,83.8,0.313,0.375,0.205,,,,,,,0.111,0.111,0.357,0.182,0.182,0.286,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745037,Strikeout,strikeout,True,543228,674003,Yan Gomes,Cody Bradford,0,3ec5d9a6-4a07-4e43-af62-ca05c99bfc9a,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,102.0,115.0,109.0,91.0,100.0,87.0,39.0,106.0,109.0,38.0,107.0,93.0,,,,0.494,0.011,,0.049,0.154,4.59,-4.35,,8.51,2.09,90.4,86.3,,84.2,75.7,0.1,0.175,0.24,,,,,,,0.143,0.143,0.077,0.0,0.0,0.571,104.0,100.0,104.0,,,,,0.292,,0.62,81.4,,,,,0.278,0.333,0.35,,,,,,
2024-03-30,745037,Strikeout,strikeout,True,543228,674003,Yan Gomes,Cody Bradford,0,020ff338-9c51-4415-88ea-13fb56c5f6c8,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,102.0,115.0,109.0,91.0,100.0,87.0,39.0,106.0,109.0,38.0,107.0,93.0,,,,0.494,0.011,,0.049,0.154,4.59,-4.35,,8.51,2.09,90.4,86.3,,84.2,75.7,0.1,0.175,0.24,,,,,,,0.143,0.143,0.077,0.0,0.0,0.571,104.0,100.0,104.0,,,,,0.292,,0.62,81.4,,,,,0.278,0.333,0.35,,,,,,
2024-03-30,745037,Flyout,field_out,True,543228,489446,Yan Gomes,Kirby Yates,0,1ffda0c2-72ab-4933-aab6-761663065965,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.05,1.8,34.1,101.0,95.0,102.0,0.695,12.06,4.19,3.93,0.0,1.32,0.243,0.4,0.157,0.243,0.406,,,,86.0,103.0,101.0,93.0,96.0,103.0,,,,108.0,100.0,104.0,0.597,,0.393,0.011,,2.73,,1.29,0.4,,93.1,,86.4,85.8,,0.137,0.178,0.341,0.122,0.171,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,746899,Strikeout,strikeout,True,543228,641712,Yan Gomes,Dakota Hudson,0,fa640cdc-8085-475e-a8b8-76d87110be5a,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,102.0,98.0,99.0,64.0,89.0,76.0,99.0,96.0,97.0,,,,,,,0.156,,,0.255,0.166,-1.93,,,-0.32,0.89,89.9,,,84.1,80.2,0.296,0.5,0.079,,,,,,,0.114,0.205,0.333,0.289,0.361,0.313,84.0,94.0,93.0,71.0,96.0,86.0,0.32,0.103,-0.53,-4.92,83.4,90.3,0.315,0.465,0.07,0.379,0.69,0.146,,,,,,
2024-04-01,746899,Flyout,field_out,True,543228,641712,Yan Gomes,Dakota Hudson,0,878b60e7-3a26-4267-aaba-464f565322db,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,102.0,98.0,99.0,64.0,89.0,76.0,99.0,96.0,97.0,,,,,,,0.156,,,0.255,0.166,-1.93,,,-0.32,0.89,89.9,,,84.1,80.2,0.296,0.5,0.079,,,,,,,0.114,0.205,0.333,0.289,0.361,0.313,84.0,94.0,93.0,71.0,96.0,86.0,0.32,0.103,-0.53,-4.92,83.4,90.3,0.315,0.465,0.07,0.379,0.69,0.146,,,,,,
2024-04-01,746899,Fielders Choice Out,fielders_choice_out,True,543228,663567,Yan Gomes,Peter Lambert,1,5e23e637-de6d-4d21-b4f9-333b7aac56ba,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.44,4.1,43.0,94.0,95.0,94.0,0.797,7.12,4.6,9.0,0.84,1.09,0.29,0.435,0.137,0.313,0.411,80.0,96.0,95.0,87.0,91.0,88.0,120.0,94.0,101.0,,,,,,,0.382,,,0.306,0.052,-0.75,,,0.45,-5.77,94.5,,,85.8,78.0,0.276,0.534,0.11,,,,,,,0.25,0.875,0.2,0.182,0.182,0.316,89.0,95.0,95.0,87.0,95.0,89.0,0.032,0.228,-1.55,0.42,86.9,93.8,0.333,0.333,0.0,0.237,0.263,0.42,,,,,,
2024-04-05,746897,Flyout,field_out,True,543228,676272,Yan Gomes,Bobby Miller,0,12861274-e700-4a2f-a1b3-c928035fedc1,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.07,6.02,29.0,92.0,115.0,96.0,0.778,8.38,5.59,10.86,2.17,1.54,0.227,0.364,0.159,0.398,0.407,124.0,93.0,99.0,120.0,89.0,93.0,113.0,106.0,113.0,,,,,,,0.435,,,0.128,0.161,-0.22,,,-5.86,-2.03,97.5,,,88.9,79.3,0.27,0.524,0.188,,,,,,,0.455,0.727,0.286,0.4,0.8,0.241,103.0,83.0,88.0,101.0,93.0,92.0,0.098,0.178,-3.27,0.65,85.8,96.9,0.625,0.75,0.111,0.111,0.167,0.424,,,,,,
