date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO,EP%,wEP/C,vEP,vKN (sc),KN%,wKN/C,ST_ba,ST_slg,ST_whiff
2024-04-01,746409,Groundout,field_out,True,666197,643396,Grae Kessinger,Isiah Kiner-Falefa,0,1b361548-a32c-418d-8d04-3ad91175d030,643396.0,isiahkinerfalefa,Kiner-Falefa,Right,Isiah Kiner-Falefa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,746407,Strikeout,strikeout,True,666197,641149,Grae Kessinger,Wes Parsons,0,4f62df17-4793-467c-856d-f979819c7288,641149.0,wesparsons,Parsons,Right,Wes Parsons,- - -,6.0,6.84,9.0,94.0,114.0,96.0,0.747,7.0,2.0,10.0,2.0,2.14,0.241,0.448,0.172,0.31,0.405,88.0,90.0,88.0,124.0,89.0,93.0,106.0,101.0,101.0,134.0,103.0,111.0,0.372,0.203,0.216,0.054,-0.55,-7.0,-0.69,9.05,94.8,89.6,86.8,83.2,0.333,0.583,0.4,0.444,0.778,0.176,0.0,0.0,0.0,0.167,0.167,0.25,,,,,,,,,,107.0,87.0,86.0,,,,0.155,,,2.93,,93.9,,,,0.167,0.333,0.3,,,,,,,,,,,,,,,,,,,,,
2024-04-05,745033,Strikeout,strikeout,True,666197,656641,Grae Kessinger,Jacob Latz,1,bdb006a9-62df-4617-be7f-664e50987d35,656641.0,jacoblatz,Latz,Left,Jacob Latz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243,0.4,0.244,0.143,0.143,0.281,0.209,0.302,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10,746323,Flyout,field_out,True,666197,543475,Grae Kessinger,Jordan Lyles,0,8a28862a-1e4f-447e-adae-277dd8f371b8,543475.0,jordanlyles,Lyles,Right,Jordan Lyles,KCR,0.0,3.93,5.0,97.0,88.0,92.0,0.711,5.4,3.6,3.6,0.0,0.75,0.286,0.571,0.214,0.571,0.403,75.0,91.0,79.0,117.0,88.0,91.0,65.0,94.0,83.0,111.0,105.0,114.0,0.264,0.153,0.125,0.181,0.16,8.02,-0.31,3.43,90.8,84.4,80.2,79.9,0.25,0.5,0.0,0.0,0.0,0.429,0.0,0.0,0.714,,,,,,,,,,,,,78.0,118.0,109.0,105.0,106.0,100.0,0.097,0.181,3.5,-4.92,87.6,89.4,,,,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
2024-04-12,746408,Strikeout,strikeout,True,666197,641540,Grae Kessinger,Dane Dunning,0,e03460fd-3dd2-47a4-a809-afb24cef490f,641540.0,danedunning,Dunning,Right,Dane Dunning,TEX,4.71,4.73,65.0,97.0,83.0,94.0,0.769,9.97,4.29,7.34,1.66,1.31,0.145,0.523,0.122,0.349,0.405,82.0,94.0,87.0,,,,44.0,110.0,95.0,106.0,99.0,97.0,0.031,0.245,,0.137,-3.78,-0.4,,-1.16,89.4,85.4,80.9,,0.25,0.625,0.263,0.226,0.472,0.336,0.219,0.531,0.358,0.0,0.0,0.368,,,,,,,,,,78.0,101.0,97.0,79.0,97.0,94.0,0.349,0.182,-0.59,0.8,88.2,90.0,0.233,0.419,0.259,0.218,0.376,0.133,60.0,92.0,100.0,0.056,-0.02,75.8,,,,0.001,-6.42,76.4,,,,,,,,,
2024-04-12,746408,Grounded Into DP,grounded_into_double_play,True,666197,641540,Grae Kessinger,Dane Dunning,1,41b4bd5a-b9d1-443f-89cd-b68f9570d39d,641540.0,danedunning,Dunning,Right,Dane Dunning,TEX,4.71,4.73,65.0,97.0,83.0,94.0,0.769,9.97,4.29,7.34,1.66,1.31,0.145,0.523,0.122,0.349,0.405,82.0,94.0,87.0,,,,44.0,110.0,95.0,106.0,99.0,97.0,0.031,0.245,,0.137,-3.78,-0.4,,-1.16,89.4,85.4,80.9,,0.25,0.625,0.263,0.226,0.472,0.336,0.219,0.531,0.358,0.0,0.0,0.368,,,,,,,,,,78.0,101.0,97.0,79.0,97.0,94.0,0.349,0.182,-0.59,0.8,88.2,90.0,0.233,0.419,0.259,0.218,0.376,0.133,60.0,92.0,100.0,0.056,-0.02,75.8,,,,0.001,-6.42,76.4,,,,,,,,,
2024-04-12,746408,Strikeout,strikeout,True,666197,600917,Grae Kessinger,José Leclerc,0,7dfccff1-b18d-44b3-9f1b-f0b1ec16eac6,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,3.95,3.8,41.0,95.0,110.0,98.0,0.628,11.85,5.27,5.49,0.88,0.85,0.217,0.457,0.152,0.348,0.368,66.0,99.0,89.0,,,,107.0,89.0,97.0,119.0,103.0,104.0,0.352,0.33,,0.105,0.85,1.16,,-0.04,95.1,88.1,81.9,,0.128,0.277,0.311,0.193,0.298,0.504,0.111,0.111,0.556,,,,,,,,,,,,,78.0,88.0,81.0,134.0,94.0,99.0,0.046,0.167,-0.6,2.9,90.0,94.8,0.227,0.364,0.259,0.2,0.2,0.143,,,,,,,,,,,,,,,,,,,,,
2024-04-12,746408,Groundout,field_out,True,666197,681982,Grae Kessinger,Grant Anderson,0,43bdb642-e364-42b6-b08d-50883c95e633,681982.0,grantanderson,"Anderson, G",Right,Grant Anderson,TEX,8.53,5.09,19.0,99.0,101.0,102.0,0.764,9.47,3.79,10.89,2.84,1.3,0.25,0.411,0.143,0.304,0.454,61.0,80.0,83.0,,,,83.0,97.0,95.0,120.0,98.0,109.0,0.268,0.385,,0.073,-2.69,-3.52,,3.36,92.5,85.8,82.4,,0.25,0.85,0.409,0.458,0.75,0.298,0.0,0.0,0.111,,,,,,,,,,,,,102.0,107.0,105.0,,,,0.274,,,2.3,,92.1,,,,0.259,0.259,0.1,,,,,,,,,,,,,,,,,,,,,
2024-04-13,746405,Forceout,force_out,True,666197,643493,Grae Kessinger,Austin Pruitt,1,dbfff478-a84e-4d15-8e58-62ed7dd91076,643493.0,austinpruitt,Pruitt,Right,Austin Pruitt,TEX,12.46,25.68,4.1,102.0,85.0,100.0,0.943,2.08,6.23,16.62,6.23,0.63,0.2,0.3,0.35,0.25,0.397,51.0,110.0,118.0,140.0,120.0,114.0,43.0,93.0,84.0,109.0,100.0,103.0,0.269,0.346,0.103,0.128,-7.77,-4.72,-23.48,-5.73,91.6,87.0,88.4,80.9,0.5,1.5,0.222,0.25,0.625,0.0,0.5,0.5,0.0,,,,,,,,,,,,,99.0,107.0,96.0,,,,0.154,,,7.89,,91.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-27,746560,Double Play,double_play,True,666197,683627,Grae Kessinger,Anthony Molina,1,a2e69a08-4bd2-4f11-9ef8-cef6d3cfba61,683627.0,anthonymolina,Molina,Right,Anthony Molina,COL,6.94,5.26,35.0,99.0,85.0,96.0,0.871,4.89,3.86,11.83,0.77,1.65,0.29,0.347,0.137,0.363,0.436,94.0,91.0,92.0,121.0,110.0,112.0,76.0,98.0,92.0,91.0,107.0,107.0,0.49,0.249,0.024,0.235,-1.66,-1.65,-1.97,0.35,94.6,84.9,88.5,82.4,0.373,0.537,0.136,0.349,0.488,0.115,0.179,0.286,0.254,0.333,0.333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,3.88,76.8,,,,,,,,,,,,,,,
