date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024-03-29,745682,Groundout,field_out,True,664314,548389,Estevan Florial,Ross Stripling,0,fdd7f49c-b3ea-4f99-919f-7e388d6ab82e,548389.0,rossstripling,Stripling,Right,Ross Stripling,OAK,5.82,4.39,55.2,104.0,89.0,99.0,0.834,5.66,1.94,12.45,0.97,1.06,0.358,0.338,0.176,0.294,0.429,83.0,113.0,105.0,62.0,100.0,89.0,93.0,102.0,90.0,120.0,107.0,112.0,96.0,90.0,101.0,0.166,0.316,0.278,0.05,0.19,0.39,-1.39,-0.77,-2.92,-2.9,91.6,82.6,90.3,85.3,74.7,0.301,0.452,0.173,0.246,0.415,0.192,0.365,0.577,0.232,0.386,0.455,0.092,1.0,1.333,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-29,745682,Strikeout,strikeout,True,664314,548389,Estevan Florial,Ross Stripling,0,4402b62d-b68d-423c-bfe0-162f54f98632,548389.0,rossstripling,Stripling,Right,Ross Stripling,OAK,5.82,4.39,55.2,104.0,89.0,99.0,0.834,5.66,1.94,12.45,0.97,1.06,0.358,0.338,0.176,0.294,0.429,83.0,113.0,105.0,62.0,100.0,89.0,93.0,102.0,90.0,120.0,107.0,112.0,96.0,90.0,101.0,0.166,0.316,0.278,0.05,0.19,0.39,-1.39,-0.77,-2.92,-2.9,91.6,82.6,90.3,85.3,74.7,0.301,0.452,0.173,0.246,0.415,0.192,0.365,0.577,0.232,0.386,0.455,0.092,1.0,1.333,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-29,745682,Strikeout,strikeout,True,664314,687765,Estevan Florial,Mitch Spence,0,bb90cd7f-c6f0-4425-a8ff-ad3c474e5050,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.75,3.99,83.1,102.0,100.0,101.0,0.79,7.78,2.48,9.4,1.3,1.25,0.154,0.453,0.138,0.323,0.424,75.0,88.0,85.0,,,,39.0,98.0,87.0,123.0,105.0,109.0,,,,0.121,,0.362,,0.019,,-0.1,0.7,,-10.0,,88.6,92.2,84.2,,0.248,0.442,0.277,,,,0.625,0.875,0.0,0.308,0.308,0.132,0.256,0.419,0.315,96.0,97.0,94.0,0.39,-0.32,91.0,0.255,0.491,0.186,102.0,115.0,114.0,0.107,-2.9,79.5,,,,,,,,,,,,
2024-03-29,745682,Walk,walk,False,664314,687765,Estevan Florial,Mitch Spence,0,b02222fa-28b7-411c-9571-b573ef1d57b8,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.75,3.99,83.1,102.0,100.0,101.0,0.79,7.78,2.48,9.4,1.3,1.25,0.154,0.453,0.138,0.323,0.424,75.0,88.0,85.0,,,,39.0,98.0,87.0,123.0,105.0,109.0,,,,0.121,,0.362,,0.019,,-0.1,0.7,,-10.0,,88.6,92.2,84.2,,0.248,0.442,0.277,,,,0.625,0.875,0.0,0.308,0.308,0.132,0.256,0.419,0.315,96.0,97.0,94.0,0.39,-0.32,91.0,0.255,0.491,0.186,102.0,115.0,114.0,0.107,-2.9,79.5,,,,,,,,,,,,
2024-03-31,745683,Strikeout,strikeout,True,664314,621112,Estevan Florial,Paul Blackburn,0,a6f670cb-c08a-469c-af46-db97ace5958e,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.11,4.64,46.0,105.0,95.0,102.0,0.762,7.04,2.54,7.83,1.17,1.51,0.225,0.406,0.181,0.239,0.41,90.0,108.0,107.0,77.0,98.0,93.0,74.0,110.0,97.0,122.0,105.0,110.0,,,,0.102,0.221,0.173,,0.191,-1.7,-1.74,1.33,,2.4,92.1,85.5,91.4,81.6,,0.129,0.258,0.288,0.233,0.7,0.18,0.162,0.189,0.317,0.409,0.545,0.086,0.125,0.25,0.324,104.0,107.0,100.0,0.199,0.5,89.2,0.316,0.421,0.272,94.0,107.0,107.0,0.112,1.8,79.6,,,,,,,,,,,,
2024-03-31,745683,Walk,walk,False,664314,621112,Estevan Florial,Paul Blackburn,1,56e39c61-b3a2-4bfd-abb4-42bdcb38b60f,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.11,4.64,46.0,105.0,95.0,102.0,0.762,7.04,2.54,7.83,1.17,1.51,0.225,0.406,0.181,0.239,0.41,90.0,108.0,107.0,77.0,98.0,93.0,74.0,110.0,97.0,122.0,105.0,110.0,,,,0.102,0.221,0.173,,0.191,-1.7,-1.74,1.33,,2.4,92.1,85.5,91.4,81.6,,0.129,0.258,0.288,0.233,0.7,0.18,0.162,0.189,0.317,0.409,0.545,0.086,0.125,0.25,0.324,104.0,107.0,100.0,0.199,0.5,89.2,0.316,0.421,0.272,94.0,107.0,107.0,0.112,1.8,79.6,,,,,,,,,,,,
2024-03-31,745683,Triple,triple,False,664314,668674,Estevan Florial,Lucas Erceg,0,87dc1601-20c5-457e-997b-7aceacf08276,668674.0,lucaserceg,Erceg,Right,Lucas Erceg,OAK,2.94,3.34,33.2,103.0,111.0,105.0,0.713,10.16,3.21,7.49,0.8,1.76,0.33,0.284,0.193,0.227,0.402,91.0,100.0,104.0,115.0,96.0,95.0,110.0,110.0,108.0,125.0,110.0,115.0,,,,0.23,0.307,0.246,,0.218,-0.99,2.53,3.75,,-2.85,98.5,91.1,98.5,85.8,,0.067,0.067,0.353,0.211,0.447,0.333,0.409,0.727,0.345,0.25,0.278,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745683,Fielders Choice,fielders_choice,False,664314,666204,Estevan Florial,Dany Jiménez,1,9357b292-ee29-430d-bf15-843d8a51095f,666204.0,danyjimenez,"Jiménez, D",Right,Dany Jiménez,OAK,3.04,4.54,23.2,91.0,97.0,94.0,0.742,7.99,6.85,6.08,1.52,0.55,0.262,0.477,0.231,0.215,0.443,89.0,76.0,78.0,63.0,91.0,80.0,,,,120.0,92.0,104.0,,,,,0.374,0.588,,0.038,-0.36,,-0.02,,-4.2,92.5,83.4,,81.9,,0.158,0.316,0.333,0.25,0.583,0.14,0.333,0.333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,745277,Strikeout,strikeout,True,664314,662253,Estevan Florial,Andrés Muñoz,0,03ad4acd-64c2-49c8-bf7c-167ad5d170e9,662253.0,andresmunoz,"Muñoz, A",Right,Andrés Muñoz,SEA,1.41,2.68,38.1,96.0,118.0,100.0,0.646,10.8,4.23,5.17,0.47,1.96,0.326,0.314,0.198,0.267,0.323,,,,95.0,96.0,94.0,107.0,90.0,93.0,136.0,98.0,107.0,,,,0.239,0.276,0.485,,,1.8,1.38,1.77,,,98.4,,97.5,87.6,,0.159,0.217,0.437,0.167,0.278,0.203,,,,0.185,0.185,0.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,745275,Groundout,field_out,True,664314,669923,Estevan Florial,George Kirby,0,ccd6cf34-c60e-45f7-b735-f1d93b508803,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,,,,103.0,107.0,102.0,105.0,110.0,108.0,112.0,102.0,109.0,121.0,111.0,115.0,0.225,0.36,0.228,0.075,,1.58,1.79,0.55,-2.88,,95.8,,95.8,87.1,83.1,0.253,0.391,0.28,0.196,0.35,0.304,,,,0.256,0.35,0.097,0.333,0.5,0.323,97.0,99.0,93.0,0.006,0.82,92.3,,,,,,,,,,112.0,99.0,109.0,0.106,-0.43,85.7,0.2,0.32,0.288,,,
