date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024-03-29,745117,Groundout,field_out,True,596129,606965,Daniel Vogelbach,Chris Devenski,0,5e3b2f1d-1de5-4cd7-ab45-ca1822545cdb,606965.0,chrisdevenski,Devenski,Right,Chris Devenski,TBR,6.75,6.02,26.2,99.0,109.0,103.0,0.75,8.1,4.73,9.45,3.04,0.43,0.298,0.381,0.202,0.369,0.388,,,,78.0,104.0,99.0,,,,129.0,88.0,90.0,38.0,94.0,74.0,,,,,0.31,0.139,,0.077,,-4.53,-5.56,,,-1.31,,93.0,85.2,,,77.7,,0.538,0.923,0.242,,,,0.25,0.25,0.467,,,,0.289,0.974,0.151,,,,144.0,99.0,115.0,0.475,1.05,82.8,0.163,0.245,0.364,,,,,,,,,
2024-03-30,745119,Single,single,False,596129,641793,Daniel Vogelbach,Zack Littell,0,3a9e928d-0c22-44d4-89ce-b584e57016d7,641793.0,zacklittell,Littell,Right,Zack Littell,TBR,4.26,4.24,101.1,104.0,82.0,99.0,0.792,8.35,1.69,10.66,1.24,0.79,0.237,0.374,0.146,0.29,0.462,,,,56.0,111.0,91.0,73.0,103.0,91.0,101.0,104.0,102.0,,,,99.0,106.0,112.0,0.154,0.207,,0.226,0.413,,-0.92,,-1.86,-1.56,1.08,,92.6,,83.0,91.9,85.7,,,,,0.309,0.485,0.147,0.375,0.5,0.085,,,,0.313,0.484,0.209,0.283,0.485,0.346,,,,,,,,,,,,,,,,,,
2024-03-30,745119,Flyout,field_out,True,596129,641793,Daniel Vogelbach,Zack Littell,0,7d505851-486e-401b-aa74-0509da382496,641793.0,zacklittell,Littell,Right,Zack Littell,TBR,4.26,4.24,101.1,104.0,82.0,99.0,0.792,8.35,1.69,10.66,1.24,0.79,0.237,0.374,0.146,0.29,0.462,,,,56.0,111.0,91.0,73.0,103.0,91.0,101.0,104.0,102.0,,,,99.0,106.0,112.0,0.154,0.207,,0.226,0.413,,-0.92,,-1.86,-1.56,1.08,,92.6,,83.0,91.9,85.7,,,,,0.309,0.485,0.147,0.375,0.5,0.085,,,,0.313,0.484,0.209,0.283,0.485,0.346,,,,,,,,,,,,,,,,,,
2024-03-30,745119,Strikeout,strikeout,True,596129,641793,Daniel Vogelbach,Zack Littell,0,342a3e76-a9a3-4e8c-90f0-2c6cbff43b6c,641793.0,zacklittell,Littell,Right,Zack Littell,TBR,4.26,4.24,101.1,104.0,82.0,99.0,0.792,8.35,1.69,10.66,1.24,0.79,0.237,0.374,0.146,0.29,0.462,,,,56.0,111.0,91.0,73.0,103.0,91.0,101.0,104.0,102.0,,,,99.0,106.0,112.0,0.154,0.207,,0.226,0.413,,-0.92,,-1.86,-1.56,1.08,,92.6,,83.0,91.9,85.7,,,,,0.309,0.485,0.147,0.375,0.5,0.085,,,,0.313,0.484,0.209,0.283,0.485,0.346,,,,,,,,,,,,,,,,,,
2024-03-30,745119,Lineout,field_out,True,596129,592094,Daniel Vogelbach,Jason Adam,0,5f05d388-831b-49f3-ab4a-40fedf1e2e8b,592094.0,jasonadam,Adam,Right,Jason Adam,TBR,1.67,3.15,43.0,97.0,130.0,104.0,0.655,9.21,2.93,4.19,0.63,1.2,0.202,0.404,0.162,0.343,0.401,,,,122.0,101.0,103.0,,,,132.0,88.0,92.0,,,,,,,,0.412,,,0.353,,1.79,,,,1.35,,95.4,,,,81.9,,,,,,,,0.143,0.286,0.429,,,,0.154,0.269,0.228,,,,138.0,101.0,117.0,0.235,2.24,89.6,0.13,0.196,0.405,,,,,,,,,
2024-04-03,746407,Walk,walk,False,596129,669395,Daniel Vogelbach,Dylan Coleman,0,6536678d-0b7d-4b1b-bfd7-5854f3c8aa2d,669395.0,dylancoleman,Coleman,Right,Dylan Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-06,745766,Strikeout,strikeout,True,596129,657376,Daniel Vogelbach,Clarke Schmidt,0,4215b8d3-13d1-4063-a364-577e42f96146,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,,,,,,,81.0,97.0,87.0,135.0,93.0,102.0,106.0,106.0,103.0,,,,0.215,,0.356,,0.239,,,0.6,,-0.42,1.58,,,92.4,,94.2,85.3,,0.256,0.372,0.325,0.233,0.488,0.212,0.196,0.283,0.319,0.146,0.22,0.346,,,,,,,36.0,89.0,96.0,0.009,-13.06,87.1,0.667,1.0,0.0,152.0,100.0,112.0,0.181,0.69,83.9,,,
2024-04-06,745766,Flyout,field_out,True,596129,657376,Daniel Vogelbach,Clarke Schmidt,0,fde53f1e-c317-447d-be8c-61bf21edaad5,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,,,,,,,81.0,97.0,87.0,135.0,93.0,102.0,106.0,106.0,103.0,,,,0.215,,0.356,,0.239,,,0.6,,-0.42,1.58,,,92.4,,94.2,85.3,,0.256,0.372,0.325,0.233,0.488,0.212,0.196,0.283,0.319,0.146,0.22,0.346,,,,,,,36.0,89.0,96.0,0.009,-13.06,87.1,0.667,1.0,0.0,152.0,100.0,112.0,0.181,0.69,83.9,,,
2024-04-06,745766,Strikeout,strikeout,True,596129,596133,Daniel Vogelbach,Luke Weaver,0,e78eeeb3-2e88-403c-a594-4502099b6373,596133.0,lukeweaver,Weaver,Right,Luke Weaver,NYY,2.47,3.59,54.2,99.0,121.0,105.0,0.726,9.55,2.14,5.1,0.99,0.83,0.243,0.375,0.14,0.279,0.37,,,,137.0,99.0,106.0,,,,,,,108.0,98.0,103.0,,,,,0.444,0.28,,,,1.14,1.38,,,,,95.4,91.2,,,,,0.18,0.443,0.194,,,,,,,,,,0.171,0.3,0.28,,,,107.0,103.0,104.0,0.264,1.5,88.4,0.138,0.241,0.44,119.0,75.0,96.0,0.012,2.43,83.3,,,
2024-04-06,745766,Double,double,False,596129,596133,Daniel Vogelbach,Luke Weaver,1,bc229639-a219-4be3-a023-24fd1d2e9fd3,596133.0,lukeweaver,Weaver,Right,Luke Weaver,NYY,2.47,3.59,54.2,99.0,121.0,105.0,0.726,9.55,2.14,5.1,0.99,0.83,0.243,0.375,0.14,0.279,0.37,,,,137.0,99.0,106.0,,,,,,,108.0,98.0,103.0,,,,,0.444,0.28,,,,1.14,1.38,,,,,95.4,91.2,,,,,0.18,0.443,0.194,,,,,,,,,,0.171,0.3,0.28,,,,107.0,103.0,104.0,0.264,1.5,88.4,0.138,0.241,0.44,119.0,75.0,96.0,0.012,2.43,83.3,,,
