date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,wFA/C,wFC/C,wSL/C,wCU/C,vFA,vFC,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff
2024-06-05,746950,Strikeout,strikeout,True,679881,677161,J.P. Martínez,Zack Kelly,0,4575e6bf-846a-4616-a6c0-d62db754062d,677161.0,zackkelly,"Kelly, Z",Right,Zack Kelly,BOS,1.96,3.12,36.2,102.0,109.0,106.0,0.738,10.06,3.93,4.91,0.98,1.62,0.225,0.393,0.191,0.225,0.44,,,,107.0,97.0,93.0,129.0,104.0,115.0,89.0,105.0,107.0,0.317,0.189,0.255,,-0.36,2.03,2.66,,96.2,90.2,82.3,,0.195,0.268,0.19,0.111,0.222,0.385,0.192,0.308,0.271,,,,,,,,,,,,,,,,,,,,,,107.0,105.0,112.0,0.239,1.3,83.4,0.111,0.259,0.29
2024-06-06,744844,Groundout,field_out,True,679881,640451,J.P. Martínez,Hunter Harvey,0,4951a18b-e3b3-48b5-98f9-87abce19bea0,640451.0,hunterharvey,"Harvey, H",Right,Hunter Harvey,WSN,4.2,4.19,45.0,105.0,110.0,107.0,0.745,10.0,2.4,8.6,0.8,1.51,0.258,0.452,0.161,0.363,0.463,101.0,96.0,101.0,117.0,107.0,108.0,119.0,96.0,108.0,,,,0.632,,0.043,0.098,0.4,,-7.36,1.44,97.8,,85.5,82.3,0.245,0.388,0.23,0.429,1.0,0.357,,,,0.158,0.263,0.303,,,,95.0,107.0,110.0,,0.226,-0.54,,89.1,,0.265,0.449,0.374,,,,,,,,,,,,
2024-06-07,744845,Double,double,False,679881,663623,J.P. Martínez,Jake Irvin,0,005409e4-186c-49b4-97ba-afed451a4441,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.49,3.88,116.0,105.0,96.0,102.0,0.796,7.68,2.25,7.76,1.09,1.13,0.244,0.414,0.173,0.327,0.473,111.0,106.0,106.0,84.0,106.0,99.0,136.0,80.0,109.0,77.0,103.0,94.0,0.355,0.09,0.004,0.35,0.64,-0.24,2.31,0.76,94.1,89.9,86.3,81.0,0.208,0.364,0.231,,,,0.275,0.525,0.216,0.199,0.363,0.263,97.0,104.0,106.0,,,,0.178,,,-0.13,,93.4,,,,0.311,0.456,0.119,104.0,91.0,95.0,0.022,-1.04,88.0,,,
2024-06-07,744845,Pop Out,field_out,True,679881,663623,J.P. Martínez,Jake Irvin,0,c13ba00c-00a2-4a41-bdaa-c67938542667,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.49,3.88,116.0,105.0,96.0,102.0,0.796,7.68,2.25,7.76,1.09,1.13,0.244,0.414,0.173,0.327,0.473,111.0,106.0,106.0,84.0,106.0,99.0,136.0,80.0,109.0,77.0,103.0,94.0,0.355,0.09,0.004,0.35,0.64,-0.24,2.31,0.76,94.1,89.9,86.3,81.0,0.208,0.364,0.231,,,,0.275,0.525,0.216,0.199,0.363,0.263,97.0,104.0,106.0,,,,0.178,,,-0.13,,93.4,,,,0.311,0.456,0.119,104.0,91.0,95.0,0.022,-1.04,88.0,,,
2024-06-07,744845,Strikeout,strikeout,True,679881,571882,J.P. Martínez,Derek Law,0,2ba5a113-9211-4821-b588-2c1f2405518a,571882.0,dereklaw,"Law, D",Right,Derek Law,WSN,3.32,4.04,57.0,103.0,91.0,98.0,0.744,7.89,2.68,9.16,0.95,1.84,0.203,0.448,0.128,0.221,0.403,100.0,94.0,99.0,80.0,103.0,95.0,112.0,113.0,107.0,81.0,100.0,94.0,0.133,0.399,0.287,0.046,-1.25,0.36,2.56,-7.81,95.1,91.5,87.2,77.8,0.292,0.5,0.186,0.171,0.256,0.405,0.293,0.387,0.252,0.75,2.25,0.0,85.0,97.0,89.0,,,,0.092,,,-2.66,,94.4,,,,0.455,0.545,0.109,85.0,106.0,104.0,0.043,1.29,88.4,0.222,0.222,0.238
2024-06-14,747112,Strikeout,strikeout,True,679881,641793,J.P. Martínez,Zack Littell,0,f315f567-39e1-40ee-9482-6dc12f3dfdcc,641793.0,zacklittell,Littell,Right,Zack Littell,TBR,4.26,4.24,101.1,104.0,82.0,99.0,0.792,8.35,1.69,10.66,1.24,0.79,0.237,0.374,0.146,0.29,0.462,,,,56.0,111.0,91.0,101.0,104.0,102.0,,,,0.207,,0.413,,-0.92,,1.08,,92.6,,85.7,,0.313,0.484,0.209,0.375,0.5,0.085,,,,,,,73.0,103.0,91.0,99.0,106.0,112.0,0.154,0.226,-1.86,-1.56,83.0,91.9,0.283,0.485,0.346,0.309,0.485,0.147,,,,,,,,,
2024-06-14,747112,Single,single,False,679881,687330,J.P. Martínez,Kevin Kelly,0,de19d3f2-3fc1-4c73-b17f-fcfaf3387c99,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.83,3.31,40.0,103.0,116.0,102.0,0.81,8.78,1.13,8.55,1.35,1.94,0.241,0.371,0.207,0.276,0.473,,,,103.0,117.0,121.0,121.0,95.0,100.0,91.0,102.0,102.0,0.003,0.098,0.278,,-70.48,1.24,0.41,,90.7,87.7,77.3,,,,,0.158,0.316,0.347,0.154,0.154,0.185,,,,117.0,107.0,103.0,,,,0.621,,,0.02,,90.7,,,,0.293,0.455,0.123,,,,,,,,,
2024-06-14,747112,Groundout,field_out,True,679881,664208,J.P. Martínez,Phil Maton,0,9e04930d-dc7e-4036-87fa-62590057b4f4,664208.0,philmaton,"Maton, P",Right,Phil Maton,- - -,4.46,5.22,38.1,95.0,102.0,102.0,0.732,8.45,4.23,7.28,1.64,1.23,0.135,0.548,0.154,0.365,0.404,99.0,92.0,106.0,,,,151.0,93.0,103.0,81.0,96.0,96.0,,0.349,0.32,0.272,,1.7,-1.93,-1.67,,88.3,81.6,74.2,,,,0.333,1.333,0.111,0.186,0.209,0.301,0.163,0.349,0.391,42.0,104.0,96.0,,,,0.06,,,3.81,,87.2,,,,0.125,0.125,0.211,,,,,,,,,
2024-06-14,747112,Field Error,field_error,False,679881,592094,J.P. Martínez,Jason Adam,0,bfc25da7-4110-4868-980f-5468cf3b4017,592094.0,jasonadam,Adam,Right,Jason Adam,TBR,1.67,3.15,43.0,97.0,130.0,104.0,0.655,9.21,2.93,4.19,0.63,1.2,0.202,0.404,0.162,0.343,0.401,,,,122.0,101.0,103.0,132.0,88.0,92.0,,,,0.412,,0.353,,1.79,,1.35,,95.4,,81.9,,0.154,0.269,0.228,0.143,0.286,0.429,,,,,,,,,,,,,,,,,,,,,,,,,138.0,101.0,117.0,0.235,2.24,89.6,0.13,0.196,0.405
2024-06-16,747109,Strikeout,strikeout,True,679881,664126,J.P. Martínez,Pete Fairbanks,0,6db88243-4ad6-4656-acc7-6cc04c21256d,664126.0,petefairbanks,Fairbanks,Right,Pete Fairbanks,TBR,3.21,3.67,33.2,96.0,124.0,102.0,0.79,8.55,4.01,7.22,0.53,1.32,0.185,0.424,0.196,0.25,0.441,,,,113.0,93.0,98.0,137.0,99.0,106.0,,,,0.532,,0.46,,-0.09,,2.43,,97.2,,85.0,,0.274,0.339,0.216,0.167,0.25,0.222,,,,,,,,,,,,,,,,,,,,,,,,,93.0,120.0,95.0,0.008,-5.64,94.9,,,
