date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,FO%,KC%,wFO/C,wKC/C,vFO,vKC
2024-03-28,745116,Strikeout,strikeout,True,650907,621244,René Pinto,José Berríos,0,50505ded-d709-4fc4-9a53-373636aa0e1a,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,89.0,103.0,101.0,107.0,101.0,105.0,82.0,100.0,92.0,85.0,102.0,95.0,,,,80.0,100.0,94.0,0.329,0.175,0.031,,0.301,0.163,-1.98,-2.81,0.53,,0.16,1.45,94.0,91.7,84.5,93.5,,83.0,0.288,0.378,0.124,0.375,0.438,0.03,,,,0.333,0.648,0.183,,,,0.153,0.376,0.241,0.202,0.403,0.286,,,,,,,,,,,,,,,,,,
2024-03-28,745116,Caught Stealing 2B,caught_stealing_2b,True,650907,621244,René Pinto,José Berríos,0,520b1451-e57c-499f-af72-0f57952754cc,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,89.0,103.0,101.0,107.0,101.0,105.0,82.0,100.0,92.0,85.0,102.0,95.0,,,,80.0,100.0,94.0,0.329,0.175,0.031,,0.301,0.163,-1.98,-2.81,0.53,,0.16,1.45,94.0,91.7,84.5,93.5,,83.0,0.288,0.378,0.124,0.375,0.438,0.03,,,,0.333,0.648,0.183,,,,0.153,0.376,0.241,0.202,0.403,0.286,,,,,,,,,,,,,,,,,,
2024-03-28,745116,Double,double,False,650907,621244,René Pinto,José Berríos,0,3752c3a3-8a80-412d-b0e6-0cbdab683f81,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,89.0,103.0,101.0,107.0,101.0,105.0,82.0,100.0,92.0,85.0,102.0,95.0,,,,80.0,100.0,94.0,0.329,0.175,0.031,,0.301,0.163,-1.98,-2.81,0.53,,0.16,1.45,94.0,91.7,84.5,93.5,,83.0,0.288,0.378,0.124,0.375,0.438,0.03,,,,0.333,0.648,0.183,,,,0.153,0.376,0.241,0.202,0.403,0.286,,,,,,,,,,,,,,,,,,
2024-03-28,745116,Pop Out,field_out,True,650907,670950,René Pinto,Trevor Richards,0,b0c31535-3e2b-42b2-9809-f2e92f24430d,670950.0,trevorrichards,"Richards, T",Right,Trevor Richards,TOR,3.62,2.92,49.2,96.0,92.0,100.0,0.78,8.7,3.44,5.07,1.09,0.73,0.277,0.385,0.192,0.354,0.411,98.0,95.0,105.0,,,,83.0,96.0,92.0,,,,,,,,,,0.001,0.412,,,,0.587,1.05,,-3.42,,,0.94,92.1,,79.0,91.4,,,,,,,,,,,,0.197,0.303,0.139,,,,0.131,0.293,0.317,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745119,Strikeout,strikeout,True,650907,579328,René Pinto,Yusei Kikuchi,0,a0ef48bd-f9eb-4646-99e7-ee30b3b9d989,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,,,,110.0,100.0,107.0,,,,,0.491,,0.158,0.244,0.107,-0.31,,,-0.05,-0.17,0.45,95.6,,87.2,,89.2,82.9,,,,,,,0.278,0.435,0.271,0.302,0.55,0.269,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745119,Pop Out,field_out,True,650907,579328,René Pinto,Yusei Kikuchi,0,17a14214-8bb5-4148-abdc-29368e37da2d,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,,,,110.0,100.0,107.0,,,,,0.491,,0.158,0.244,0.107,-0.31,,,-0.05,-0.17,0.45,95.6,,87.2,,89.2,82.9,,,,,,,0.278,0.435,0.271,0.302,0.55,0.269,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745119,Lineout,field_out,True,650907,670950,René Pinto,Trevor Richards,0,530c1167-4401-4c5b-a722-3749762f9161,670950.0,trevorrichards,"Richards, T",Right,Trevor Richards,TOR,3.62,2.92,49.2,96.0,92.0,100.0,0.78,8.7,3.44,5.07,1.09,0.73,0.277,0.385,0.192,0.354,0.411,98.0,95.0,105.0,,,,83.0,96.0,92.0,,,,,,,,,,0.001,0.412,,,,0.587,1.05,,-3.42,,,0.94,92.1,,79.0,91.4,,,,,,,,,,,,0.197,0.303,0.139,,,,0.131,0.293,0.317,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745119,Single,single,False,650907,641835,René Pinto,Tim Mayza,1,e46fdc99-c436-4a4a-a592-797c7622f610,641835.0,timmayza,Mayza,Left,Tim Mayza,TOR,8.03,6.84,24.2,97.0,103.0,95.0,0.843,5.84,4.38,13.14,1.09,1.16,0.258,0.344,0.14,0.29,0.423,,,,,,,29.0,90.0,120.0,86.0,99.0,94.0,146.0,92.0,98.0,,,,0.702,0.006,,0.292,,,2.09,,-1.23,-3.0,,,91.5,,,91.9,86.4,,0.346,0.526,0.147,,,,,,,,,,0.321,0.536,0.203,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,745109,Walk,walk,True,650907,641540,René Pinto,Dane Dunning,1,62103a69-8e22-4ad6-9621-960bc3946bc8,641540.0,danedunning,Dunning,Right,Dane Dunning,TEX,4.71,4.73,65.0,97.0,83.0,94.0,0.769,9.97,4.29,7.34,1.66,1.31,0.145,0.523,0.122,0.349,0.405,82.0,94.0,87.0,,,,44.0,110.0,95.0,78.0,101.0,97.0,106.0,99.0,97.0,79.0,97.0,94.0,0.349,0.031,0.182,0.245,,0.137,-3.78,-0.59,0.8,-0.4,,-1.16,89.4,88.2,85.4,90.0,80.9,,0.218,0.376,0.133,0.233,0.419,0.259,0.0,0.0,0.368,0.25,0.625,0.263,0.226,0.472,0.336,0.219,0.531,0.358,,,,,,,,,,,,,60.0,92.0,100.0,0.001,0.056,-6.42,-0.02,76.4,75.8
2024-04-01,745109,Lineout,field_out,True,650907,641540,René Pinto,Dane Dunning,0,d6e006f3-5483-40b5-9861-c7561cce3787,641540.0,danedunning,Dunning,Right,Dane Dunning,TEX,4.71,4.73,65.0,97.0,83.0,94.0,0.769,9.97,4.29,7.34,1.66,1.31,0.145,0.523,0.122,0.349,0.405,82.0,94.0,87.0,,,,44.0,110.0,95.0,78.0,101.0,97.0,106.0,99.0,97.0,79.0,97.0,94.0,0.349,0.031,0.182,0.245,,0.137,-3.78,-0.59,0.8,-0.4,,-1.16,89.4,88.2,85.4,90.0,80.9,,0.218,0.376,0.133,0.233,0.419,0.259,0.0,0.0,0.368,0.25,0.625,0.263,0.226,0.472,0.336,0.219,0.531,0.358,,,,,,,,,,,,,60.0,92.0,100.0,0.001,0.056,-6.42,-0.02,76.4,75.8
