date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,vSC (sc),SC%,wSC/C,ST_ba,ST_slg,ST_whiff
2024-06-02,746953,Walk,walk,False,642197,605177,Jamie Westbrook,Andrew Chafin,1,fd2e112b-7f03-4164-a393-f4f2964e161c,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,,,,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,0.388,0.156,0.456,,4.95,-2.43,1.36,,91.9,,92.0,82.1,0.5,0.674,0.127,,,,0.131,0.164,0.52,0.125,0.125,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-04,746949,Lineout,field_out,True,642197,608331,Jamie Westbrook,Max Fried,0,6e1cde69-f134-4a5b-8844-e83bcc5a5d26,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,0.162,0.311,0.119,0.145,0.76,1.8,0.7,1.72,93.8,86.1,93.7,82.7,0.231,0.256,0.165,0.186,0.271,0.24,0.25,0.25,0.296,0.287,0.369,0.2,,,,,,,,,,,,,,,,0.158,0.329,0.313,110.0,102.0,106.0,88.0,93.0,92.0,0.055,0.208,-0.23,0.93,89.3,74.4,0.308,0.308,0.313,,,,,,,,,
2024-06-04,746949,Catcher Interference,catcher_interf,False,642197,608331,Jamie Westbrook,Max Fried,1,15af1ff9-f817-4307-96e7-a78948d3bae2,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,0.162,0.311,0.119,0.145,0.76,1.8,0.7,1.72,93.8,86.1,93.7,82.7,0.231,0.256,0.165,0.186,0.271,0.24,0.25,0.25,0.296,0.287,0.369,0.2,,,,,,,,,,,,,,,,0.158,0.329,0.313,110.0,102.0,106.0,88.0,93.0,92.0,0.055,0.208,-0.23,0.93,89.3,74.4,0.308,0.308,0.313,,,,,,,,,
2024-06-04,746949,Hit By Pitch,hit_by_pitch,False,642197,608331,Jamie Westbrook,Max Fried,0,d7371596-a059-4c01-8d6f-85e45d9a72a6,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,0.162,0.311,0.119,0.145,0.76,1.8,0.7,1.72,93.8,86.1,93.7,82.7,0.231,0.256,0.165,0.186,0.271,0.24,0.25,0.25,0.296,0.287,0.369,0.2,,,,,,,,,,,,,,,,0.158,0.329,0.313,110.0,102.0,106.0,88.0,93.0,92.0,0.055,0.208,-0.23,0.93,89.3,74.4,0.308,0.308,0.313,,,,,,,,,
2024-06-04,746949,Strikeout,strikeout,True,642197,572955,Jamie Westbrook,Pierce Johnson,0,c7ad63b4-0a91-414b-bc38-d6240362bc9e,572955.0,piercejohnson,Johnson,Right,Pierce Johnson,ATL,3.13,3.12,31.2,102.0,140.0,105.0,0.709,11.65,3.69,7.39,0.57,1.32,0.182,0.325,0.156,0.325,0.439,,,,96.0,93.0,88.0,,,,,,,,0.191,,,-0.29,,,,95.5,,,,,,,,,,,,,0.2,0.2,0.188,,,,,,,,,,,,,,,,0.228,0.347,0.328,152.0,106.0,111.0,104.0,33.0,39.0,0.022,0.787,-0.7,0.86,92.2,85.6,,,,,,,,,,,,
2024-06-05,746950,Single,single,False,642197,623474,Jamie Westbrook,Jimmy Herget,0,564f0a38-38be-4afb-9577-f88cf664599a,623474.0,jimmyherget,Herget,Right,Jimmy Herget,ATL,3.68,2.6,7.1,95.0,70.0,98.0,0.754,7.36,2.45,9.82,1.23,0.46,0.304,0.391,0.261,0.174,0.433,66.0,83.0,95.0,24.0,97.0,96.0,46.0,93.0,81.0,62.0,79.0,79.0,0.258,0.2,0.108,0.058,4.96,-3.53,3.8,5.46,92.4,86.5,91.2,84.0,0.571,0.714,0.133,,,,,,,0.2,0.2,0.231,,,,,,,,,,,,,,,,0.231,0.462,0.28,114.0,100.0,116.0,,,,,0.375,,-1.59,,77.8,,,,,,,,,,,,
2024-06-06,746784,Home Run,home_run,False,642197,694363,Jamie Westbrook,Jared Shuster,0,67a88f2c-327b-4706-84d7-07376f301217,694363.0,jaredshuster,Shuster,Left,Jared Shuster,CHW,3.38,4.92,40.0,98.0,76.0,90.0,0.788,5.63,4.05,8.55,0.9,0.8,0.279,0.419,0.14,0.248,0.401,75.0,97.0,93.0,69.0,96.0,82.0,67.0,100.0,88.0,90.0,102.0,100.0,0.046,0.407,0.257,0.29,1.28,-8.79,-0.59,0.46,92.1,83.4,91.6,85.5,0.556,0.889,0.176,0.205,0.359,0.292,0.27,0.405,0.268,0.227,0.318,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-06,746784,Flyout,field_out,True,642197,605121,Jamie Westbrook,Justin Anderson,1,2ada39ec-4bd1-4c9d-9adc-8120a71ac23f,605121.0,justinanderson,"Anderson, J",Right,Justin Anderson,CHW,4.97,4.19,25.1,101.0,110.0,101.0,0.724,9.24,5.33,8.17,0.71,0.85,0.23,0.378,0.162,0.297,0.4,,,,104.0,97.0,96.0,95.0,100.0,93.0,126.0,102.0,107.0,0.148,0.311,0.46,,1.78,-0.95,-1.04,,96.1,,94.8,85.6,0.267,0.333,0.192,,,,0.233,0.442,0.439,0.103,0.138,0.208,,,,,,,,,,,,,,,,,,,,,,71.0,114.0,107.0,0.081,,-1.77,,93.0,,0.5,0.5,0.095,,,,,,,,,
2024-06-07,746785,Strikeout,strikeout,True,642197,676979,Jamie Westbrook,Garrett Crochet,0,e0fd816d-463e-480f-885a-b63aca5f5fca,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,105.0,103.0,103.0,,,,138.0,99.0,103.0,,0.552,0.114,0.061,1.77,,-2.87,-0.38,97.0,90.8,,84.1,,,,0.179,0.321,0.279,0.227,0.614,0.372,0.188,0.274,0.31,,,,,,,,,,,,,,,,,,,,,,92.0,107.0,104.0,0.273,,2.05,,91.4,,0.213,0.283,0.351,,,,,,,,,
2024-06-07,746785,Walk,walk,False,642197,676979,Jamie Westbrook,Garrett Crochet,1,731a02a9-5db7-4d63-b4e5-9dd2521a2097,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,105.0,103.0,103.0,,,,138.0,99.0,103.0,,0.552,0.114,0.061,1.77,,-2.87,-0.38,97.0,90.8,,84.1,,,,0.179,0.321,0.279,0.227,0.614,0.372,0.188,0.274,0.31,,,,,,,,,,,,,,,,,,,,,,92.0,107.0,104.0,0.273,,2.05,,91.4,,0.213,0.283,0.351,,,,,,,,,
