date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024-04-23,746888,Flyout,field_out,True,670223,641585,Matt Mervis,J.P. France,0,8af6d4df-3932-4532-aedb-3b37849690d8,641585.0,jpfrance,"France, J",Right,J.P. France,HOU,7.46,5.72,25.1,90.0,84.0,90.0,0.77,7.82,4.26,11.01,1.78,0.57,0.256,0.419,0.186,0.291,0.38,95.0,85.0,90.0,79.0,94.0,88.0,91.0,84.0,84.0,77.0,104.0,103.0,101.0,116.0,110.0,69.0,95.0,96.0,0.017,0.294,0.238,0.03,0.193,0.227,-2.27,-1.88,2.38,-21.61,0.32,0.58,92.2,86.8,82.3,91.2,78.5,74.2,0.375,0.563,0.151,0.095,0.238,0.297,,,,0.5,1.375,0.3,0.2,0.2,0.381,0.346,0.615,0.224,,,,,,,,,,,,,,,
2024-04-23,746888,Caught Stealing 2B,caught_stealing_2b,True,670223,641585,Matt Mervis,J.P. France,0,2e122cd3-bfe2-4ad9-b89b-7f882bff8657,641585.0,jpfrance,"France, J",Right,J.P. France,HOU,7.46,5.72,25.1,90.0,84.0,90.0,0.77,7.82,4.26,11.01,1.78,0.57,0.256,0.419,0.186,0.291,0.38,95.0,85.0,90.0,79.0,94.0,88.0,91.0,84.0,84.0,77.0,104.0,103.0,101.0,116.0,110.0,69.0,95.0,96.0,0.017,0.294,0.238,0.03,0.193,0.227,-2.27,-1.88,2.38,-21.61,0.32,0.58,92.2,86.8,82.3,91.2,78.5,74.2,0.375,0.563,0.151,0.095,0.238,0.297,,,,0.5,1.375,0.3,0.2,0.2,0.381,0.346,0.615,0.224,,,,,,,,,,,,,,,
2024-04-23,746888,Strikeout,strikeout,True,670223,641585,Matt Mervis,J.P. France,0,9334555e-4502-4391-bfd4-73ed0c3bfdcd,641585.0,jpfrance,"France, J",Right,J.P. France,HOU,7.46,5.72,25.1,90.0,84.0,90.0,0.77,7.82,4.26,11.01,1.78,0.57,0.256,0.419,0.186,0.291,0.38,95.0,85.0,90.0,79.0,94.0,88.0,91.0,84.0,84.0,77.0,104.0,103.0,101.0,116.0,110.0,69.0,95.0,96.0,0.017,0.294,0.238,0.03,0.193,0.227,-2.27,-1.88,2.38,-21.61,0.32,0.58,92.2,86.8,82.3,91.2,78.5,74.2,0.375,0.563,0.151,0.095,0.238,0.297,,,,0.5,1.375,0.3,0.2,0.2,0.381,0.346,0.615,0.224,,,,,,,,,,,,,,,
2024-04-23,746888,Catcher Interference,catcher_interf,False,670223,605463,Matt Mervis,Tayler Scott,1,4e14a050-77fd-45e4-9a8b-b1e3a476b9c7,605463.0,taylerscott,"Scott, Tay",Right,Tayler Scott,HOU,1.36,2.99,46.1,99.0,98.0,99.0,0.745,8.35,4.27,4.86,0.39,1.67,0.231,0.41,0.214,0.231,0.372,60.0,103.0,101.0,,,,121.0,98.0,97.0,105.0,93.0,86.0,89.0,97.0,106.0,,,,0.073,0.433,,0.262,,0.232,2.65,,-0.27,0.86,,0.69,92.7,,85.5,92.6,84.0,,0.089,0.107,0.287,0.143,0.214,0.329,0.375,0.375,0.211,0.212,0.288,0.276,,,,,,,,,,,,,,,,,,,,,
2024-04-23,746888,Groundout,field_out,True,670223,661527,Matt Mervis,Seth Martinez,0,890c06be-64d8-4372-87cc-a9dc81d43f87,661527.0,sethmartinez,"Martinez, S",Right,Seth Martinez,HOU,2.42,3.22,44.2,101.0,96.0,97.0,0.796,6.04,3.02,6.65,0.81,1.14,0.244,0.42,0.221,0.305,0.393,47.0,99.0,89.0,,,,73.0,100.0,94.0,103.0,103.0,93.0,135.0,100.0,108.0,,,,0.212,0.306,,0.327,,0.155,1.96,,2.47,0.1,,-0.57,90.9,,84.9,89.8,79.2,,0.213,0.298,0.191,0.259,0.37,0.292,0.179,0.256,0.13,0.191,0.426,0.337,,,,,,,,,,,,,,,,,,,,,
2024-04-24,746889,Strikeout,strikeout,True,670223,681293,Matt Mervis,Spencer Arrighetti,0,82206686-a6a8-4369-bf26-4233b3791f24,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,113.0,98.0,103.0,83.0,99.0,97.0,,,,111.0,93.0,100.0,62.0,100.0,100.0,,0.414,0.197,0.113,0.202,0.074,-1.89,1.2,,0.49,0.32,-4.75,94.0,87.8,85.0,,81.2,78.4,0.325,0.553,0.183,0.55,0.75,0.302,,,,0.143,0.229,0.392,0.162,0.294,0.408,0.25,0.382,0.24,,,,,,,,,,,,,,,
2024-04-24,746889,Strikeout,strikeout,True,670223,681293,Matt Mervis,Spencer Arrighetti,0,f6da0a1d-9eda-41b0-b7dd-cc088d1f31d4,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,113.0,98.0,103.0,83.0,99.0,97.0,,,,111.0,93.0,100.0,62.0,100.0,100.0,,0.414,0.197,0.113,0.202,0.074,-1.89,1.2,,0.49,0.32,-4.75,94.0,87.8,85.0,,81.2,78.4,0.325,0.553,0.183,0.55,0.75,0.302,,,,0.143,0.229,0.392,0.162,0.294,0.408,0.25,0.382,0.24,,,,,,,,,,,,,,,
2024-04-24,746889,Groundout,field_out,True,670223,681869,Matt Mervis,Shawn Dubin,0,7f51ec64-69cd-425c-a3f9-bc09da805b55,681869.0,shawndubin,Dubin,Right,Shawn Dubin,HOU,5.23,4.3,31.0,92.0,117.0,94.0,0.777,9.29,4.65,10.16,0.58,1.43,0.228,0.38,0.152,0.38,0.418,126.0,99.0,104.0,115.0,91.0,96.0,104.0,90.0,90.0,,,,152.0,87.0,99.0,121.0,91.0,87.0,,0.431,0.157,0.111,0.155,0.146,0.78,-2.44,,-0.42,-0.63,-3.28,94.8,88.7,88.2,,83.0,81.2,0.208,0.25,0.191,0.368,0.789,0.316,,,,0.231,0.308,0.36,0.292,0.333,0.333,0.471,0.647,0.209,,,,,,,,,,,,,,,
2024-04-26,746972,Single,single,False,670223,676710,Matt Mervis,Kutter Crawford,1,08cf7d61-cd4f-44ad-84d7-d9ee7c22cef4,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,3.0,3.69,114.0,106.0,107.0,107.0,0.762,8.84,2.45,6.95,1.11,0.74,0.253,0.407,0.173,0.288,0.452,,,,,,,108.0,111.0,113.0,,,,99.0,98.0,99.0,114.0,106.0,104.0,,0.344,0.31,0.205,,,0.82,1.24,,-0.56,,,92.6,87.5,,,80.9,,0.222,0.373,0.208,,,,,,,0.233,0.433,0.289,0.286,0.357,0.185,0.201,0.338,0.243,89.0,94.0,99.0,0.058,-0.91,77.1,89.0,101.0,107.0,0.083,1.54,82.4,0.149,0.255,0.451
2024-04-26,746972,Flyout,field_out,True,670223,676710,Matt Mervis,Kutter Crawford,0,38710237-7e39-4a27-bb91-b748ff3fc499,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,3.0,3.69,114.0,106.0,107.0,107.0,0.762,8.84,2.45,6.95,1.11,0.74,0.253,0.407,0.173,0.288,0.452,,,,,,,108.0,111.0,113.0,,,,99.0,98.0,99.0,114.0,106.0,104.0,,0.344,0.31,0.205,,,0.82,1.24,,-0.56,,,92.6,87.5,,,80.9,,0.222,0.373,0.208,,,,,,,0.233,0.433,0.289,0.286,0.357,0.185,0.201,0.338,0.243,89.0,94.0,99.0,0.058,-0.91,77.1,89.0,101.0,107.0,0.083,1.54,82.4,0.149,0.255,0.451
