date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024-04-10,745355,Single,single,False,686452,663855,Drew Millas,Jordan Hicks,0,57df5f3c-f289-4244-ba12-df86bf68b5d0,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10,745355,Grounded Into DP,grounded_into_double_play,True,686452,663855,Drew Millas,Jordan Hicks,1,d97fda17-8485-491e-9d13-425d1309552a,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10,745355,Groundout,field_out,True,686452,694738,Drew Millas,Landen Roupp,0,fc60c4d5-e756-47c0-a780-27b807e8b0fe,694738.0,landenroupp,Roupp,Right,Landen Roupp,SFG,6.06,6.38,16.1,92.0,132.0,102.0,0.748,8.27,5.51,9.37,0.55,1.4,0.2,0.32,0.22,0.26,0.394,65.0,61.0,62.0,110.0,88.0,91.0,114.0,71.0,82.0,,,,0.369,0.03,,0.039,-2.98,,-1.31,-1.64,93.4,,94.4,83.5,0.316,0.474,0.098,,,,,,,,,,92.0,73.0,65.0,,,,,0.06,,-1.22,,88.5,,,,0.25,0.25,0.6,156.0,100.0,117.0,0.502,0.38,77.0,0.238,0.381,0.296,,,,,,,,,,,,
2024-04-16,746157,Flyout,field_out,True,686452,669165,Drew Millas,Kyle Hurt,0,9ac24126-95f5-4c96-b0ea-7a87dfa5ec18,669165.0,kylehurt,Hurt,Right,Kyle Hurt,LAD,1.35,5.83,6.2,97.0,87.0,92.0,0.759,4.05,1.35,10.8,0.0,1.33,0.217,0.435,0.087,0.304,0.494,60.0,103.0,91.0,53.0,105.0,79.0,67.0,75.0,27.0,,,,0.046,0.379,,0.011,3.12,,-3.96,5.82,94.8,,96.5,87.7,0.333,0.333,0.0,,,,,,,0.143,0.143,0.222,109.0,94.0,96.0,,,,,0.54,,0.0,,85.8,,,,0.333,0.467,0.313,80.0,80.0,70.0,0.023,-28.56,80.9,,,,,,,,,,,,,,,
2024-04-16,746157,Groundout,field_out,True,686452,642232,Drew Millas,Ryan Yarbrough,0,0b25d586-c085-4daa-a9c3-312e02e96308,642232.0,ryanyarbrough,Yarbrough,Left,Ryan Yarbrough,LAD,3.73,4.67,62.2,98.0,80.0,93.0,0.813,4.45,3.59,7.04,1.15,0.95,0.259,0.403,0.169,0.259,0.444,86.0,96.0,90.0,63.0,100.0,91.0,,,,,,,0.251,0.173,,,0.52,,2.48,,86.5,,85.9,,0.211,0.324,0.099,,,,,,,0.258,0.387,0.149,63.0,102.0,82.0,95.0,83.0,77.0,0.142,0.149,-4.83,1.05,83.8,77.5,0.421,0.789,0.204,0.229,0.229,0.231,96.0,102.0,111.0,0.286,0.81,71.5,0.141,0.282,0.282,,,,,,,,,,,,
2024-04-16,746157,Strikeout,strikeout,True,686452,523260,Drew Millas,Joe Kelly,0,4afc29ea-d57a-4f7b-b4f4-5ff3766e37fc,523260.0,joekelly,"Kelly, J",Right,Joe Kelly,LAD,4.73,3.77,13.1,94.0,102.0,99.0,0.798,9.45,3.38,8.78,0.0,2.71,0.222,0.361,0.222,0.194,0.469,94.0,105.0,99.0,77.0,83.0,76.0,135.0,115.0,144.0,,,,0.317,0.246,,0.268,-0.69,,0.36,1.81,98.6,,98.0,90.4,0.214,0.214,0.097,,,,0.211,0.263,0.25,0.364,0.455,0.241,91.0,79.0,64.0,,,,,0.027,,-9.26,,89.2,,,,,,,,,,,,,0.333,0.333,0.417,115.0,76.0,89.0,0.143,-3.02,88.1,,,,,,
2024-06-03,744854,Caught Stealing 2B,caught_stealing_2b,True,686452,656731,Drew Millas,Tylor Megill,0,8e0b598b-239a-4174-a320-b065f829e047,656731.0,tylormegill,Megill,Right,Tylor Megill,NYM,5.08,4.45,39.0,94.0,107.0,97.0,0.745,11.31,4.38,8.54,0.69,0.98,0.252,0.369,0.126,0.369,0.419,115.0,96.0,97.0,,,,100.0,99.0,104.0,92.0,89.0,98.0,,0.512,0.079,0.136,-1.06,2.75,,-1.75,95.6,84.3,,85.1,,,,0.059,0.059,0.5,0.25,1.0,0.143,0.262,0.446,0.226,130.0,94.0,112.0,98.0,94.0,92.0,0.151,0.028,1.03,-4.37,90.4,87.2,0.3,0.433,0.238,0.5,0.5,0.111,85.0,81.0,88.0,0.093,1.81,77.0,0.091,0.182,0.414,,,,,,,,,,,,
2024-06-03,744854,Groundout,field_out,True,686452,656731,Drew Millas,Tylor Megill,0,35bd08bc-c345-40ec-903f-6fd2f61c9a8a,656731.0,tylormegill,Megill,Right,Tylor Megill,NYM,5.08,4.45,39.0,94.0,107.0,97.0,0.745,11.31,4.38,8.54,0.69,0.98,0.252,0.369,0.126,0.369,0.419,115.0,96.0,97.0,,,,100.0,99.0,104.0,92.0,89.0,98.0,,0.512,0.079,0.136,-1.06,2.75,,-1.75,95.6,84.3,,85.1,,,,0.059,0.059,0.5,0.25,1.0,0.143,0.262,0.446,0.226,130.0,94.0,112.0,98.0,94.0,92.0,0.151,0.028,1.03,-4.37,90.4,87.2,0.3,0.433,0.238,0.5,0.5,0.111,85.0,81.0,88.0,0.093,1.81,77.0,0.091,0.182,0.414,,,,,,,,,,,,
2024-06-03,744854,Groundout,field_out,True,686452,656731,Drew Millas,Tylor Megill,0,700992e1-fdda-4321-a0b7-1d5c5278309c,656731.0,tylormegill,Megill,Right,Tylor Megill,NYM,5.08,4.45,39.0,94.0,107.0,97.0,0.745,11.31,4.38,8.54,0.69,0.98,0.252,0.369,0.126,0.369,0.419,115.0,96.0,97.0,,,,100.0,99.0,104.0,92.0,89.0,98.0,,0.512,0.079,0.136,-1.06,2.75,,-1.75,95.6,84.3,,85.1,,,,0.059,0.059,0.5,0.25,1.0,0.143,0.262,0.446,0.226,130.0,94.0,112.0,98.0,94.0,92.0,0.151,0.028,1.03,-4.37,90.4,87.2,0.3,0.433,0.238,0.5,0.5,0.111,85.0,81.0,88.0,0.093,1.81,77.0,0.091,0.182,0.414,,,,,,,,,,,,
2024-06-03,744854,Flyout,field_out,True,686452,605288,Drew Millas,Adrian Houser,0,99c1dfa6-8127-468e-bbb7-57da1ba1c1dc,605288.0,adrianhouser,Houser,Right,Adrian Houser,NYM,5.89,4.96,65.2,100.0,91.0,97.0,0.83,5.76,4.25,9.59,0.96,1.37,0.258,0.415,0.143,0.29,0.435,71.0,104.0,95.0,96.0,100.0,96.0,91.0,103.0,101.0,,,,0.45,0.162,,0.176,-0.32,,0.38,-1.06,93.5,,92.5,83.2,0.252,0.378,0.124,,,,0.268,0.488,0.226,0.2,0.371,0.167,99.0,95.0,96.0,,,,,0.128,,-2.42,,84.0,,,,0.316,0.474,0.338,82.0,96.0,92.0,0.085,-3.8,79.5,0.471,0.765,0.176,,,,,,,,,,,,
