date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff
2024-07-19,746284,Single,single,False,681460,608379,Brooks Baldwin,Michael Wacha,0,545927ce-9eae-44c1-bceb-3fa898069c32,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.55,3.91,96.1,102.0,91.0,99.0,0.783,7.94,2.62,8.22,0.84,1.09,0.262,0.454,0.206,0.284,0.436,111.0,111.0,115.0,71.0,88.0,91.0,82.0,101.0,97.0,79.0,101.0,87.0,97.0,94.0,93.0,81.0,96.0,91.0,0.152,0.233,0.109,0.101,0.087,0.318,-0.61,-0.79,0.86,-0.72,-0.88,2.13,93.5,88.6,81.4,93.4,84.0,75.0,0.18,0.316,0.352,0.321,0.513,0.15,0.214,0.257,0.06,0.302,0.442,0.139,0.3,0.4,0.442,0.278,0.556,0.138,,,,,,,,,,,,,,,,,,,,,
2024-07-19,746284,Groundout,field_out,True,681460,608379,Brooks Baldwin,Michael Wacha,0,f1e4c7a4-0fd8-4516-9dc3-453b7aafff77,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.55,3.91,96.1,102.0,91.0,99.0,0.783,7.94,2.62,8.22,0.84,1.09,0.262,0.454,0.206,0.284,0.436,111.0,111.0,115.0,71.0,88.0,91.0,82.0,101.0,97.0,79.0,101.0,87.0,97.0,94.0,93.0,81.0,96.0,91.0,0.152,0.233,0.109,0.101,0.087,0.318,-0.61,-0.79,0.86,-0.72,-0.88,2.13,93.5,88.6,81.4,93.4,84.0,75.0,0.18,0.316,0.352,0.321,0.513,0.15,0.214,0.257,0.06,0.302,0.442,0.139,0.3,0.4,0.442,0.278,0.556,0.138,,,,,,,,,,,,,,,,,,,,,
2024-07-19,746284,Strikeout,strikeout,True,681460,608717,Brooks Baldwin,Chris Stratton,0,afc21681-680b-44cd-85e2-56dc25ddf985,608717.0,chrisstratton,"Stratton, C",Right,Chris Stratton,KCR,4.85,3.85,39.0,95.0,94.0,97.0,0.771,8.54,5.77,6.23,0.69,1.43,0.286,0.371,0.276,0.19,0.403,88.0,98.0,99.0,123.0,98.0,108.0,80.0,94.0,89.0,76.0,97.0,97.0,107.0,97.0,101.0,,,,0.119,0.381,,0.225,0.204,0.072,-0.05,,0.21,1.37,0.57,1.81,92.0,,85.2,91.7,85.9,79.2,0.2,0.2,0.4,0.231,0.333,0.25,0.211,0.474,0.179,,,,0.176,0.294,0.172,0.156,0.281,0.322,,,,,,,,,,,,,,,,,,,,,
2024-07-20,746286,Flyout,field_out,True,681460,663903,Brooks Baldwin,Brady Singer,0,d09a1c93-7a29-4652-a3ac-391f696d5964,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.2,4.89,104.0,101.0,86.0,94.0,0.768,8.57,2.77,8.31,1.13,1.71,0.173,0.392,0.146,0.349,0.413,80.0,78.0,69.0,,,,58.0,97.0,86.0,79.0,102.0,92.0,104.0,101.0,100.0,,,,0.382,0.137,,0.453,,0.028,-1.75,,0.62,0.21,,-3.58,91.6,,88.0,92.1,82.8,,0.3,0.4,0.143,0.297,0.541,0.184,0.278,0.418,0.103,,,,0.333,1.0,0.267,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-20,746286,Strikeout,strikeout,True,681460,663903,Brooks Baldwin,Brady Singer,0,c3347e08-d3f7-4197-84a3-2306e5c276b9,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.2,4.89,104.0,101.0,86.0,94.0,0.768,8.57,2.77,8.31,1.13,1.71,0.173,0.392,0.146,0.349,0.413,80.0,78.0,69.0,,,,58.0,97.0,86.0,79.0,102.0,92.0,104.0,101.0,100.0,,,,0.382,0.137,,0.453,,0.028,-1.75,,0.62,0.21,,-3.58,91.6,,88.0,92.1,82.8,,0.3,0.4,0.143,0.297,0.541,0.184,0.278,0.418,0.103,,,,0.333,1.0,0.267,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-20,746286,Strikeout,strikeout,True,681460,663903,Brooks Baldwin,Brady Singer,0,b719691b-7692-4d07-b53a-9fdea4bf5d7b,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.2,4.89,104.0,101.0,86.0,94.0,0.768,8.57,2.77,8.31,1.13,1.71,0.173,0.392,0.146,0.349,0.413,80.0,78.0,69.0,,,,58.0,97.0,86.0,79.0,102.0,92.0,104.0,101.0,100.0,,,,0.382,0.137,,0.453,,0.028,-1.75,,0.62,0.21,,-3.58,91.6,,88.0,92.1,82.8,,0.3,0.4,0.143,0.297,0.541,0.184,0.278,0.418,0.103,,,,0.333,1.0,0.267,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-20,746286,Strikeout,strikeout,True,681460,640451,Brooks Baldwin,Hunter Harvey,0,4f6a3afc-891d-4583-9aea-e2f3d9466959,640451.0,hunterharvey,"Harvey, H",Right,Hunter Harvey,WSN,4.2,4.19,45.0,105.0,110.0,107.0,0.745,10.0,2.4,8.6,0.8,1.51,0.258,0.452,0.161,0.363,0.463,,,,101.0,96.0,101.0,117.0,107.0,108.0,,,,119.0,96.0,108.0,,,,,0.632,,0.043,0.098,,0.4,,,-7.36,1.44,,97.8,,,,85.5,82.3,,,,0.245,0.388,0.23,,,,,,,0.429,1.0,0.357,0.158,0.263,0.303,95.0,107.0,110.0,0.226,-0.54,89.1,0.265,0.449,0.374,,,,,,,,,,,,
2024-07-21,746287,Strikeout,strikeout,True,681460,607625,Brooks Baldwin,Seth Lugo,0,cc1f4c69-d799-4ecc-9314-79d5d4879a61,607625.0,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,2.48,3.93,127.0,100.0,98.0,99.0,0.784,8.22,2.13,7.65,0.78,1.18,0.186,0.407,0.144,0.324,0.434,93.0,98.0,96.0,124.0,103.0,111.0,76.0,103.0,95.0,71.0,102.0,92.0,127.0,99.0,106.0,105.0,95.0,94.0,0.191,0.248,0.069,0.141,0.268,0.057,1.98,0.21,0.6,-0.63,1.06,0.16,92.4,91.0,87.5,92.3,85.3,79.3,0.2,0.25,0.321,0.183,0.275,0.159,0.278,0.426,0.124,0.375,0.375,0.186,0.278,0.556,0.172,0.175,0.275,0.366,,,,0.026,0.95,85.6,0.091,0.364,0.273,0.269,0.365,0.326,,,,,,,,,
2024-07-21,746287,Flyout,field_out,True,681460,607625,Brooks Baldwin,Seth Lugo,0,a2256ab4-2fc9-4b71-91b2-acfeb155fb7f,607625.0,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,2.48,3.93,127.0,100.0,98.0,99.0,0.784,8.22,2.13,7.65,0.78,1.18,0.186,0.407,0.144,0.324,0.434,93.0,98.0,96.0,124.0,103.0,111.0,76.0,103.0,95.0,71.0,102.0,92.0,127.0,99.0,106.0,105.0,95.0,94.0,0.191,0.248,0.069,0.141,0.268,0.057,1.98,0.21,0.6,-0.63,1.06,0.16,92.4,91.0,87.5,92.3,85.3,79.3,0.2,0.25,0.321,0.183,0.275,0.159,0.278,0.426,0.124,0.375,0.375,0.186,0.278,0.556,0.172,0.175,0.275,0.366,,,,0.026,0.95,85.6,0.091,0.364,0.273,0.269,0.365,0.326,,,,,,,,,
2024-07-21,746287,Pop Out,field_out,True,681460,607625,Brooks Baldwin,Seth Lugo,0,aff7858c-0e13-4a00-a545-892463db7ff0,607625.0,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,2.48,3.93,127.0,100.0,98.0,99.0,0.784,8.22,2.13,7.65,0.78,1.18,0.186,0.407,0.144,0.324,0.434,93.0,98.0,96.0,124.0,103.0,111.0,76.0,103.0,95.0,71.0,102.0,92.0,127.0,99.0,106.0,105.0,95.0,94.0,0.191,0.248,0.069,0.141,0.268,0.057,1.98,0.21,0.6,-0.63,1.06,0.16,92.4,91.0,87.5,92.3,85.3,79.3,0.2,0.25,0.321,0.183,0.275,0.159,0.278,0.426,0.124,0.375,0.375,0.186,0.278,0.556,0.172,0.175,0.275,0.366,,,,0.026,0.95,85.6,0.091,0.364,0.273,0.269,0.365,0.326,,,,,,,,,
