date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO,EP%,wEP/C,vEP,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C
2024-04-05,746328,Groundout,field_out,True,543257,663903,Robbie Grossman,Brady Singer,0,fdb7f859-a089-425a-a05d-7dc901b28aa6,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.2,4.89,104.0,101.0,86.0,94.0,0.768,8.57,2.77,8.31,1.13,1.71,0.173,0.392,0.146,0.349,0.413,80.0,78.0,69.0,58.0,97.0,86.0,79.0,102.0,92.0,104.0,101.0,100.0,0.382,0.137,0.453,0.028,-1.75,0.62,0.21,-3.58,91.6,88.0,92.1,82.8,0.333,1.0,0.267,0.278,0.418,0.103,0.297,0.541,0.184,0.3,0.4,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-05,746328,Strikeout,strikeout,True,543257,663903,Robbie Grossman,Brady Singer,0,eaa531e2-33e2-4fec-b6f5-1c4097b28732,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.2,4.89,104.0,101.0,86.0,94.0,0.768,8.57,2.77,8.31,1.13,1.71,0.173,0.392,0.146,0.349,0.413,80.0,78.0,69.0,58.0,97.0,86.0,79.0,102.0,92.0,104.0,101.0,100.0,0.382,0.137,0.453,0.028,-1.75,0.62,0.21,-3.58,91.6,88.0,92.1,82.8,0.333,1.0,0.267,0.278,0.418,0.103,0.297,0.541,0.184,0.3,0.4,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-05,746328,Pop Out,field_out,True,543257,670167,Robbie Grossman,John Schreiber,0,6161ffc4-fb92-414e-9e30-f912fdcfa863,670167.0,johnschreiber,Schreiber,Right,John Schreiber,KCR,4.29,3.72,35.2,100.0,98.0,96.0,0.826,7.32,3.28,9.84,0.25,1.88,0.278,0.374,0.191,0.304,0.417,73.0,110.0,100.0,79.0,99.0,86.0,114.0,98.0,102.0,110.0,98.0,103.0,0.264,0.24,0.264,0.079,-1.64,1.15,-0.04,-3.88,92.7,86.1,91.8,80.9,0.121,0.212,0.273,0.292,0.354,0.113,0.346,0.538,0.193,0.429,0.5,0.214,91.0,101.0,90.0,0.152,1.36,88.7,0.273,0.364,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-06,746329,Grounded Into DP,grounded_into_double_play,True,543257,623433,Robbie Grossman,Nick Anderson,1,39bf31ab-7c36-45ac-b278-031a1d220677,623433.0,nickanderson,"Anderson, N",Right,Nick Anderson,KCR,4.04,5.06,35.2,100.0,88.0,97.0,0.78,7.32,3.79,8.83,1.51,0.98,0.324,0.361,0.102,0.324,0.478,79.0,80.0,86.0,61.0,96.0,87.0,70.0,102.0,95.0,,,,0.269,0.223,,0.052,-4.03,0.61,,-0.82,94.7,87.9,94.8,,,,,0.245,0.429,0.191,0.4,0.8,0.19,,,,,,,,,,,,,113.0,102.0,105.0,0.455,0.15,81.7,0.204,0.352,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,746330,Groundout,field_out,True,543257,679525,Robbie Grossman,Alec Marsh,0,7c1cfed5-ac99-424f-8474-ae718bece20f,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,0.139,0.376,0.221,0.108,0.97,-2.75,0.02,1.03,94.2,86.5,93.5,86.4,0.118,0.118,0.355,0.35,0.617,0.096,0.191,0.327,0.231,0.189,0.216,0.163,,,,,,,,,,98.0,106.0,104.0,0.156,-1.25,82.9,0.268,0.482,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,746330,Lineout,field_out,True,543257,679525,Robbie Grossman,Alec Marsh,0,4c2ca5b2-99a1-48c6-966f-696f539feb2c,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,0.139,0.376,0.221,0.108,0.97,-2.75,0.02,1.03,94.2,86.5,93.5,86.4,0.118,0.118,0.355,0.35,0.617,0.096,0.191,0.327,0.231,0.189,0.216,0.163,,,,,,,,,,98.0,106.0,104.0,0.156,-1.25,82.9,0.268,0.482,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,746330,Lineout,field_out,True,543257,679525,Robbie Grossman,Alec Marsh,0,a0125490-3265-430b-b667-404ad1139c2d,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,0.139,0.376,0.221,0.108,0.97,-2.75,0.02,1.03,94.2,86.5,93.5,86.4,0.118,0.118,0.355,0.35,0.617,0.096,0.191,0.327,0.231,0.189,0.216,0.163,,,,,,,,,,98.0,106.0,104.0,0.156,-1.25,82.9,0.268,0.482,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,746330,Strikeout,strikeout,True,543257,672582,Robbie Grossman,Angel Zerpa,1,c6ff2288-ed26-4323-a7a5-82f86e536e9b,672582.0,angelzerpa,Zerpa,Left,Angel Zerpa,KCR,3.31,4.1,35.1,105.0,89.0,103.0,0.868,8.41,2.55,10.19,0.76,2.48,0.36,0.243,0.162,0.288,0.481,58.0,102.0,90.0,71.0,99.0,89.0,94.0,106.0,106.0,113.0,108.0,114.0,0.42,0.215,0.251,0.114,0.75,-0.16,0.58,-3.88,95.4,88.5,96.0,86.3,0.233,0.367,0.176,0.297,0.311,0.13,0.273,0.273,0.146,0.313,0.688,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,746330,Flyout,field_out,True,543257,519293,Robbie Grossman,Will Smith,1,e498391f-d15e-4673-afd4-cb9b40406ea1,519293.0,willsmith,"Smith, W",Left,Will Smith,KCR,4.85,5.47,29.2,98.0,87.0,96.0,0.764,5.76,3.34,9.1,1.21,0.55,0.242,0.434,0.192,0.293,0.428,80.0,101.0,92.0,62.0,97.0,87.0,,,,113.0,100.0,105.0,,0.322,0.445,0.136,-1.31,,0.85,-0.65,91.3,85.8,,80.5,0.196,0.304,0.32,,,,0.341,0.523,0.091,0.222,0.444,0.355,,,,,,,,,,71.0,93.0,98.0,0.097,-0.01,76.2,0.25,0.25,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-08,746654,Strikeout,strikeout,True,543257,663474,Robbie Grossman,Triston McKenzie,0,4a9b483f-c8b7-4a54-a6cf-7bfcddb2ae95,663474.0,tristonmckenzie,McKenzie,Right,Triston McKenzie,CLE,5.11,5.54,75.2,90.0,99.0,90.0,0.784,8.8,5.83,8.21,2.26,0.68,0.251,0.386,0.149,0.321,0.406,,,,98.0,86.0,87.0,,,,106.0,87.0,90.0,,0.524,0.21,,-2.21,,1.46,,91.1,,,85.4,0.143,0.143,0.376,,,,0.303,0.652,0.103,,,,,,,,,,,,,97.0,102.0,100.0,0.266,-0.18,77.7,0.176,0.341,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
