date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,Stf+ FC,Loc+ FC,Pit+ FC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),EP%,KN%,wEP/C,wKN/C,vEP,KC_ba,KC_slg,KC_whiff
2024-08-12,746192,Double,double,False,695238,669721,Will Wagner,Davis Daniel,0,60ce18a9-ae6e-46d3-b21e-e0c951b3e119,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,6.23,4.41,30.1,105.0,81.0,101.0,0.808,8.31,1.78,11.57,1.48,0.84,0.293,0.424,0.162,0.313,0.435,74.0,112.0,104.0,94.0,89.0,85.0,61.0,107.0,99.0,125.0,101.0,108.0,0.48,0.238,0.077,0.205,-1.03,-0.39,2.16,-2.84,91.5,84.6,81.8,74.3,0.328,0.586,0.147,0.226,0.419,0.239,0.4,0.533,0.226,0.125,0.25,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12,746192,Single,single,False,695238,669721,Will Wagner,Davis Daniel,1,641b7974-8f15-4793-bcab-0d298f828ab2,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,6.23,4.41,30.1,105.0,81.0,101.0,0.808,8.31,1.78,11.57,1.48,0.84,0.293,0.424,0.162,0.313,0.435,74.0,112.0,104.0,94.0,89.0,85.0,61.0,107.0,99.0,125.0,101.0,108.0,0.48,0.238,0.077,0.205,-1.03,-0.39,2.16,-2.84,91.5,84.6,81.8,74.3,0.328,0.586,0.147,0.226,0.419,0.239,0.4,0.533,0.226,0.125,0.25,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12,746192,Single,single,False,695238,669721,Will Wagner,Davis Daniel,1,8926c64a-ad83-417b-b566-c7ea10309cdf,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,6.23,4.41,30.1,105.0,81.0,101.0,0.808,8.31,1.78,11.57,1.48,0.84,0.293,0.424,0.162,0.313,0.435,74.0,112.0,104.0,94.0,89.0,85.0,61.0,107.0,99.0,125.0,101.0,108.0,0.48,0.238,0.077,0.205,-1.03,-0.39,2.16,-2.84,91.5,84.6,81.8,74.3,0.328,0.586,0.147,0.226,0.419,0.239,0.4,0.533,0.226,0.125,0.25,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12,746192,Flyout,field_out,True,695238,519043,Will Wagner,Matt Moore,0,76519ea4-2900-4a3a-a61b-f1a9e856b2ca,519043.0,mattmoore,Moore,Left,Matt Moore,LAA,5.03,4.41,48.1,93.0,110.0,94.0,0.763,7.63,4.84,7.26,2.05,0.56,0.234,0.376,0.184,0.305,0.416,153.0,96.0,106.0,,,,82.0,92.0,86.0,,,,0.501,,,0.315,1.04,,,-1.8,92.7,82.8,,,0.195,0.364,0.21,,,,0.247,0.507,0.324,0.148,0.296,0.364,,,,,,,,,,,,,,,,,,,116.0,92.0,95.0,0.007,0.176,-33.15,-0.34,88.2,82.1,,,,,,,,,,,,,,,,,,,,,
2024-08-13,746187,Double,double,False,695238,608334,Will Wagner,Carson Fulmer,1,e28c3f8c-eb78-4d73-a95d-5f2fe795463d,608334.0,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,4.15,4.65,80.1,102.0,95.0,99.0,0.769,8.85,4.15,7.62,1.23,0.98,0.212,0.451,0.124,0.381,0.39,91.0,104.0,103.0,110.0,104.0,105.0,86.0,106.0,105.0,116.0,96.0,99.0,0.228,0.205,0.058,0.269,0.03,1.35,-8.1,-0.18,93.1,87.8,87.0,82.3,0.222,0.458,0.201,0.13,0.283,0.255,0.187,0.297,0.38,0.471,1.118,0.407,89.0,99.0,94.0,,,,0.24,,,0.85,,92.6,,,,0.271,0.371,0.123,,,,,,,,,,,,,,,,0.286,0.714,0.458,,,,,,,,,,,,
2024-08-13,746187,Double,double,False,695238,608334,Will Wagner,Carson Fulmer,0,59d88f03-5b3d-4c8c-93ff-dc952260cb40,608334.0,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,4.15,4.65,80.1,102.0,95.0,99.0,0.769,8.85,4.15,7.62,1.23,0.98,0.212,0.451,0.124,0.381,0.39,91.0,104.0,103.0,110.0,104.0,105.0,86.0,106.0,105.0,116.0,96.0,99.0,0.228,0.205,0.058,0.269,0.03,1.35,-8.1,-0.18,93.1,87.8,87.0,82.3,0.222,0.458,0.201,0.13,0.283,0.255,0.187,0.297,0.38,0.471,1.118,0.407,89.0,99.0,94.0,,,,0.24,,,0.85,,92.6,,,,0.271,0.371,0.123,,,,,,,,,,,,,,,,0.286,0.714,0.458,,,,,,,,,,,,
2024-08-13,746187,Lineout,field_out,True,695238,670046,Will Wagner,Kenny Rosenberg,0,7aa775b8-8ba1-47ba-83a2-585e2efe0175,670046.0,kennyrosenberg,Rosenberg,Left,Kenny Rosenberg,LAA,6.87,6.49,18.1,96.0,78.0,93.0,0.799,5.89,3.44,9.82,2.45,0.72,0.117,0.467,0.133,0.417,0.404,94.0,101.0,99.0,98.0,102.0,93.0,74.0,91.0,86.0,,,,0.502,,0.055,0.313,-0.64,,-3.74,-0.26,90.3,81.0,,76.3,0.273,0.545,0.2,,,,0.231,0.538,0.255,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,-3.1,,83.5,,51.0,101.0,104.0,0.333,0.583,0.136,,,,,,,,,,,,,,,
2024-08-13,746187,Strikeout,strikeout,True,695238,670046,Will Wagner,Kenny Rosenberg,0,92e25f3b-4eb3-47f8-abb7-b43185b8fb84,670046.0,kennyrosenberg,Rosenberg,Left,Kenny Rosenberg,LAA,6.87,6.49,18.1,96.0,78.0,93.0,0.799,5.89,3.44,9.82,2.45,0.72,0.117,0.467,0.133,0.417,0.404,94.0,101.0,99.0,98.0,102.0,93.0,74.0,91.0,86.0,,,,0.502,,0.055,0.313,-0.64,,-3.74,-0.26,90.3,81.0,,76.3,0.273,0.545,0.2,,,,0.231,0.538,0.255,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,-3.1,,83.5,,51.0,101.0,104.0,0.333,0.583,0.136,,,,,,,,,,,,,,,
2024-08-16,746843,Single,single,False,695238,543294,Will Wagner,Kyle Hendricks,0,915e7da1-a7f1-4b70-a0f0-c5f182871a0c,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.75,5.21,102.2,105.0,95.0,100.0,0.832,6.05,2.81,10.96,1.75,1.34,0.232,0.401,0.212,0.295,0.402,106.0,107.0,107.0,90.0,110.0,108.0,61.0,91.0,84.0,,,,0.121,,0.132,0.379,-2.68,,0.28,-1.17,87.9,80.9,,74.4,0.36,0.84,0.138,,,,0.277,0.441,0.244,0.22,0.317,0.288,97.0,106.0,97.0,,,,0.367,,,-1.07,,87.7,,,,0.339,0.526,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,746843,Forceout,force_out,True,695238,543294,Will Wagner,Kyle Hendricks,1,46b3fa5a-cce2-46fd-b38f-4b763b77b283,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.75,5.21,102.2,105.0,95.0,100.0,0.832,6.05,2.81,10.96,1.75,1.34,0.232,0.401,0.212,0.295,0.402,106.0,107.0,107.0,90.0,110.0,108.0,61.0,91.0,84.0,,,,0.121,,0.132,0.379,-2.68,,0.28,-1.17,87.9,80.9,,74.4,0.36,0.84,0.138,,,,0.277,0.441,0.244,0.22,0.317,0.288,97.0,106.0,97.0,,,,0.367,,,-1.07,,87.7,,,,0.339,0.526,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
