date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,CU%,wCU/C,vCU,Stf+ CU,Loc+ CU,Pit+ CU,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C
2024-05-15,745341,Single,single,False,592200,622694,Curt Casali,Elieser Hernández,0,23fcebcb-e5a9-490f-a424-9d3c8cb1dec0,622694.0,elieserhernandez,"Hernández, El",Right,Elieser Hernández,- - -,6.32,6.18,15.2,101.0,79.0,99.0,0.804,4.6,2.87,8.04,2.87,0.37,0.333,0.412,0.137,0.333,0.446,83.0,102.0,98.0,79.0,97.0,98.0,64.0,105.0,87.0,87.0,97.0,105.0,81.0,105.0,104.0,0.068,0.434,0.283,0.032,0.183,0.53,-3.92,-10.74,-5.92,3.74,91.8,83.6,84.9,91.3,79.4,0.0,0.0,0.273,0.286,1.143,0.111,0.333,0.667,0.0,0.207,0.448,0.17,0.417,0.75,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-15,745341,Groundout,field_out,True,592200,622694,Curt Casali,Elieser Hernández,0,492cca7d-2dfe-4f9a-9603-b68828a73052,622694.0,elieserhernandez,"Hernández, El",Right,Elieser Hernández,- - -,6.32,6.18,15.2,101.0,79.0,99.0,0.804,4.6,2.87,8.04,2.87,0.37,0.333,0.412,0.137,0.333,0.446,83.0,102.0,98.0,79.0,97.0,98.0,64.0,105.0,87.0,87.0,97.0,105.0,81.0,105.0,104.0,0.068,0.434,0.283,0.032,0.183,0.53,-3.92,-10.74,-5.92,3.74,91.8,83.6,84.9,91.3,79.4,0.0,0.0,0.273,0.286,1.143,0.111,0.333,0.667,0.0,0.207,0.448,0.17,0.417,0.75,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-15,745341,Walk,walk,False,592200,674285,Curt Casali,Eduardo Salazar,0,100d1cb7-6c5a-4751-8533-787c9e6291ee,674285.0,eduardosalazar,Salazar,Right,Eduardo Salazar,- - -,0.0,5.33,4.0,101.0,105.0,102.0,0.694,15.75,9.0,6.75,0.0,2.0,0.167,0.5,0.167,0.167,0.416,,,,87.0,125.0,129.0,82.0,94.0,86.0,125.0,103.0,112.0,,,,0.442,0.026,,0.532,,-1.21,,-3.37,4.12,,96.3,,,94.9,88.3,,,,0.75,0.75,0.118,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-18,745339,Walk,walk,False,592200,621389,Curt Casali,Ty Blach,0,03f731f1-2058-4e5a-af09-fe73fc3f6ad3,621389.0,tyblach,Blach,Left,Ty Blach,COL,5.46,6.26,59.1,103.0,70.0,90.0,0.875,4.85,1.97,12.29,1.52,1.26,0.247,0.379,0.11,0.333,0.466,70.0,98.0,89.0,,,,77.0,106.0,90.0,,,,79.0,107.0,89.0,0.51,,0.121,,0.247,,0.63,-1.47,,-2.76,,83.2,80.0,89.1,,0.367,0.517,0.217,0.376,0.576,0.092,,,,,,,0.211,0.5,0.203,,,,,,,0.174,0.348,0.191,0.122,-0.42,79.2,37.0,94.0,92.0,,,,,,,,,,,,,,,,,,
2024-05-18,745339,Walk,walk,False,592200,663567,Curt Casali,Peter Lambert,0,9586b233-a9be-4659-949f-9ff933cc3c26,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.44,4.1,43.0,94.0,95.0,94.0,0.797,7.12,4.6,9.0,0.84,1.09,0.29,0.435,0.137,0.313,0.411,89.0,95.0,95.0,87.0,91.0,88.0,87.0,95.0,89.0,120.0,94.0,101.0,,,,0.032,0.382,,0.306,0.228,-0.75,,-1.55,0.45,0.42,94.5,,86.9,93.8,85.8,0.237,0.263,0.42,0.333,0.333,0.0,0.182,0.182,0.316,0.276,0.534,0.11,,,,,,,,,,0.25,0.875,0.2,0.052,-5.77,78.0,80.0,96.0,95.0,,,,,,,,,,,,,,,,,,
2024-05-18,745339,Sac Bunt,sac_bunt,True,592200,664875,Curt Casali,Justin Lawrence,1,7f68f489-cb56-4228-b4b5-f4110a2670af,664875.0,justinlawrence,"Lawrence, J",Right,Justin Lawrence,COL,5.86,5.22,35.1,96.0,109.0,104.0,0.788,7.39,5.09,10.44,1.02,2.11,0.245,0.409,0.118,0.309,0.403,,,,,,,75.0,96.0,96.0,156.0,95.0,116.0,,,,0.579,,,0.421,,,,-1.67,0.0,,,,,94.9,84.0,,,,0.375,0.563,0.173,0.204,0.296,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-18,745339,Flyout,field_out,True,592200,683232,Curt Casali,Nick Mears,0,f638fb99-09a6-4e22-be5e-d5deac7efa6b,683232.0,nickmears,Mears,Right,Nick Mears,COL,5.95,3.29,42.1,98.0,130.0,106.0,0.758,11.06,4.46,9.99,0.43,1.18,0.281,0.322,0.149,0.347,0.435,,,,138.0,98.0,105.0,,,,111.0,99.0,103.0,,,,,0.603,,0.19,,1.1,,,-0.05,,96.7,,,,86.4,,,,,,,0.257,0.343,0.522,0.242,0.319,0.192,,,,,,,,,,0.372,0.535,0.288,0.207,-3.59,81.4,127.0,100.0,110.0,,,,,,,,,,,,,,,,,,
2024-05-18,745339,Single,single,True,592200,641755,Curt Casali,Tyler Kinley,1,fd97634a-871e-45cc-bbe3-38777802367f,641755.0,tylerkinley,Kinley,Right,Tyler Kinley,COL,7.52,5.22,40.2,98.0,85.0,94.0,0.695,9.74,5.31,10.84,1.99,0.9,0.152,0.496,0.208,0.312,0.393,65.0,86.0,79.0,74.0,88.0,84.0,16.0,56.0,52.0,92.0,104.0,101.0,,,,0.003,0.366,,0.589,0.043,-3.61,,-2.92,-0.4,0.7,95.8,,87.2,93.9,89.6,0.0,0.0,0.636,,,,0.226,0.5,0.404,0.431,0.621,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-19,745336,Groundout,field_out,True,592200,641712,Curt Casali,Dakota Hudson,0,78fb76b2-49f6-4ba4-8d44-c466bb31c9ec,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,0.32,0.156,,0.255,0.103,-1.93,,-0.53,-0.32,-4.92,89.9,,83.4,90.3,84.1,0.379,0.69,0.146,0.315,0.465,0.07,0.289,0.361,0.313,0.296,0.5,0.079,,,,,,,,,,0.114,0.205,0.333,0.166,0.89,80.2,102.0,98.0,99.0,,,,,,,,,,,,,,,,,,
2024-05-19,745336,Single,single,False,592200,641712,Curt Casali,Dakota Hudson,1,c4df7bb4-8031-48da-a755-296466fd9051,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,0.32,0.156,,0.255,0.103,-1.93,,-0.53,-0.32,-4.92,89.9,,83.4,90.3,84.1,0.379,0.69,0.146,0.315,0.465,0.07,0.289,0.361,0.313,0.296,0.5,0.079,,,,,,,,,,0.114,0.205,0.333,0.166,0.89,80.2,102.0,98.0,99.0,,,,,,,,,,,,,,,,,,
