date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,wFA/C,wCU/C,vFA,vCU,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-09-25,745521,Flyout,field_out,True,682634,650911,Kevin Alcántara,Cristopher Sánchez,0,99b437c9-1503-40b5-89f5-910dc71ea518,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.51,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,95.0,101.0,98.0,102.0,102.0,103.0,86.0,52.0,74.0,0.473,0.001,0.169,0.357,2.59,-0.55,0.65,1.56,86.5,85.1,94.5,84.4,0.345,0.481,0.13,0.177,0.22,0.346,0.219,0.368,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-25,745521,Strikeout,strikeout,True,682634,650911,Kevin Alcántara,Cristopher Sánchez,0,35ab902d-ebf1-4400-a99c-cd437a2da99c,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.51,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,95.0,101.0,98.0,102.0,102.0,103.0,86.0,52.0,74.0,0.473,0.001,0.169,0.357,2.59,-0.55,0.65,1.56,86.5,85.1,94.5,84.4,0.345,0.481,0.13,0.177,0.22,0.346,0.219,0.368,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-25,745521,Groundout,field_out,True,682634,614179,Kevin Alcántara,José Ruiz,0,4cabe0dd-c563-41c2-8e85-2b16cf67908f,614179.0,joseruiz,"Ruiz, J",Right,José Ruiz,PHI,3.71,3.97,51.0,102.0,104.0,103.0,0.752,9.18,3.0,9.0,1.41,1.32,0.245,0.415,0.109,0.361,0.428,100.0,94.0,97.0,77.0,98.0,93.0,134.0,64.0,70.0,,,,0.24,,0.038,0.033,,0.72,-1.15,-1.24,,89.9,95.8,92.3,0.26,0.38,0.119,0.2,0.4,0.375,0.333,0.333,0.4,118.0,106.0,109.0,105.0,102.0,104.0,0.276,0.414,-0.47,-0.37,96.3,86.2,,,,0.26,0.52,0.298,0.261,0.398,0.337,,,,,,,,,,,,,,,,,,
2024-09-25,745521,Single,single,False,682634,608032,Kevin Alcántara,Carlos Estévez,0,c42b258c-0ed0-4af0-ae6b-1c3868ccccb7,608032.0,carlosestevez,Estévez,Right,Carlos Estévez,- - -,2.45,3.24,55.0,104.0,112.0,106.0,0.759,8.18,1.96,6.22,0.82,0.66,0.275,0.329,0.141,0.336,0.496,81.0,100.0,96.0,,,,130.0,103.0,111.0,,,,,,0.281,0.104,,,1.36,2.33,,89.4,,89.4,,,,0.143,0.19,0.37,0.196,0.37,0.268,132.0,80.0,97.0,108.0,105.0,105.0,0.611,0.004,1.58,2.18,96.8,83.2,,,,0.198,0.313,0.23,,,,,,,,,,,,,,,,,,,,,
2024-09-27,746822,Forceout,force_out,True,682634,607259,Kevin Alcántara,Nick Martinez,1,ab78c794-89a9-41ff-95c1-64a2572dc7a4,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.1,3.15,142.1,109.0,99.0,107.0,0.786,7.33,1.14,8.09,0.82,0.89,0.265,0.393,0.198,0.233,0.441,118.0,113.0,116.0,80.0,106.0,97.0,105.0,110.0,110.0,96.0,108.0,104.0,0.176,0.203,0.061,0.216,1.32,0.88,-0.55,1.79,89.1,80.1,92.0,84.9,0.24,0.375,0.09,0.186,0.286,0.412,0.233,0.4,0.364,107.0,102.0,105.0,91.0,110.0,109.0,0.224,0.119,0.73,-1.69,92.6,80.8,0.281,0.43,0.116,0.219,0.351,0.212,0.342,0.605,0.247,,,,,,,,,,,,,,,,,,
2024-09-27,746822,Groundout,field_out,True,682634,607259,Kevin Alcántara,Nick Martinez,0,2a830ed1-6bd4-458d-95f4-13fffbfe1178,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.1,3.15,142.1,109.0,99.0,107.0,0.786,7.33,1.14,8.09,0.82,0.89,0.265,0.393,0.198,0.233,0.441,118.0,113.0,116.0,80.0,106.0,97.0,105.0,110.0,110.0,96.0,108.0,104.0,0.176,0.203,0.061,0.216,1.32,0.88,-0.55,1.79,89.1,80.1,92.0,84.9,0.24,0.375,0.09,0.186,0.286,0.412,0.233,0.4,0.364,107.0,102.0,105.0,91.0,110.0,109.0,0.224,0.119,0.73,-1.69,92.6,80.8,0.281,0.43,0.116,0.219,0.351,0.212,0.342,0.605,0.247,,,,,,,,,,,,,,,,,,
2024-09-27,746822,Groundout,field_out,True,682634,607259,Kevin Alcántara,Nick Martinez,0,e2a5b36f-4378-4a57-bd61-81e8fbd6b6fe,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.1,3.15,142.1,109.0,99.0,107.0,0.786,7.33,1.14,8.09,0.82,0.89,0.265,0.393,0.198,0.233,0.441,118.0,113.0,116.0,80.0,106.0,97.0,105.0,110.0,110.0,96.0,108.0,104.0,0.176,0.203,0.061,0.216,1.32,0.88,-0.55,1.79,89.1,80.1,92.0,84.9,0.24,0.375,0.09,0.186,0.286,0.412,0.233,0.4,0.364,107.0,102.0,105.0,91.0,110.0,109.0,0.224,0.119,0.73,-1.69,92.6,80.8,0.281,0.43,0.116,0.219,0.351,0.212,0.342,0.605,0.247,,,,,,,,,,,,,,,,,,
2024-09-29,746820,Groundout,field_out,True,682634,668881,Kevin Alcántara,Hunter Greene,0,c4e3a274-1b62-4376-9565-756281f57f27,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.75,3.03,150.1,99.0,124.0,104.0,0.741,10.12,3.41,5.75,0.72,0.7,0.284,0.388,0.199,0.265,0.429,,,,,,,125.0,96.0,103.0,,,,,,0.346,,,,0.62,,,,,86.8,,,,,,,0.161,0.3,0.39,118.0,96.0,101.0,123.0,102.0,104.0,0.552,0.018,1.56,-2.87,97.6,80.9,,,,0.184,0.273,0.248,0.4,1.0,0.2,,,,120.0,89.0,103.0,0.083,-0.79,87.0,0.243,0.405,0.284,,,,,,
2024-09-29,746820,Groundout,field_out,True,682634,518585,Kevin Alcántara,Fernando Cruz,0,ad911539-8949-4a44-9e9d-a995c9d295ee,518585.0,fernandocruz,"Cruz, F",Right,Fernando Cruz,CIN,4.86,3.97,66.2,95.0,116.0,100.0,0.633,14.72,4.73,7.29,1.22,0.98,0.196,0.462,0.182,0.357,0.379,,,,,,,,,,82.0,93.0,94.0,,0.255,,0.001,-2.06,,,-4.83,88.6,83.8,,,,,,,,,,,,,,,90.0,99.0,92.0,0.327,,-0.02,,94.6,,0.333,0.765,0.267,0.295,0.513,0.142,,,,,,,157.0,92.0,111.0,0.418,1.83,81.5,0.116,0.149,0.593,,,,,,
2024-09-29,746820,Groundout,field_out,True,682634,608718,Kevin Alcántara,Brent Suter,0,d7f7269e-1dc6-44a5-bad3-f9eb65c2f817,608718.0,brentsuter,Suter,Left,Brent Suter,CIN,3.15,4.19,65.2,99.0,103.0,103.0,0.814,6.85,1.64,8.63,1.37,1.02,0.298,0.361,0.185,0.259,0.419,106.0,99.0,114.0,85.0,93.0,82.0,85.0,105.0,108.0,,,,0.211,,0.163,0.197,,0.21,-1.2,0.56,,75.5,87.4,78.4,0.239,0.478,0.168,0.196,0.314,0.266,0.261,0.522,0.256,,,,117.0,100.0,107.0,0.428,,0.68,,85.8,,,,,0.273,0.4,0.171,,,,,,,,,,,,,,,,,,,,,
