date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,KC%,wFC/C,wFS/C,wKC/C,vFC,vFS,vKC,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
2024-05-06,746886,Walk,walk,False,456781,657006,Donovan Solano,Justin Steele,0,31c01aea-c312-4909-98ba-c6a313aded18,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,122.0,109.0,90.0,102.0,100.0,66.0,103.0,93.0,132.0,104.0,109.0,0.05,0.598,0.298,0.027,0.027,0.43,2.99,1.39,3.31,3.98,91.7,86.6,92.0,83.2,79.8,0.255,0.401,0.206,0.171,0.279,0.299,0.188,0.25,0.2,0.133,0.133,0.111,0.0,0.0,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06,746886,Groundout,field_out,True,456781,657006,Donovan Solano,Justin Steele,0,41031274-3119-4927-8bd2-48f1b3557e27,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,122.0,109.0,90.0,102.0,100.0,66.0,103.0,93.0,132.0,104.0,109.0,0.05,0.598,0.298,0.027,0.027,0.43,2.99,1.39,3.31,3.98,91.7,86.6,92.0,83.2,79.8,0.255,0.401,0.206,0.171,0.279,0.299,0.188,0.25,0.2,0.133,0.133,0.111,0.0,0.0,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06,746886,Single,single,False,456781,694037,Donovan Solano,Daniel Palencia,1,2a844d65-eefe-4249-993a-fab1e24e5af8,694037.0,danielpalencia,Palencia,Right,Daniel Palencia,CHC,6.55,4.3,11.0,94.0,114.0,99.0,0.767,9.82,6.55,9.0,0.0,2.11,0.194,0.29,0.161,0.355,0.49,,,,82.0,91.0,89.0,113.0,93.0,103.0,110.0,69.0,66.0,114.0,106.0,108.0,0.1,0.535,0.27,0.015,,-2.51,-0.97,3.94,3.33,,97.6,,97.4,89.6,84.1,0.375,0.542,0.216,0.133,0.133,0.28,0.0,0.0,0.125,,,,,,,,,,,,,127.0,72.0,87.0,,0.08,,,-0.25,,,90.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06,746886,Single,single,False,456781,605155,Donovan Solano,Colten Brewer,0,2dd85f1b-5bc0-434d-a7a8-85b6129f2d26,605155.0,coltenbrewer,Brewer,Right,Colten Brewer,CHC,5.66,4.33,20.2,97.0,94.0,95.0,0.746,9.58,3.92,10.45,0.44,1.13,0.286,0.413,0.238,0.238,0.45,,,,104.0,87.0,95.0,81.0,101.0,92.0,90.0,106.0,101.0,103.0,102.0,101.0,0.02,0.404,0.269,0.289,,-1.94,-13.89,0.94,-0.25,,94.3,,94.2,86.2,80.7,0.4,0.68,0.139,0.286,0.286,0.288,0.75,0.75,0.0,,,,0.138,0.241,0.477,,,,96.0,100.0,99.0,,,,0.018,,,-3.14,,,91.0,,,,,,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
2024-05-07,746885,Single,single,False,456781,684007,Donovan Solano,Shota Imanaga,0,3c9da580-35c3-4fc1-8d3a-51a10f4de04a,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.97,3.54,97.0,104.0,90.0,103.0,0.748,9.09,1.48,8.54,1.11,0.69,0.205,0.428,0.17,0.272,0.437,-25.0,118.0,64.0,71.0,97.0,98.0,95.0,104.0,106.0,90.0,120.0,107.0,110.0,108.0,109.0,0.002,0.547,0.067,0.044,0.001,1.17,-1.44,-1.0,-0.86,-3.42,91.8,87.6,89.4,81.9,72.9,0.213,0.376,0.191,0.333,0.375,0.321,,,,,,,0.429,0.429,0.0,,,,51.0,108.0,96.0,80.0,102.0,96.0,0.009,0.33,,-8.77,0.11,,89.8,83.1,,0.252,0.357,0.406,0.5,1.25,0.125,,,,,,,,,,,,,,,,,,,,,
2024-05-07,746885,Flyout,field_out,True,456781,684007,Donovan Solano,Shota Imanaga,0,0c388c74-74fe-436f-a5f5-784d91daa3a0,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.97,3.54,97.0,104.0,90.0,103.0,0.748,9.09,1.48,8.54,1.11,0.69,0.205,0.428,0.17,0.272,0.437,-25.0,118.0,64.0,71.0,97.0,98.0,95.0,104.0,106.0,90.0,120.0,107.0,110.0,108.0,109.0,0.002,0.547,0.067,0.044,0.001,1.17,-1.44,-1.0,-0.86,-3.42,91.8,87.6,89.4,81.9,72.9,0.213,0.376,0.191,0.333,0.375,0.321,,,,,,,0.429,0.429,0.0,,,,51.0,108.0,96.0,80.0,102.0,96.0,0.009,0.33,,-8.77,0.11,,89.8,83.1,,0.252,0.357,0.406,0.5,1.25,0.125,,,,,,,,,,,,,,,,,,,,,
2024-05-07,746885,Groundout,field_out,True,456781,684007,Donovan Solano,Shota Imanaga,0,8b9cd4b9-0bc9-4409-adc6-37b6c0b28923,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.97,3.54,97.0,104.0,90.0,103.0,0.748,9.09,1.48,8.54,1.11,0.69,0.205,0.428,0.17,0.272,0.437,-25.0,118.0,64.0,71.0,97.0,98.0,95.0,104.0,106.0,90.0,120.0,107.0,110.0,108.0,109.0,0.002,0.547,0.067,0.044,0.001,1.17,-1.44,-1.0,-0.86,-3.42,91.8,87.6,89.4,81.9,72.9,0.213,0.376,0.191,0.333,0.375,0.321,,,,,,,0.429,0.429,0.0,,,,51.0,108.0,96.0,80.0,102.0,96.0,0.009,0.33,,-8.77,0.11,,89.8,83.1,,0.252,0.357,0.406,0.5,1.25,0.125,,,,,,,,,,,,,,,,,,,,,
2024-05-07,746885,Flyout,field_out,True,456781,593576,Donovan Solano,Héctor Neris,0,d3f96a19-96a1-4f9d-a8ad-0dcaca4a2b93,593576.0,hectorneris,Neris,Right,Héctor Neris,CHC,3.86,4.89,32.2,97.0,88.0,97.0,0.789,9.64,6.34,7.71,1.1,1.33,0.165,0.482,0.2,0.318,0.397,,,,,,,85.0,100.0,94.0,90.0,92.0,85.0,88.0,85.0,86.0,0.098,0.469,0.026,,,-0.32,-2.0,1.63,,,92.9,,92.9,85.4,,0.264,0.491,0.146,,,,0.364,0.727,0.04,,,,,,,,,,,,,91.0,95.0,105.0,,0.407,,,-0.06,,,83.0,,0.185,0.241,0.364,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-11,745422,Lineout,field_out,True,456781,572020,Donovan Solano,James Paxton,0,b45741e4-bf40-44cf-8d25-df23aeb07f8a,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,,,,69.0,98.0,85.0,65.0,98.0,92.0,,,,0.032,0.577,,,0.07,0.34,-4.92,,,-1.66,93.2,82.6,92.6,,,0.243,0.381,0.138,,,,0.462,0.692,0.095,0.217,0.348,0.31,0.224,0.355,0.358,79.0,96.0,96.0,82.0,95.0,84.0,,,,0.037,,0.284,-3.42,,-0.23,84.0,,80.8,,,,0.308,0.769,0.13,,,,,,,,,,,,,,,,,,,,,
2024-05-11,745422,Double,double,False,456781,572020,Donovan Solano,James Paxton,0,e5be4ba4-9a7d-4fed-803c-0ba20706080c,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,,,,69.0,98.0,85.0,65.0,98.0,92.0,,,,0.032,0.577,,,0.07,0.34,-4.92,,,-1.66,93.2,82.6,92.6,,,0.243,0.381,0.138,,,,0.462,0.692,0.095,0.217,0.348,0.31,0.224,0.355,0.358,79.0,96.0,96.0,82.0,95.0,84.0,,,,0.037,,0.284,-3.42,,-0.23,84.0,,80.8,,,,0.308,0.769,0.13,,,,,,,,,,,,,,,,,,,,,
