date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff
2024-06-29,745159,Double,double,False,642851,543243,Austin Wynns,Sonny Gray,0,82b4f451-4848-4c5b-9d87-0b18fd7acb58,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,92.0,116.0,114.0,150.0,117.0,131.0,88.0,99.0,99.0,0.173,0.239,0.182,0.187,0.159,0.06,0.68,1.7,1.47,0.67,1.37,-2.47,92.6,87.7,88.5,93.1,85.0,80.1,0.162,0.216,0.422,0.197,0.316,0.181,0.31,0.479,0.147,0.237,0.407,0.303,0.184,0.342,0.299,0.385,0.769,0.345,,,,,,,,,,,,,,,,,,
2024-06-29,745159,Strikeout,strikeout,True,642851,543243,Austin Wynns,Sonny Gray,0,8e102a29-2d34-4096-af8b-ad9842209966,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,92.0,116.0,114.0,150.0,117.0,131.0,88.0,99.0,99.0,0.173,0.239,0.182,0.187,0.159,0.06,0.68,1.7,1.47,0.67,1.37,-2.47,92.6,87.7,88.5,93.1,85.0,80.1,0.162,0.216,0.422,0.197,0.316,0.181,0.31,0.479,0.147,0.237,0.407,0.303,0.184,0.342,0.299,0.385,0.769,0.345,,,,,,,,,,,,,,,,,,
2024-06-29,745159,Double,double,False,642851,667463,Austin Wynns,John King,1,414d67e2-d5ca-48e3-8e34-eab7a58ac0aa,667463.0,johnking,"King, J",Left,John King,STL,2.43,3.19,37.0,105.0,82.0,100.0,0.831,6.57,1.22,8.51,0.73,2.4,0.294,0.395,0.151,0.303,0.43,88.0,105.0,102.0,,,,58.0,92.0,95.0,79.0,106.0,98.0,81.0,101.0,105.0,,,,0.576,0.01,,0.115,,0.299,5.46,,2.49,-4.45,,-0.23,93.4,,84.0,93.3,83.1,,0.294,0.647,0.321,0.247,0.273,0.136,,,,,,,,,,0.244,0.378,0.253,,,,,,,,,,,,,,,,,,
2024-06-29,745159,Double,double,False,642851,700669,Austin Wynns,Gordon Graceffo,0,feffc974-a38d-4b2c-a4fb-a0dc268255be,700669.0,gordongraceffo,Graceffo,Right,Gordon Graceffo,STL,4.7,5.26,7.2,95.0,83.0,90.0,0.804,7.04,2.35,8.22,1.17,0.9,0.13,0.565,0.174,0.304,0.467,90.0,102.0,104.0,99.0,94.0,94.0,61.0,93.0,80.0,,,,109.0,88.0,92.0,,,,,0.41,,0.19,0.152,0.248,-1.88,,,-4.79,4.79,2.27,93.6,,84.6,,86.4,81.3,0.5,0.667,0.25,,,,0.273,0.727,0.167,,,,0.0,0.0,0.375,0.143,0.286,0.278,,,,,,,,,,,,,,,,,,
2024-06-29,745159,Flyout,field_out,True,642851,700669,Austin Wynns,Gordon Graceffo,0,b2b09c6a-0412-47ab-90b5-8eb40390277d,700669.0,gordongraceffo,Graceffo,Right,Gordon Graceffo,STL,4.7,5.26,7.2,95.0,83.0,90.0,0.804,7.04,2.35,8.22,1.17,0.9,0.13,0.565,0.174,0.304,0.467,90.0,102.0,104.0,99.0,94.0,94.0,61.0,93.0,80.0,,,,109.0,88.0,92.0,,,,,0.41,,0.19,0.152,0.248,-1.88,,,-4.79,4.79,2.27,93.6,,84.6,,86.4,81.3,0.5,0.667,0.25,,,,0.273,0.727,0.167,,,,0.0,0.0,0.375,0.143,0.286,0.278,,,,,,,,,,,,,,,,,,
2024-07-07,746691,Double,double,False,642851,669373,Austin Wynns,Tarik Skubal,0,5f73cc29-9ffa-4fa8-baa9-617b7d4a42ca,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,,,,112.0,103.0,103.0,97.0,107.0,106.0,110.0,102.0,105.0,,,,0.21,0.317,,0.154,,0.272,1.19,,1.96,1.72,,0.42,96.8,,86.0,96.7,88.7,,0.16,0.26,0.386,0.17,0.27,0.171,0.195,0.333,0.264,,,,0.143,0.143,0.214,0.217,0.37,0.468,,,,,,,,,,99.0,90.0,100.0,0.047,2.55,78.6,,,
2024-07-07,746691,Strikeout,strikeout,True,642851,669373,Austin Wynns,Tarik Skubal,0,f33c2f25-4f68-469b-ba58-4289e2c5f17b,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,,,,112.0,103.0,103.0,97.0,107.0,106.0,110.0,102.0,105.0,,,,0.21,0.317,,0.154,,0.272,1.19,,1.96,1.72,,0.42,96.8,,86.0,96.7,88.7,,0.16,0.26,0.386,0.17,0.27,0.171,0.195,0.333,0.264,,,,0.143,0.143,0.214,0.217,0.37,0.468,,,,,,,,,,99.0,90.0,100.0,0.047,2.55,78.6,,,
2024-07-07,746691,Strikeout,strikeout,True,642851,669373,Austin Wynns,Tarik Skubal,0,793c7416-a542-412e-97f9-d42c7204a117,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,,,,112.0,103.0,103.0,97.0,107.0,106.0,110.0,102.0,105.0,,,,0.21,0.317,,0.154,,0.272,1.19,,1.96,1.72,,0.42,96.8,,86.0,96.7,88.7,,0.16,0.26,0.386,0.17,0.27,0.171,0.195,0.333,0.264,,,,0.143,0.143,0.214,0.217,0.37,0.468,,,,,,,,,,99.0,90.0,100.0,0.047,2.55,78.6,,,
2024-07-10,746689,Single,single,False,642851,656222,Austin Wynns,Jalen Beeks,0,7960cb35-f584-4d3e-abab-a1e2607d260c,656222.0,jalenbeeks,Beeks,Left,Jalen Beeks,COL,4.75,3.72,47.1,93.0,79.0,90.0,0.803,7.23,3.42,8.75,0.95,1.09,0.288,0.377,0.171,0.315,0.405,82.0,90.0,90.0,92.0,124.0,129.0,75.0,94.0,89.0,,,,,,,89.0,97.0,92.0,0.002,0.57,0.159,,0.014,0.255,0.42,0.58,-0.45,,1.3,-0.52,94.5,85.2,89.0,89.3,,74.5,,,,,,,0.286,0.403,0.143,0.167,0.389,0.255,0.2,0.2,0.167,0.211,0.289,0.407,,,,,,,,,,,,,,,,,,
2024-07-11,746688,Lineout,field_out,True,642851,596295,Austin Wynns,Austin Gomber,0,be752b30-b99d-4373-92a1-88c1ac279eee,596295.0,austingomber,Gomber,Left,Austin Gomber,COL,4.61,4.79,99.2,103.0,79.0,97.0,0.828,6.05,2.26,9.48,1.63,1.05,0.222,0.434,0.142,0.351,0.428,86.0,105.0,101.0,,,,73.0,98.0,90.0,51.0,110.0,96.0,86.0,102.0,100.0,,,,0.001,0.412,,0.158,,0.211,-1.25,,-43.05,-0.33,,-0.09,90.4,,80.9,90.1,83.8,,0.274,0.532,0.162,,,,0.312,0.567,0.093,,,,0.188,0.337,0.266,0.274,0.369,0.275,,,,,,,,,,78.0,111.0,105.0,0.218,0.82,77.1,,,
