date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
2024-04-30,745997,Double,double,False,672012,641302,Tyler Black,Tyler Alexander,0,e1520431-15b0-459e-ba77-27790bfdf351,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,6.19,5.09,56.2,106.0,93.0,105.0,0.823,7.62,2.06,10.01,2.06,0.61,0.262,0.377,0.148,0.344,0.468,105.0,105.0,108.0,,,,91.0,109.0,104.0,109.0,105.0,105.0,0.228,0.178,,0.158,-1.79,-0.41,,-2.47,89.0,80.9,76.5,,0.283,0.604,0.241,0.31,0.5,0.128,0.308,0.513,0.186,,,,56.0,107.0,101.0,92.0,105.0,102.0,0.101,0.336,-0.32,1.15,84.4,88.9,0.257,0.529,0.206,0.238,0.238,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,745997,Single,single,False,672012,682052,Tyler Black,Jacob Lopez,1,f0268410-b8c9-46ee-8237-614d23bb5317,682052.0,jacoblopez,"Lopez, Ja",Left,Jacob Lopez,TBR,8.44,4.07,5.1,77.0,86.0,75.0,0.806,3.38,8.44,5.06,1.69,0.31,0.333,0.333,0.167,0.278,0.368,80.0,79.0,81.0,,,,,,,81.0,82.0,78.0,,0.462,,0.047,,0.2,,-5.17,,82.6,77.9,,,,,0.1,0.1,0.222,,,,,,,91.0,73.0,71.0,,,,0.491,,,-2.28,,90.6,,,,0.2,0.6,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,745997,Flyout,field_out,True,672012,682052,Tyler Black,Jacob Lopez,0,9da9f614-30b2-4177-8966-907bac8ec821,682052.0,jacoblopez,"Lopez, Ja",Left,Jacob Lopez,TBR,8.44,4.07,5.1,77.0,86.0,75.0,0.806,3.38,8.44,5.06,1.69,0.31,0.333,0.333,0.167,0.278,0.368,80.0,79.0,81.0,,,,,,,81.0,82.0,78.0,,0.462,,0.047,,0.2,,-5.17,,82.6,77.9,,,,,0.1,0.1,0.222,,,,,,,91.0,73.0,71.0,,,,0.491,,,-2.28,,90.6,,,,0.2,0.6,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,745997,Lineout,field_out,True,672012,655889,Tyler Black,Manuel Rodríguez,1,73a24afe-f387-441b-b3cc-880d6e6c5041,655889.0,manuelrodriguez,"Rodríguez, M",Right,Manuel Rodríguez,TBR,2.25,3.24,12.0,97.0,116.0,97.0,0.786,6.75,4.5,9.0,0.0,1.73,0.289,0.342,0.079,0.263,0.436,,,,,,,90.0,83.0,75.0,136.0,107.0,116.0,0.185,0.502,,,1.0,2.45,,,96.3,,88.7,,0.167,0.167,0.25,0.231,0.269,0.296,,,,,,,95.0,93.0,86.0,,,,0.313,,,-2.81,,96.4,,,,0.385,0.462,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-01,745996,Strikeout,strikeout,True,672012,621107,Tyler Black,Zach Eflin,0,ad0a8c14-c9a8-4533-bb03-29a7d010767a,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,111.0,116.0,112.0,63.0,105.0,96.0,121.0,107.0,112.0,0.095,0.101,0.197,0.032,-1.29,2.39,-1.41,-2.78,92.6,85.0,80.0,79.2,0.25,0.425,0.278,0.167,0.361,0.25,0.278,0.5,0.13,0.297,0.451,0.293,91.0,109.0,104.0,86.0,103.0,97.0,0.31,0.265,0.53,0.08,87.8,91.7,0.253,0.424,0.167,0.269,0.403,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-01,745996,Pop Out,field_out,True,672012,621107,Tyler Black,Zach Eflin,0,971d4db2-c57e-4ff2-bb4a-38cba89698a4,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,111.0,116.0,112.0,63.0,105.0,96.0,121.0,107.0,112.0,0.095,0.101,0.197,0.032,-1.29,2.39,-1.41,-2.78,92.6,85.0,80.0,79.2,0.25,0.425,0.278,0.167,0.361,0.25,0.278,0.5,0.13,0.297,0.451,0.293,91.0,109.0,104.0,86.0,103.0,97.0,0.31,0.265,0.53,0.08,87.8,91.7,0.253,0.424,0.167,0.269,0.403,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-01,745996,Double,double,False,672012,621107,Tyler Black,Zach Eflin,0,4afce1d5-d576-4e39-8ce0-a876ff31d766,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,111.0,116.0,112.0,63.0,105.0,96.0,121.0,107.0,112.0,0.095,0.101,0.197,0.032,-1.29,2.39,-1.41,-2.78,92.6,85.0,80.0,79.2,0.25,0.425,0.278,0.167,0.361,0.25,0.278,0.5,0.13,0.297,0.451,0.293,91.0,109.0,104.0,86.0,103.0,97.0,0.31,0.265,0.53,0.08,87.8,91.7,0.253,0.424,0.167,0.269,0.403,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-03,746890,Walk,walk,False,672012,669713,Tyler Black,Hayden Wesneski,0,a0d2c6ba-850f-407f-bf55-9139cff65f67,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,,,,50.0,100.0,85.0,132.0,100.0,111.0,0.368,0.399,,0.027,-0.5,0.19,,1.36,94.5,86.9,82.2,,0.25,0.444,0.132,0.185,0.383,0.428,0.143,0.143,0.214,,,,91.0,100.0,95.0,76.0,97.0,98.0,0.121,0.085,2.33,-0.74,88.1,93.5,0.182,0.182,0.209,0.273,0.545,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-03,746890,Groundout,field_out,True,672012,669713,Tyler Black,Hayden Wesneski,0,f1adf87b-e42d-4282-a029-cb5da1fec2cc,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,,,,50.0,100.0,85.0,132.0,100.0,111.0,0.368,0.399,,0.027,-0.5,0.19,,1.36,94.5,86.9,82.2,,0.25,0.444,0.132,0.185,0.383,0.428,0.143,0.143,0.214,,,,91.0,100.0,95.0,76.0,97.0,98.0,0.121,0.085,2.33,-0.74,88.1,93.5,0.182,0.182,0.209,0.273,0.545,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-03,746890,Strikeout,strikeout,True,672012,669713,Tyler Black,Hayden Wesneski,0,f9dd5d30-4d46-4957-aa20-74779929c631,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,,,,50.0,100.0,85.0,132.0,100.0,111.0,0.368,0.399,,0.027,-0.5,0.19,,1.36,94.5,86.9,82.2,,0.25,0.444,0.132,0.185,0.383,0.428,0.143,0.143,0.214,,,,91.0,100.0,95.0,76.0,97.0,98.0,0.121,0.085,2.33,-0.74,88.1,93.5,0.182,0.182,0.209,0.273,0.545,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,
