date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,FO%,wFO/C,vFO
2024-07-22,747095,Groundout,field_out,True,805373,668881,Nacho Alvarez Jr.,Hunter Greene,0,56278645-5ca3-4f04-884c-24ca34616af5,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.14,3.09,117.1,98.0,124.0,103.0,0.746,10.2,3.68,6.14,0.77,0.74,0.267,0.417,0.188,0.281,0.426,,,,117.0,97.0,101.0,123.0,100.0,103.0,128.0,95.0,102.0,0.554,0.345,0.02,,1.32,0.2,-1.96,,97.7,,86.7,80.6,0.194,0.287,0.248,0.179,0.336,0.387,0.25,1.0,0.125,,,,117.0,92.0,105.0,0.081,-0.58,86.9,0.25,0.406,0.292,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-22,747095,Strikeout,strikeout,True,805373,668881,Nacho Alvarez Jr.,Hunter Greene,0,faa24d17-fd56-49b8-b26e-c2fa0863b935,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.14,3.09,117.1,98.0,124.0,103.0,0.746,10.2,3.68,6.14,0.77,0.74,0.267,0.417,0.188,0.281,0.426,,,,117.0,97.0,101.0,123.0,100.0,103.0,128.0,95.0,102.0,0.554,0.345,0.02,,1.32,0.2,-1.96,,97.7,,86.7,80.6,0.194,0.287,0.248,0.179,0.336,0.387,0.25,1.0,0.125,,,,117.0,92.0,105.0,0.081,-0.58,86.9,0.25,0.406,0.292,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-22,747095,Groundout,field_out,True,805373,668881,Nacho Alvarez Jr.,Hunter Greene,0,c0d8035e-d165-46ef-8511-63af1f3f27fb,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.14,3.09,117.1,98.0,124.0,103.0,0.746,10.2,3.68,6.14,0.77,0.74,0.267,0.417,0.188,0.281,0.426,,,,117.0,97.0,101.0,123.0,100.0,103.0,128.0,95.0,102.0,0.554,0.345,0.02,,1.32,0.2,-1.96,,97.7,,86.7,80.6,0.194,0.287,0.248,0.179,0.336,0.387,0.25,1.0,0.125,,,,117.0,92.0,105.0,0.081,-0.58,86.9,0.25,0.406,0.292,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-22,747095,Groundout,field_out,True,805373,518585,Nacho Alvarez Jr.,Fernando Cruz,0,08c122fb-1d89-4752-b0d0-2e58d4fb81f2,518585.0,fernandocruz,"Cruz, F",Right,Fernando Cruz,CIN,4.5,3.81,42.0,95.0,117.0,101.0,0.623,14.14,4.5,6.64,0.86,0.85,0.202,0.416,0.157,0.348,0.376,,,,,,,89.0,95.0,89.0,,,,0.301,,,,-0.62,,,,94.7,,,,0.333,0.59,0.174,,,,,,,,,,158.0,94.0,113.0,0.432,2.25,81.7,0.087,0.125,0.571,,,,82.0,95.0,95.0,,0.267,-0.88,,88.8,,,,,0.324,0.676,0.306,,,,,,
2024-07-24,747091,Single,single,False,805373,593423,Nacho Alvarez Jr.,Frankie Montas,1,c777876d-c24d-41d5-a6f1-27dd3dad4abd,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,5.01,4.76,93.1,100.0,99.0,99.0,0.789,7.52,3.95,8.97,1.35,1.12,0.216,0.394,0.174,0.293,0.422,,,,,,,85.0,104.0,98.0,117.0,98.0,100.0,0.34,0.115,,,-0.22,-1.25,,,95.3,,84.9,,0.227,0.418,0.197,0.296,0.481,0.28,,,,,,,120.0,97.0,107.0,0.212,-0.21,85.7,0.219,0.329,0.41,85.0,101.0,97.0,106.0,94.0,92.0,0.162,0.172,-2.54,0.94,90.2,94.3,0.247,0.37,0.112,0.388,0.694,0.205,,,,,,
2024-07-24,747091,Strikeout,strikeout,True,805373,593423,Nacho Alvarez Jr.,Frankie Montas,0,8a6aa5ae-08b3-48b9-8093-b46f9024eb9f,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,5.01,4.76,93.1,100.0,99.0,99.0,0.789,7.52,3.95,8.97,1.35,1.12,0.216,0.394,0.174,0.293,0.422,,,,,,,85.0,104.0,98.0,117.0,98.0,100.0,0.34,0.115,,,-0.22,-1.25,,,95.3,,84.9,,0.227,0.418,0.197,0.296,0.481,0.28,,,,,,,120.0,97.0,107.0,0.212,-0.21,85.7,0.219,0.329,0.41,85.0,101.0,97.0,106.0,94.0,92.0,0.162,0.172,-2.54,0.94,90.2,94.3,0.247,0.37,0.112,0.388,0.694,0.205,,,,,,
2024-07-24,747091,Lineout,field_out,True,805373,593423,Nacho Alvarez Jr.,Frankie Montas,0,14dcf9a7-be4f-4634-9226-ed8238c150dc,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,5.01,4.76,93.1,100.0,99.0,99.0,0.789,7.52,3.95,8.97,1.35,1.12,0.216,0.394,0.174,0.293,0.422,,,,,,,85.0,104.0,98.0,117.0,98.0,100.0,0.34,0.115,,,-0.22,-1.25,,,95.3,,84.9,,0.227,0.418,0.197,0.296,0.481,0.28,,,,,,,120.0,97.0,107.0,0.212,-0.21,85.7,0.219,0.329,0.41,85.0,101.0,97.0,106.0,94.0,92.0,0.162,0.172,-2.54,0.94,90.2,94.3,0.247,0.37,0.112,0.388,0.694,0.205,,,,,,
2024-07-24,747091,Strikeout,strikeout,True,805373,594580,Nacho Alvarez Jr.,Sam Moll,0,d33d1207-08ad-44ad-aa08-2d5d804584d0,594580.0,sammoll,Moll,Left,Sam Moll,CIN,2.63,1.8,24.0,100.0,103.0,99.0,0.757,9.75,2.25,6.38,0.38,1.17,0.217,0.467,0.15,0.183,0.423,66.0,89.0,96.0,,,,144.0,105.0,107.0,95.0,97.0,107.0,0.368,0.248,,0.075,0.3,2.87,,-1.79,93.3,84.6,81.2,,0.229,0.343,0.247,0.095,0.095,0.457,,,,0.4,0.4,0.429,,,,,,,,,,70.0,99.0,85.0,,,,0.31,,,2.9,,91.9,0.208,0.333,0.102,,,,,,,,,
2024-07-24,747091,Strikeout,strikeout,True,805373,663574,Nacho Alvarez Jr.,Tony Santillan,0,611391e0-7862-4c43-ab39-1e3ee0bd2e91,663574.0,tonysantillan,Santillan,Right,Tony Santillan,CIN,0.0,1.5,4.0,113.0,91.0,108.0,0.846,15.75,0.0,4.5,0.0,0.67,0.375,0.125,0.0,0.125,0.538,,,,,,,83.0,124.0,109.0,103.0,97.0,107.0,0.615,0.385,,,5.07,0.92,,,97.1,,86.5,,0.1,0.1,0.357,0.2,0.2,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-25,745794,Groundout,field_out,True,805373,622663,Nacho Alvarez Jr.,Luis Severino,0,108c383e-6884-4ecf-8589-b4104ce3c472,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.58,3.72,115.2,100.0,104.0,100.0,0.831,6.85,3.11,7.47,0.93,1.38,0.272,0.374,0.222,0.281,0.441,85.0,92.0,93.0,,,,99.0,102.0,99.0,141.0,102.0,113.0,0.339,0.222,,0.086,0.06,0.9,,-1.4,96.0,85.9,85.8,,0.233,0.391,0.21,0.211,0.263,0.274,,,,0.294,0.471,0.147,,,,,,,,,,88.0,97.0,93.0,93.0,92.0,87.0,0.273,0.08,-0.61,1.95,92.9,95.5,0.244,0.354,0.138,0.226,0.323,0.234,0.127,0.175,0.316,,,
