date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff
2024-08-02,746354,Flyout,field_out,True,670224,623352,Kameron Misner,Josh Hader,0,3e3acf02-5f4c-410d-a1a6-be76e725139a,623352.0,joshhader,Hader,Left,Josh Hader,HOU,3.19,2.56,59.1,97.0,130.0,110.0,0.628,13.35,3.03,5.16,1.37,0.6,0.217,0.35,0.133,0.317,0.406,111.0,70.0,51.0,,,,,,,114.0,96.0,107.0,,0.264,,0.011,,2.63,,-10.85,,89.3,85.9,,,,,0.113,0.21,0.568,,,,,,,137.0,98.0,113.0,,,,0.725,,,1.16,,96.1,,,,0.182,0.343,0.332,,,,,,,,,,,,
2024-08-04,746356,Strikeout,strikeout,True,670224,681293,Kameron Misner,Spencer Arrighetti,0,73f9d29e-9b73-4e0d-a8bc-9f1357ccc03e,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.63,3.81,124.1,99.0,93.0,99.0,0.731,10.93,4.13,8.25,1.23,0.8,0.255,0.425,0.16,0.305,0.446,88.0,98.0,89.0,113.0,100.0,105.0,89.0,100.0,99.0,116.0,92.0,100.0,0.412,0.113,0.195,0.086,-0.95,1.47,0.92,-2.98,94.1,85.4,81.0,78.4,0.29,0.489,0.209,,,,0.152,0.263,0.419,0.429,0.571,0.38,,,,,,,,,,,,,,,,,,,63.0,100.0,98.0,0.194,0.98,88.2,0.245,0.439,0.239,0.107,0.214,0.413
2024-08-04,746356,Caught Stealing 2B,caught_stealing_2b,True,670224,681293,Kameron Misner,Spencer Arrighetti,0,909dd988-3f55-414c-b3f2-a038608ffa03,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.63,3.81,124.1,99.0,93.0,99.0,0.731,10.93,4.13,8.25,1.23,0.8,0.255,0.425,0.16,0.305,0.446,88.0,98.0,89.0,113.0,100.0,105.0,89.0,100.0,99.0,116.0,92.0,100.0,0.412,0.113,0.195,0.086,-0.95,1.47,0.92,-2.98,94.1,85.4,81.0,78.4,0.29,0.489,0.209,,,,0.152,0.263,0.419,0.429,0.571,0.38,,,,,,,,,,,,,,,,,,,63.0,100.0,98.0,0.194,0.98,88.2,0.245,0.439,0.239,0.107,0.214,0.413
2024-08-04,746356,Strikeout,strikeout,True,670224,681293,Kameron Misner,Spencer Arrighetti,0,a6c2e23b-89b8-4fac-90f8-6dbc64fb93ac,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.63,3.81,124.1,99.0,93.0,99.0,0.731,10.93,4.13,8.25,1.23,0.8,0.255,0.425,0.16,0.305,0.446,88.0,98.0,89.0,113.0,100.0,105.0,89.0,100.0,99.0,116.0,92.0,100.0,0.412,0.113,0.195,0.086,-0.95,1.47,0.92,-2.98,94.1,85.4,81.0,78.4,0.29,0.489,0.209,,,,0.152,0.263,0.419,0.429,0.571,0.38,,,,,,,,,,,,,,,,,,,63.0,100.0,98.0,0.194,0.98,88.2,0.245,0.439,0.239,0.107,0.214,0.413
2024-08-08,745143,Strikeout,strikeout,True,670224,502043,Kameron Misner,Kyle Gibson,0,5a62f996-4926-471d-8d14-bb596f9c3123,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.54,5.04,140.2,98.0,93.0,95.0,0.757,8.19,3.58,8.83,1.22,1.38,0.221,0.426,0.161,0.35,0.36,97.0,92.0,87.0,104.0,103.0,103.0,81.0,89.0,84.0,104.0,103.0,105.0,0.125,0.219,0.087,0.089,-0.95,0.56,-2.04,0.49,91.4,84.9,80.8,78.4,0.255,0.564,0.056,,,,0.313,0.719,0.451,0.208,0.292,0.343,85.0,101.0,96.0,,,,0.271,,,0.51,,90.7,,,,0.272,0.404,0.086,94.0,95.0,91.0,0.209,0.01,88.7,0.33,0.505,0.209,0.214,0.338,0.416
2024-08-08,745143,Groundout,field_out,True,670224,502043,Kameron Misner,Kyle Gibson,0,78e7aa46-fd09-46e0-b901-7fc11e26b4b9,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.54,5.04,140.2,98.0,93.0,95.0,0.757,8.19,3.58,8.83,1.22,1.38,0.221,0.426,0.161,0.35,0.36,97.0,92.0,87.0,104.0,103.0,103.0,81.0,89.0,84.0,104.0,103.0,105.0,0.125,0.219,0.087,0.089,-0.95,0.56,-2.04,0.49,91.4,84.9,80.8,78.4,0.255,0.564,0.056,,,,0.313,0.719,0.451,0.208,0.292,0.343,85.0,101.0,96.0,,,,0.271,,,0.51,,90.7,,,,0.272,0.404,0.086,94.0,95.0,91.0,0.209,0.01,88.7,0.33,0.505,0.209,0.214,0.338,0.416
2024-08-10,745056,Strikeout,strikeout,True,670224,622554,Kameron Misner,Seranthony Domínguez,0,139b0ec0-0ea4-40a0-a60d-3bf92ac8e018,622554.0,seranthonydominguez,Domínguez,Right,Seranthony Domínguez,- - -,4.14,3.32,50.0,98.0,129.0,103.0,0.751,10.26,2.88,7.2,1.8,0.7,0.274,0.363,0.207,0.267,0.437,19.0,104.0,97.0,,,,129.0,96.0,98.0,143.0,99.0,108.0,0.402,0.401,,0.011,-0.14,0.68,,-8.65,97.6,91.5,88.5,,0.224,0.463,0.223,0.153,0.388,0.386,,,,,,,103.0,100.0,104.0,,,,0.186,,,0.04,,98.0,,,,0.282,0.359,0.074,,,,,,,,,,,,
2024-08-12,745058,Strikeout,strikeout,True,670224,672391,Kameron Misner,Kaleb Ort,0,4cc5feee-f894-4417-84b8-4515ee2ab3a6,672391.0,kalebort,Ort,Right,Kaleb Ort,HOU,1.26,2.1,14.1,108.0,131.0,116.0,0.724,10.67,1.26,3.77,1.26,0.63,0.281,0.375,0.219,0.344,0.467,40.0,101.0,102.0,,,,162.0,110.0,127.0,92.0,114.0,111.0,0.61,0.123,,0.092,3.36,2.48,,-2.14,97.8,90.4,84.2,,0.114,0.314,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,101.0,90.0,0.174,3.64,91.7,0.125,0.125,0.25,0.0,0.0,0.273
2024-08-16,745054,Strikeout,strikeout,True,670224,669194,Kameron Misner,Ryne Nelson,0,1c9bb6bc-d626-4add-bf4c-0a3d22851b74,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,0.553,0.101,0.063,0.1,0.65,-0.98,1.49,-2.62,95.1,83.0,84.3,78.0,0.254,0.42,0.195,0.245,0.367,0.153,0.161,0.226,0.14,0.322,0.627,0.195,,,,,,,,,,,,,,,,,,,77.0,105.0,95.0,0.184,-0.58,91.3,0.307,0.491,0.143,0.4,0.733,0.167
2024-08-16,745054,Strikeout,strikeout,True,670224,669194,Kameron Misner,Ryne Nelson,0,859a3354-e79b-4bf6-8753-f65ace154488,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,0.553,0.101,0.063,0.1,0.65,-0.98,1.49,-2.62,95.1,83.0,84.3,78.0,0.254,0.42,0.195,0.245,0.367,0.153,0.161,0.226,0.14,0.322,0.627,0.195,,,,,,,,,,,,,,,,,,,77.0,105.0,95.0,0.184,-0.58,91.3,0.307,0.491,0.143,0.4,0.733,0.167
