date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024-03-31,745845,Groundout,field_out,True,553882,607067,Omar Narváez,Colin Rea,0,9fc957d7-69e3-4fc4-a36f-eb53a73b204b,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,,,,107.0,106.0,103.0,69.0,109.0,95.0,108.0,105.0,108.0,76.0,95.0,89.0,78.0,98.0,100.0,0.172,0.226,0.082,0.171,0.043,,-0.12,-0.36,-0.32,3.37,-5.02,,92.7,87.8,86.4,,82.1,78.3,0.23,0.365,0.239,0.277,0.553,0.159,0.062,0.077,0.227,0.243,0.297,0.26,0.444,0.833,0.111,,,,85.0,101.0,95.0,0.306,-0.27,92.3,0.276,0.44,0.109,,,,,,,,,
2024-03-31,745845,Flyout,field_out,True,553882,607067,Omar Narváez,Colin Rea,0,7885e57e-aee6-4204-b75d-a875dbcb50db,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,,,,107.0,106.0,103.0,69.0,109.0,95.0,108.0,105.0,108.0,76.0,95.0,89.0,78.0,98.0,100.0,0.172,0.226,0.082,0.171,0.043,,-0.12,-0.36,-0.32,3.37,-5.02,,92.7,87.8,86.4,,82.1,78.3,0.23,0.365,0.239,0.277,0.553,0.159,0.062,0.077,0.227,0.243,0.297,0.26,0.444,0.833,0.111,,,,85.0,101.0,95.0,0.306,-0.27,92.3,0.276,0.44,0.109,,,,,,,,,
2024-03-31,745845,Strikeout,strikeout,True,553882,663542,Omar Narváez,Bryan Hudson,0,7757b305-2fd8-4d4f-8ed3-a43f26f00a47,663542.0,bryanhudson,"Hudson, B",Left,Bryan Hudson,MIL,1.49,2.94,48.1,104.0,84.0,103.0,0.781,9.87,2.23,4.47,1.12,1.14,0.286,0.321,0.205,0.241,0.481,,,,,,,84.0,106.0,103.0,113.0,105.0,107.0,50.0,97.0,98.0,,,,0.526,0.221,,0.253,,,1.88,-0.05,,2.78,,,91.7,86.7,,,81.9,,0.185,0.346,0.197,0.219,0.531,0.187,0.039,0.078,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745845,Flyout,field_out,True,553882,606303,Omar Narváez,Joel Payamps,0,671ffe15-26dd-4abf-96cf-0204e39d7e69,606303.0,joelpayamps,Payamps,Right,Joel Payamps,MIL,4.41,5.58,34.2,101.0,104.0,102.0,0.767,8.05,2.86,7.79,1.56,0.95,0.155,0.466,0.146,0.33,0.445,104.0,92.0,92.0,,,,99.0,102.0,98.0,113.0,104.0,110.0,,,,,,,0.303,,,0.386,,0.106,0.1,,,-0.5,,-0.89,94.7,,,89.6,83.7,,0.176,0.471,0.365,,,,0.245,0.415,0.275,,,,,,,0.313,0.375,0.219,95.0,99.0,97.0,0.205,0.86,94.7,0.207,0.414,0.123,,,,,,,,,
2024-04-04,745843,Pop Out,field_out,True,553882,666159,Omar Narváez,Matt Manning,0,e9285e37-4e56-4748-a85f-47b26866f7ef,666159.0,mattmanning,Manning,Right,Matt Manning,DET,4.88,4.64,27.2,98.0,99.0,98.0,0.791,7.48,3.9,10.08,0.98,0.61,0.239,0.341,0.159,0.318,0.482,,,,108.0,96.0,99.0,95.0,100.0,100.0,100.0,96.0,97.0,,,,82.0,98.0,88.0,0.482,,0.041,0.379,0.098,,-1.36,,-0.33,1.26,-3.39,,93.8,,87.8,,84.4,81.6,0.327,0.519,0.213,,,,0.375,0.375,0.0,0.25,0.25,0.2,0.385,0.538,0.273,,,,,,,,,,,,,,,,,,,,,
2024-04-04,745843,Flyout,field_out,True,553882,666159,Omar Narváez,Matt Manning,0,5d510171-8b4b-47e1-ba57-e5d9d5c85e41,666159.0,mattmanning,Manning,Right,Matt Manning,DET,4.88,4.64,27.2,98.0,99.0,98.0,0.791,7.48,3.9,10.08,0.98,0.61,0.239,0.341,0.159,0.318,0.482,,,,108.0,96.0,99.0,95.0,100.0,100.0,100.0,96.0,97.0,,,,82.0,98.0,88.0,0.482,,0.041,0.379,0.098,,-1.36,,-0.33,1.26,-3.39,,93.8,,87.8,,84.4,81.6,0.327,0.519,0.213,,,,0.375,0.375,0.0,0.25,0.25,0.2,0.385,0.538,0.273,,,,,,,,,,,,,,,,,,,,,
2024-04-06,746731,Single,single,False,553882,607259,Omar Narváez,Nick Martinez,0,28a84140-4599-4afb-8c73-064111d4db86,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,118.0,115.0,119.0,109.0,102.0,103.0,90.0,109.0,107.0,101.0,109.0,111.0,101.0,108.0,104.0,,,,0.219,0.199,,0.083,0.131,0.217,0.96,0.21,,0.29,-2.24,0.75,92.6,88.5,,80.0,84.7,81.1,0.206,0.317,0.188,0.345,0.5,0.145,0.235,0.294,0.432,,,,0.381,0.714,0.37,0.211,0.38,0.384,84.0,106.0,97.0,0.152,1.08,91.9,0.24,0.34,0.053,,,,,,,,,
2024-04-06,746731,Single,single,False,553882,607259,Omar Narváez,Nick Martinez,1,a99b492d-2aa9-4b14-8590-437916aca062,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,118.0,115.0,119.0,109.0,102.0,103.0,90.0,109.0,107.0,101.0,109.0,111.0,101.0,108.0,104.0,,,,0.219,0.199,,0.083,0.131,0.217,0.96,0.21,,0.29,-2.24,0.75,92.6,88.5,,80.0,84.7,81.1,0.206,0.317,0.188,0.345,0.5,0.145,0.235,0.294,0.432,,,,0.381,0.714,0.37,0.211,0.38,0.384,84.0,106.0,97.0,0.152,1.08,91.9,0.24,0.34,0.053,,,,,,,,,
2024-04-06,746731,Single,single,False,553882,571656,Omar Narváez,Buck Farmer,0,552b0dd7-28d9-4a91-a6e0-fb2fb8aa5a06,571656.0,buckfarmer,"Farmer, B",Right,Buck Farmer,CIN,2.8,4.36,45.0,97.0,90.0,98.0,0.777,7.8,3.6,7.2,0.8,0.81,0.24,0.388,0.178,0.279,0.387,110.0,102.0,106.0,,,,53.0,94.0,81.0,117.0,100.0,111.0,,,,,,,0.244,,,0.33,,0.216,0.58,,,1.87,,-0.98,92.7,,,86.6,82.1,,0.2,0.4,0.153,,,,0.125,0.271,0.374,,,,,,,0.297,0.351,0.259,70.0,90.0,89.0,0.21,0.81,92.3,0.282,0.436,0.182,,,,,,,,,
2024-04-06,746731,Pop Out,field_out,True,553882,641941,Omar Narváez,Emilio Pagán,0,83892ac2-2e9d-4864-a86d-2c953e9dc9d7,641941.0,emiliopagan,Pagán,Right,Emilio Pagán,CIN,4.43,3.72,20.1,105.0,108.0,105.0,0.723,11.51,3.1,9.3,1.77,0.68,0.296,0.444,0.185,0.463,0.403,,,,,,,116.0,101.0,105.0,,,,90.0,114.0,110.0,107.0,109.0,99.0,0.566,0.281,0.153,,,,0.51,-3.2,0.86,,,,94.3,86.2,84.1,,,,0.224,0.388,0.275,0.429,0.762,0.326,,,,0.111,0.222,0.5,,,,,,,,,,,,,,,,,,,,,,,,
