date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,KC%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vCU,vKC,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff,SV_ba,SV_slg,SV_whiff
2024-06-22,745163,Groundout,field_out,True,681584,571945,David Villar,Miles Mikolas,0,538f7983-961e-45be-b25f-010c9bc05f0b,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.13,4.33,112.1,109.0,87.0,102.0,0.857,6.17,1.44,9.53,1.36,1.04,0.249,0.408,0.145,0.332,0.488,86.0,105.0,100.0,94.0,105.0,102.0,64.0,108.0,98.0,79.0,110.0,98.0,116.0,112.0,115.0,0.238,0.257,0.286,0.119,0.002,0.098,-0.41,3.63,-2.01,-2.69,1.43,-1.48,93.0,85.6,92.3,85.3,76.3,68.8,0.19,0.281,0.101,0.217,0.391,0.27,0.287,0.511,0.169,0.271,0.625,0.25,0.333,0.5,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-22,745163,Flyout,field_out,True,681584,571945,David Villar,Miles Mikolas,0,ba294ebb-93c4-4c7a-a6e6-0cf295571a3b,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.13,4.33,112.1,109.0,87.0,102.0,0.857,6.17,1.44,9.53,1.36,1.04,0.249,0.408,0.145,0.332,0.488,86.0,105.0,100.0,94.0,105.0,102.0,64.0,108.0,98.0,79.0,110.0,98.0,116.0,112.0,115.0,0.238,0.257,0.286,0.119,0.002,0.098,-0.41,3.63,-2.01,-2.69,1.43,-1.48,93.0,85.6,92.3,85.3,76.3,68.8,0.19,0.281,0.101,0.217,0.391,0.27,0.287,0.511,0.169,0.271,0.625,0.25,0.333,0.5,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-22,745163,Single,single,False,681584,668941,David Villar,JoJo Romero,0,c98f993b-4ddb-4652-97c1-06855c171f44,668941.0,jojoromero,"Romero, J",Left,JoJo Romero,STL,2.43,4.86,40.2,97.0,85.0,96.0,0.767,7.52,1.99,7.3,0.89,1.7,0.284,0.448,0.155,0.31,0.415,69.0,103.0,92.0,,,,67.0,98.0,92.0,73.0,98.0,94.0,114.0,94.0,101.0,0.373,0.119,0.326,,,0.182,-2.34,1.52,3.5,,,-4.01,95.0,85.9,93.7,83.9,,,0.259,0.315,0.098,0.059,0.118,0.448,0.357,0.429,0.132,,,,0.379,0.759,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-22,745163,Strikeout,strikeout,True,681584,681517,David Villar,Kyle Leahy,0,f7e65eac-21e9-45f1-9553-50e50cbc0f75,681517.0,kyleleahy,Leahy,Right,Kyle Leahy,STL,4.15,4.64,30.1,103.0,108.0,104.0,0.769,5.93,2.08,7.71,0.59,0.95,0.232,0.326,0.116,0.421,0.434,92.0,101.0,104.0,120.0,101.0,101.0,101.0,100.0,96.0,,,,124.0,107.0,115.0,,0.441,0.399,0.065,,0.095,0.81,,1.27,2.96,,0.99,95.4,89.8,,88.2,81.1,,,,,0.167,0.25,0.333,0.279,0.419,0.196,0.0,0.0,0.0,0.222,0.222,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25,745322,Sac Fly,sac_fly,True,681584,543294,David Villar,Kyle Hendricks,1,cb6e3a43-040c-496d-bf22-ad3b2e57d6a5,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.78,4.99,70.1,105.0,97.0,101.0,0.829,6.4,2.69,10.88,1.66,1.34,0.226,0.385,0.218,0.256,0.411,109.0,107.0,108.0,88.0,108.0,105.0,60.0,92.0,84.0,98.0,106.0,98.0,,,,0.365,0.119,,0.127,,0.39,-3.58,-0.85,,1.57,,-1.24,87.8,80.9,87.8,,74.3,,0.357,0.504,0.101,,,,0.4,1.067,0.128,0.12,0.24,0.381,0.278,0.421,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25,745322,Flyout,field_out,True,681584,543294,David Villar,Kyle Hendricks,0,b518e698-d389-468d-a41b-e155f2ff0438,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.78,4.99,70.1,105.0,97.0,101.0,0.829,6.4,2.69,10.88,1.66,1.34,0.226,0.385,0.218,0.256,0.411,109.0,107.0,108.0,88.0,108.0,105.0,60.0,92.0,84.0,98.0,106.0,98.0,,,,0.365,0.119,,0.127,,0.39,-3.58,-0.85,,1.57,,-1.24,87.8,80.9,87.8,,74.3,,0.357,0.504,0.101,,,,0.4,1.067,0.128,0.12,0.24,0.381,0.278,0.421,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25,745322,Strikeout,strikeout,True,681584,543294,David Villar,Kyle Hendricks,0,3a0f4372-f38e-4b4b-ae13-e21c7e4fc871,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.78,4.99,70.1,105.0,97.0,101.0,0.829,6.4,2.69,10.88,1.66,1.34,0.226,0.385,0.218,0.256,0.411,109.0,107.0,108.0,88.0,108.0,105.0,60.0,92.0,84.0,98.0,106.0,98.0,,,,0.365,0.119,,0.127,,0.39,-3.58,-0.85,,1.57,,-1.24,87.8,80.9,87.8,,74.3,,0.357,0.504,0.101,,,,0.4,1.067,0.128,0.12,0.24,0.381,0.278,0.421,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26,745325,Home Run,home_run,False,681584,669713,David Villar,Hayden Wesneski,0,8fc38c90-8a01-43ec-87e1-25ecf3c7736d,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,,,,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,0.121,0.368,0.399,,,0.027,-0.5,-0.74,0.19,,,1.36,94.5,86.9,93.5,82.2,,,0.273,0.545,0.123,0.185,0.383,0.428,0.25,0.444,0.132,,,,0.143,0.143,0.214,,,,,,,,,,,,,76.0,97.0,98.0,0.085,2.33,88.1,0.182,0.182,0.209,,,,,,,,,,,,
2024-06-26,745325,Strikeout,strikeout,True,681584,592767,David Villar,Drew Smyly,0,e8da4fae-e571-46b2-aa08-8230f669b265,592767.0,drewsmyly,Smyly,Left,Drew Smyly,CHC,3.09,3.44,35.0,101.0,95.0,102.0,0.766,8.23,4.11,7.97,1.29,0.69,0.26,0.42,0.2,0.26,0.435,,,,,,,,,,79.0,97.0,89.0,,,,0.461,,,,0.507,,,0.62,,,-0.22,,,,92.7,,,80.1,0.26,0.42,0.165,,,,,,,0.218,0.372,0.314,,,,,,,,,,,,,110.0,105.0,114.0,92.0,104.0,93.0,0.031,-5.44,88.8,0.333,0.333,0.333,,,,,,,,,,,,
2024-06-26,745325,Strikeout,strikeout,True,681584,687863,David Villar,Porter Hodge,0,c519d0ff-1ee2-47de-b017-abf437a4013f,687863.0,porterhodge,Hodge,Right,Porter Hodge,CHC,2.16,2.25,16.2,93.0,108.0,103.0,0.75,9.72,3.78,4.86,0.0,1.13,0.275,0.375,0.2,0.2,0.452,,,,,,,106.0,91.0,101.0,,,,116.0,98.0,108.0,,0.692,0.297,,,,2.28,,1.34,,,,95.0,,,81.9,,,,,,0.125,0.188,0.452,0.167,0.238,0.212,,,,,,,55.0,76.0,67.0,0.011,-0.11,88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-29,745317,Double,double,False,681584,543339,David Villar,Daniel Hudson,1,7cf282e9-ba9e-491e-a09e-b193c0160c35,543339.0,danielhudson,"Hudson, Dan",Right,Daniel Hudson,LAD,1.59,2.68,39.2,105.0,101.0,105.0,0.692,9.76,1.59,5.67,1.13,0.8,0.26,0.42,0.13,0.28,0.416,73.0,98.0,105.0,,,,112.0,105.0,105.0,88.0,109.0,117.0,91.0,104.0,104.0,0.052,0.514,0.395,,,0.039,2.0,-1.15,1.08,,,0.92,95.3,89.0,95.3,88.1,,,0.385,0.385,0.15,0.119,0.254,0.44,0.191,0.353,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
