date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff
2024-06-27,746816,Flyout,field_out,True,672820,519242,Lenyn Sosa,Chris Sale,0,2aa6f0d8-9e59-4d09-ba5e-88b952c81327,519242.0,chrissale,Sale,Left,Chris Sale,ATL,2.7,2.7,110.0,103.0,103.0,102.0,0.711,11.45,1.96,6.63,0.57,1.51,0.262,0.449,0.194,0.228,0.454,59.0,108.0,97.0,97.0,105.0,101.0,111.0,101.0,97.0,122.0,100.0,105.0,,,,0.082,0.379,,0.392,0.147,-0.27,,-0.89,2.27,4.04,94.9,,87.2,94.1,78.7,0.165,0.233,0.419,0.324,0.471,0.153,0.116,0.145,0.231,,,,0.27,0.475,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,746816,Strikeout,strikeout,True,672820,519242,Lenyn Sosa,Chris Sale,1,a96244b4-7b80-4af7-919b-9a6a470fd815,519242.0,chrissale,Sale,Left,Chris Sale,ATL,2.7,2.7,110.0,103.0,103.0,102.0,0.711,11.45,1.96,6.63,0.57,1.51,0.262,0.449,0.194,0.228,0.454,59.0,108.0,97.0,97.0,105.0,101.0,111.0,101.0,97.0,122.0,100.0,105.0,,,,0.082,0.379,,0.392,0.147,-0.27,,-0.89,2.27,4.04,94.9,,87.2,94.1,78.7,0.165,0.233,0.419,0.324,0.471,0.153,0.116,0.145,0.231,,,,0.27,0.475,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,746816,Strikeout,strikeout,True,672820,678226,Lenyn Sosa,Daysbel Hernández,0,70ad720a-410f-4c6c-959a-470f81d6f8ff,678226.0,daysbelhernandez,"Hernández, D",Right,Daysbel Hernández,ATL,0.0,2.05,9.2,104.0,132.0,111.0,0.75,11.17,2.79,5.59,0.0,0.78,0.273,0.273,0.143,0.238,0.342,,,,109.0,100.0,101.0,76.0,146.0,131.0,151.0,105.0,118.0,,,,0.026,0.4,,0.574,,0.95,,-3.6,3.05,,97.3,,,98.2,89.0,0.15,0.15,0.356,,,,,,,,,,0.167,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-06,746329,Single,single,False,672820,608379,Lenyn Sosa,Michael Wacha,0,54823c7c-1768-4e17-bec4-bed7743c2cef,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.55,3.91,96.1,102.0,91.0,99.0,0.783,7.94,2.62,8.22,0.84,1.09,0.262,0.454,0.206,0.284,0.436,111.0,111.0,115.0,82.0,101.0,97.0,79.0,101.0,87.0,97.0,94.0,93.0,81.0,96.0,91.0,0.152,0.233,0.109,0.101,0.318,-0.61,-0.79,0.86,-0.72,2.13,93.5,88.6,81.4,93.4,84.0,0.3,0.4,0.442,0.214,0.257,0.06,0.18,0.316,0.352,0.302,0.442,0.139,0.321,0.513,0.15,71.0,88.0,91.0,0.087,-0.88,75.0,0.278,0.556,0.138,,,,,,,,,,,,,,,,,,,,,
2024-04-06,746329,Groundout,field_out,True,672820,608379,Lenyn Sosa,Michael Wacha,0,efd3e4fe-7e17-469b-9860-6d600bcdfcfe,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.55,3.91,96.1,102.0,91.0,99.0,0.783,7.94,2.62,8.22,0.84,1.09,0.262,0.454,0.206,0.284,0.436,111.0,111.0,115.0,82.0,101.0,97.0,79.0,101.0,87.0,97.0,94.0,93.0,81.0,96.0,91.0,0.152,0.233,0.109,0.101,0.318,-0.61,-0.79,0.86,-0.72,2.13,93.5,88.6,81.4,93.4,84.0,0.3,0.4,0.442,0.214,0.257,0.06,0.18,0.316,0.352,0.302,0.442,0.139,0.321,0.513,0.15,71.0,88.0,91.0,0.087,-0.88,75.0,0.278,0.556,0.138,,,,,,,,,,,,,,,,,,,,,
2024-04-06,746329,Strikeout,strikeout,True,672820,623433,Lenyn Sosa,Nick Anderson,0,cc9110b8-08a6-48b3-923e-d2f4a99fc4c4,623433.0,nickanderson,"Anderson, N",Right,Nick Anderson,KCR,4.04,5.06,35.2,100.0,88.0,97.0,0.78,7.32,3.79,8.83,1.51,0.98,0.324,0.361,0.102,0.324,0.478,79.0,80.0,86.0,61.0,96.0,87.0,70.0,102.0,95.0,,,,,,,0.269,0.223,,,0.052,-4.03,,0.61,,-0.82,94.7,,87.9,94.8,,,,,0.245,0.429,0.191,,,,,,,0.4,0.8,0.19,113.0,102.0,105.0,0.455,0.15,81.7,0.204,0.352,0.286,,,,,,,,,,,,,,,,,,,,,
2024-04-07,746330,Flyout,field_out,True,672820,672582,Lenyn Sosa,Angel Zerpa,0,87540bbc-f92f-40dd-a971-fe309af2f77b,672582.0,angelzerpa,Zerpa,Left,Angel Zerpa,KCR,3.31,4.1,35.1,105.0,89.0,103.0,0.868,8.41,2.55,10.19,0.76,2.48,0.36,0.243,0.162,0.288,0.481,58.0,102.0,90.0,71.0,99.0,89.0,94.0,106.0,106.0,113.0,108.0,114.0,,,,0.42,0.215,,0.251,0.114,0.75,,-0.16,0.58,-3.88,95.4,,88.5,96.0,86.3,0.233,0.367,0.176,0.297,0.311,0.13,0.313,0.688,0.2,,,,0.273,0.273,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,746330,Single,single,False,672820,519293,Lenyn Sosa,Will Smith,0,e1f5746f-92ff-4ae6-9940-c6b1c506fdad,519293.0,willsmith,"Smith, W",Left,Will Smith,KCR,4.85,5.47,29.2,98.0,87.0,96.0,0.764,5.76,3.34,9.1,1.21,0.55,0.242,0.434,0.192,0.293,0.428,80.0,101.0,92.0,62.0,97.0,87.0,,,,113.0,100.0,105.0,,,,,0.322,,0.445,0.136,-1.31,,,0.85,-0.65,91.3,,85.8,,80.5,0.196,0.304,0.32,,,,0.222,0.444,0.355,,,,0.341,0.523,0.091,71.0,93.0,98.0,0.097,-0.01,76.2,0.25,0.25,0.308,,,,,,,,,,,,,,,,,,,,,
2024-04-09,746653,Double,double,False,672820,671106,Lenyn Sosa,Logan Allen,1,5326481a-fae4-45db-8515-8c92ffce4f04,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,61.0,98.0,88.0,,,,91.0,98.0,86.0,92.0,99.0,97.0,,0.483,0.15,0.183,0.183,-1.5,0.37,,-2.18,-1.11,91.2,85.4,81.6,,78.6,0.263,0.509,0.355,,,,0.254,0.479,0.278,0.245,0.449,0.196,0.329,0.593,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-09,746653,Groundout,field_out,True,672820,671106,Lenyn Sosa,Logan Allen,0,09f63ef9-4723-469f-aa93-0878c3b05389,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,61.0,98.0,88.0,,,,91.0,98.0,86.0,92.0,99.0,97.0,,0.483,0.15,0.183,0.183,-1.5,0.37,,-2.18,-1.11,91.2,85.4,81.6,,78.6,0.263,0.509,0.355,,,,0.254,0.479,0.278,0.245,0.449,0.196,0.329,0.593,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
