date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO
2024-09-15,746180,Groundout,field_out,True,672569,672391,Gustavo Campero,Kaleb Ort,0,9d1097d3-16d9-46a0-8973-45a2e0428b6d,672391.0,kalebort,Ort,Right,Kaleb Ort,HOU,1.61,2.57,22.1,105.0,131.0,112.0,0.764,9.27,1.21,4.43,1.61,0.66,0.236,0.364,0.218,0.345,0.469,53.0,99.0,90.0,,,,162.0,106.0,122.0,104.0,114.0,117.0,95.0,100.0,92.0,0.572,0.192,0.145,,0.091,2.5,3.2,1.91,,-3.06,97.5,91.0,90.4,83.7,,0.128,0.34,0.278,,,,0.333,0.5,0.1,,,,,,,,,,0.143,0.143,0.286,,,,,,,,,,,,,0.111,0.278,0.212,,,,,,,,,,,,
2024-09-15,746180,Groundout,field_out,True,672569,623352,Gustavo Campero,Josh Hader,1,3de8b809-3f74-4875-8d74-a114dddd9a31,623352.0,joshhader,Hader,Left,Josh Hader,HOU,3.32,2.63,65.0,98.0,130.0,111.0,0.622,13.29,3.05,5.26,1.66,0.58,0.233,0.346,0.135,0.316,0.407,111.0,70.0,51.0,,,,,,,115.0,97.0,109.0,,,,,,0.269,,0.01,,,2.38,,-10.84,,,89.3,85.7,,,,,0.116,0.246,0.586,,,,,,,137.0,98.0,113.0,0.72,0.88,96.1,,,,0.185,0.369,0.331,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-16,746179,Groundout,field_out,True,672569,686563,Gustavo Campero,Jonathan Cannon,0,9e9f68d6-f5ef-47b0-8f74-6dc18857fd44,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.61,4.54,113.1,102.0,92.0,99.0,0.809,6.43,2.86,9.37,1.35,1.0,0.223,0.394,0.168,0.302,0.396,95.0,106.0,107.0,,,,74.0,104.0,97.0,117.0,101.0,108.0,79.0,101.0,94.0,0.116,0.196,0.216,,0.189,-1.07,0.51,-1.64,,-0.19,94.4,90.2,85.7,81.9,,0.25,0.386,0.245,,,,0.248,0.4,0.257,,,,86.0,100.0,94.0,0.282,-0.14,93.3,0.264,0.517,0.28,0.31,0.484,0.132,,,,,,,,,,0.253,0.453,0.19,,,,,,,,,,,,
2024-09-16,746179,Strikeout,strikeout,True,672569,686563,Gustavo Campero,Jonathan Cannon,0,e3ebf1c3-a81f-4574-8d2e-663d458a15cd,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.61,4.54,113.1,102.0,92.0,99.0,0.809,6.43,2.86,9.37,1.35,1.0,0.223,0.394,0.168,0.302,0.396,95.0,106.0,107.0,,,,74.0,104.0,97.0,117.0,101.0,108.0,79.0,101.0,94.0,0.116,0.196,0.216,,0.189,-1.07,0.51,-1.64,,-0.19,94.4,90.2,85.7,81.9,,0.25,0.386,0.245,,,,0.248,0.4,0.257,,,,86.0,100.0,94.0,0.282,-0.14,93.3,0.264,0.517,0.28,0.31,0.484,0.132,,,,,,,,,,0.253,0.453,0.19,,,,,,,,,,,,
2024-09-16,746179,Single,single,False,672569,641771,Gustavo Campero,Chad Kuhl,1,396b9553-cbcb-4939-a699-7557b165de16,641771.0,chadkuhl,Kuhl,Right,Chad Kuhl,CHW,5.29,4.09,51.0,92.0,105.0,92.0,0.757,9.35,4.06,9.35,0.88,1.33,0.255,0.414,0.179,0.29,0.378,76.0,90.0,90.0,,,,79.0,97.0,96.0,138.0,97.0,105.0,79.0,96.0,89.0,0.094,0.093,0.448,,0.111,-1.71,-1.96,1.33,,-1.6,94.9,91.5,87.0,85.1,,0.267,0.4,0.294,0.212,0.275,0.362,0.37,0.444,0.255,,,,85.0,83.0,79.0,0.254,-1.88,93.7,0.0,0.0,0.281,0.373,0.686,0.133,,,,,,,,,,0.429,0.857,0.217,,,,,,,,,,,,
2024-09-17,746176,Single,single,True,672569,663436,Gustavo Campero,Davis Martin,1,9894e772-cda1-4f3b-9529-768e3ac64574,663436.0,davismartin,Martin,Right,Davis Martin,CHW,4.27,4.12,46.1,100.0,105.0,99.0,0.758,8.35,3.5,9.13,0.97,1.31,0.197,0.46,0.212,0.299,0.409,145.0,103.0,107.0,94.0,92.0,94.0,93.0,95.0,92.0,114.0,109.0,112.0,78.0,97.0,88.0,0.279,0.181,0.261,0.081,0.198,-2.16,2.25,1.72,-2.63,-0.46,93.7,89.1,89.3,83.6,78.4,0.394,0.485,0.193,0.096,0.269,0.376,0.354,0.417,0.184,0.357,0.429,0.318,,,,,,,,,,,,,,,,,,,,,,0.212,0.303,0.227,,,,,,,,,,,,
2024-09-17,746176,Single,single,False,672569,663436,Gustavo Campero,Davis Martin,0,e9d6ed2a-a9e8-4732-83e5-27247d7d29b9,663436.0,davismartin,Martin,Right,Davis Martin,CHW,4.27,4.12,46.1,100.0,105.0,99.0,0.758,8.35,3.5,9.13,0.97,1.31,0.197,0.46,0.212,0.299,0.409,145.0,103.0,107.0,94.0,92.0,94.0,93.0,95.0,92.0,114.0,109.0,112.0,78.0,97.0,88.0,0.279,0.181,0.261,0.081,0.198,-2.16,2.25,1.72,-2.63,-0.46,93.7,89.1,89.3,83.6,78.4,0.394,0.485,0.193,0.096,0.269,0.376,0.354,0.417,0.184,0.357,0.429,0.318,,,,,,,,,,,,,,,,,,,,,,0.212,0.303,0.227,,,,,,,,,,,,
2024-09-17,746176,Groundout,field_out,True,672569,660853,Gustavo Campero,Enyel De Los Santos,0,f2b5f1b8-f8fd-4aef-a7dc-eabcd8822c7f,660853.0,enyeldelossantos,"De Los Santos, E",Right,Enyel De Los Santos,- - -,5.43,5.25,61.1,104.0,91.0,100.0,0.726,9.68,3.52,9.24,2.49,0.67,0.31,0.454,0.184,0.339,0.464,79.0,94.0,86.0,,,,78.0,105.0,96.0,110.0,104.0,107.0,,,,0.489,,0.431,,0.08,-2.02,,0.05,,-2.14,95.5,,87.6,86.5,,0.313,0.641,0.209,0.202,0.447,0.422,0.222,0.5,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-17,746176,Groundout,field_out,True,672569,671109,Gustavo Campero,Jake Eder,0,cb0c83b5-09f6-46ee-a392-a4b9db754a0d,671109.0,jakeeder,Eder,Left,Jake Eder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.429,,,,,,,,,,,,
2024-09-18,746172,Single,single,False,672569,694363,Gustavo Campero,Jared Shuster,0,0c1aa077-2f85-43c5-b839-f848ed3cc1bd,694363.0,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.35,4.88,70.1,100.0,75.0,93.0,0.788,6.65,3.71,9.34,1.15,0.8,0.282,0.401,0.145,0.26,0.413,71.0,99.0,94.0,,,,71.0,98.0,86.0,86.0,105.0,102.0,,,,0.38,,0.286,,0.288,-0.54,,0.54,,-0.79,92.5,,84.1,86.0,,0.277,0.491,0.162,0.25,0.319,0.274,0.253,0.387,0.296,,,,68.0,105.0,92.0,0.046,-0.66,91.9,,,,0.313,0.5,0.088,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-18,746172,Flyout,field_out,True,672569,672860,Gustavo Campero,Prelander Berroa,0,15838701-1df5-40a3-814d-ec0d617b9693,672860.0,prelanderberroa,Berroa,Right,Prelander Berroa,CHW,2.76,1.93,16.1,93.0,121.0,101.0,0.676,13.22,4.41,6.61,0.55,1.07,0.229,0.429,0.143,0.143,0.356,,,,,,,104.0,85.0,85.0,134.0,98.0,113.0,,,,0.401,,0.571,,,-0.67,,1.93,,,97.8,,,87.9,,0.333,0.417,0.204,0.159,0.25,0.443,,,,,,,105.0,92.0,82.0,0.028,-2.96,97.0,,,,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,,,,
