date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024-08-04,746191,Walk,walk,False,641779,500779,Charles Leblanc,Jose Quintana,1,89e576ca-52dc-4c21-91cb-b67ce1e9da57,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.36,4.88,140.1,98.0,83.0,93.0,0.808,6.8,3.46,8.27,1.41,1.2,0.22,0.425,0.169,0.343,0.339,69.0,100.0,97.0,110.0,103.0,100.0,70.0,92.0,85.0,75.0,97.0,90.0,,,,0.293,0.222,,0.287,0.197,-0.55,0.19,,0.04,-0.09,90.6,85.7,90.7,,77.6,0.225,0.461,0.167,0.225,0.294,0.32,,,,0.266,0.448,0.258,0.261,0.491,0.136,0.176,0.382,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-04,746191,Flyout,field_out,True,641779,500779,Charles Leblanc,Jose Quintana,0,30298c43-5272-4de3-b17c-dd6c9721f8cb,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.36,4.88,140.1,98.0,83.0,93.0,0.808,6.8,3.46,8.27,1.41,1.2,0.22,0.425,0.169,0.343,0.339,69.0,100.0,97.0,110.0,103.0,100.0,70.0,92.0,85.0,75.0,97.0,90.0,,,,0.293,0.222,,0.287,0.197,-0.55,0.19,,0.04,-0.09,90.6,85.7,90.7,,77.6,0.225,0.461,0.167,0.225,0.294,0.32,,,,0.266,0.448,0.258,0.261,0.491,0.136,0.176,0.382,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-04,746191,Groundout,field_out,True,641779,493603,Charles Leblanc,Adam Ottavino,0,f7b879a9-da86-400b-adc2-b8a857c8f5b0,493603.0,adamottavino,Ottavino,Right,Adam Ottavino,NYM,4.47,3.18,48.1,101.0,103.0,101.0,0.765,10.99,3.35,8.38,0.93,1.02,0.349,0.357,0.225,0.302,0.443,74.0,88.0,89.0,,,,72.0,111.0,101.0,100.0,103.0,101.0,116.0,107.0,112.0,0.341,0.082,0.4,,0.057,2.64,0.25,0.14,,-1.73,93.1,87.2,92.1,79.2,,0.095,0.095,0.364,0.333,0.5,0.214,0.333,0.833,0.25,,,,0.243,0.284,0.15,,,,84.0,92.0,94.0,0.121,-2.76,87.9,0.222,0.349,0.263,0.455,1.182,0.373,,,,,,,,,,,,,,,
2024-08-07,745713,Strikeout,strikeout,True,641779,701542,Charles Leblanc,Will Warren,0,66f913a2-903f-4d78-9821-987eb3b842e5,701542.0,willwarren,"Warren, W",Right,Will Warren,NYY,9.68,4.32,17.2,100.0,102.0,104.0,0.75,11.72,3.06,13.25,1.53,0.65,0.204,0.352,0.148,0.37,0.389,91.0,102.0,106.0,,,,91.0,103.0,102.0,95.0,105.0,109.0,128.0,86.0,96.0,0.228,0.325,0.256,,0.139,1.79,-5.09,-2.77,,-3.74,93.8,86.3,93.1,83.1,,0.091,0.273,0.222,0.444,0.667,0.364,,,,,,,0.522,0.87,0.227,,,,110.0,115.0,125.0,0.053,-6.37,86.6,0.294,0.588,0.333,0.6,0.6,0.273,,,,,,,,,,,,,,,
2024-08-07,745713,Single,single,False,641779,701542,Charles Leblanc,Will Warren,0,f569ad23-bdf1-4339-8d3e-4f8c03d25da8,701542.0,willwarren,"Warren, W",Right,Will Warren,NYY,9.68,4.32,17.2,100.0,102.0,104.0,0.75,11.72,3.06,13.25,1.53,0.65,0.204,0.352,0.148,0.37,0.389,91.0,102.0,106.0,,,,91.0,103.0,102.0,95.0,105.0,109.0,128.0,86.0,96.0,0.228,0.325,0.256,,0.139,1.79,-5.09,-2.77,,-3.74,93.8,86.3,93.1,83.1,,0.091,0.273,0.222,0.444,0.667,0.364,,,,,,,0.522,0.87,0.227,,,,110.0,115.0,125.0,0.053,-6.37,86.6,0.294,0.588,0.333,0.6,0.6,0.273,,,,,,,,,,,,,,,
2024-08-07,745713,Flyout,field_out,True,641779,543859,Charles Leblanc,Michael Tonkin,0,e848eeac-7446-4502-9a0c-d72f4d5bed23,543859.0,michaeltonkin,Tonkin,Right,Michael Tonkin,- - -,3.68,4.29,66.0,98.0,104.0,99.0,0.781,9.68,3.41,7.64,0.82,1.14,0.178,0.422,0.15,0.283,0.41,,,,,,,111.0,102.0,100.0,87.0,98.0,97.0,108.0,96.0,99.0,0.177,0.375,0.448,,,0.28,0.79,-0.14,,,93.2,,92.5,83.0,,0.223,0.388,0.224,,,,0.18,0.28,0.296,,,,0.314,0.429,0.173,,,,,,,,,,0.444,0.556,0.25,,,,,,,,,,,,,,,,,,
2024-08-07,745713,Double Play,double_play,True,641779,657612,Charles Leblanc,Tim Hill,1,f3929330-ed1b-4ea1-a161-98e3cfd622e3,657612.0,timhill,"Hill, T",Left,Tim Hill,- - -,3.79,3.49,54.2,104.0,108.0,99.0,0.893,3.62,2.63,11.69,0.33,4.34,0.279,0.365,0.192,0.288,0.499,,,,,,,105.0,106.0,101.0,105.0,105.0,100.0,157.0,89.0,89.0,0.661,0.277,0.059,,0.002,-1.46,0.59,-4.82,,0.75,90.7,89.3,88.7,82.2,,0.288,0.407,0.183,,,,0.571,1.0,0.391,,,,0.307,0.325,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-05,744966,Walk,walk,False,641779,674003,Charles Leblanc,Cody Bradford,0,ec4f940a-4a77-4103-bf05-0ed152d16477,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,3.05,3.27,62.0,106.0,91.0,101.0,0.782,8.13,1.45,6.39,1.02,0.67,0.259,0.322,0.149,0.299,0.41,103.0,104.0,109.0,96.0,107.0,107.0,91.0,106.0,94.0,,,,47.0,116.0,110.0,,0.524,0.063,0.14,0.267,2.29,,3.61,-1.45,1.06,89.8,80.9,,82.8,75.0,0.164,0.311,0.22,0.224,0.293,0.355,0.167,0.222,0.242,0.258,0.516,0.148,,,,,,,53.0,110.0,97.0,0.006,-1.33,85.8,,,,,,,,,,,,,,,,,,,,,
2024-09-05,744966,Strikeout,strikeout,True,641779,674003,Charles Leblanc,Cody Bradford,0,ac2b8448-57ef-4a8c-bbdd-f80b03ed92c4,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,3.05,3.27,62.0,106.0,91.0,101.0,0.782,8.13,1.45,6.39,1.02,0.67,0.259,0.322,0.149,0.299,0.41,103.0,104.0,109.0,96.0,107.0,107.0,91.0,106.0,94.0,,,,47.0,116.0,110.0,,0.524,0.063,0.14,0.267,2.29,,3.61,-1.45,1.06,89.8,80.9,,82.8,75.0,0.164,0.311,0.22,0.224,0.293,0.355,0.167,0.222,0.242,0.258,0.516,0.148,,,,,,,53.0,110.0,97.0,0.006,-1.33,85.8,,,,,,,,,,,,,,,,,,,,,
2024-09-05,744966,Strikeout,strikeout,True,641779,600917,Charles Leblanc,José Leclerc,0,8886f9ab-7ef8-4bc4-8573-577a3e6c94f5,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,4.48,3.56,60.1,97.0,110.0,100.0,0.641,12.38,4.48,7.46,1.04,0.79,0.224,0.42,0.182,0.294,0.378,71.0,102.0,93.0,,,,109.0,91.0,99.0,81.0,94.0,83.0,117.0,103.0,104.0,0.065,0.346,0.325,,0.103,0.47,1.84,0.53,,-1.97,95.3,88.2,95.0,82.0,,0.175,0.302,0.331,0.35,0.35,0.521,0.207,0.378,0.467,,,,0.25,0.45,0.205,,,,133.0,96.0,102.0,0.161,-0.51,90.2,,,,0.278,0.361,0.253,,,,,,,,,,,,,,,
2024-09-08,744965,Lineout,field_out,True,641779,571760,Charles Leblanc,Andrew Heaney,0,58ccec3c-a09b-4b8d-83fd-b55e49e2fdd7,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.84,4.14,145.1,101.0,81.0,98.0,0.752,9.23,2.42,8.36,1.18,0.76,0.257,0.401,0.142,0.292,0.424,84.0,102.0,95.0,124.0,106.0,103.0,78.0,101.0,98.0,34.0,83.0,74.0,81.0,99.0,101.0,0.015,0.509,0.277,0.033,0.165,0.49,-4.51,-0.2,-3.64,0.9,91.5,83.7,92.2,82.4,75.4,0.215,0.383,0.213,0.221,0.352,0.253,0.254,0.379,0.387,0.5,1.25,0.222,0.455,0.455,0.125,,,,20.0,51.0,51.0,0.001,-19.13,86.6,,,,,,,,,,,,,,,,,,,,,
2024-09-08,744965,Home Run,home_run,False,641779,571760,Charles Leblanc,Andrew Heaney,1,881f727d-82b6-46a2-a007-458c226b3f42,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.84,4.14,145.1,101.0,81.0,98.0,0.752,9.23,2.42,8.36,1.18,0.76,0.257,0.401,0.142,0.292,0.424,84.0,102.0,95.0,124.0,106.0,103.0,78.0,101.0,98.0,34.0,83.0,74.0,81.0,99.0,101.0,0.015,0.509,0.277,0.033,0.165,0.49,-4.51,-0.2,-3.64,0.9,91.5,83.7,92.2,82.4,75.4,0.215,0.383,0.213,0.221,0.352,0.253,0.254,0.379,0.387,0.5,1.25,0.222,0.455,0.455,0.125,,,,20.0,51.0,51.0,0.001,-19.13,86.6,,,,,,,,,,,,,,,,,,,,,
