date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,CU%,wFC/C,wFS/C,wCU/C,vFC,vFS,vCU,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C
2024-08-18,746431,Strikeout,strikeout,True,691176,669373,Jasson Domínguez,Tarik Skubal,0,07464316-0086-0063-000c-f08cd117d70a,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.58,2.84,160.1,103.0,103.0,106.0,0.721,10.83,1.85,6.74,0.73,1.27,0.251,0.396,0.172,0.266,0.476,97.0,104.0,115.0,111.0,103.0,102.0,95.0,106.0,105.0,111.0,99.0,103.0,94.0,91.0,101.0,0.207,0.328,0.153,0.045,0.267,1.45,1.65,0.82,2.67,0.78,96.9,86.1,96.6,88.7,78.5,0.206,0.311,0.253,0.231,0.355,0.472,0.181,0.283,0.164,0.188,0.375,0.349,0.118,0.118,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-18,746431,Strikeout,strikeout,True,691176,669373,Jasson Domínguez,Tarik Skubal,0,e90754a6-745b-4639-8078-b516aca1f98c,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.58,2.84,160.1,103.0,103.0,106.0,0.721,10.83,1.85,6.74,0.73,1.27,0.251,0.396,0.172,0.266,0.476,97.0,104.0,115.0,111.0,103.0,102.0,95.0,106.0,105.0,111.0,99.0,103.0,94.0,91.0,101.0,0.207,0.328,0.153,0.045,0.267,1.45,1.65,0.82,2.67,0.78,96.9,86.1,96.6,88.7,78.5,0.206,0.311,0.253,0.231,0.355,0.472,0.181,0.283,0.164,0.188,0.375,0.349,0.118,0.118,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-18,746431,Forceout,force_out,True,691176,669373,Jasson Domínguez,Tarik Skubal,1,b32bd9a0-631b-4eec-89bc-b24579ef84bb,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.58,2.84,160.1,103.0,103.0,106.0,0.721,10.83,1.85,6.74,0.73,1.27,0.251,0.396,0.172,0.266,0.476,97.0,104.0,115.0,111.0,103.0,102.0,95.0,106.0,105.0,111.0,99.0,103.0,94.0,91.0,101.0,0.207,0.328,0.153,0.045,0.267,1.45,1.65,0.82,2.67,0.78,96.9,86.1,96.6,88.7,78.5,0.206,0.311,0.253,0.231,0.355,0.472,0.181,0.283,0.164,0.188,0.375,0.349,0.118,0.118,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-18,746431,Strikeout,strikeout,True,691176,571946,Jasson Domínguez,Shelby Miller,0,62f28ce7-1ec1-4dd2-818b-5e90d5d1493f,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,4.71,3.37,49.2,98.0,106.0,100.0,0.773,8.34,1.63,6.52,1.27,0.82,0.281,0.388,0.115,0.324,0.467,,,,109.0,99.0,101.0,,,,95.0,102.0,98.0,,,,,0.612,0.191,,,1.39,,0.17,,,93.5,,,88.2,,0.186,0.32,0.241,,,,,,,0.231,0.436,0.227,,,,,,,71.0,57.0,62.0,100.0,97.0,105.0,0.003,0.195,,-2.75,-0.18,,88.4,86.7,,,,,0.205,0.409,0.286,,,,,,,,,
2024-09-09,745698,Groundout,field_out,True,691176,663903,Jasson Domínguez,Brady Singer,0,50d0a1bb-4bd9-468e-a359-76907529fa63,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,,,,0.41,0.115,0.454,,0.021,-1.89,0.96,0.15,,-5.71,91.7,88.1,92.2,82.9,,0.341,0.585,0.185,0.429,0.5,0.111,0.266,0.378,0.12,0.208,0.362,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324,0.486,0.364,,,
2024-09-09,745698,Single,single,False,691176,663903,Jasson Domínguez,Brady Singer,0,16354a81-f5d2-4b78-94c2-b68d69dfde84,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,,,,0.41,0.115,0.454,,0.021,-1.89,0.96,0.15,,-5.71,91.7,88.1,92.2,82.9,,0.341,0.585,0.185,0.429,0.5,0.111,0.266,0.378,0.12,0.208,0.362,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324,0.486,0.364,,,
2024-09-09,745698,Strikeout,strikeout,True,691176,669674,Jasson Domínguez,Sam Long,0,1d80d3e5-296c-4592-be0d-37d5314441de,669674.0,samlong,Long,Left,Sam Long,KCR,2.78,3.77,35.2,95.0,97.0,99.0,0.76,9.34,3.79,6.81,1.01,1.0,0.181,0.489,0.245,0.372,0.415,,,,93.0,98.0,97.0,,,,115.0,99.0,108.0,,,,,0.381,0.306,,,1.31,,0.61,,,94.3,,,85.6,,0.196,0.339,0.213,,,,,,,0.214,0.333,0.389,0.25,0.45,0.167,85.0,90.0,97.0,,,,85.0,79.0,79.0,,0.085,0.228,,1.33,-1.08,,87.8,77.7,,,,0.167,0.167,0.208,,,,,,,,,
2024-09-09,745698,Flyout,field_out,True,691176,672578,Jasson Domínguez,Carlos Hernández,0,3e75b502-609c-451a-8a47-b75dd02f1678,672578.0,carloshernandez,"Hernández, C",Right,Carlos Hernández,KCR,3.38,3.77,21.1,101.0,121.0,107.0,0.806,8.44,4.64,7.59,0.0,0.51,0.21,0.419,0.177,0.355,0.411,,,,133.0,102.0,107.0,,,,113.0,100.0,105.0,100.0,94.0,101.0,,0.548,0.206,0.126,,1.43,,-0.24,0.91,,98.0,,,86.8,83.8,0.22,0.317,0.109,,,,,,,0.263,0.316,0.4,0.1,0.2,0.389,,,,,,,99.0,103.0,109.0,0.003,0.118,,-3.47,-2.34,,90.6,90.2,,,,,0.333,0.333,0.375,,,,,,,,,
2024-09-10,745694,Strikeout,strikeout,True,691176,607625,Jasson Domínguez,Seth Lugo,0,68e24fac-dc9b-434d-9908-d3349e4e645b,607625.0,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.05,3.76,197.2,101.0,97.0,100.0,0.796,7.88,2.14,7.88,0.73,1.23,0.209,0.389,0.157,0.301,0.43,95.0,100.0,98.0,75.0,103.0,95.0,69.0,101.0,91.0,125.0,98.0,105.0,,,,0.187,0.24,0.137,,0.067,0.79,0.53,-0.73,,0.18,92.3,87.4,92.2,85.2,,0.232,0.384,0.167,0.227,0.364,0.299,0.284,0.395,0.133,0.216,0.392,0.196,0.179,0.277,0.34,127.0,100.0,110.0,99.0,103.0,103.0,88.0,99.0,99.0,0.079,0.029,0.26,2.6,-0.43,1.34,90.2,85.8,79.4,0.235,0.235,0.241,0.095,0.381,0.333,0.227,0.295,0.279,0.36,0.72,0.109,,,
2024-09-10,745694,Flyout,field_out,True,691176,607625,Jasson Domínguez,Seth Lugo,0,4a52d3b6-eb2b-4c0d-83fb-a1b41f0abccf,607625.0,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.05,3.76,197.2,101.0,97.0,100.0,0.796,7.88,2.14,7.88,0.73,1.23,0.209,0.389,0.157,0.301,0.43,95.0,100.0,98.0,75.0,103.0,95.0,69.0,101.0,91.0,125.0,98.0,105.0,,,,0.187,0.24,0.137,,0.067,0.79,0.53,-0.73,,0.18,92.3,87.4,92.2,85.2,,0.232,0.384,0.167,0.227,0.364,0.299,0.284,0.395,0.133,0.216,0.392,0.196,0.179,0.277,0.34,127.0,100.0,110.0,99.0,103.0,103.0,88.0,99.0,99.0,0.079,0.029,0.26,2.6,-0.43,1.34,90.2,85.8,79.4,0.235,0.235,0.241,0.095,0.381,0.333,0.227,0.295,0.279,0.36,0.72,0.109,,,
