date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,EP%,wEP/C,vEP,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
2024-07-05,747097,Flyout,field_out,True,642201,605400,Eli White,Aaron Nola,0,72b26faa-0fa5-488e-a6cd-b0dd22ef067a,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,80.0,103.0,90.0,,,,90.0,105.0,100.0,100.0,109.0,106.0,,,,68.0,100.0,93.0,0.212,0.259,0.102,,,0.103,1.43,-2.53,-0.12,,,-2.18,92.3,87.4,85.4,91.4,,,0.117,0.252,0.226,0.29,0.47,0.137,0.194,0.306,0.35,0.289,0.5,0.154,,,,0.389,0.75,0.143,133.0,109.0,116.0,0.324,2.0,79.2,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-05,747097,Groundout,field_out,True,642201,605400,Eli White,Aaron Nola,0,4ae8b691-dba6-4ba9-a502-b6eb40293562,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,80.0,103.0,90.0,,,,90.0,105.0,100.0,100.0,109.0,106.0,,,,68.0,100.0,93.0,0.212,0.259,0.102,,,0.103,1.43,-2.53,-0.12,,,-2.18,92.3,87.4,85.4,91.4,,,0.117,0.252,0.226,0.29,0.47,0.137,0.194,0.306,0.35,0.289,0.5,0.154,,,,0.389,0.75,0.143,133.0,109.0,116.0,0.324,2.0,79.2,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-05,747097,Strikeout,strikeout,True,642201,689147,Eli White,Orion Kerkering,0,3c433bb6-6fee-4804-b4b3-c20a987de5b9,689147.0,orionkerkering,Kerkering,Right,Orion Kerkering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216,0.27,0.275,0.13,0.13,0.175,,,,,,,0.264,0.319,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-05,747097,Strikeout,strikeout,True,642201,656546,Eli White,Jeff Hoffman,0,630169e5-843a-4ca9-8919-76a104421ba1,656546.0,jeffhoffman,Hoffman,Right,Jeff Hoffman,PHI,1.09,2.19,41.1,100.0,114.0,103.0,0.682,11.98,2.18,5.66,0.44,0.97,0.175,0.495,0.124,0.268,0.452,,,,,,,121.0,103.0,103.0,113.0,107.0,116.0,109.0,95.0,102.0,,,,0.085,0.408,,0.395,,,1.24,,3.89,2.07,,,96.5,,,96.6,86.4,,0.194,0.323,0.312,0.154,0.154,0.167,,,,,,,0.157,0.255,0.44,,,,,,,,,,108.0,103.0,103.0,0.113,0.27,90.4,0.16,0.24,0.275,,,,,,,,,,,,,,,
2024-07-06,747099,Strikeout,strikeout,True,642201,624133,Eli White,Ranger Suárez,0,01660069-ac16-41f6-a6d1-f83fcf01b282,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,2.76,3.19,114.0,104.0,83.0,101.0,0.797,8.84,2.05,7.34,0.71,2.09,0.185,0.47,0.147,0.3,0.404,75.0,104.0,103.0,86.0,106.0,108.0,69.0,101.0,92.0,87.0,106.0,103.0,22.0,85.0,77.0,102.0,98.0,94.0,0.319,0.19,0.125,0.001,0.199,0.166,1.37,-1.66,1.26,-4.76,1.5,0.71,92.0,86.6,80.3,90.9,81.3,74.5,0.208,0.299,0.184,0.241,0.354,0.109,0.171,0.289,0.335,0.181,0.25,0.393,,,,0.308,0.615,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-06,747099,Pop Out,field_out,True,642201,624133,Eli White,Ranger Suárez,0,66b7bacc-c6e2-44ca-bb9e-8d0c825b9461,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,2.76,3.19,114.0,104.0,83.0,101.0,0.797,8.84,2.05,7.34,0.71,2.09,0.185,0.47,0.147,0.3,0.404,75.0,104.0,103.0,86.0,106.0,108.0,69.0,101.0,92.0,87.0,106.0,103.0,22.0,85.0,77.0,102.0,98.0,94.0,0.319,0.19,0.125,0.001,0.199,0.166,1.37,-1.66,1.26,-4.76,1.5,0.71,92.0,86.6,80.3,90.9,81.3,74.5,0.208,0.299,0.184,0.241,0.354,0.109,0.171,0.289,0.335,0.181,0.25,0.393,,,,0.308,0.615,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-06,747099,Groundout,field_out,True,642201,614179,Eli White,José Ruiz,0,7ea689fb-0379-4892-84b0-907c1081ecf5,614179.0,joseruiz,"Ruiz, J",Right,José Ruiz,PHI,5.08,4.3,28.1,101.0,104.0,101.0,0.742,7.94,2.22,10.8,1.91,1.77,0.233,0.467,0.078,0.367,0.424,94.0,86.0,93.0,119.0,105.0,104.0,104.0,98.0,101.0,75.0,100.0,96.0,131.0,79.0,84.0,,,,0.242,0.248,,0.047,0.426,0.038,-0.88,,1.67,-1.48,-2.08,-2.94,96.3,,90.4,95.8,91.9,86.3,0.273,0.545,0.323,0.25,0.357,0.143,0.339,0.536,0.343,0.25,0.5,0.167,0.333,0.333,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-07,747098,Single,single,False,642201,675650,Eli White,Michael Mercado,1,452ff62f-14fc-4dc0-b3ba-b96c953353e3,675650.0,michaelmercado,Mercado,Right,Michael Mercado,PHI,9.26,7.1,11.2,96.0,97.0,94.0,0.794,6.17,6.17,9.26,4.63,0.57,0.132,0.5,0.026,0.421,0.427,125.0,108.0,124.0,100.0,96.0,97.0,101.0,92.0,91.0,,,,,,,84.0,100.0,91.0,,0.467,0.273,,0.22,0.04,-5.99,-2.43,,,4.11,-0.32,95.3,88.0,89.5,,,83.1,0.471,1.235,0.149,,,,0.0,0.0,0.208,,,,,,,0.25,0.688,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-07,747098,Groundout,field_out,True,642201,614179,Eli White,José Ruiz,0,639476cd-afe3-40d5-a6fd-84e356784828,614179.0,joseruiz,"Ruiz, J",Right,José Ruiz,PHI,5.08,4.3,28.1,101.0,104.0,101.0,0.742,7.94,2.22,10.8,1.91,1.77,0.233,0.467,0.078,0.367,0.424,94.0,86.0,93.0,119.0,105.0,104.0,104.0,98.0,101.0,75.0,100.0,96.0,131.0,79.0,84.0,,,,0.242,0.248,,0.047,0.426,0.038,-0.88,,1.67,-1.48,-2.08,-2.94,96.3,,90.4,95.8,91.9,86.3,0.273,0.545,0.323,0.25,0.357,0.143,0.339,0.536,0.343,0.25,0.5,0.167,0.333,0.333,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-07,747098,Home Run,home_run,False,642201,663969,Eli White,Tyler Phillips,0,68abcb36-7c50-45b3-a6b6-a88393424834,663969.0,tylerphillips,Phillips,Right,Tyler Phillips,PHI,4.5,3.74,10.0,105.0,104.0,106.0,0.736,10.8,0.0,8.1,2.7,0.91,0.115,0.615,0.038,0.5,0.439,70.0,102.0,89.0,133.0,101.0,108.0,73.0,96.0,97.0,81.0,109.0,103.0,128.0,105.0,114.0,,,,0.341,0.121,,0.394,0.106,0.038,7.49,,-5.05,-0.02,4.67,-6.65,93.2,,87.0,94.5,82.6,81.8,0.0,0.0,0.2,0.5,1.3,0.2,0.0,0.0,0.143,0.333,0.667,0.25,0.176,0.471,0.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
